frame;rangeResMag;bearingResMag;rangeResClr;height;width
0;0.036875;0.180528;0.036875;750;256
1;0.036875;0.180528;0.036875;750;256
2;0.036875;0.180528;0.036875;750;256
3;0.036875;0.180528;0.036875;750;256
4;0.036875;0.180528;0.036875;750;256
5;0.036875;0.180528;0.036875;750;256
6;0.036875;0.180528;0.036875;750;256
7;0.036875;0.180528;0.036875;750;256
8;0.036875;0.180528;0.036875;750;256
9;0.036875;0.180528;0.036875;750;256
10;0.036875;0.180528;0.036875;750;256
11;0.036875;0.180528;0.036875;750;256
12;0.036875;0.180528;0.036875;750;256
13;0.036875;0.180528;0.036875;750;256
14;0.036875;0.180528;0.036875;750;256
15;0.036875;0.180528;0.036875;750;256
16;0.036875;0.180528;0.036875;750;256
17;0.036875;0.180528;0.036875;750;256
18;0.036875;0.180528;0.036875;750;256
19;0.036875;0.180528;0.036875;750;256
20;0.036875;0.180528;0.036875;750;256
21;0.036875;0.180528;0.036875;750;256
22;0.036875;0.180528;0.036875;750;256
23;0.036875;0.180528;0.036875;750;256
24;0.036875;0.180528;0.036875;750;256
25;0.036875;0.180528;0.036875;750;256
26;0.036875;0.180528;0.036875;750;256
27;0.036875;0.180528;0.036875;750;256
28;0.036875;0.180528;0.036875;750;256
29;0.036875;0.180528;0.036875;750;256
30;0.036875;0.180528;0.036875;750;256
31;0.036875;0.180528;0.036875;750;256
32;0.036875;0.180528;0.036875;750;256
33;0.036875;0.180528;0.036875;750;256
34;0.036875;0.180528;0.036875;750;256
35;0.036875;0.180528;0.036875;750;256
36;0.036875;0.180528;0.036875;750;256
37;0.036875;0.180528;0.036875;750;256
38;0.036875;0.180528;0.036875;750;256
39;0.036875;0.180528;0.036875;750;256
40;0.036875;0.180528;0.036875;750;256
41;0.036875;0.180528;0.036875;750;256
42;0.036875;0.180528;0.036875;750;256
43;0.036875;0.180528;0.036875;750;256
44;0.036875;0.180528;0.036875;750;256
45;0.036875;0.180528;0.036875;750;256
46;0.036875;0.180528;0.036875;750;256
47;0.036875;0.180528;0.036875;750;256
48;0.036875;0.180528;0.036875;750;256
49;0.036875;0.180528;0.036875;750;256
50;0.036875;0.180528;0.036875;750;256
51;0.036875;0.180528;0.036875;750;256
52;0.036875;0.180528;0.036875;750;256
53;0.036875;0.180528;0.036875;750;256
54;0.036875;0.180528;0.036875;750;256
55;0.036875;0.180528;0.036875;750;256
56;0.036875;0.180528;0.036875;750;256
57;0.036875;0.180528;0.036875;750;256
58;0.036875;0.180528;0.036875;750;256
59;0.036875;0.180528;0.036875;750;256
60;0.036875;0.180528;0.036875;750;256
61;0.036875;0.180528;0.036875;750;256
62;0.036875;0.180528;0.036875;750;256
63;0.036875;0.180528;0.036875;750;256
64;0.036875;0.180528;0.036875;750;256
65;0.036875;0.180528;0.036875;750;256
66;0.036875;0.180528;0.036875;750;256
67;0.036875;0.180528;0.036875;750;256
68;0.036875;0.180528;0.036875;750;256
69;0.036875;0.180528;0.036875;750;256
70;0.036875;0.180528;0.036875;750;256
71;0.036875;0.180528;0.036875;750;256
72;0.036875;0.180528;0.036875;750;256
73;0.036875;0.180528;0.036875;750;256
74;0.036875;0.180528;0.036875;750;256
75;0.036875;0.180528;0.036875;750;256
76;0.036875;0.180528;0.036875;750;256
77;0.036875;0.180528;0.036875;750;256
78;0.036875;0.180528;0.036875;750;256
79;0.036875;0.180528;0.036875;750;256
80;0.036875;0.180528;0.036875;750;256
81;0.036875;0.180528;0.036875;750;256
82;0.036875;0.180528;0.036875;750;256
83;0.036875;0.180528;0.036875;750;256
84;0.036875;0.180528;0.036875;750;256
85;0.036875;0.180528;0.036875;750;256
86;0.036875;0.180528;0.036875;750;256
87;0.036875;0.180528;0.036875;750;256
88;0.036875;0.180528;0.036875;750;256
89;0.036875;0.180528;0.036875;750;256
90;0.036875;0.180528;0.036875;750;256
91;0.036875;0.180528;0.036875;750;256
92;0.036875;0.180528;0.036875;750;256
93;0.036875;0.180528;0.036875;750;256
94;0.036875;0.180528;0.036875;750;256
95;0.036875;0.180528;0.036875;750;256
96;0.036875;0.180528;0.036875;750;256
97;0.036875;0.180528;0.036875;750;256
98;0.036875;0.180528;0.036875;750;256
99;0.036875;0.180528;0.036875;750;256
100;0.036875;0.180528;0.036875;750;256
101;0.036875;0.180528;0.036875;750;256
102;0.036875;0.180528;0.036875;750;256
103;0.036875;0.180528;0.036875;750;256
104;0.036875;0.180528;0.036875;750;256
105;0.036875;0.180528;0.036875;750;256
106;0.036875;0.180528;0.036875;750;256
107;0.036875;0.180528;0.036875;750;256
108;0.036875;0.180528;0.036875;750;256
109;0.036875;0.180528;0.036875;750;256
110;0.036875;0.180528;0.036875;750;256
111;0.036875;0.180528;0.036875;750;256
112;0.036875;0.180528;0.036875;750;256
113;0.036875;0.180528;0.036875;750;256
114;0.036875;0.180528;0.036875;750;256
115;0.036875;0.180528;0.036875;750;256
116;0.036875;0.180528;0.036875;750;256
117;0.036875;0.180528;0.036875;750;256
118;0.036875;0.180528;0.036875;750;256
119;0.036875;0.180528;0.036875;750;256
120;0.036875;0.180528;0.036875;750;256
121;0.036875;0.180528;0.036875;750;256
122;0.036875;0.180528;0.036875;750;256
123;0.036875;0.180528;0.036875;750;256
124;0.036875;0.180528;0.036875;750;256
125;0.036875;0.180528;0.036875;750;256
126;0.036875;0.180528;0.036875;750;256
127;0.036875;0.180528;0.036875;750;256
128;0.036875;0.180528;0.036875;750;256
129;0.036875;0.180528;0.036875;750;256
130;0.036875;0.180528;0.036875;750;256
131;0.036875;0.180528;0.036875;750;256
132;0.036875;0.180528;0.036875;750;256
133;0.036875;0.180528;0.036875;750;256
134;0.036875;0.180528;0.036875;750;256
135;0.036875;0.180528;0.036875;750;256
136;0.036875;0.180528;0.036875;750;256
137;0.036875;0.180528;0.036875;750;256
138;0.036875;0.180528;0.036875;750;256
139;0.036875;0.180528;0.036875;750;256
140;0.036875;0.180528;0.036875;750;256
141;0.036875;0.180528;0.036875;750;256
142;0.036875;0.180528;0.036875;750;256
143;0.036875;0.180528;0.036875;750;256
144;0.036875;0.180528;0.036875;750;256
145;0.036875;0.180528;0.036875;750;256
146;0.036875;0.180528;0.036875;750;256
147;0.036875;0.180528;0.036875;750;256
148;0.036875;0.180528;0.036875;750;256
149;0.036875;0.180528;0.036875;750;256
150;0.036875;0.180528;0.036875;750;256
151;0.036875;0.180528;0.036875;750;256
152;0.036875;0.180528;0.036875;750;256
153;0.036875;0.180528;0.036875;750;256
154;0.036875;0.180528;0.036875;750;256
155;0.036875;0.180528;0.036875;750;256
156;0.036875;0.180528;0.036875;750;256
