length=;5541;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1417783927.75000000000000000000;1417783927.78099989891052246094;0.370;-0.065;0.015;454;449;447;1;
1417783927.78099989891052246094;1417783927.81800007820129394531;0.384;-0.181;0.042;453;447;447;1;
1417783927.81800007820129394531;1417783927.84999990463256835938;0.376;-0.038;0.026;467;460;455;1;
1417783927.84999990463256835938;1417783927.88100004196166992188;0.310;-0.024;0.023;464;454;450;1;
1417783927.88100004196166992188;1417783927.91199994087219238281;0.272;0.004;0.023;459;454;452;1;
1417783927.91199994087219238281;1417783927.94300007820129394531;0.305;-0.066;0.040;469;458;456;1;
1417783927.94300007820129394531;1417783927.97399997711181640625;0.294;-0.102;0.045;474;463;461;1;
1417783927.97399997711181640625;1417783928.00500011444091796875;0.312;-0.205;0.071;458;451;444;1;
1417783928.00500011444091796875;1417783928.03699994087219238281;0.335;-0.131;0.065;469;458;458;1;
1417783928.03699994087219238281;1417783928.06800007820129394531;0.294;-0.121;0.067;454;450;447;1;
1417783928.06800007820129394531;1417783928.09899997711181640625;0.294;-0.274;0.089;457;451;451;1;
1417783928.09899997711181640625;1417783928.13000011444091796875;0.231;-0.161;0.069;458;454;448;1;
1417783928.13000011444091796875;1417783928.16100001335144042969;0.291;-0.109;0.064;468;460;455;1;
1417783928.16100001335144042969;1417783928.19199991226196289062;0.278;-0.257;0.099;465;459;455;1;
1417783928.19199991226196289062;1417783928.22300004959106445312;0.249;-0.278;0.099;467;466;455;1;
1417783928.22300004959106445312;1417783928.25399994850158691406;0.270;-0.202;0.083;469;462;457;1;
1417783928.25399994850158691406;1417783928.28500008583068847656;0.253;-0.140;0.079;470;466;463;1;
1417783928.28500008583068847656;1417783928.31500005722045898438;0.285;-0.097;0.065;467;458;455;1;
1417783928.31500005722045898438;1417783928.34599995613098144531;0.205;-0.251;0.090;471;467;461;1;
1417783928.34599995613098144531;1417783928.37700009346008300781;0.247;-0.159;0.082;468;466;455;1;
1417783928.37700009346008300781;1417783928.40799999237060546875;0.261;-0.146;0.076;460;454;454;1;
