length=;2671;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1417784104.69300007820129394531;1417784104.72000002861022949219;0.018;0.023;-0.003;390;370;365;1;
1417784104.72000002861022949219;1417784104.75399994850158691406;0.016;-0.074;0.010;410;385;381;1;
1417784104.75399994850158691406;1417784104.78200006484985351562;0.009;-0.025;0.003;392;370;366;1;
1417784104.78200006484985351562;1417784104.80999994277954101562;0.042;0.099;-0.018;400;374;366;1;
1417784104.80999994277954101562;1417784104.83699989318847656250;0.046;0.125;-0.018;414;382;375;1;
1417784104.83699989318847656250;1417784104.86500000953674316406;0.026;0.129;-0.022;395;375;366;1;
1417784104.86500000953674316406;1417784104.89199995994567871094;0.042;0.029;0.005;400;373;368;1;
1417784104.89199995994567871094;1417784104.92000007629394531250;0.022;0.038;-0.011;399;368;360;1;
1417784104.92000007629394531250;1417784104.94700002670288085938;0.044;0.106;-0.012;408;386;371;1;
1417784104.94700002670288085938;1417784104.97499990463256835938;0.016;-0.025;0.002;406;377;372;1;
1417784104.97499990463256835938;1417784105.00200009346008300781;0.037;0.025;-0.005;410;385;372;1;
1417784105.00200009346008300781;1417784105.02999997138977050781;0.038;-0.053;0.010;405;382;376;1;
1417784105.02999997138977050781;1417784105.05800008773803710938;0.043;-0.029;0.008;399;378;372;1;
1417784105.05800008773803710938;1417784105.08500003814697265625;0.007;0.140;-0.024;407;383;378;1;
1417784105.08500003814697265625;1417784105.11199998855590820312;0.015;0.030;-0.007;413;386;383;1;
1417784105.11199998855590820312;1417784105.14000010490417480469;0.043;-0.049;0.006;415;379;372;1;
1417784105.14000010490417480469;1417784105.16700005531311035156;0.010;-0.028;0.004;408;382;379;1;
1417784105.16700005531311035156;1417784105.19499993324279785156;0.046;-0.011;-0.001;394;373;365;1;
1417784105.19499993324279785156;1417784105.22300004959106445312;0.015;-0.040;0.003;412;386;372;1;
1417784105.22300004959106445312;1417784105.25000000000000000000;0.035;-0.002;-0.001;411;386;383;1;
1417784105.25000000000000000000;1417784105.27800011634826660156;0.030;-0.073;0.014;395;372;369;1;
1417784105.27800011634826660156;1417784105.30500006675720214844;0.038;0.069;-0.009;402;379;370;1;
1417784105.30500006675720214844;1417784105.33299994468688964844;0.050;-0.003;-0.000;406;385;376;1;
1417784105.33299994468688964844;1417784105.36100006103515625000;0.048;-0.020;0.002;402;379;367;1;
1417784105.36100006103515625000;1417784105.38800001144409179688;0.029;0.053;-0.010;408;389;382;1;
1417784105.38800001144409179688;1417784105.41599988937377929688;0.024;0.027;-0.003;413;392;380;1;
1417784105.41599988937377929688;1417784105.44400000572204589844;0.045;0.015;0.001;401;377;372;1;
1417784105.44400000572204589844;1417784105.47099995613098144531;0.020;0.007;-0.004;408;388;372;1;
1417784105.47099995613098144531;1417784105.49900007247924804688;0.030;-0.070;0.006;400;374;370;1;
1417784105.49900007247924804688;1417784105.52600002288818359375;0.018;0.028;-0.001;405;378;374;1;
1417784105.52600002288818359375;1417784105.55399990081787109375;0.012;-0.103;0.015;405;386;370;1;
1417784105.55399990081787109375;1417784105.58100008964538574219;0.029;0.008;0.000;407;381;371;1;
1417784105.58100008964538574219;1417784105.60899996757507324219;0.035;-0.028;0.009;408;384;378;1;
1417784105.60899996757507324219;1417784105.63599991798400878906;0.037;0.006;-0.000;408;384;371;1;
1417784105.63599991798400878906;1417784105.66400003433227539062;0.013;-0.099;0.012;403;382;376;1;
1417784105.66400003433227539062;1417784105.69099998474121093750;0.013;0.048;-0.008;404;378;364;1;
1417784105.69099998474121093750;1417784105.71900010108947753906;0.000;-0.072;0.008;406;383;374;1;
1417784105.71900010108947753906;1417784105.74699997901916503906;0.013;0.070;-0.009;395;374;372;1;
1417784105.74699997901916503906;1417784105.77500009536743164062;0.054;-0.005;-0.000;396;377;370;1;
1417784105.77500009536743164062;1417784105.80200004577636718750;0.046;0.050;-0.012;400;379;377;1;
1417784105.80200004577636718750;1417784105.82999992370605468750;0.005;-0.037;0.009;378;367;359;1;
1417784105.82999992370605468750;1417784105.85800004005432128906;0.031;0.020;-0.003;407;379;374;1;
1417784105.85800004005432128906;1417784105.88599991798400878906;-0.007;-0.002;-0.001;401;383;371;1;
1417784105.88599991798400878906;1417784105.91300010681152343750;0.024;0.009;-0.002;385;361;354;1;
1417784105.91300010681152343750;1417784105.94099998474121093750;0.051;0.029;-0.008;390;371;361;1;
1417784105.94099998474121093750;1417784105.96900010108947753906;0.026;0.002;0.000;409;381;370;1;
1417784105.96900010108947753906;1417784105.99600005149841308594;0.015;0.024;-0.000;412;393;380;1;
1417784105.99600005149841308594;1417784106.02399992942810058594;0.029;-0.010;0.001;407;383;368;1;
1417784106.02399992942810058594;1417784106.05200004577636718750;0.014;0.045;-0.009;400;379;365;1;
1417784106.05200004577636718750;1417784106.07999992370605468750;0.032;0.022;-0.005;402;378;373;1;
1417784106.07999992370605468750;1417784106.10700011253356933594;0.007;0.059;-0.009;414;390;380;1;
1417784106.10700011253356933594;1417784106.13499999046325683594;0.043;0.086;-0.013;411;386;382;1;
1417784106.13499999046325683594;1417784106.16300010681152343750;0.047;-0.066;0.007;406;387;373;1;
1417784106.16300010681152343750;1417784106.19099998474121093750;0.028;0.026;-0.004;404;376;367;1;
1417784106.19099998474121093750;1417784106.21799993515014648438;0.031;-0.062;0.007;403;379;372;1;
1417784106.21799993515014648438;1417784106.24600005149841308594;0.006;0.011;-0.006;396;382;370;1;
1417784106.24600005149841308594;1417784106.27399992942810058594;0.042;0.097;-0.020;395;378;367;1;
1417784106.27399992942810058594;1417784106.30200004577636718750;0.061;0.018;-0.005;399;379;372;1;
1417784106.30200004577636718750;1417784106.32899999618530273438;0.040;0.091;-0.018;406;390;381;1;
1417784106.32899999618530273438;1417784106.35800004005432128906;0.027;0.079;-0.014;394;378;368;1;
1417784106.35800004005432128906;1417784106.38599991798400878906;0.030;0.092;-0.016;398;370;369;1;
1417784106.38599991798400878906;1417784106.41400003433227539062;0.028;-0.065;0.009;399;376;371;1;
1417784106.41400003433227539062;1417784106.44099998474121093750;0.045;-0.012;0.002;411;392;378;1;
1417784106.44099998474121093750;1417784106.46900010108947753906;0.020;-0.018;0.002;407;386;380;1;
1417784106.46900010108947753906;1417784106.49699997901916503906;0.025;-0.011;-0.003;398;382;365;1;
1417784106.49699997901916503906;1417784106.52500009536743164062;0.043;0.021;-0.005;406;382;379;1;
1417784106.52500009536743164062;1417784106.55299997329711914062;0.017;0.075;-0.015;408;388;373;1;
1417784106.55299997329711914062;1417784106.58100008964538574219;0.032;-0.026;0.003;396;385;367;1;
1417784106.58100008964538574219;1417784106.60899996757507324219;0.035;0.067;-0.011;420;405;388;1;
1417784106.60899996757507324219;1417784106.63700008392333984375;0.031;-0.022;0.004;409;390;382;1;
1417784106.63700008392333984375;1417784106.66499996185302734375;0.043;-0.030;0.004;415;393;383;1;
1417784106.66499996185302734375;1417784106.69300007820129394531;0.040;-0.056;0.010;410;396;386;1;
1417784106.69300007820129394531;1417784106.72099995613098144531;0.023;0.017;-0.002;405;386;377;1;
1417784106.72099995613098144531;1417784106.74900007247924804688;0.021;0.056;-0.005;412;398;382;1;
1417784106.74900007247924804688;1417784106.77699995040893554688;-0.001;-0.028;-0.000;389;381;372;1;
1417784106.77699995040893554688;1417784106.80500006675720214844;0.010;0.058;-0.013;400;386;374;1;
1417784106.80500006675720214844;1417784106.83299994468688964844;0.042;-0.056;0.003;404;390;372;1;
1417784106.83299994468688964844;1417784106.86100006103515625000;0.007;-0.030;0.000;392;377;361;1;
1417784106.86100006103515625000;1417784106.88899993896484375000;0.039;-0.011;-0.001;395;378;368;1;
1417784106.88899993896484375000;1417784106.91700005531311035156;0.028;-0.102;0.015;399;387;378;1;
1417784106.91700005531311035156;1417784106.94499993324279785156;0.037;0.031;-0.004;400;381;377;1;
1417784106.94499993324279785156;1417784106.97300004959106445312;0.022;-0.050;0.009;404;388;370;1;
1417784106.97300004959106445312;1417784107.00099992752075195312;0.033;-0.012;0.004;396;390;372;1;
1417784107.00099992752075195312;1417784107.02900004386901855469;0.014;0.036;-0.008;395;380;368;1;
1417784107.02900004386901855469;1417784107.05699992179870605469;0.037;0.003;0.001;402;392;382;1;
1417784107.05699992179870605469;1417784107.08500003814697265625;0.033;-0.048;0.007;399;388;381;1;
1417784107.08500003814697265625;1417784107.11199998855590820312;0.018;-0.002;-0.001;393;378;368;1;
1417784107.11199998855590820312;1417784107.14100003242492675781;0.040;0.015;-0.004;392;383;377;1;
1417784107.14100003242492675781;1417784107.16899991035461425781;0.033;0.021;-0.002;391;381;367;1;
1417784107.16899991035461425781;1417784107.19700002670288085938;0.020;0.028;-0.007;392;378;372;1;
1417784107.19700002670288085938;1417784107.22499990463256835938;0.031;-0.027;0.004;397;387;376;1;
1417784107.22499990463256835938;1417784107.25300002098083496094;0.028;0.007;-0.004;409;398;387;1;
1417784107.25300002098083496094;1417784107.28099989891052246094;0.022;-0.021;0.002;402;393;381;1;
1417784107.28099989891052246094;1417784107.30800008773803710938;0.034;0.010;-0.003;405;388;378;1;
1417784107.30800008773803710938;1417784107.33699989318847656250;0.030;-0.049;0.005;408;398;384;1;
1417784107.33699989318847656250;1417784107.36500000953674316406;0.032;-0.041;0.006;406;402;397;1;
1417784107.36500000953674316406;1417784107.39199995994567871094;0.035;0.057;-0.010;404;395;379;1;
1417784107.39199995994567871094;1417784107.42000007629394531250;0.036;-0.022;0.001;406;392;383;1;
1417784107.42000007629394531250;1417784107.44799995422363281250;-0.007;-0.029;0.003;403;393;384;1;
1417784107.44799995422363281250;1417784107.47600007057189941406;0.028;-0.058;0.008;396;386;375;1;
1417784107.47600007057189941406;1417784107.50399994850158691406;0.032;0.058;-0.010;394;388;369;1;
1417784107.50399994850158691406;1417784107.53200006484985351562;0.035;-0.024;0.000;403;394;382;1;
1417784107.53200006484985351562;1417784107.55999994277954101562;0.024;-0.001;-0.002;393;386;375;1;
1417784107.55999994277954101562;1417784107.58899998664855957031;0.016;-0.025;0.002;395;387;376;1;
1417784107.58899998664855957031;1417784107.61700010299682617188;0.027;0.042;-0.009;400;390;381;1;
1417784107.61700010299682617188;1417784107.64499998092651367188;0.001;-0.042;0.003;410;396;390;1;
1417784107.64499998092651367188;1417784107.67300009727478027344;0.040;-0.005;-0.001;401;391;375;1;
1417784107.67300009727478027344;1417784107.70099997520446777344;-0.001;0.006;-0.001;405;400;386;1;
1417784107.70099997520446777344;1417784107.72900009155273437500;0.009;-0.024;0.003;391;383;371;1;
1417784107.72900009155273437500;1417784107.75699996948242187500;0.015;-0.008;-0.002;384;379;369;1;
1417784107.75699996948242187500;1417784107.78500008583068847656;0.021;0.012;-0.007;367;365;352;1;
1417784107.78500008583068847656;1417784107.81299996376037597656;0.018;0.037;-0.005;375;369;355;1;
1417784107.81299996376037597656;1417784107.84100008010864257812;0.006;-0.019;0.000;375;373;365;1;
1417784107.84100008010864257812;1417784107.87100005149841308594;0.033;-0.031;0.002;370;363;354;1;
1417784107.87100005149841308594;1417784107.89899992942810058594;0.013;-0.017;-0.000;370;365;350;1;
1417784107.89899992942810058594;1417784107.92700004577636718750;0.021;0.006;0.001;368;365;354;1;
1417784107.92700004577636718750;1417784107.95499992370605468750;0.013;0.016;-0.004;378;371;357;1;
1417784107.95499992370605468750;1417784107.98300004005432128906;0.022;0.036;-0.012;364;361;352;1;
1417784107.98300004005432128906;1417784108.01200008392333984375;0.039;0.013;-0.004;379;375;366;1;
1417784108.01200008392333984375;1417784108.03900003433227539062;0.018;-0.023;0.005;392;386;370;1;
1417784108.03900003433227539062;1417784108.06800007820129394531;0.024;-0.014;0.001;381;375;365;1;
1417784108.06800007820129394531;1417784108.09599995613098144531;0.020;-0.015;-0.003;375;369;365;1;
1417784108.09599995613098144531;1417784108.12400007247924804688;0.023;0.036;-0.010;375;370;363;1;
1417784108.12400007247924804688;1417784108.15199995040893554688;-0.001;0.004;-0.005;378;373;362;1;
1417784108.15199995040893554688;1417784108.18000006675720214844;0.013;0.031;-0.008;388;387;370;1;
1417784108.18000006675720214844;1417784108.20900011062622070312;0.020;-0.015;0.001;383;378;361;1;
1417784108.20900011062622070312;1417784108.23699998855590820312;0.024;-0.000;-0.003;381;375;368;1;
1417784108.23699998855590820312;1417784108.26600003242492675781;0.041;0.018;-0.005;384;376;369;1;
1417784108.26600003242492675781;1417784108.29500007629394531250;0.025;0.002;-0.004;398;394;377;1;
1417784108.29500007629394531250;1417784108.32299995422363281250;0.012;0.006;-0.003;394;383;368;1;
1417784108.32299995422363281250;1417784108.35100007057189941406;0.014;-0.018;-0.001;403;398;381;1;
1417784108.35100007057189941406;1417784108.37899994850158691406;0.031;-0.012;-0.002;392;389;373;1;
1417784108.37899994850158691406;1417784108.40799999237060546875;0.014;-0.025;0.003;390;383;377;1;
1417784108.40799999237060546875;1417784108.43700003623962402344;0.023;-0.017;0.000;381;377;375;1;
1417784108.43700003623962402344;1417784108.46499991416931152344;0.015;0.004;-0.005;392;387;373;1;
1417784108.46499991416931152344;1417784108.49300003051757812500;0.015;0.016;-0.008;388;382;367;1;
1417784108.49300003051757812500;1417784108.52200007438659667969;0.005;-0.037;0.005;374;370;363;1;
1417784108.52200007438659667969;1417784108.54999995231628417969;0.022;0.006;-0.006;379;378;369;1;
1417784108.54999995231628417969;1417784108.57899999618530273438;0.018;-0.008;-0.001;374;370;358;1;
1417784108.57899999618530273438;1417784108.60700011253356933594;0.010;-0.002;-0.002;374;370;362;1;
1417784108.60700011253356933594;1417784108.63599991798400878906;0.038;0.060;-0.013;370;364;354;1;
1417784108.63599991798400878906;1417784108.66400003433227539062;0.025;0.015;-0.007;369;365;354;1;
1417784108.66400003433227539062;1417784108.69199991226196289062;0.018;0.017;-0.008;362;360;348;1;
1417784108.69199991226196289062;1417784108.72099995613098144531;0.008;-0.036;-0.000;369;368;361;1;
1417784108.72099995613098144531;1417784108.75000000000000000000;0.010;0.003;-0.005;376;370;356;1;
1417784108.75000000000000000000;1417784108.77800011634826660156;0.020;0.058;-0.011;367;365;357;1;
1417784108.77800011634826660156;1417784108.80699992179870605469;0.010;0.036;-0.012;373;370;360;1;
1417784108.80699992179870605469;1417784108.83500003814697265625;0.005;-0.016;0.001;383;380;365;1;
1417784108.83500003814697265625;1417784108.86400008201599121094;0.005;-0.062;0.006;363;361;351;1;
1417784108.86400008201599121094;1417784108.89299988746643066406;0.046;-0.032;0.003;380;380;364;1;
1417784108.89299988746643066406;1417784108.92100000381469726562;0.005;-0.052;0.002;380;379;369;1;
1417784108.92100000381469726562;1417784108.95000004768371582031;0.025;-0.025;-0.001;392;390;372;1;
1417784108.95000004768371582031;1417784108.97799992561340332031;0.004;-0.056;0.004;383;382;375;1;
1417784108.97799992561340332031;1417784109.00699996948242187500;0.035;-0.002;-0.006;377;373;363;1;
1417784109.00699996948242187500;1417784109.03500008583068847656;0.000;-0.006;-0.006;383;381;362;1;
1417784109.03500008583068847656;1417784109.06399989128112792969;-0.001;0.009;-0.006;392;388;376;1;
1417784109.06399989128112792969;1417784109.09200000762939453125;0.001;-0.022;-0.001;386;381;376;1;
1417784109.09200000762939453125;1417784109.12100005149841308594;0.011;0.000;-0.010;386;379;369;1;
1417784109.12100005149841308594;1417784109.14899992942810058594;0.016;-0.083;0.009;372;369;362;1;
1417784109.14899992942810058594;1417784109.17799997329711914062;0.023;0.015;-0.007;361;359;354;1;
1417784109.17799997329711914062;1417784109.20700001716613769531;-0.004;-0.055;0.000;360;360;350;1;
1417784109.20700001716613769531;1417784109.23499989509582519531;0.009;-0.054;0.002;343;342;333;1;
1417784109.23499989509582519531;1417784109.26399993896484375000;0.021;-0.036;0.000;346;343;339;1;
1417784109.26399993896484375000;1417784109.29200005531311035156;-0.001;-0.038;0.003;330;328;319;1;
1417784109.29200005531311035156;1417784109.32100009918212890625;0.008;0.012;-0.010;322;321;316;1;
1417784109.32100009918212890625;1417784109.34999990463256835938;0.024;-0.089;0.009;328;326;317;1;
1417784109.34999990463256835938;1417784109.37800002098083496094;-0.011;-0.055;0.003;331;329;321;1;
1417784109.37800002098083496094;1417784109.40700006484985351562;-0.010;-0.023;-0.003;324;321;315;1;
1417784109.40700006484985351562;1417784109.43499994277954101562;0.007;-0.000;-0.007;339;339;335;1;
1417784109.43499994277954101562;1417784109.46399998664855957031;0.014;-0.026;-0.000;343;341;333;1;
1417784109.46399998664855957031;1417784109.49200010299682617188;0.013;-0.013;-0.003;337;334;328;1;
