length=;3857;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1417770875.31399989128112792969;1417770875.39000010490417480469;-0.107;0.542;-0.046;918;599;597;1;
1417770875.39000010490417480469;1417770875.46499991416931152344;-0.029;0.574;-0.102;949;616;591;1;
1417770875.46499991416931152344;1417770875.54099988937377929688;-0.116;0.316;-0.021;838;581;564;1;
1417770875.54099988937377929688;1417770875.61700010299682617188;-0.074;0.555;-0.085;852;584;571;1;
1417770875.61700010299682617188;1417770875.69300007820129394531;-0.076;0.260;-0.030;821;565;550;1;
1417770875.69300007820129394531;1417770875.76900005340576171875;0.045;0.153;-0.021;867;590;568;1;
1417770875.76900005340576171875;1417770875.84400010108947753906;-0.082;0.158;-0.023;900;588;564;1;
1417770875.84400010108947753906;1417770875.92000007629394531250;0.018;0.059;-0.011;935;605;592;1;
1417770875.92000007629394531250;1417770875.99499988555908203125;-0.077;-0.121;0.030;953;616;599;1;
1417770875.99499988555908203125;1417770876.07100009918212890625;0.063;-0.120;0.037;902;587;583;1;
1417770876.07100009918212890625;1417770876.14599990844726562500;-0.035;-0.311;0.053;916;606;594;1;
1417770876.14599990844726562500;1417770876.22099995613098144531;0.002;-0.212;0.025;984;610;594;1;
1417770876.22099995613098144531;1417770876.29699993133544921875;-0.049;-0.402;0.042;1000;628;609;1;
1417770876.29699993133544921875;1417770876.37199997901916503906;-0.034;-0.157;0.028;998;622;611;1;
1417770876.37199997901916503906;1417770876.44799995422363281250;0.053;-0.403;0.057;979;596;594;1;
1417770876.44799995422363281250;1417770876.52399992942810058594;0.021;-0.304;0.028;1000;626;618;1;
1417770876.52399992942810058594;1417770876.59899997711181640625;-0.144;-0.278;0.049;1000;639;635;1;
1417770876.59899997711181640625;1417770876.67400002479553222656;-0.031;0.006;-0.019;1000;620;610;1;
1417770876.67400002479553222656;1417770876.75000000000000000000;-0.043;-0.328;0.022;964;629;611;1;
1417770876.75000000000000000000;1417770876.82500004768371582031;0.010;0.014;-0.022;1000;612;603;1;
1417770876.82500004768371582031;1417770876.90100002288818359375;-0.004;0.140;-0.050;937;609;601;1;
1417770876.90100002288818359375;1417770876.97600007057189941406;0.004;-0.075;-0.020;960;637;617;1;
1417770876.97600007057189941406;1417770877.05200004577636718750;-0.015;0.109;-0.036;1000;657;641;1;
1417770877.05200004577636718750;1417770877.12700009346008300781;-0.005;0.221;-0.036;952;635;619;1;
1417770877.12700009346008300781;1417770877.20199990272521972656;-0.163;0.089;-0.023;973;643;625;1;
1417770877.20199990272521972656;1417770877.27800011634826660156;-0.053;0.288;-0.061;990;638;627;1;
1417770877.27800011634826660156;1417770877.35299992561340332031;-0.037;0.216;-0.045;873;620;610;1;
1417770877.35299992561340332031;1417770877.42799997329711914062;-0.028;0.153;-0.058;863;586;576;1;
1417770877.42799997329711914062;1417770877.50300002098083496094;-0.038;0.083;-0.028;875;629;617;1;
1417770877.50300002098083496094;1417770877.57899999618530273438;0.018;-0.306;0.035;824;592;583;1;
1417770877.57899999618530273438;1417770877.65400004386901855469;0.087;0.222;-0.061;774;576;561;1;
1417770877.65400004386901855469;1417770877.72900009155273437500;-0.055;0.342;-0.052;812;575;567;1;
1417770877.72900009155273437500;1417770877.80399990081787109375;-0.090;0.429;-0.064;861;604;591;1;
1417770877.80399990081787109375;1417770877.88000011444091796875;-0.054;0.177;-0.020;942;634;616;1;
1417770877.88000011444091796875;1417770877.95600008964538574219;-0.048;0.156;-0.017;1000;655;617;1;
1417770877.95600008964538574219;1417770878.03099989891052246094;-0.076;0.232;-0.054;1000;655;635;1;
1417770878.03099989891052246094;1417770878.10599994659423828125;-0.121;0.021;-0.019;967;635;621;1;
1417770878.10599994659423828125;1417770878.18099999427795410156;0.017;0.203;-0.053;955;635;620;1;
1417770878.18099999427795410156;1417770878.25699996948242187500;-0.038;0.088;-0.035;1000;646;634;1;
1417770878.25699996948242187500;1417770878.33200001716613769531;-0.009;0.014;-0.038;987;634;606;1;
1417770878.33200001716613769531;1417770878.40799999237060546875;-0.010;0.124;-0.039;1000;653;635;1;
1417770878.40799999237060546875;1417770878.48300004005432128906;-0.110;0.016;-0.041;993;628;600;1;
1417770878.48300004005432128906;1417770878.55800008773803710938;-0.005;0.088;-0.044;1000;657;628;1;
1417770878.55800008773803710938;1417770878.63299989700317382812;-0.030;0.023;-0.043;1000;628;621;1;
1417770878.63299989700317382812;1417770878.70900011062622070312;0.008;0.102;-0.057;1000;634;611;1;
1417770878.70900011062622070312;1417770878.78399991989135742188;-0.012;-0.001;-0.058;1000;647;640;1;
1417770878.78399991989135742188;1417770878.85999989509582519531;0.030;-0.024;-0.023;1000;640;631;1;
1417770878.85999989509582519531;1417770878.93499994277954101562;-0.057;0.268;-0.063;1000;748;626;1;
1417770878.93499994277954101562;1417770879.00999999046325683594;-0.204;0.001;-0.027;1000;642;625;1;
1417770879.00999999046325683594;1417770879.08500003814697265625;-0.007;0.181;-0.051;1000;634;619;1;
1417770879.08500003814697265625;1417770879.16000008583068847656;0.030;0.142;-0.068;1000;648;634;1;
1417770879.16000008583068847656;1417770879.23600006103515625000;-0.007;-0.105;-0.012;1000;642;628;1;
1417770879.23600006103515625000;1417770879.31100010871887207031;0.033;0.171;-0.057;1000;645;621;1;
1417770879.31100010871887207031;1417770879.38599991798400878906;-0.024;0.363;-0.099;1000;629;614;1;
