length=;3234;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1417771176.88599991798400878906;1417771176.94099998474121093750;0.036;0.031;-0.015;907;808;800;1;
1417771176.94099998474121093750;1417771176.99699997901916503906;0.050;-0.026;0.004;910;812;800;1;
1417771176.99699997901916503906;1417771177.05200004577636718750;-0.049;-0.002;0.002;953;842;832;1;
1417771177.05200004577636718750;1417771177.10700011253356933594;0.039;-0.030;-0.003;957;828;816;1;
1417771177.10700011253356933594;1417771177.16300010681152343750;-0.023;-0.016;-0.001;969;849;835;1;
1417771177.16300010681152343750;1417771177.21799993515014648438;0.051;0.052;-0.011;962;844;831;1;
1417771177.21799993515014648438;1417771177.27300000190734863281;0.040;-0.142;0.014;957;825;818;1;
1417771177.27300000190734863281;1417771177.32800006866455078125;-0.006;0.050;-0.004;948;826;820;1;
1417771177.32800006866455078125;1417771177.38400006294250488281;-0.009;0.108;-0.003;937;817;815;1;
1417771177.38400006294250488281;1417771177.43899989128112792969;0.049;-0.102;0.014;902;793;784;1;
1417771177.43899989128112792969;1417771177.49399995803833007812;0.025;-0.154;0.015;897;798;785;1;
1417771177.49399995803833007812;1417771177.54999995231628417969;0.046;0.042;-0.013;872;769;750;1;
1417771177.54999995231628417969;1417771177.60500001907348632812;0.070;-0.013;-0.012;958;884;786;1;
1417771177.60500001907348632812;1417771177.66000008583068847656;0.023;-0.108;0.005;897;786;773;1;
1417771177.66000008583068847656;1417771177.71600008010864257812;0.021;-0.038;-0.007;939;805;800;1;
1417771177.71600008010864257812;1417771177.77099990844726562500;-0.029;0.075;-0.019;945;822;813;1;
1417771177.77099990844726562500;1417771177.82699990272521972656;0.093;0.085;-0.018;939;808;799;1;
1417771177.82699990272521972656;1417771177.88199996948242187500;0.021;-0.004;-0.010;909;805;795;1;
1417771177.88199996948242187500;1417771177.93799996376037597656;-0.005;0.022;-0.002;915;800;780;1;
1417771177.93799996376037597656;1417771177.99300003051757812500;0.048;0.079;-0.024;904;798;792;1;
1417771177.99300003051757812500;1417771178.04900002479553222656;-0.026;0.039;-0.013;949;824;813;1;
1417771178.04900002479553222656;1417771178.10400009155273437500;0.041;-0.100;0.006;915;794;784;1;
1417771178.10400009155273437500;1417771178.15899991989135742188;0.070;0.100;-0.019;939;816;811;1;
1417771178.15899991989135742188;1417771178.21399998664855957031;-0.007;-0.142;0.017;930;800;796;1;
1417771178.21399998664855957031;1417771178.27099990844726562500;0.067;-0.031;0.006;930;818;808;1;
1417771178.27099990844726562500;1417771178.32599997520446777344;0.034;-0.163;0.017;939;817;804;1;
1417771178.32599997520446777344;1417771178.38100004196166992188;0.019;0.024;-0.007;947;837;823;1;
1417771178.38100004196166992188;1417771178.43700003623962402344;-0.020;0.066;-0.009;920;791;784;1;
1417771178.43700003623962402344;1417771178.49200010299682617188;0.037;0.196;-0.025;959;831;819;1;
1417771178.49200010299682617188;1417771178.54699993133544921875;0.006;0.046;-0.007;938;804;761;1;
1417771178.54699993133544921875;1417771178.60199999809265136719;0.027;0.073;-0.016;963;878;751;1;
1417771178.60199999809265136719;1417771178.65799999237060546875;-0.043;-0.167;0.021;930;808;793;1;
1417771178.65799999237060546875;1417771178.71300005912780761719;0.054;0.005;-0.008;913;791;783;1;
1417771178.71300005912780761719;1417771178.76799988746643066406;0.007;0.020;-0.002;882;785;773;1;
1417771178.76799988746643066406;1417771178.82399988174438476562;0.015;0.073;-0.018;847;759;750;1;
1417771178.82399988174438476562;1417771178.87899994850158691406;0.031;-0.043;0.003;865;769;763;1;
1417771178.87899994850158691406;1417771178.93499994277954101562;0.020;0.066;-0.015;859;749;740;1;
1417771178.93499994277954101562;1417771178.99000000953674316406;0.029;-0.021;-0.001;858;759;746;1;
1417771178.99000000953674316406;1417771179.04500007629394531250;-0.015;0.065;-0.016;903;793;781;1;
1417771179.04500007629394531250;1417771179.10100007057189941406;-0.004;-0.010;-0.007;873;780;768;1;
1417771179.10100007057189941406;1417771179.15599989891052246094;-0.006;0.049;-0.017;873;767;756;1;
1417771179.15599989891052246094;1417771179.21099996566772460938;0.048;0.110;-0.027;884;774;763;1;
1417771179.21099996566772460938;1417771179.26699995994567871094;-0.019;-0.035;0.005;919;797;780;1;
1417771179.26699995994567871094;1417771179.32200002670288085938;-0.039;0.021;-0.001;901;788;781;1;
1417771179.32200002670288085938;1417771179.37700009346008300781;0.051;-0.087;0.001;915;809;794;1;
1417771179.37700009346008300781;1417771179.43300008773803710938;-0.003;-0.048;-0.000;892;781;774;1;
1417771179.43300008773803710938;1417771179.48799991607666015625;0.045;-0.027;-0.005;885;784;775;1;
