PROPERTIES:;SonarFileName=../../Data/Antarctica2014/jetty11a.son;TIME0(sec)=1417783766.621;numPings=384;SonarWidth=604;SonarHeight=771;SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=0;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
1417783766.70099997520446777344;0;1;0.137;-0.224;-0.148;0.137;-0.224;-0.148;0.137;-0.224;-0.148;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.353;-0.920;0.041;0.353;-0.920;0.041;0.353;-0.920;0.041;990;604;597;253;253;251;1000;1000.000;981.000;1000;1000.000;598.000;1;0;0;1;
1417783766.78200006484985351562;1;2;0.030;0.031;-0.189;0.167;-0.193;-0.337;0.167;-0.193;-0.337;0.357;-1.883;0.063;0.357;-1.883;0.063;0.359;-1.883;0.063;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;-0.636;0.588;-0.106;-0.283;-0.331;-0.065;-0.282;-0.330;-0.065;1000;622;618;266;266;264;1000;1000.000;967.000;1000;1000.000;598.000;1;1;0;1;
1417783766.86199998855590820312;2;3;0.064;-0.196;-0.171;0.231;-0.389;-0.509;0.229;-0.390;-0.509;0.221;-1.400;-0.081;0.577;-3.283;-0.018;0.579;-3.282;-0.018;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.402;1.268;-0.429;0.119;0.936;-0.494;0.131;0.934;-0.494;969;612;607;266;266;144;1000;1000.000;966.000;977;977.000;576.000;1;1;0;1;
1417783766.94199991226196289062;3;4;0.130;-0.254;-0.194;0.361;-0.643;-0.703;0.356;-0.646;-0.703;0.000;-0.000;-0.000;0.577;-3.283;-0.018;0.579;-3.282;-0.018;0.032;-0.932;-0.025;0.032;-0.932;-0.025;0.031;-0.932;-0.025;-0.009;-0.854;-0.019;0.110;0.082;-0.513;0.115;0.080;-0.513;1000;635;628;288;288;288;1000;1000.000;972.000;1000;1000.000;594.000;1;0;1;1;
1417783767.02300000190734863281;4;5;-0.077;-0.149;-0.230;0.284;-0.792;-0.933;0.276;-0.793;-0.933;4.188;-1.059;-0.625;4.765;-4.342;-0.642;4.755;-4.389;-0.642;0.000;-0.000;-0.000;0.032;-0.932;-0.025;0.031;-0.932;-0.025;0.000;-0.000;-0.000;0.110;0.082;-0.513;0.115;0.080;-0.513;1000;622;622;305;305;239;1000;1000.000;1000.000;1000;1000.000;955.000;1;1;0;0;
1417783767.10299992561340332031;5;6;0.084;-0.150;-0.271;0.368;-0.942;-1.204;0.357;-0.946;-1.204;0.000;-0.000;-0.000;4.765;-4.342;-0.642;4.755;-4.389;-0.642;0.000;-0.000;-0.000;0.032;-0.932;-0.025;0.031;-0.932;-0.025;0.671;2.565;-0.758;0.781;2.647;-1.271;0.842;2.629;-1.271;1000;669;668;326;326;326;1000;1000.000;1000.000;1000;1000.000;997.000;1;0;0;1;
1417783767.18400001525878906250;6;7;0.067;-0.744;-0.207;0.435;-1.686;-1.411;0.406;-1.691;-1.411;0.000;-0.000;-0.000;4.765;-4.342;-0.642;4.755;-4.389;-0.642;0.000;-0.000;-0.000;0.032;-0.932;-0.025;0.031;-0.932;-0.025;17.513;-1.701;1.222;18.293;0.946;-0.048;18.353;0.913;-0.048;1000;663;663;323;323;323;1000;1000.000;1000.000;1000;1000.000;997.000;1;0;0;1;
1417783767.26500010490417480469;7;8;0.095;0.227;-0.423;0.530;-1.459;-1.834;0.508;-1.467;-1.834;0.000;-0.000;-0.000;4.765;-4.342;-0.642;4.755;-4.389;-0.642;0.843;4.700;-1.065;0.874;3.768;-1.090;0.963;3.751;-1.090;0.000;-0.000;-0.000;18.293;0.946;-0.048;18.353;0.913;-0.048;1000;662;662;358;358;358;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;1;0;
1417783767.34599995613098144531;8;9;0.085;0.494;-0.495;0.615;-0.965;-2.329;0.613;-0.976;-2.329;0.000;-0.000;-0.000;4.765;-4.342;-0.642;4.755;-4.389;-0.642;7.318;1.074;-0.247;8.192;4.842;-1.337;8.304;4.654;-1.337;5.845;0.061;-0.201;24.138;1.007;-0.249;24.198;0.949;-0.249;1000;654;649;364;364;364;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;1;1;
1417783767.42600011825561523438;9;10;0.090;-0.087;-0.453;0.705;-1.052;-2.783;0.699;-1.068;-2.783;-12.878;2.543;-1.194;-8.113;-1.799;-1.836;-8.036;-1.435;-1.836;0.000;-0.000;-0.000;8.192;4.842;-1.337;8.304;4.654;-1.337;0.000;-0.000;-0.000;24.138;1.007;-0.249;24.198;0.949;-0.249;971;675;675;378;378;378;1000;1000.000;1000.000;1000;1000.000;1000.000;1;1;0;0;
1417783767.50799989700317382812;10;11;-0.077;0.569;-0.589;0.628;-0.483;-3.372;0.655;-0.495;-3.372;0.000;-0.000;-0.000;-8.113;-1.799;-1.836;-8.036;-1.435;-1.836;-15.171;-3.331;-1.416;-6.979;1.511;-2.753;-7.010;2.056;-2.753;4.024;2.146;2.125;28.162;3.153;1.876;28.150;3.225;1.876;1000;704;699;401;401;401;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;1;1;
1417783767.58899998664855957031;11;12;0.094;0.221;-0.574;0.721;-0.262;-3.947;0.764;-0.281;-3.947;0.000;-0.000;-0.000;-8.113;-1.799;-1.836;-8.036;-1.435;-1.836;0.210;-0.788;-0.488;-6.769;0.723;-3.241;-6.845;1.257;-3.241;0.000;-0.000;-0.000;28.162;3.153;1.876;28.150;3.225;1.876;1000;726;726;396;396;396;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;1;0;
1417783767.67000007629394531250;12;13;0.257;0.184;-0.643;0.979;-0.078;-4.589;1.035;-0.119;-4.589;0.000;-0.000;-0.000;-8.113;-1.799;-1.836;-8.036;-1.435;-1.836;0.000;-0.000;-0.000;-6.769;0.723;-3.241;-6.845;1.257;-3.241;-5.790;61.219;-11.534;22.372;64.372;-9.657;32.712;64.548;-9.657;1000;723;718;394;394;394;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;0;1;
1417783767.75200009346008300781;13;14;0.007;0.622;-0.636;0.986;0.544;-5.225;1.099;0.500;-5.225;-1.029;-4.049;0.510;-9.142;-5.848;-1.326;-9.158;-5.458;-1.326;0.000;-0.000;-0.000;-6.769;0.723;-3.241;-6.845;1.257;-3.241;0.000;-0.000;-0.000;22.372;64.372;-9.657;32.712;64.548;-9.657;1000;724;724;424;424;424;1000;1000.000;1000.000;1000;1000.000;1000.000;1;1;0;0;
1417783767.83400011062622070312;14;15;0.044;0.220;-0.630;1.030;0.764;-5.855;1.165;0.715;-5.855;0.000;-0.000;-0.000;-9.142;-5.848;-1.326;-9.158;-5.458;-1.326;0.000;-0.000;-0.000;-6.769;0.723;-3.241;-6.845;1.257;-3.241;0.205;-2.632;-0.528;22.578;61.740;-10.185;32.449;61.921;-10.185;926;719;714;436;436;436;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;0;1;
1417783767.91499996185302734375;15;16;-0.018;-0.005;-0.631;1.012;0.758;-6.486;1.146;0.711;-6.486;0.000;-0.000;-0.000;-9.142;-5.848;-1.326;-9.158;-5.458;-1.326;0.000;-0.000;-0.000;-6.769;0.723;-3.241;-6.845;1.257;-3.241;-0.582;0.511;-0.978;21.995;62.251;-11.163;31.976;62.535;-11.163;920;704;704;433;433;433;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;0;1;
1417783767.99699997901916503906;16;17;0.074;0.012;-0.610;1.085;0.771;-7.096;1.221;0.714;-7.096;-13.525;8.311;-1.557;-22.667;2.463;-2.883;-22.248;3.522;-2.883;0.000;-0.000;-0.000;-6.769;0.723;-3.241;-6.845;1.257;-3.241;0.000;-1.000;-0.000;21.995;61.251;-11.163;31.783;61.554;-11.163;951;721;719;464;464;464;1005;1005.000;1005.000;1000;1000.000;1000.000;1;1;0;1;
1417783768.07800006866455078125;17;18;0.212;0.722;-0.688;1.298;1.493;-7.784;1.529;1.401;-7.784;0.000;-0.000;-0.000;-22.667;2.463;-2.883;-22.248;3.522;-2.883;3.675;2.325;-0.855;-3.095;3.049;-4.096;-3.013;3.314;-4.096;-0.713;1.470;-1.182;21.283;62.721;-12.345;31.401;63.142;-12.345;964;738;737;488;488;488;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;1;1;
1417783768.16000008583068847656;18;19;0.078;0.081;-0.524;1.375;1.574;-8.308;1.617;1.470;-8.308;0.000;-0.000;-0.000;-22.667;2.463;-2.883;-22.248;3.522;-2.883;0.101;-0.206;-0.849;-2.994;2.843;-4.945;-2.931;3.101;-4.945;0.374;2.320;-0.776;21.657;65.041;-13.120;32.292;65.317;-13.120;761;628;628;497;497;497;1000;1000.000;1000.000;877;877.000;877.000;1;0;1;1;
1417783768.24200010299682617188;19;20;0.044;-0.037;-0.513;1.420;1.537;-8.821;1.656;1.426;-8.821;0.000;-0.000;-0.000;-22.667;2.463;-2.883;-22.248;3.522;-2.883;-11.463;-6.301;1.036;-14.457;-3.458;-3.910;-14.797;-2.404;-3.910;1.385;-3.988;0.046;23.042;61.053;-13.074;32.739;61.119;-13.074;755;638;638;510;510;510;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;1;1;
1417783768.32399988174438476562;20;21;0.042;-0.306;-0.494;1.461;1.231;-9.315;1.647;1.118;-9.315;0.000;-0.000;-0.000;-22.667;2.463;-2.883;-22.248;3.522;-2.883;-7.431;4.255;-1.373;-21.888;0.797;-5.282;-21.805;2.517;-5.282;-3.151;12.413;-3.698;19.891;73.465;-16.772;33.304;73.913;-16.772;733;618;618;514;514;514;1000;1000.000;1000.000;948;948.000;935.000;1;0;1;1;
1417783768.40599989891052246094;21;22;0.106;-0.415;-0.438;1.567;0.816;-9.753;1.681;0.691;-9.753;0.000;-0.000;-0.000;-22.667;2.463;-2.883;-22.248;3.522;-2.883;0.301;-7.058;1.872;-21.588;-6.261;-3.410;-21.924;-4.546;-3.410;-0.714;-2.394;-0.250;19.177;71.071;-17.023;31.920;71.833;-17.023;849;684;683;480;480;480;1000;1000.000;1000.000;1000;1000.000;1000.000;1;0;1;1;
1417783768.48900008201599121094;22;23;0.003;-0.028;-0.457;1.570;0.788;-10.210;1.679;0.663;-10.210;-0.236;5.057;-1.635;-22.903;7.520;-4.518;-22.085;8.582;-4.518;1.327;-4.393;0.300;-20.261;-10.654;-3.109;-20.838;-9.005;-3.109;-0.458;0.198;-0.327;18.719;71.269;-17.350;31.542;72.158;-17.350;839;687;687;506;506;506;1000;1000.000;1000.000;988;988.000;985.000;1;1;1;1;
1417783768.57100009918212890625;23;24;-0.069;-0.127;-0.384;1.501;0.661;-10.594;1.588;0.551;-10.594;0.000;-0.000;-0.000;-22.903;7.520;-4.518;-22.085;8.582;-4.518;5.187;6.360;-3.245;-15.074;-4.294;-6.354;-14.979;-3.258;-6.354;-0.383;-2.081;0.103;18.336;69.188;-17.246;30.559;70.285;-17.246;897;712;712;528;528;528;1000;1000.000;1000.000;1000;1000.000;626.000;1;0;1;1;
1417783768.65300011634826660156;24;25;0.009;0.043;-0.361;1.510;0.705;-10.956;1.605;0.592;-10.956;0.000;-0.000;-0.000;-22.903;7.520;-4.518;-22.085;8.582;-4.518;0.000;-0.000;-0.000;-15.074;-4.294;-6.354;-14.979;-3.258;-6.354;0.077;1.818;-0.671;18.413;71.007;-17.917;31.192;71.991;-17.917;926;733;731;528;528;528;1000;1000.000;1000.000;1000;1000.000;615.000;1;0;0;1;
1417783768.73600006103515625000;25;26;0.048;0.301;-0.418;1.558;1.005;-11.373;1.712;0.877;-11.373;0.000;-0.000;-0.000;-22.903;7.520;-4.518;-22.085;8.582;-4.518;0.000;-0.000;-0.000;-15.074;-4.294;-6.354;-14.979;-3.258;-6.354;0.197;0.948;-0.758;18.610;71.955;-18.675;31.682;72.826;-18.675;909;728;724;548;548;548;1000;1000.000;1000.000;1000;1000.000;609.000;1;0;0;1;
