PROPERTIES:;SonarFileName=../../Data/Antarctica2014/jetty11g.son;TIME0(sec)=1417784104.693;numPings=2672;SonarWidth=385;SonarHeight=491;SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=0;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
1417784104.72000002861022949219;0;1;0.018;0.023;-0.003;0.018;0.023;-0.003;0.018;0.023;-0.003;0.036;-0.304;0.050;0.036;-0.304;0.050;0.036;-0.304;0.050;-0.073;0.108;-0.024;-0.073;0.108;-0.024;-0.073;0.108;-0.024;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;390;370;365;314;314;244;1000;1000.000;737.000;1000;1000.000;608.000;1;1;1;1;
1417784104.75399994850158691406;1;2;0.016;-0.074;0.010;0.034;-0.051;0.007;0.034;-0.051;0.007;0.116;-0.262;0.030;0.152;-0.566;0.080;0.153;-0.566;0.080;0.023;0.378;-0.073;-0.050;0.486;-0.097;-0.049;0.486;-0.097;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;410;385;381;322;322;254;1000;1000.000;739.000;1000;1000.000;574.000;1;1;1;1;
1417784104.78200006484985351562;2;3;0.009;-0.025;0.003;0.043;-0.076;0.009;0.043;-0.076;0.009;0.056;0.122;-0.024;0.208;-0.444;0.055;0.208;-0.444;0.055;-0.071;-0.132;0.010;-0.121;0.354;-0.087;-0.121;0.354;-0.087;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;392;370;366;326;326;257;1000;1000.000;729.000;1000;1000.000;614.000;1;1;1;1;
1417784104.80999994277954101562;3;4;0.042;0.099;-0.018;0.086;0.023;-0.009;0.086;0.023;-0.009;0.017;-0.199;0.030;0.225;-0.643;0.085;0.226;-0.643;0.085;-0.012;-0.124;0.027;-0.133;0.230;-0.060;-0.133;0.230;-0.060;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;400;374;366;316;316;245;1000;1000.000;730.000;1000;1000.000;604.000;1;1;1;1;
1417784104.83699989318847656250;4;5;0.046;0.125;-0.018;0.131;0.147;-0.027;0.132;0.147;-0.027;0.022;0.130;-0.026;0.247;-0.513;0.059;0.248;-0.513;0.059;-0.003;0.087;-0.015;-0.136;0.317;-0.075;-0.136;0.317;-0.075;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;414;382;375;318;318;242;1000;1000.000;739.000;1000;1000.000;598.000;1;1;1;1;
1417784104.86500000953674316406;5;6;0.026;0.129;-0.022;0.157;0.277;-0.048;0.158;0.277;-0.048;0.025;-0.312;0.041;0.272;-0.826;0.099;0.273;-0.825;0.099;0.040;-0.269;0.043;-0.096;0.048;-0.032;-0.096;0.048;-0.032;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;395;375;366;321;321;238;1000;1000.000;733.000;1000;1000.000;610.000;1;1;1;1;
1417784104.89199995994567871094;6;7;0.042;0.029;0.005;0.199;0.306;-0.043;0.199;0.306;-0.043;0.050;0.162;-0.026;0.321;-0.663;0.074;0.322;-0.663;0.074;-0.078;0.123;-0.026;-0.175;0.170;-0.058;-0.174;0.171;-0.058;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;400;373;368;309;309;251;1001;1001.000;726.000;1000;1000.000;612.000;1;1;1;1;
1417784104.92000007629394531250;7;8;0.022;0.038;-0.011;0.221;0.344;-0.054;0.221;0.344;-0.054;0.007;-0.046;0.011;0.328;-0.709;0.085;0.329;-0.709;0.085;-0.018;0.227;-0.022;-0.193;0.398;-0.081;-0.192;0.398;-0.081;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;399;368;360;318;318;246;1000;1000.000;736.000;1000;1000.000;622.000;1;1;1;1;
1417784104.94700002670288085938;8;9;0.044;0.106;-0.012;0.265;0.451;-0.066;0.266;0.450;-0.066;0.092;-0.035;-0.000;0.421;-0.744;0.084;0.422;-0.744;0.084;0.010;-0.271;0.042;-0.183;0.126;-0.039;-0.183;0.127;-0.039;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;408;386;371;307;307;241;1000;1000.000;739.000;1000;1000.000;598.000;1;1;1;1;
1417784104.97499990463256835938;9;10;0.016;-0.025;0.002;0.282;0.425;-0.064;0.282;0.425;-0.064;-0.006;-0.012;-0.002;0.414;-0.756;0.082;0.416;-0.756;0.082;-0.012;-0.206;0.041;-0.195;-0.080;0.003;-0.195;-0.080;0.003;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;406;377;372;308;308;248;1000;1000.000;757.000;1000;1000.000;609.000;1;1;1;1;
1417784105.00200009346008300781;10;11;0.037;0.025;-0.005;0.319;0.450;-0.068;0.320;0.450;-0.068;-0.025;-0.048;0.021;0.389;-0.805;0.103;0.391;-0.804;0.103;0.030;-0.242;0.040;-0.166;-0.322;0.042;-0.165;-0.322;0.042;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;410;385;372;319;319;246;1002;1002.000;738.000;1000;1000.000;623.000;1;1;1;1;
1417784105.02999997138977050781;11;12;0.038;-0.053;0.010;0.357;0.397;-0.058;0.358;0.397;-0.058;-0.020;0.155;-0.035;0.369;-0.650;0.068;0.370;-0.649;0.068;0.006;0.056;-0.003;-0.159;-0.266;0.039;-0.159;-0.266;0.039;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;405;382;376;320;320;248;1000;1000.000;726.000;1000;1000.000;621.000;1;1;1;1;
1417784105.05800008773803710938;12;13;0.043;-0.029;0.008;0.400;0.368;-0.050;0.401;0.368;-0.050;0.034;0.176;-0.022;0.403;-0.473;0.046;0.404;-0.473;0.046;0.078;0.003;0.003;-0.082;-0.263;0.042;-0.081;-0.263;0.042;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;399;378;372;320;320;238;1000;1000.000;750.000;1000;1000.000;646.000;1;1;1;1;
1417784105.08500003814697265625;13;14;0.007;0.140;-0.024;0.408;0.508;-0.074;0.408;0.508;-0.074;-0.064;-0.256;0.034;0.339;-0.729;0.079;0.340;-0.729;0.079;0.049;-0.240;0.034;-0.033;-0.503;0.076;-0.032;-0.503;0.076;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;407;383;378;313;313;246;1000;1000.000;730.000;1000;1000.000;614.000;1;1;1;1;
1417784105.11199998855590820312;14;15;0.015;0.030;-0.007;0.423;0.539;-0.081;0.423;0.538;-0.081;-0.038;-0.025;0.020;0.301;-0.754;0.099;0.302;-0.754;0.099;0.090;0.056;-0.015;0.057;-0.447;0.061;0.058;-0.446;0.061;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;413;386;383;309;309;240;1000;1000.000;727.000;1000;1000.000;632.000;1;1;1;1;
1417784105.14000010490417480469;15;16;0.043;-0.049;0.006;0.465;0.490;-0.076;0.466;0.490;-0.076;0.097;-0.196;0.038;0.398;-0.950;0.137;0.399;-0.950;0.137;0.013;-0.069;0.012;0.070;-0.516;0.073;0.071;-0.516;0.073;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;415;379;372;296;296;241;1000;1000.000;735.000;1000;1000.000;613.000;1;1;1;1;
1417784105.16700005531311035156;16;17;0.010;-0.028;0.004;0.476;0.462;-0.072;0.476;0.462;-0.072;-0.007;-0.056;0.007;0.391;-1.006;0.144;0.393;-1.005;0.144;0.001;-0.248;0.030;0.071;-0.764;0.103;0.073;-0.764;0.103;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;408;382;379;320;320;260;1000;1000.000;729.000;1000;1000.000;627.000;1;1;1;1;
1417784105.19499993324279785156;17;18;0.046;-0.011;-0.001;0.522;0.451;-0.073;0.523;0.451;-0.073;-0.006;0.273;-0.045;0.385;-0.733;0.099;0.386;-0.732;0.099;-0.017;0.286;-0.041;0.054;-0.479;0.062;0.056;-0.478;0.062;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;394;373;365;312;312;257;1000;1000.000;738.000;1000;1000.000;625.000;1;1;1;1;
1417784105.22300004959106445312;18;19;0.015;-0.040;0.003;0.537;0.412;-0.070;0.537;0.411;-0.070;0.015;0.117;-0.030;0.400;-0.616;0.069;0.402;-0.616;0.069;-0.033;0.026;0.003;0.021;-0.452;0.065;0.022;-0.452;0.065;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;412;386;372;309;309;249;1000;1000.000;753.000;1000;1000.000;620.000;1;1;1;1;
1417784105.25000000000000000000;19;20;0.035;-0.002;-0.001;0.572;0.410;-0.072;0.572;0.409;-0.072;0.042;-0.252;0.033;0.442;-0.868;0.103;0.444;-0.867;0.103;0.022;-0.119;0.027;0.043;-0.571;0.092;0.045;-0.570;0.092;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;411;386;383;316;316;256;1000;1000.000;728.000;1000;1000.000;634.000;1;1;1;1;
1417784105.27800011634826660156;20;21;0.030;-0.073;0.014;0.601;0.336;-0.058;0.601;0.336;-0.058;0.034;0.040;-0.010;0.476;-0.827;0.093;0.478;-0.827;0.093;0.136;0.069;-0.014;0.179;-0.501;0.078;0.181;-0.501;0.078;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;395;372;369;323;323;259;1000;1000.000;745.000;1000;1000.000;653.000;1;1;1;1;
1417784105.30500006675720214844;21;22;0.038;0.069;-0.009;0.639;0.405;-0.066;0.639;0.404;-0.066;0.096;-0.053;0.008;0.572;-0.880;0.100;0.574;-0.879;0.100;0.015;-0.304;0.038;0.194;-0.806;0.116;0.196;-0.805;0.116;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;402;379;370;343;343;255;1000;1000.000;744.000;1000;1000.000;622.000;1;1;1;1;
