PROPERTIES:;SonarFileName=../../Data/Antarctica2014/jetty8.son;TIME0(sec)=1417774101.991;numPings=1066;SonarWidth=577;SonarHeight=739;SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=0;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
1417774102.04900002479553222656;0;1;0.564;-0.631;-0.096;0.564;-0.631;-0.096;0.563;-0.632;-0.096;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;535;50;50;0;0;0;1002;1002.000;1002.000;10;10.000;10.000;1;0;0;0;
1417774102.10700011253356933594;1;2;2.250;-2.989;0.413;2.814;-3.621;0.317;2.830;-3.609;0.317;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;541;56;56;0;0;0;1000;1000.000;1000.000;11;11.000;11.000;1;0;0;0;
1417774102.16499996185302734375;2;3;-0.599;5.852;-0.614;2.215;2.231;-0.298;2.261;2.245;-0.298;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;-4.323;1.909;-7.624;-4.323;1.909;-7.624;-4.032;2.465;-7.624;518;44;44;0;0;0;1000;1000.000;1000.000;15;15.000;15.000;1;0;0;1;
1417774102.22399997711181640625;3;4;-0.459;4.237;-0.504;1.756;6.468;-0.802;1.861;6.489;-0.802;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;-47.788;-5.970;7.478;-52.111;-4.062;-0.146;-51.835;-3.383;-0.146;553;79;79;0;0;0;1000;1000.000;1000.000;15;15.000;15.000;1;0;0;1;
1417774102.28200006484985351562;4;5;-1.570;6.225;-0.693;0.186;12.693;-1.495;0.454;12.753;-1.495;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;-51.868;92.008;-13.551;-103.979;87.946;-13.697;-80.441;98.290;-13.697;549;42;42;1;0;0;1000;1000.000;1000.000;14;14.000;14.000;1;0;0;1;
1417774102.33999991416931152344;5;6;0.828;-0.155;0.018;1.014;12.538;-1.476;1.278;12.576;-1.476;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;-103.979;87.946;-13.697;-80.441;98.290;-13.697;553;61;60;0;0;0;1000;1000.000;1000.000;25;25.000;25.000;1;0;0;0;
1417774102.39800000190734863281;6;7;0.036;2.394;-0.224;1.050;14.932;-1.700;1.385;14.968;-1.700;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;-103.979;87.946;-13.697;-80.441;98.290;-13.697;536;63;63;1;0;0;1000;1000.000;1000.000;22;22.000;22.000;1;0;0;0;
1417774102.45600008964538574219;7;8;0.533;0.794;-0.025;1.583;15.726;-1.725;1.941;15.746;-1.725;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;7.001;-5.805;0.467;-96.979;82.141;-13.231;-74.955;91.037;-13.231;551;64;64;0;0;0;1000;1000.000;1000.000;13;13.000;13.000;1;0;0;1;
1417774102.51399993896484375000;8;9;0.062;1.016;-0.106;1.645;16.742;-1.830;2.036;16.759;-1.830;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;5.085;44.161;-12.004;-91.894;126.302;-25.235;-51.528;128.816;-25.235;535;65;65;1;0;0;1000;1000.000;1000.000;19;19.000;19.000;1;0;0;1;
1417774102.57200002670288085938;9;10;1.861;-3.421;0.415;3.506;13.321;-1.415;3.812;13.294;-1.415;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;-91.894;126.302;-25.235;-51.528;128.816;-25.235;551;60;60;0;0;0;1000;1000.000;1000.000;21;21.000;21.000;1;0;0;0;
1417774102.63000011444091796875;10;11;0.203;2.183;-0.215;3.709;15.504;-1.630;4.077;15.470;-1.630;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;8.253;-9.771;23.122;-83.641;116.531;-2.113;-43.641;118.747;-2.113;567;69;69;1;1;0;1000;1000.000;1000.000;23;23.000;23.000;1;0;0;1;
1417774102.68799996376037597656;11;12;-0.347;1.510;-0.393;3.361;17.014;-2.024;3.783;16.991;-2.024;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;-83.641;116.531;-2.113;-43.641;118.747;-2.113;577;116;116;9;0;0;1000;1000.000;1000.000;53;53.000;53.000;1;0;0;0;
