length=;580;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1390679571.10800004005432128906;1390679571.28600001335144042969;0.100;1.252;-0.300;476;476;476;1;
1390679571.28600001335144042969;1390679571.46600008010864257812;-2.108;1.708;-0.314;495;493;493;1;
1390679571.46600008010864257812;1390679571.64400005340576171875;-2.126;0.752;-0.376;486;486;486;1;
1390679571.64400005340576171875;1390679571.82200002670288085938;0.244;0.252;-0.001;479;476;476;1;
1390679571.82200002670288085938;1390679571.99900007247924804688;-3.138;-0.315;0.131;431;429;429;1;
1390679571.99900007247924804688;1390679572.12500000000000000000;-1.832;3.329;-0.615;489;485;485;1;
1390679572.12500000000000000000;1390679572.27500009536743164062;0.794;-1.276;0.132;418;415;415;1;
1390679572.27500009536743164062;1390679572.42700004577636718750;1.626;0.389;-0.051;480;475;475;1;
1390679572.42700004577636718750;1390679572.58500003814697265625;-2.635;-0.126;0.052;480;478;478;1;
1390679572.58500003814697265625;1390679572.72300004959106445312;-1.355;-3.043;0.608;487;484;484;1;
1390679572.72300004959106445312;1390679572.89100003242492675781;-2.866;0.624;-0.351;490;488;488;1;
1390679572.89100003242492675781;1390679573.02800011634826660156;-0.641;0.980;0.005;477;475;475;1;
1390679573.02800011634826660156;1390679573.18300008773803710938;0.293;1.212;-0.389;478;476;476;1;
1390679573.18300008773803710938;1390679573.33400011062622070312;0.238;-2.202;0.701;474;472;472;1;
1390679573.33400011062622070312;1390679573.47300004959106445312;1.358;1.324;-0.053;479;477;477;1;
1390679573.47300004959106445312;1390679573.61500000953674316406;0.544;1.417;-0.274;496;492;492;1;
1390679573.61500000953674316406;1390679573.77200007438659667969;-2.266;-2.106;0.420;485;478;478;1;
1390679573.77200007438659667969;1390679573.90300011634826660156;0.919;2.824;-0.223;478;474;474;1;
1390679573.90300011634826660156;1390679574.02800011634826660156;-1.547;0.593;0.059;488;481;481;1;
1390679574.02800011634826660156;1390679574.17400002479553222656;1.442;1.436;-0.191;496;493;493;1;
1390679574.17400002479553222656;1390679574.30900001525878906250;0.087;1.091;-0.432;487;481;481;1;
1390679574.30900001525878906250;1390679574.45000004768371582031;-1.700;-2.124;0.277;499;489;489;1;
1390679574.45000004768371582031;1390679574.60199999809265136719;1.196;4.231;-0.747;499;498;498;1;
1390679574.60199999809265136719;1390679574.74000000953674316406;2.296;-1.128;0.300;490;483;483;1;
1390679574.74000000953674316406;1390679574.89700007438659667969;2.007;-1.247;0.424;493;488;488;1;
1390679574.89700007438659667969;1390679575.02500009536743164062;-0.906;-1.225;0.440;489;485;485;1;
1390679575.02500009536743164062;1390679575.14400005340576171875;1.153;0.755;-0.304;483;479;479;1;
1390679575.14400005340576171875;1390679575.33200001716613769531;1.386;4.582;-1.014;490;486;486;1;
1390679575.33200001716613769531;1390679575.48300004005432128906;1.017;-0.572;-0.065;484;481;481;1;
1390679575.48300004005432128906;1390679575.62100005149841308594;0.753;1.100;-0.121;488;486;486;1;
1390679575.62100005149841308594;1390679575.78600001335144042969;-1.448;-0.088;-0.049;460;457;457;1;
1390679575.78600001335144042969;1390679575.92400002479553222656;-1.121;3.477;-0.838;478;473;473;1;
1390679575.92400002479553222656;1390679576.09699988365173339844;-0.667;1.679;-0.231;479;474;474;1;
1390679576.09699988365173339844;1390679576.23900008201599121094;-0.139;-0.189;-0.016;487;486;486;1;
1390679576.23900008201599121094;1390679576.37199997901916503906;1.267;-1.738;0.295;461;459;459;1;
1390679576.37199997901916503906;1390679576.49499988555908203125;0.353;0.441;-0.145;463;463;463;1;
1390679576.49499988555908203125;1390679576.62100005149841308594;-0.530;-2.405;0.531;477;474;474;1;
1390679576.62100005149841308594;1390679576.75799989700317382812;1.440;0.868;-0.198;464;464;464;1;
1390679576.75799989700317382812;1390679576.89299988746643066406;-2.695;-0.431;0.300;471;471;471;1;
1390679576.89299988746643066406;1390679577.03299999237060546875;-0.194;-0.485;0.061;457;457;457;1;
1390679577.03299999237060546875;1390679577.19400000572204589844;0.998;-0.371;-0.266;471;470;470;1;
1390679577.19400000572204589844;1390679577.34500002861022949219;-0.857;2.705;-0.594;464;463;463;1;
1390679577.34500002861022949219;1390679577.47000002861022949219;1.333;-1.229;0.384;473;472;472;1;
1390679577.47000002861022949219;1390679577.64499998092651367188;-0.845;-1.406;0.062;474;474;474;1;
1390679577.64499998092651367188;1390679577.79200005531311035156;-1.100;-1.260;0.236;485;485;485;1;
1390679577.79200005531311035156;1390679577.93000006675720214844;1.433;2.152;-0.236;462;461;461;1;
1390679577.93000006675720214844;1390679578.09200000762939453125;1.613;0.263;-0.017;480;478;478;1;
1390679578.09200000762939453125;1390679578.22900009155273437500;-0.055;1.868;-0.327;449;449;449;1;
1390679578.22900009155273437500;1390679578.37100005149841308594;1.983;0.291;-0.074;463;463;463;1;
1390679578.37100005149841308594;1390679578.50600004196166992188;0.429;0.097;-0.338;475;475;475;1;
1390679578.50600004196166992188;1390679578.66400003433227539062;1.904;-0.254;0.179;423;422;422;1;
1390679578.66400003433227539062;1390679578.81900000572204589844;0.852;0.175;-0.020;469;469;469;1;
1390679578.81900000572204589844;1390679578.98600006103515625000;-0.928;-1.168;0.394;426;426;426;1;
1390679578.98600006103515625000;1390679579.12400007247924804688;-1.904;0.181;-0.080;463;463;463;1;
1390679579.12400007247924804688;1390679579.25600004196166992188;1.889;-0.720;0.155;473;473;473;1;
1390679579.25600004196166992188;1390679579.43300008773803710938;2.761;1.828;-0.436;459;458;458;1;
1390679579.43300008773803710938;1390679579.59400010108947753906;2.646;0.211;-0.055;466;462;462;1;
1390679579.59400010108947753906;1390679579.74900007247924804688;3.516;4.132;-0.800;481;478;478;1;
1390679579.74900007247924804688;1390679579.89299988746643066406;2.383;1.022;-0.075;463;461;461;1;
1390679579.89299988746643066406;1390679580.03099989891052246094;1.810;-0.257;0.225;453;453;453;1;
1390679580.03099989891052246094;1390679580.20099997520446777344;1.584;-0.663;0.076;439;437;437;1;
1390679580.20099997520446777344;1390679580.36500000953674316406;-2.717;-1.124;0.321;463;462;462;1;
1390679580.36500000953674316406;1390679580.52600002288818359375;0.554;-2.561;0.467;424;424;424;1;
1390679580.52600002288818359375;1390679580.64400005340576171875;1.238;0.860;-0.002;467;466;466;1;
1390679580.64400005340576171875;1390679580.77300000190734863281;2.596;0.985;0.004;441;439;439;1;
1390679580.77300000190734863281;1390679580.91000008583068847656;0.787;1.033;-0.165;452;449;449;1;
1390679580.91000008583068847656;1390679581.05500006675720214844;-0.751;1.350;-0.153;483;481;481;1;
1390679581.05500006675720214844;1390679581.21900010108947753906;-0.773;-2.768;0.866;433;431;431;1;
1390679581.21900010108947753906;1390679581.35999989509582519531;-1.480;1.371;0.041;447;445;445;1;
1390679581.35999989509582519531;1390679581.51300001144409179688;0.133;0.298;0.043;456;456;456;1;
1390679581.51300001144409179688;1390679581.66400003433227539062;-1.225;-0.255;0.014;458;458;458;1;
1390679581.66400003433227539062;1390679581.80900001525878906250;-0.180;-2.616;0.562;461;461;461;1;
1390679581.80900001525878906250;1390679581.94000005722045898438;-1.441;0.384;0.024;411;410;410;1;
1390679581.94000005722045898438;1390679582.08800005912780761719;-1.451;-1.544;0.783;465;464;464;1;
1390679582.08800005912780761719;1390679582.24600005149841308594;-0.501;0.643;-0.082;466;462;462;1;
1390679582.24600005149841308594;1390679582.39700007438659667969;0.903;0.145;-0.051;484;483;483;1;
1390679582.39700007438659667969;1390679582.54299998283386230469;-0.210;3.011;-0.352;453;451;451;1;
1390679582.54299998283386230469;1390679582.69899988174438476562;3.149;2.063;-0.340;484;484;484;1;
1390679582.69899988174438476562;1390679582.83800005912780761719;0.019;-0.282;0.047;464;461;461;1;
1390679582.83800005912780761719;1390679582.96700000762939453125;0.522;-3.453;0.535;459;459;459;1;
1390679582.96700000762939453125;1390679583.10700011253356933594;0.259;0.263;-0.059;491;490;490;1;
1390679583.10700011253356933594;1390679583.27500009536743164062;-0.964;5.466;-1.088;479;479;479;1;
1390679583.27500009536743164062;1390679583.41400003433227539062;-1.689;-0.507;0.035;481;476;476;1;
1390679583.41400003433227539062;1390679583.56399989128112792969;1.126;-0.707;0.114;482;481;481;1;
1390679583.56399989128112792969;1390679583.71600008010864257812;-0.533;-0.295;-0.179;480;478;478;1;
1390679583.71600008010864257812;1390679583.83400011062622070312;-1.852;1.915;-0.189;481;476;476;1;
1390679583.83400011062622070312;1390679583.96700000762939453125;1.139;0.021;0.080;488;485;485;1;
1390679583.96700000762939453125;1390679584.10400009155273437500;1.310;-1.633;0.609;481;479;479;1;
1390679584.10400009155273437500;1390679584.23900008201599121094;0.190;1.501;-0.694;483;483;483;1;
1390679584.23900008201599121094;1390679584.39100003242492675781;-2.912;0.935;-0.141;499;498;498;1;
1390679584.39100003242492675781;1390679584.54600000381469726562;-1.858;0.354;0.042;493;493;493;1;
1390679584.54600000381469726562;1390679584.68000006675720214844;0.227;0.123;0.166;481;479;479;1;
1390679584.68000006675720214844;1390679584.81800007820129394531;-0.865;-1.583;0.247;487;487;487;1;
1390679584.81800007820129394531;1390679584.97000002861022949219;-1.814;-0.730;-0.035;484;481;481;1;
1390679584.97000002861022949219;1390679585.10500001907348632812;0.530;1.170;-0.554;494;491;491;1;
1390679585.10500001907348632812;1390679585.27900004386901855469;1.595;0.638;-0.165;452;451;451;1;
1390679585.27900004386901855469;1390679585.43700003623962402344;-2.094;-2.760;0.488;441;440;440;1;
1390679585.43700003623962402344;1390679585.60500001907348632812;0.619;1.441;-0.128;467;466;466;1;
1390679585.60500001907348632812;1390679585.73600006103515625000;1.476;-1.896;0.299;482;482;482;1;
1390679585.73600006103515625000;1390679585.86400008201599121094;1.737;-0.802;-0.134;485;483;483;1;
1390679585.86400008201599121094;1390679585.99699997901916503906;-1.873;0.366;-0.257;451;450;450;1;
1390679585.99699997901916503906;1390679586.12400007247924804688;-3.231;-1.005;0.356;454;452;452;1;
1390679586.12400007247924804688;1390679586.24900007247924804688;-1.827;-0.368;0.166;450;447;447;1;
1390679586.24900007247924804688;1390679586.43000006675720214844;1.970;-1.556;0.280;451;447;447;1;
1390679586.43000006675720214844;1390679586.55100011825561523438;1.226;0.344;0.082;432;432;432;1;
1390679586.55100011825561523438;1390679586.67300009727478027344;-0.917;1.020;-0.031;410;410;410;1;
1390679586.67300009727478027344;1390679586.82800006866455078125;0.548;0.914;-0.144;408;408;408;1;
1390679586.82800006866455078125;1390679586.97300004959106445312;-4.098;1.656;-0.206;355;355;355;1;
1390679586.97300004959106445312;1390679587.10800004005432128906;-0.725;-3.447;0.715;264;264;264;1;
1390679587.10800004005432128906;1390679587.24900007247924804688;0.722;-2.774;0.386;389;389;389;1;
1390679587.24900007247924804688;1390679587.39800000190734863281;-1.672;0.936;0.071;416;414;414;1;
1390679587.39800000190734863281;1390679587.55500006675720214844;1.718;0.818;-0.014;405;404;404;1;
1390679587.55500006675720214844;1390679587.71300005912780761719;-0.156;-0.330;0.003;412;412;412;1;
1390679587.71300005912780761719;1390679587.86500000953674316406;0.285;1.642;-0.727;471;468;468;1;
1390679587.86500000953674316406;1390679588.02600002288818359375;1.104;-3.168;0.558;462;460;460;1;
1390679588.02600002288818359375;1390679588.17700004577636718750;-1.734;0.466;-0.101;471;471;471;1;
1390679588.17700004577636718750;1390679588.32599997520446777344;-0.543;1.188;-0.157;466;464;464;1;
1390679588.32599997520446777344;1390679588.48000001907348632812;-0.692;-0.724;-0.099;432;431;431;1;
1390679588.48000001907348632812;1390679588.61500000953674316406;3.302;0.328;-0.143;482;481;481;1;
1390679588.61500000953674316406;1390679588.74300003051757812500;-0.663;0.844;-0.356;434;432;432;1;
1390679588.74300003051757812500;1390679588.87100005149841308594;-2.733;-0.713;0.070;486;484;484;1;
1390679588.87100005149841308594;1390679589.01500010490417480469;-0.035;2.670;-0.766;459;459;459;1;
1390679589.01500010490417480469;1390679589.15300011634826660156;-1.664;-3.248;0.396;457;454;454;1;
1390679589.15300011634826660156;1390679589.28200006484985351562;-1.993;0.844;-0.039;465;461;461;1;
1390679589.28200006484985351562;1390679589.42400002479553222656;-1.537;3.614;-0.809;447;445;445;1;
1390679589.42400002479553222656;1390679589.56900000572204589844;0.352;-0.426;0.236;467;467;467;1;
1390679589.56900000572204589844;1390679589.71700000762939453125;-0.387;-0.303;-0.011;470;469;469;1;
1390679589.71700000762939453125;1390679589.86700010299682617188;-3.241;-0.639;0.431;484;483;483;1;
1390679589.86700010299682617188;1390679589.98600006103515625000;2.213;1.663;-0.139;487;477;477;1;
1390679589.98600006103515625000;1390679590.13100004196166992188;-2.348;0.921;-0.266;476;472;472;1;
1390679590.13100004196166992188;1390679590.29600000381469726562;-0.772;2.452;-0.381;496;496;496;1;
1390679590.29600000381469726562;1390679590.41799998283386230469;2.732;1.590;-0.317;442;442;442;1;
1390679590.41799998283386230469;1390679590.55599999427795410156;-1.806;3.696;-0.683;427;426;426;1;
1390679590.55599999427795410156;1390679590.70000004768371582031;0.819;-2.026;0.225;465;463;463;1;
1390679590.70000004768371582031;1390679590.83500003814697265625;0.011;1.708;-0.293;454;452;452;1;
1390679590.83500003814697265625;1390679590.98300004005432128906;-2.224;-0.958;-0.175;460;460;460;1;
1390679590.98300004005432128906;1390679591.14100003242492675781;0.812;1.649;-0.353;474;472;472;1;
1390679591.14100003242492675781;1390679591.29800009727478027344;1.714;-3.216;0.528;452;450;450;1;
1390679591.29800009727478027344;1390679591.46700000762939453125;-1.517;-2.860;0.534;466;465;465;1;
1390679591.46700000762939453125;1390679591.60500001907348632812;0.366;-1.963;0.132;476;476;476;1;
1390679591.60500001907348632812;1390679591.74900007247924804688;-2.380;-1.851;0.519;467;467;467;1;
1390679591.74900007247924804688;1390679591.90000009536743164062;-1.868;2.173;-0.527;473;473;473;1;
1390679591.90000009536743164062;1390679592.03600001335144042969;3.240;2.717;-0.409;408;408;408;1;
1390679592.03600001335144042969;1390679592.17600011825561523438;3.399;-2.669;0.538;468;466;466;1;
1390679592.17600011825561523438;1390679592.30200004577636718750;0.223;1.446;-0.255;460;458;458;1;
1390679592.30200004577636718750;1390679592.45300006866455078125;0.039;-0.789;0.121;437;437;437;1;
1390679592.45300006866455078125;1390679592.59200000762939453125;-5.035;-1.939;0.596;475;475;475;1;
1390679592.59200000762939453125;1390679592.74000000953674316406;-0.041;-0.261;-0.240;420;419;419;1;
1390679592.74000000953674316406;1390679592.87100005149841308594;0.669;-2.792;0.652;476;475;475;1;
1390679592.87100005149841308594;1390679593.01300001144409179688;0.005;-3.486;0.609;398;398;398;1;
1390679593.01300001144409179688;1390679593.19700002670288085938;1.952;0.131;0.041;475;472;472;1;
1390679593.19700002670288085938;1390679593.37299990653991699219;-1.534;0.087;-0.058;470;469;468;1;
1390679593.37299990653991699219;1390679593.59200000762939453125;-0.646;-2.159;0.445;476;476;476;1;
1390679593.59200000762939453125;1390679593.78600001335144042969;-0.454;3.431;-0.838;444;442;442;1;
1390679593.78600001335144042969;1390679593.92600011825561523438;-1.384;-2.003;0.420;477;477;477;1;
1390679593.92600011825561523438;1390679594.07299995422363281250;-2.214;-0.958;0.158;456;454;454;1;
1390679594.07299995422363281250;1390679594.24499988555908203125;0.381;3.041;-0.325;478;478;478;1;
1390679594.24499988555908203125;1390679594.37800002098083496094;-1.355;-1.857;0.291;479;479;479;1;
1390679594.37800002098083496094;1390679594.53399991989135742188;-3.667;0.513;-0.312;478;475;475;1;
1390679594.53399991989135742188;1390679594.69199991226196289062;1.210;-0.585;0.304;474;474;474;1;
1390679594.69199991226196289062;1390679594.86100006103515625000;-1.188;0.844;-0.202;482;482;482;1;
1390679594.86100006103515625000;1390679595.01600003242492675781;3.150;-2.773;0.898;474;474;474;1;
1390679595.01600003242492675781;1390679595.19899988174438476562;1.020;3.260;-0.615;478;477;477;1;
1390679595.19899988174438476562;1390679595.34299993515014648438;-2.167;0.834;0.023;456;454;454;1;
1390679595.34299993515014648438;1390679595.48799991607666015625;-2.399;0.459;0.219;457;456;456;1;
1390679595.48799991607666015625;1390679595.64100003242492675781;1.192;-0.105;0.074;467;467;467;1;
1390679595.64100003242492675781;1390679595.81500005722045898438;-1.691;0.409;-0.264;450;447;447;1;
1390679595.81500005722045898438;1390679596.00399994850158691406;-0.947;-0.908;-0.070;434;433;433;1;
1390679596.00399994850158691406;1390679596.24000000953674316406;-0.196;0.344;-0.047;461;460;460;1;
1390679596.24000000953674316406;1390679596.39100003242492675781;2.247;2.586;-0.587;442;440;440;1;
1390679596.39100003242492675781;1390679596.54600000381469726562;-0.264;-0.035;-0.083;456;452;452;1;
1390679596.54600000381469726562;1390679596.69700002670288085938;-2.544;3.176;-0.518;477;476;476;1;
1390679596.69700002670288085938;1390679596.85199999809265136719;-0.727;2.905;-0.475;455;449;441;1;
1390679596.85199999809265136719;1390679596.99699997901916503906;1.143;-2.315;0.381;447;447;447;1;
1390679596.99699997901916503906;1390679597.14299988746643066406;-1.185;-0.173;-0.062;422;421;421;1;
1390679597.14299988746643066406;1390679597.29099988937377929688;0.789;-0.170;0.130;459;459;459;1;
1390679597.29099988937377929688;1390679597.42600011825561523438;0.663;-2.573;0.650;458;455;455;1;
1390679597.42600011825561523438;1390679597.58200001716613769531;1.671;-2.016;0.414;475;473;473;1;
1390679597.58200001716613769531;1390679597.72799992561340332031;0.681;-1.789;0.717;475;474;474;1;
1390679597.72799992561340332031;1390679597.87299990653991699219;-1.523;-0.291;-0.024;472;471;471;1;
1390679597.87299990653991699219;1390679598.02399992942810058594;1.758;1.886;-0.400;448;447;447;1;
1390679598.02399992942810058594;1390679598.18700003623962402344;-2.911;-0.831;0.162;449;449;449;1;
1390679598.18700003623962402344;1390679598.34500002861022949219;3.923;-1.065;0.479;476;475;475;1;
1390679598.34500002861022949219;1390679598.48300004005432128906;1.121;0.767;-0.292;488;488;488;1;
1390679598.48300004005432128906;1390679598.63100004196166992188;3.454;-0.773;0.543;438;438;438;1;
1390679598.63100004196166992188;1390679598.81699991226196289062;-0.655;-1.925;0.314;477;474;474;1;
1390679598.81699991226196289062;1390679598.99399995803833007812;2.038;-1.004;0.168;491;491;491;1;
1390679598.99399995803833007812;1390679599.14299988746643066406;-2.080;-0.477;0.322;481;476;476;1;
1390679599.14299988746643066406;1390679599.33200001716613769531;1.654;2.813;-0.612;483;482;482;1;
1390679599.33200001716613769531;1390679599.46700000762939453125;-3.074;4.477;-0.635;484;478;478;1;
1390679599.46700000762939453125;1390679599.62800002098083496094;0.735;1.015;-0.240;488;486;486;1;
1390679599.62800002098083496094;1390679599.78699994087219238281;-0.040;-0.002;-0.048;461;460;460;1;
1390679599.78699994087219238281;1390679599.95099997520446777344;1.721;4.345;-0.797;431;427;427;1;
1390679599.95099997520446777344;1390679600.10999989509582519531;0.231;2.641;-0.489;474;473;473;1;
1390679600.10999989509582519531;1390679600.25300002098083496094;-0.833;-3.552;0.583;481;477;477;1;
1390679600.25300002098083496094;1390679600.40100002288818359375;-1.668;0.325;0.072;484;481;481;1;
1390679600.40100002288818359375;1390679600.53600001335144042969;0.786;-3.570;0.525;464;463;463;1;
1390679600.53600001335144042969;1390679600.70399999618530273438;0.240;-0.131;-0.166;471;468;468;1;
1390679600.70399999618530273438;1390679600.85100007057189941406;1.744;1.634;-0.603;474;473;473;1;
1390679600.85100007057189941406;1390679600.98000001907348632812;-1.672;-0.633;0.190;463;461;461;1;
1390679600.98000001907348632812;1390679601.15100002288818359375;-0.137;1.934;-0.467;473;472;472;1;
1390679601.15100002288818359375;1390679601.30999994277954101562;0.289;1.052;-0.068;441;440;440;1;
1390679601.30999994277954101562;1390679601.46700000762939453125;-1.398;-1.273;0.563;430;429;429;1;
1390679601.46700000762939453125;1390679601.60500001907348632812;-0.720;0.891;-0.003;474;471;471;1;
1390679601.60500001907348632812;1390679601.75699996948242187500;1.309;-0.970;0.309;479;470;470;1;
1390679601.75699996948242187500;1390679601.86100006103515625000;-3.042;1.778;-0.350;489;488;488;1;
1390679601.86100006103515625000;1390679601.99600005149841308594;0.826;3.318;-0.729;488;488;488;1;
1390679601.99600005149841308594;1390679602.17400002479553222656;0.581;-3.258;0.824;481;479;479;1;
1390679602.17400002479553222656;1390679602.32599997520446777344;-0.989;2.678;-0.519;491;487;487;1;
1390679602.32599997520446777344;1390679602.45700001716613769531;0.559;0.689;-0.148;457;456;456;1;
1390679602.45700001716613769531;1390679602.62299990653991699219;-0.651;-1.221;0.252;471;468;468;1;
1390679602.62299990653991699219;1390679602.77300000190734863281;0.663;0.877;-0.180;451;450;450;1;
1390679602.77300000190734863281;1390679602.91100001335144042969;1.207;4.209;-0.754;463;462;462;1;
1390679602.91100001335144042969;1390679603.06200003623962402344;-1.874;2.603;-0.452;468;468;468;1;
1390679603.06200003623962402344;1390679603.23300004005432128906;1.076;0.744;-0.303;478;478;478;1;
1390679603.23300004005432128906;1390679603.39400005340576171875;-0.162;0.904;-0.136;417;417;417;1;
1390679603.39400005340576171875;1390679603.55299997329711914062;0.762;-1.004;0.141;456;456;456;1;
1390679603.55299997329711914062;1390679603.74699997901916503906;0.928;0.324;-0.212;495;490;490;1;
1390679603.74699997901916503906;1390679603.91899991035461425781;1.594;0.467;-0.433;473;473;473;1;
1390679603.91899991035461425781;1390679604.06299996376037597656;2.751;0.493;0.193;441;436;436;1;
1390679604.06299996376037597656;1390679604.22000002861022949219;-1.062;1.208;-0.063;471;469;469;1;
1390679604.22000002861022949219;1390679604.37800002098083496094;-0.973;2.736;-0.706;458;457;457;1;
1390679604.37800002098083496094;1390679604.51300001144409179688;-2.133;-3.329;0.565;372;368;368;1;
1390679604.51300001144409179688;1390679604.65799999237060546875;-0.794;2.561;-0.584;298;296;296;1;
1390679604.65799999237060546875;1390679604.80200004577636718750;-0.156;1.681;-0.520;250;247;247;1;
1390679604.80200004577636718750;1390679604.94700002670288085938;0.255;-1.242;0.333;327;324;324;1;
1390679604.94700002670288085938;1390679605.10100007057189941406;-0.557;-0.102;-0.010;378;377;377;1;
1390679605.10100007057189941406;1390679605.41199994087219238281;0.424;-0.053;-0.005;420;416;416;1;
1390679605.41199994087219238281;1390679605.55599999427795410156;1.407;0.438;0.040;315;314;314;1;
1390679605.55599999427795410156;1390679605.67700004577636718750;0.975;2.749;-0.596;454;449;449;1;
1390679605.67700004577636718750;1390679605.83200001716613769531;2.034;-0.920;0.103;365;365;365;1;
1390679605.83200001716613769531;1390679605.98600006103515625000;2.191;4.656;-0.910;416;412;412;1;
1390679605.98600006103515625000;1390679606.17100000381469726562;1.255;-1.273;0.581;404;402;402;1;
1390679606.17100000381469726562;1390679606.36199998855590820312;-3.405;0.210;0.078;411;407;407;1;
1390679606.36199998855590820312;1390679606.52300000190734863281;1.233;2.741;-0.548;224;222;222;1;
1390679606.52300000190734863281;1390679606.66499996185302734375;-0.425;1.868;-0.329;456;454;454;1;
1390679606.66499996185302734375;1390679606.84500002861022949219;0.905;-1.795;0.391;483;481;481;1;
1390679606.84500002861022949219;1390679607.04600000381469726562;1.956;-0.527;0.046;430;429;429;1;
1390679607.04600000381469726562;1390679607.19199991226196289062;0.269;1.750;-0.049;449;449;449;1;
1390679607.19199991226196289062;1390679607.34200000762939453125;0.392;2.184;-0.495;435;433;433;1;
1390679607.34200000762939453125;1390679607.54200005531311035156;1.063;3.355;-0.862;402;402;402;1;
1390679607.54200005531311035156;1390679607.68799996376037597656;-0.190;-1.451;0.193;407;406;406;1;
1390679607.68799996376037597656;1390679607.83500003814697265625;2.140;3.189;-0.549;366;366;366;1;
1390679607.83500003814697265625;1390679608.01300001144409179688;-1.016;-0.893;0.081;371;369;369;1;
1390679608.01300001144409179688;1390679608.17899990081787109375;-1.824;0.686;-0.139;324;323;323;1;
1390679608.17899990081787109375;1390679608.31500005722045898438;2.690;-0.209;0.078;348;346;346;1;
1390679608.31500005722045898438;1390679608.46099996566772460938;-0.738;0.591;-0.308;426;423;423;1;
1390679608.46099996566772460938;1390679608.61100006103515625000;-0.413;0.403;-0.087;462;458;458;1;
1390679608.61100006103515625000;1390679608.73600006103515625000;-0.369;2.270;-0.792;453;451;451;1;
1390679608.73600006103515625000;1390679608.88400006294250488281;1.460;-1.952;0.569;467;464;464;1;
1390679608.88400006294250488281;1390679609.01600003242492675781;2.416;-0.081;-0.240;458;454;454;1;
1390679609.01600003242492675781;1390679609.13800001144409179688;1.839;-2.393;0.367;400;398;398;1;
1390679609.13800001144409179688;1390679609.28699994087219238281;-1.888;-2.197;0.480;441;440;440;1;
1390679609.28699994087219238281;1390679609.43700003623962402344;0.801;0.779;-0.167;457;455;455;1;
1390679609.43700003623962402344;1390679609.57200002670288085938;-0.896;-3.767;0.746;431;428;428;1;
1390679609.57200002670288085938;1390679609.71700000762939453125;-1.941;0.685;-0.231;484;481;481;1;
1390679609.71700000762939453125;1390679609.86199998855590820312;0.071;-2.514;0.495;478;474;474;1;
1390679609.86199998855590820312;1390679610.00300002098083496094;0.993;-0.300;0.071;473;469;469;1;
1390679610.00300002098083496094;1390679610.14599990844726562500;-1.802;-0.236;0.105;461;456;456;1;
1390679610.14599990844726562500;1390679610.30999994277954101562;0.709;-0.359;-0.030;489;483;483;1;
1390679610.30999994277954101562;1390679610.45099997520446777344;-0.994;0.408;0.002;478;474;474;1;
1390679610.45099997520446777344;1390679610.60100007057189941406;0.598;1.295;-0.226;488;481;481;1;
1390679610.60100007057189941406;1390679610.74399995803833007812;2.583;0.766;-0.220;482;478;478;1;
1390679610.74399995803833007812;1390679610.90100002288818359375;-1.606;1.038;-0.032;477;474;474;1;
1390679610.90100002288818359375;1390679611.05599999427795410156;1.096;-0.678;0.277;461;455;455;1;
1390679611.05599999427795410156;1390679611.22699999809265136719;-1.853;0.522;-0.057;465;464;464;1;
