PROPERTIES:;SonarFileName=../../Data/IceTesting/IceTestingLinux/Ice/Run6/2014-01-25_14-47-50.son;TIME0(sec)=1390679270.724;numPings=343;SonarWidth=353;SonarHeight=478;SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=0;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
1390679270.95399999618530273438;0;1;-0.691;0.149;-0.008;-0.691;0.149;-0.008;-0.691;0.149;-0.008;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;488;483;483;28;28;28;1000;1000.000;1000.000;396;396.000;396.000;1;0;0;0;
1390679271.12500000000000000000;1;2;-0.015;0.616;-0.132;-0.707;0.765;-0.140;-0.705;0.765;-0.140;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;6.641;4.836;-5.728;6.641;4.836;-5.728;7.091;4.149;-5.728;-26.957;45.679;-5.435;-26.957;45.679;-5.435;-22.510;48.027;-5.435;476;473;473;31;31;31;1001;1001.000;1001.000;377;377.000;377.000;1;0;1;1;
1390679271.29699993133544921875;2;3;-1.153;-1.589;0.119;-1.860;-0.824;-0.021;-1.859;-0.824;-0.021;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;-10.501;-2.815;-0.194;-3.860;2.021;-5.922;-3.645;2.432;-5.922;-16.959;35.170;-13.526;-43.916;80.848;-18.960;-27.122;86.798;-18.960;488;486;486;39;39;39;1000;1000.000;1000.000;382;382.000;382.000;1;0;1;1;
1390679271.45199990272521972656;3;4;-1.685;-0.228;-0.068;-3.544;-1.052;-0.090;-3.544;-1.049;-0.090;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;-3.860;2.021;-5.922;-3.645;2.432;-5.922;0.000;-0.000;-0.000;-43.916;80.848;-18.960;-27.122;86.798;-18.960;487;478;478;28;28;28;1000;1000.000;1000.000;388;388.000;388.000;1;0;0;0;
1390679271.63299989700317382812;4;5;2.085;0.914;-0.156;-1.460;-0.138;-0.246;-1.455;-0.144;-0.246;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;-3.860;2.021;-5.922;-3.645;2.432;-5.922;0.000;-0.000;-0.000;-43.916;80.848;-18.960;-27.122;86.798;-18.960;494;490;490;32;32;32;1000;1000.000;1000.000;409;409.000;409.000;1;0;0;0;
1390679271.78600001335144042969;5;6;-1.006;-3.325;0.426;-2.466;-3.463;0.180;-2.451;-3.472;0.180;0.000;-0.000;-0.000;0.000;-0.000;-0.000;0.000;0.000;0.000;0.000;-0.000;-0.000;-3.860;2.021;-5.922;-3.645;2.432;-5.922;3.235;53.265;-9.188;-40.682;134.114;-28.149;0.859;132.238;-28.149;492;487;487;32;32;32;1000;1000.000;1000.000;410;410.000;410.000;1;0;0;1;
1390679271.99000000953674316406;6;7;0.005;0.245;0.051;-2.461;-3.218;0.230;-2.447;-3.227;0.230;13.578;-8.336;11.173;13.578;-8.336;11.173;14.936;-5.547;11.173;0.000;-0.000;-0.000;-3.860;2.021;-5.922;-3.645;2.432;-5.922;-7.802;48.371;-12.044;-48.484;182.484;-40.193;26.115;174.222;-40.193;489;483;483;26;26;26;1000;1000.000;1000.000;404;404.000;404.000;1;1;0;1;
1390679272.14599990844726562500;7;8;3.088;-0.849;0.189;0.627;-4.067;0.420;0.647;-4.053;0.420;0.000;-0.000;-0.000;13.578;-8.336;11.173;14.936;-5.547;11.173;-12.207;3.615;-1.232;-16.067;5.635;-7.154;-15.306;7.539;-7.154;0.000;-0.000;-0.000;-48.484;182.484;-40.193;26.115;174.222;-40.193;491;486;486;31;31;31;1000;1000.000;1000.000;391;391.000;391.000;1;0;1;0;
1390679272.29699993133544921875;8;9;-2.778;-1.484;0.382;-2.151;-5.551;0.802;-2.110;-5.576;0.802;0.000;-0.000;-0.000;13.578;-8.336;11.173;14.936;-5.547;11.173;0.000;-0.000;-0.000;-16.067;5.635;-7.154;-15.306;7.539;-7.154;0.000;-0.000;-0.000;-48.484;182.484;-40.193;26.115;174.222;-40.193;490;485;485;28;28;28;1000;1000.000;1000.000;392;392.000;392.000;1;0;0;0;
1390679272.46300005912780761719;9;10;2.679;0.533;-0.157;0.528;-5.017;0.645;0.563;-5.012;0.645;0.000;-0.000;-0.000;13.578;-8.336;11.173;14.936;-5.547;11.173;0.000;-0.000;-0.000;-16.067;5.635;-7.154;-15.306;7.539;-7.154;0.000;-0.000;-0.000;-48.484;182.484;-40.193;26.115;174.222;-40.193;492;489;489;35;35;35;1000;1000.000;1000.000;428;428.000;428.000;1;0;0;0;
