PROPERTIES:;SonarFileName=../sonar_sim_cloud/circle360.avi;TIME0(sec)=0.000;numPings=360;SonarWidth=400;SonarHeight=600;FPS=5.000
SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=1;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0.20000000000000001110;0;1;-0.000;-0.143;1.021;-0.000;-0.143;1.021;0.002;-0.143;1.021;0.093;-0.122;1.007;0.093;-0.122;1.007;0.096;-0.121;1.007;0.225;-1.524;1.190;0.225;-1.524;1.190;0.256;-1.519;1.190;-0.031;-0.441;1.046;-0.031;-0.441;1.046;-0.023;-0.442;1.046;690;690;582;1118;1118;680;1000;1000.000;639.000;1000;1000.000;689.000;1;1;1;1;
0.40000000000000002220;1;2;0.034;0.169;0.981;0.034;0.026;2.002;0.030;0.027;2.002;-0.139;-0.246;1.042;-0.046;-0.368;2.049;-0.035;-0.371;2.049;-0.033;0.135;0.950;0.192;-1.389;2.140;0.218;-1.385;2.140;-0.172;-0.250;0.974;-0.203;-0.691;2.020;-0.186;-0.698;2.020;689;689;585;1111;1111;699;1000;1000.000;631.000;1000;1000.000;718.000;1;1;1;1;
0.59999999999999997780;2;3;-0.058;0.144;0.985;-0.025;0.169;2.987;-0.035;0.167;2.987;-0.034;0.253;0.973;-0.080;-0.115;3.022;-0.082;-0.120;3.022;-0.477;-0.461;1.066;-0.285;-1.850;3.206;-0.232;-1.872;3.206;-0.068;0.822;0.877;-0.271;0.131;2.897;-0.295;0.120;2.897;683;683;581;1107;1107;710;1000;1000.000;641.000;1000;1000.000;731.000;1;1;1;1;
0.80000000000000004441;3;4;-0.025;-0.014;0.999;-0.050;0.155;3.986;-0.059;0.151;3.986;-0.107;-0.298;1.013;-0.187;-0.413;4.035;-0.168;-0.425;4.035;-0.064;-0.323;1.044;-0.350;-2.173;4.250;-0.272;-2.199;4.250;0.011;-0.918;1.130;-0.260;-0.786;4.026;-0.220;-0.794;4.026;684;684;582;1117;1117;695;1000;1000.000;618.000;1000;1000.000;721.000;1;1;1;1;
1.00000000000000000000;4;5;-0.024;0.006;0.997;-0.073;0.161;4.983;-0.083;0.155;4.983;-0.141;0.177;0.955;-0.328;-0.236;4.990;-0.324;-0.261;4.990;0.195;0.518;0.967;-0.154;-1.655;5.218;-0.125;-1.666;5.218;0.131;-0.456;1.090;-0.129;-1.243;5.116;-0.049;-1.237;5.116;668;668;559;1104;1104;705;1000;1000.000;614.000;1000;1000.000;702.000;1;1;1;1;
1.19999999999999995559;5;6;-0.005;-0.011;0.998;-0.078;0.150;5.981;-0.087;0.144;5.981;-0.071;-0.364;1.040;-0.399;-0.600;6.030;-0.356;-0.630;6.030;0.273;-0.322;1.035;0.118;-1.977;6.252;0.181;-1.956;6.252;0.360;0.741;0.926;0.231;-0.502;6.042;0.231;-0.462;6.042;674;674;570;1136;1136;740;1000;1000.000;632.000;1000;1000.000;690.000;1;1;1;1;
1.39999999999999991118;6;7;-0.020;0.125;0.982;-0.098;0.275;6.964;-0.122;0.266;6.964;0.000;-0.000;-0.000;-0.399;-0.600;6.030;-0.356;-0.630;6.030;-0.190;-0.474;1.054;-0.072;-2.451;7.307;0.052;-2.451;7.307;0.262;-1.019;1.136;0.493;-1.521;7.178;0.618;-1.441;7.178;692;689;582;1133;1133;958;1000;1000.000;624.000;1000;1000.000;697.000;1;0;1;1;
1.60000000000000008882;7;8;0.034;0.042;0.987;-0.064;0.317;7.951;-0.095;0.312;7.951;0.006;-0.469;1.052;-0.393;-1.069;7.082;-0.293;-1.096;7.082;-0.356;-0.771;1.060;-0.428;-3.223;8.367;-0.187;-3.266;8.367;0.163;-0.442;1.102;0.655;-1.963;8.281;0.843;-1.855;8.281;678;676;574;1136;1136;746;1000;1000.000;621.000;1000;1000.000;711.000;1;1;1;1;
1.80000000000000004441;8;9;-0.013;-0.044;1.012;-0.077;0.274;8.963;-0.100;0.267;8.963;-0.224;0.261;0.972;-0.617;-0.808;8.053;-0.551;-0.868;8.053;0.126;-1.046;1.101;-0.302;-4.269;9.468;0.109;-4.277;9.468;-0.082;-0.307;1.045;0.574;-2.270;9.325;0.812;-2.171;9.325;677;677;577;1186;1186;749;1000;1000.000;636.000;1000;1000.000;715.000;1;1;1;1;
2.00000000000000000000;9;10;0.004;-0.077;1.016;-0.073;0.197;9.979;-0.083;0.192;9.979;0.307;-0.347;1.022;-0.310;-1.155;9.076;-0.193;-1.163;9.076;0.208;-0.496;1.067;-0.094;-4.765;10.535;0.404;-4.727;10.535;-0.111;0.163;0.967;0.462;-2.107;10.293;0.673;-2.031;10.293;675;675;566;1127;1127;734;1000;1000.000;629.000;1000;1000.000;714.000;1;1;1;1;
