PROPERTIES:;SonarFileName=../sonar_sim_cloud/forward600frames.avi;TIME0(sec)=0.000;numPings=600;SonarWidth=400;SonarHeight=600;FPS=5.000
SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=1;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0.20000000000000001110;0;1;0.975;-0.058;0.003;0.975;-0.058;0.003;0.975;-0.058;0.003;0.966;-0.080;-0.022;0.966;-0.080;-0.022;0.966;-0.081;-0.022;0.987;-0.239;-0.001;0.987;-0.239;-0.001;0.987;-0.239;-0.001;0.670;0.324;-0.081;0.670;0.324;-0.081;0.671;0.323;-0.081;687;687;687;1167;1167;897;1000;1000.000;747.000;1000;1000.000;807.000;1;1;1;1;
0.40000000000000002220;1;2;1.023;0.137;-0.014;1.998;0.079;-0.011;1.998;0.079;-0.011;0.900;-0.144;0.032;1.865;-0.225;0.010;1.865;-0.225;0.010;0.952;0.013;-0.020;1.939;-0.225;-0.021;1.939;-0.226;-0.021;1.349;0.620;-0.034;2.020;0.944;-0.115;2.021;0.940;-0.115;680;680;680;1197;1197;908;1000;1000.000;734.000;1000;1000.000;824.000;1;1;1;1;
0.59999999999999997780;2;3;0.981;-0.053;0.006;2.978;0.026;-0.005;2.978;0.026;-0.005;0.937;0.107;-0.000;2.802;-0.117;0.009;2.802;-0.117;0.009;0.888;0.509;-0.050;2.827;0.284;-0.070;2.828;0.282;-0.070;0.665;-0.174;-0.023;2.684;0.770;-0.138;2.686;0.765;-0.138;668;668;668;1181;1181;891;1000;1000.000;734.000;1000;1000.000;828.000;1;1;1;1;
0.80000000000000004441;3;4;0.982;-0.030;0.006;3.960;-0.004;0.001;3.960;-0.004;0.001;0.915;0.047;-0.011;3.717;-0.070;-0.002;3.717;-0.070;-0.002;0.860;0.337;-0.049;3.687;0.621;-0.120;3.689;0.618;-0.120;0.687;0.687;-0.038;3.371;1.457;-0.176;3.375;1.450;-0.176;664;664;664;1185;1185;887;1000;1000.000;756.000;1000;1000.000;835.000;1;1;1;1;
1.00000000000000000000;4;5;0.987;-0.117;0.013;4.947;-0.121;0.015;4.947;-0.121;0.015;1.020;0.310;-0.039;4.736;0.240;-0.041;4.736;0.239;-0.041;0.752;-0.014;-0.010;4.440;0.607;-0.129;4.441;0.602;-0.129;0.731;0.281;-0.058;4.102;1.738;-0.234;4.107;1.728;-0.234;675;675;675;1172;1172;890;1000;1000.000;746.000;1000;1000.000;823.000;1;1;1;1;
1.19999999999999995559;5;6;1.002;0.057;-0.015;5.949;-0.064;-0.001;5.949;-0.064;-0.001;0.984;-0.043;-0.005;5.720;0.196;-0.046;5.720;0.195;-0.046;0.769;0.133;-0.024;5.208;0.740;-0.153;5.210;0.733;-0.153;0.702;-0.298;0.074;4.805;1.440;-0.159;4.808;1.428;-0.159;671;671;671;1181;1181;910;1000;1000.000;742.000;1000;1000.000;838.000;1;1;1;1;
1.39999999999999991118;6;7;1.005;0.063;-0.011;6.954;-0.000;-0.012;6.954;-0.000;-0.012;0.940;0.061;0.016;6.660;0.257;-0.030;6.660;0.255;-0.030;1.021;-0.161;0.015;6.229;0.578;-0.138;6.231;0.569;-0.138;0.664;-0.264;-0.012;5.469;1.176;-0.171;5.472;1.162;-0.171;667;667;667;1202;1202;919;1000;1000.000;768.000;1000;1000.000;836.000;1;1;1;1;
1.60000000000000008882;7;8;1.023;0.020;-0.004;7.976;0.020;-0.015;7.977;0.019;-0.015;0.950;-0.023;0.011;7.610;0.235;-0.019;7.611;0.232;-0.019;0.748;-0.323;0.037;6.978;0.255;-0.101;6.978;0.244;-0.101;0.649;-0.106;0.023;6.118;1.069;-0.149;6.120;1.053;-0.149;688;688;688;1163;1163;890;1000;1000.000;768.000;1000;1000.000;846.000;1;1;1;1;
1.80000000000000004441;8;9;1.002;0.024;-0.005;8.978;0.043;-0.021;8.978;0.042;-0.021;1.042;0.177;-0.014;8.652;0.412;-0.033;8.652;0.409;-0.033;0.908;-0.079;-0.002;7.885;0.176;-0.104;7.886;0.164;-0.104;0.716;-0.056;-0.042;6.834;1.013;-0.190;6.836;0.995;-0.190;689;689;689;1179;1179;891;1000;1000.000;742.000;1000;1000.000;833.000;1;1;1;1;
2.00000000000000000000;9;10;0.981;-0.072;0.008;9.960;-0.029;-0.013;9.960;-0.030;-0.013;1.037;0.214;-0.036;9.689;0.626;-0.069;9.690;0.621;-0.069;0.947;0.148;-0.037;8.833;0.325;-0.141;8.834;0.310;-0.141;0.669;0.314;0.003;7.503;1.327;-0.188;7.506;1.306;-0.188;668;668;668;1179;1179;890;1000;1000.000;771.000;1000;1000.000;824.000;1;1;1;1;
2.20000000000000017764;10;11;1.016;-0.004;0.001;10.975;-0.033;-0.012;10.976;-0.034;-0.012;1.037;-0.472;0.066;10.726;0.154;-0.003;10.727;0.150;-0.003;1.032;-0.133;0.021;9.865;0.191;-0.120;9.865;0.175;-0.120;0.680;0.893;-0.118;8.183;2.220;-0.306;8.191;2.196;-0.306;666;666;666;1187;1187;901;1000;1000.000;752.000;1000;1000.000;822.000;1;1;1;1;
2.39999999999999991118;11;12;0.996;0.083;-0.012;11.971;0.050;-0.024;11.971;0.049;-0.024;0.945;0.224;-0.014;11.671;0.378;-0.017;11.671;0.374;-0.017;0.879;-0.139;0.025;10.743;0.052;-0.095;10.744;0.034;-0.095;1.000;-0.000;-0.000;9.183;2.220;-0.306;9.191;2.190;-0.306;681;681;681;1181;1181;865;1000;1000.000;744.000;1000;1000.000;801.000;1;1;1;1;
2.60000000000000008882;12;13;1.029;-0.002;-0.000;13.000;0.048;-0.024;13.000;0.046;-0.024;0.872;-0.118;0.022;12.542;0.260;0.005;12.543;0.256;0.005;0.977;0.204;-0.035;11.721;0.256;-0.129;11.722;0.235;-0.129;0.619;0.637;-0.052;9.802;2.857;-0.357;9.814;2.824;-0.357;680;680;680;1157;1157;862;1000;1000.000;756.000;1000;1000.000;830.000;1;1;1;1;
2.79999999999999982236;13;14;1.067;0.072;-0.013;14.067;0.120;-0.037;14.067;0.117;-0.037;0.800;0.237;-0.026;13.342;0.498;-0.021;13.342;0.493;-0.021;1.060;-0.215;0.032;12.781;0.041;-0.098;12.782;0.019;-0.098;0.677;-0.070;0.063;10.478;2.788;-0.294;10.490;2.751;-0.294;683;683;683;1200;1200;895;1000;1000.000;764.000;1000;1000.000;845.000;1;1;1;1;
3.00000000000000000000;14;15;0.942;0.060;-0.003;15.009;0.179;-0.040;15.009;0.176;-0.040;1.047;-0.005;0.010;14.388;0.492;-0.011;14.389;0.487;-0.011;0.956;-0.072;0.029;13.737;-0.031;-0.069;13.737;-0.055;-0.069;0.702;-0.701;0.050;11.180;2.086;-0.244;11.189;2.046;-0.244;694;694;694;1164;1164;885;1000;1000.000;758.000;1000;1000.000;825.000;1;1;1;1;
3.20000000000000017764;15;16;1.035;0.006;-0.001;16.044;0.185;-0.041;16.044;0.181;-0.041;1.044;0.195;-0.033;15.433;0.687;-0.044;15.434;0.682;-0.044;1.076;-0.095;0.020;14.813;-0.126;-0.048;14.814;-0.151;-0.048;1.669;0.392;-0.010;12.850;2.479;-0.254;12.860;2.431;-0.254;685;685;685;1154;1154;905;1000;1000.000;753.000;1000;1000.000;835.000;1;1;1;1;
