PROPERTIES:;SonarFileName=../sonar_sim_cloud/scurve_10x.avi;TIME0(sec)=0.000;numPings=1000;SonarWidth=400;SonarHeight=600;FPS=5.000
SURFminHessian=300;SIFTthreshold=0.001;SIFTedgeThresh=100.000;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];FOVX=45;BLUR_IMGS=1;ROBUST_EST=4;PROCESS_00FRAME=0;Threshold Imgs=0;APPLY_CLAHE=0;CARTESIAN=1;VIDEO_SONAR_FILE=1;PROCESS_00FRAME=0;USE_RADIUS_MATCH=0;THRESHOLD_JUMPS=1;MAX_X=10;MAX_Y=20;MAX_PSI=20;

time2(sec);frame1;frame2;sonOFxshift;sonOFyshift;sonOFtheta;sonOFxshiftsum;sonOFyshiftsum;sonOFthetasum;sonOFxshiftsumGlobal;sonOFyshiftsumGlobal;sonOFthetasumGlobal;sonSURFxshift;sonSURFyshift;sonSURFtheta;sonSURFxshiftsum;sonSURFyshiftsum;sonSURFthetasum;sonSURFxshiftsumGlobal;sonSURFyshiftsumGlobal;sonSURFthetasumGlobal;sonSIFTxshift;sonSIFTyshift;sonSIFTtheta;sonSIFTxshiftsum;sonSIFTyshiftsum;sonSIFTthetasum;sonSIFTxshiftsumGlobal;sonSIFTyshiftsumGlobal;sonSIFTthetasumGlobal;sonHARRISxshift;sonHARRISyshift;sonHARRIStheta;sonHARRISxshiftsum;sonHARRISyshiftsum;sonHARRISthetasum;sonHARRISxshiftsumGlobal;sonHARRISyshiftsumGlobal;sonHARRISthetasumGlobal;OFnumCorners;OFnumMatches;OFnumInliers;SURFnumCorners;SURFnumMatches;SURFnumInliers;SIFTnumCorners;SIFTnumMatches;SIFTnumInliers;HARRISnumCorners;HARRISnumMatches;HARRISnumInliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0.20000000000000001110;0;1;3.968;-0.181;-0.696;3.968;-0.181;-0.696;0.229;3.965;89.304;4.040;0.485;-0.801;4.040;0.485;-0.801;-0.428;4.047;89.199;4.212;0.247;-0.802;4.212;0.247;-0.802;-0.189;4.215;89.198;3.691;-0.136;-0.706;3.691;-0.136;-0.706;0.182;3.689;89.294;589;589;508;1105;1105;711;1000;1000.000;641.000;995;995.000;722.000;1;1;1;1;
0.40000000000000002220;1;2;3.967;-0.072;-0.702;7.934;-0.252;-1.397;0.397;7.929;88.603;4.037;-0.037;-0.709;8.077;0.447;-1.510;-0.284;8.081;88.490;3.971;-0.272;-0.699;8.183;-0.024;-1.501;0.187;8.177;88.499;3.966;-0.777;-0.600;7.657;-0.913;-1.306;1.049;7.636;88.694;614;614;534;1131;1131;736;1000;1000.000;661.000;999;999.000;736.000;1;1;1;1;
0.59999999999999997780;2;3;2.983;0.254;-0.744;10.918;0.001;-2.141;0.255;10.920;87.859;3.010;-0.210;-0.676;11.087;0.237;-2.186;0.041;11.080;87.814;3.140;-0.014;-0.771;11.323;-0.038;-2.272;0.325;11.314;87.728;3.002;0.708;-0.785;10.659;-0.205;-2.091;0.451;10.662;87.909;672;672;586;1132;1132;739;1000;1000.000;682.000;1000;1000.000;751.000;1;1;1;1;
0.80000000000000004441;3;4;3.994;0.022;-0.707;14.911;0.023;-2.849;0.432;14.909;87.151;4.052;-0.110;-0.697;15.139;0.127;-2.883;0.354;15.122;87.117;4.147;0.507;-0.740;15.470;0.469;-3.012;0.037;15.482;86.988;4.143;-0.128;-0.669;14.802;-0.333;-2.759;0.778;14.794;87.241;689;689;595;1108;1108;723;1000;1000.000;654.000;1000;1000.000;734.000;1;1;1;1;
1.00000000000000000000;4;5;3.994;-0.707;-0.727;18.905;-0.684;-3.575;1.386;18.851;86.425;4.002;-0.470;-0.769;19.141;-0.343;-3.653;1.079;19.086;86.347;4.009;0.366;-0.849;19.479;0.835;-3.861;-0.058;19.507;86.139;3.917;-1.597;-0.612;18.718;-1.930;-3.371;2.602;18.610;86.629;658;658;564;1111;1111;693;1000;1000.000;646.000;1000;1000.000;716.000;1;1;1;1;
1.19999999999999995559;5;6;4.002;0.283;-0.723;22.907;-0.401;-4.298;1.404;22.863;85.702;4.181;0.152;-0.703;23.322;-0.191;-4.356;1.245;23.266;85.644;4.197;-0.186;-0.716;23.676;0.649;-4.578;0.463;23.676;85.422;3.982;0.344;-0.765;22.701;-1.586;-4.136;2.546;22.607;85.864;602;602;523;1097;1097;721;1000;1000.000;668.000;1000;1000.000;745.000;1;1;1;1;
1.39999999999999991118;6;7;2.993;0.320;-0.724;25.900;-0.081;-5.022;1.348;25.873;84.978;2.915;0.097;-0.708;26.237;-0.094;-5.064;1.405;26.179;84.936;3.235;0.088;-0.681;26.912;0.737;-5.259;0.671;26.906;84.741;3.173;-0.208;-0.650;25.874;-1.793;-4.786;3.018;25.751;85.214;619;619;534;1122;1122;736;1000;1000.000;646.000;1000;1000.000;748.000;1;1;1;1;
1.60000000000000008882;7;8;4.111;-0.664;-0.708;30.011;-0.745;-5.731;2.419;29.896;84.269;4.122;0.052;-0.807;30.359;-0.042;-5.871;1.775;30.285;84.129;4.288;-0.937;-0.694;31.199;-0.200;-5.952;2.048;31.073;84.048;3.913;-0.171;-0.744;29.786;-1.964;-5.531;3.565;29.629;84.469;635;635;536;1092;1092;714;1000;1000.000;657.000;1000;1000.000;726.000;1;1;1;1;
1.80000000000000004441;8;9;3.943;0.594;-0.737;33.953;-0.151;-6.467;2.273;33.881;83.533;3.964;0.486;-0.710;34.323;0.444;-6.581;1.747;34.278;83.419;3.671;1.198;-0.823;34.871;0.997;-6.776;1.292;34.860;83.224;4.065;-0.450;-0.627;33.851;-2.415;-6.158;4.449;33.622;83.842;677;677;595;1110;1110;759;1000;1000.000;655.000;1000;1000.000;748.000;1;1;1;1;
2.00000000000000000000;9;10;3.947;0.617;-0.740;37.900;0.466;-7.207;2.156;37.874;82.793;4.040;0.615;-0.736;38.363;1.059;-7.317;1.651;38.363;82.683;3.945;0.203;-0.692;38.816;1.200;-7.468;1.603;38.799;82.532;4.179;-0.951;-0.566;38.030;-3.366;-6.723;5.883;37.661;83.277;677;677;596;1127;1127;759;1000;1000.000;673.000;1000;1000.000;744.000;1;1;1;1;
