length=;191;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.0333333;-0.778933;-0.62429;0.0593682;0;0;0.904637;158;158;107;1;
0.0333333;0.0666667;-0.955159;-0.295695;0.0153303;0;0;0.089647;173;173;128;1;
0.0666667;0.1;-0.471132;-0.882039;-0.00642827;0;0;2.42082;183;183;133;1;
0.1;0.133333;-0.984817;-0.150773;0.0860407;0;0;0.0554296;192;192;142;1;
0.133333;0.166667;-0.605759;-0.765827;-0.215788;0;0;1.01268;211;211;146;1;
0.166667;0.2;-0.80988;-0.323568;-0.489282;0;0;0.0851932;200;200;134;1;
0.2;0.233333;-0.266654;-0.86137;-0.432363;0;0;1.81829;198;198;132;1;
0.233333;0.266667;0.997584;0.0267071;0.0641279;0;0;-0.025318;201;201;140;1;
0.266667;0.3;-0.995481;-0.00947692;0.0944882;0;0;-0.0201699;200;200;141;1;
0.3;0.333333;0.991514;0.0745766;-0.106485;0;0;0.0536411;202;202;128;1;
0.333333;0.366667;0.99347;0.114088;-0.0012119;0;0;0.0508822;191;191;131;1;
0.366667;0.4;0.982166;0.185673;0.0295856;0;0;0.125399;205;205;127;1;
0.4;0.433333;-0.995016;-0.00945535;0.0992668;0;0;0.0559266;182;182;124;1;
0.433333;0.466667;-0.998499;0.00191845;0.0547336;0;0;0.0827136;190;190;128;1;
0.466667;0.5;0.99487;0.00981453;-0.100683;0;0;0.0535786;189;189;126;1;
0.5;0.533333;0.987221;-0.109134;-0.116123;0;0;0.0717479;185;185;112;1;
0.533333;0.566667;0.717782;0.0653401;-0.693195;0;0;0.00462526;180;180;117;1;
0.566667;0.6;-0.632418;-0.774294;0.0227198;0;0;1.36108;180;180;134;1;
0.6;0.633333;0.527053;0.848894;-0.0399317;0;0;0.32791;182;182;132;1;
0.633333;0.666667;-0.134168;0.990803;0.017535;0;0;0.242334;179;179;133;1;
0.666667;0.7;0.979529;-0.193085;-0.0569369;0;0;0.0263843;175;175;118;1;
0.7;0.733333;0.983497;0.176277;-0.0407511;0;0;0.0306978;175;175;118;1;
0.733333;0.766667;-0.972323;-0.211088;0.100146;0;0;0.0702302;178;178;127;1;
0.766667;0.8;0.991838;0.0888809;-0.0914244;0;0;0.0650095;181;181;113;1;
0.8;0.833333;-0.993056;-0.0936643;0.0711804;0;0;0.0161821;170;170;118;1;
0.833333;0.866667;-0.934528;-0.341353;-0.100673;0;0;0.21005;168;168;119;1;
0.866667;0.9;-0.987438;-0.0911601;0.129061;0;0;0.0330117;179;179;122;1;
0.9;0.933333;-0.0517595;-0.332756;-0.941591;0;0;0.303713;172;172;112;1;
0.933333;0.966667;-0.995137;0.00120593;0.0984974;0;0;0.00531428;160;160;121;1;
