length=;176;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.0333333;0.927885;-0.329715;0.17412;0;0;0.000360441;347;347;238;1;
0.0333333;0.0666667;0.996505;-0.0673578;-0.0494035;0;0;-0.0169429;363;363;245;1;
0.0666667;0.1;0.946553;-0.316777;0.0607447;0;0;0.0121648;359;359;252;1;
0.1;0.133333;-0.937797;0.341134;-0.0645312;0;0;0.0294201;361;361;262;1;
0.133333;0.166667;0.955829;0.293819;-0.00778071;0;0;-0.0328862;381;381;274;1;
0.166667;0.2;0.940689;-0.323175;0.103259;0;0;0;380;380;274;1;
0.2;0.233333;0.77291;0.632517;-0.0503224;0;0;-0.0234758;387;387;287;1;
0.233333;0.266667;-0.956457;-0.291837;-0.00453945;0;0;-0.0258666;396;396;295;1;
0.266667;0.3;-0.947465;-0.31591;-0.0501058;0;0;-0.0445826;409;409;290;1;
0.3;0.333333;0.951519;-0.304504;0.043458;0;0;0.0180709;402;402;299;1;
0.333333;0.366667;0.936888;0.349603;0.00442444;0;0;-0.0757386;399;399;261;1;
0.366667;0.4;0.838173;-0.544755;0.0266013;0;0;0.139464;422;422;249;1;
0.4;0.433333;0.484015;-0.872021;-0.0728546;0;0;0.428719;386;386;269;1;
0.433333;0.466667;0.981668;0.155754;0.109861;0;0;-0.00754784;416;416;295;1;
0.466667;0.5;-0.709814;-0.703938;-0.0252175;0;0;-0.0674144;391;391;292;1;
0.5;0.533333;0.085292;0.892746;-0.442413;0;0;-0.697229;417;417;293;1;
0.533333;0.566667;0.7717;0.635954;-0.00636562;0;0;-0.119185;437;437;313;1;
0.566667;0.6;0.975207;-0.20732;-0.0773891;0;0;0.00265712;412;412;283;1;
0.6;0.633333;-0.519705;-0.85395;0.0259989;0;0;-0.230403;410;410;292;1;
0.633333;0.666667;-0.986427;-0.156506;-0.0496739;0;0;-0.00501481;421;421;292;1;
0.666667;0.7;0.995166;-0.0979147;-0.00759188;0;0;-0.00811633;403;403;276;1;
0.7;0.733333;-0.997469;-0.0544998;0.0456722;0;0;-0.00565577;420;420;288;1;
0.733333;0.766667;0.968986;-0.239932;0.0591456;0;0;-0.001168;435;435;258;1;
0.766667;0.8;-0.925906;-0.376211;-0.0341003;0;0;0.130223;421;421;249;1;
0.8;0.833333;0.958595;0.277876;0.0622913;0;0;0.0098622;373;373;260;1;
0.833333;0.866667;0.998795;-0.0184099;-0.0454923;0;0;0.0246058;394;394;293;1;
0.866667;0.9;0.945202;0.323039;0.0473182;0;0;0.0355531;396;396;275;1;
0.9;0.933333;0.985104;0.171172;0.0164409;0;0;0.00757447;391;391;269;1;
0.933333;0.966667;0.133315;0.989537;-0.0551716;0;0;-1.2788;386;386;283;1;
0.966667;1;0.908344;-0.408906;-0.0877851;0;0;0.00482397;385;385;267;1;
1;1.03333;0.991788;0.124182;0.030594;0;0;-0.00534357;385;385;263;1;
1.03333;1.06667;0.974273;0.224343;0.0214941;0;0;-0.0187042;406;406;294;1;
1.06667;1.1;-0.966226;0.256537;-0.0244136;0;0;0.0081089;391;391;287;1;
1.1;1.13333;-0.9534;0.282893;0.104885;0;0;-0.0122418;388;388;270;1;
1.13333;1.16667;0.999427;0.033853;-0.000743978;0;0;-0.00846384;406;406;283;1;
1.16667;1.2;0.780221;-0.625492;0.00398011;0;0;0.0718988;446;446;279;1;
1.2;1.23333;0.994802;-0.0764152;0.0672996;0;0;0;407;407;301;1;
