length=;5302;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.0333333;0.907213;-0.400866;0.127562;0;0;0.0127823;374;374;245;1;
0.0333333;0.0666667;0.978998;-0.180077;0.095579;0;0;0.00529463;430;430;302;1;
0.0666667;0.1;0.976997;-0.17615;0.120202;0;0;0.0137486;453;453;324;1;
0.1;0.133333;0.885779;0.419464;0.19861;0;0;-0.0805258;430;430;288;1;
0.133333;0.166667;-0.892496;0.441111;0.0941935;0;0;-0.0032335;399;399;288;1;
0.166667;0.2;-0.981273;-0.192124;-0.0138171;0;0;0.0109316;420;420;304;1;
0.2;0.233333;0.941107;-0.274503;0.197395;0;0;0.00924757;400;400;274;1;
0.233333;0.266667;0.978363;0.202426;0.0427828;0;0;-0.0201711;406;406;285;1;
0.266667;0.3;0.783668;-0.615144;-0.0863869;0;0;0.0936417;419;419;304;1;
0.3;0.333333;0.990799;-0.106932;0.0829607;0;0;0.0163057;413;413;286;1;
0.333333;0.366667;0.2649;0.964099;-0.0184896;0;0;-0.526269;424;424;321;1;
0.366667;0.4;-0.630434;0.775262;0.03901;0;0;0.147901;440;440;262;1;
0.4;0.433333;0.973473;-0.162262;0.161312;0;0;0.0242576;380;380;245;1;
0.433333;0.466667;0.330772;-0.942458;0.0486066;0;0;0.11215;420;420;288;1;
0.466667;0.5;0.945582;0.302868;0.118937;0;0;-0.0324457;427;427;304;1;
0.5;0.533333;0.745116;0.66264;0.0755633;0;0;-0.39044;418;418;294;1;
0.533333;0.566667;0.990558;-0.00973173;0.136748;0;0;-0.0143473;419;419;288;1;
0.566667;0.6;0.0403141;-0.998877;0.0248945;0;0;1.02322;416;416;304;1;
0.6;0.633333;0.286108;-0.954714;0.0816346;0;0;0.343317;404;404;293;1;
0.633333;0.666667;0.918218;-0.375402;0.126293;0;0;0.0186261;389;389;291;1;
0.666667;0.7;0.823549;-0.509458;0.249441;0;0;0.121975;405;405;286;1;
0.7;0.733333;0.987496;-0.0732713;0.139579;0;0;0.0065951;408;408;293;1;
0.733333;0.766667;-0.755254;0.652698;-0.0597989;0;0;0.0891501;397;397;286;1;
0.766667;0.8;0.947691;-0.319096;-0.00767314;0;0;0.0263622;400;400;255;1;
0.8;0.833333;0.974798;-0.0880721;0.204969;0;0;0.00328635;378;378;248;1;
0.833333;0.866667;0.791515;0.596739;-0.131931;0;0;-0.211819;396;396;277;1;
0.866667;0.9;-0.980334;0.138766;-0.14032;0;0;-0.0150938;411;411;284;1;
0.9;0.933333;0.927758;-0.35493;0.115284;0;0;0.0444472;419;419;307;1;
0.933333;0.966667;-0.949289;-0.276083;-0.150427;0;0;-0.0155665;403;403;285;1;
0.966667;1;0.819095;0.570699;-0.0581933;0;0;-0.00618417;421;421;309;1;
1;1.03333;-0.662254;0.72631;-0.184102;0;0;0.259399;413;413;293;1;
1.03333;1.06667;-0.823892;0.540275;-0.171189;0;0;0.086555;416;416;315;1;
1.06667;1.1;0.986213;-0.140072;0.0881099;0;0;-0.00289267;415;415;314;1;
1.1;1.13333;-0.824737;0.508294;-0.247883;0;0;-0.0181337;421;421;289;1;
1.13333;1.16667;0.453496;-0.888108;-0.0748708;0;0;0.160709;421;421;300;1;
1.16667;1.2;0.990078;-0.0515104;0.130738;0;0;-0.0623631;419;419;247;1;
1.2;1.23333;0.673191;-0.731355;0.109245;0;0;0.0186129;387;387;256;1;
1.23333;1.26667;0.985625;-0.0683937;0.154488;0;0;-0.0244453;390;390;279;1;
1.26667;1.3;0.913255;-0.386839;0.127756;0;0;0.016348;375;375;268;1;
1.3;1.33333;0.890439;0.421837;0.170795;0;0;-0.0703113;386;386;287;1;
1.33333;1.36667;0.281303;0.959617;-0.00183825;0;0;-0.902548;397;397;277;1;
1.36667;1.4;0.89648;-0.418197;0.146411;0;0;0.0440951;396;396;283;1;
1.4;1.43333;0.984272;0.118891;0.130669;0;0;-0.00549685;390;390;271;1;
1.43333;1.46667;-0.90444;0.417894;-0.085747;0;0;0.00961042;359;359;262;1;
1.46667;1.5;0.970686;-0.194267;0.141526;0;0;0.0162879;384;384;270;1;
1.5;1.53333;0.953333;0.266768;0.14139;0;0;-0.0211343;378;378;271;1;
