length=;1899;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.0333333;-0.9615;0.257523;0.0959115;0;0;-0.0485186;39;39;27;1;
0.0333333;0.0666667;0.994756;0.0574734;-0.084599;0;0;-0.0106198;46;46;30;1;
0.0666667;0.1;0.84778;0.524298;-0.0798753;0;0;0.0566376;49;49;30;1;
0.1;0.133333;0.977401;0.195354;-0.080773;0;0;-0.00126545;37;37;28;1;
0.133333;0.166667;-0.992093;-0.0862598;0.0911671;0;0;-0.0300469;47;47;33;1;
0.166667;0.2;0.414049;0.908593;-0.0549825;0;0;-1.43098;53;53;36;1;
0.2;0.233333;0.958871;0.280513;0.0433437;0;0;-0.00528622;58;58;36;1;
0.233333;0.266667;0.982241;-0.161375;-0.095712;0;0;0.0496217;64;64;41;1;
0.266667;0.3;0.975793;0.218655;0.00435954;0;0;0.00332;59;59;39;1;
0.3;0.333333;0.985831;-0.134541;-0.100176;0;0;0.00339226;58;58;35;1;
0.333333;0.366667;0.977143;0.126863;0.170579;0;0;0.0063723;53;53;35;1;
0.366667;0.4;-0.0937558;-0.995173;0.0289768;0;0;9.87318;62;62;42;1;
0.4;0.433333;-0.447956;0.797081;-0.404965;0;0;-0.172363;56;56;36;1;
0.433333;0.466667;0.718704;0.474061;0.508656;0;0;0.00919704;59;59;41;1;
0.466667;0.5;-0.994339;0.106257;-0.000180089;0;0;0.00746636;55;55;35;1;
0.5;0.533333;-0.972805;0.220021;0.0723898;0;0;-0.00555384;52;52;39;1;
0.533333;0.566667;0.964863;-0.250518;-0.0792545;0;0;-0.00776669;52;52;31;1;
0.566667;0.6;-0.978999;-0.191658;0.0694855;0;0;-0.0572866;58;58;33;1;
0.6;0.633333;-0.925847;0.377895;-0.00167019;0;0;-0.0210764;51;51;33;1;
0.633333;0.666667;-0.552552;0.805262;0.215032;0;0;0.0238747;53;53;38;1;
0.666667;0.7;-0.964257;-0.24737;0.094961;0;0;-0.00247494;53;53;38;1;
0.7;0.733333;0.940605;0.325033;-0.0980576;0;0;-0.0136189;56;56;40;1;
0.733333;0.766667;0.962404;-0.271618;0.0018352;0;0;0.0818992;50;50;34;1;
0.766667;0.8;0.839781;-0.542886;0.00654948;0;0;1.18067;55;55;39;1;
0.8;0.833333;0.96804;0.243629;-0.0595219;0;0;-0.000974007;49;49;37;1;
0.833333;0.866667;-0.96563;-0.251932;0.0639453;0;0;0.00203081;47;47;35;1;
0.866667;0.9;0.31094;-0.950427;-0.0020956;0;0;0.0710389;48;48;36;1;
0.9;0.933333;0.956874;0.273296;-0.0984945;0;0;0.00222743;51;51;35;1;
0.933333;0.966667;-0.964984;0.262295;-0.00260325;0;0;0.00190524;52;52;37;1;
0.966667;1;-0.963683;0.266911;-0.00861634;0;0;0.00035882;51;51;32;1;
1;1.03333;0.99732;0.0726374;-0.00876515;0;0;-0.0284052;67;67;43;1;
1.03333;1.06667;-0.979998;0.197208;-0.0266972;0;0;-0.00510576;58;58;33;1;
1.06667;1.1;0.514094;0.853468;-0.0854343;0;0;-0.183389;59;59;38;1;
1.1;1.13333;0.907985;-0.419;-0.0015904;0;0;0.0127817;103;103;69;1;
1.13333;1.16667;0.689218;-0.724543;-0.00386802;0;0;-0.412973;59;59;40;1;
1.16667;1.2;-0.951495;-0.307619;0.00529771;0;0;0.141977;55;55;40;1;
1.2;1.23333;0.976929;-0.0239223;0.212218;0;0;0.00661856;59;59;35;1;
1.23333;1.26667;-0.978785;-0.0237687;-0.203504;0;0;-0.00312058;51;51;37;1;
1.26667;1.3;-0.975975;-0.197084;0.092904;0;0;0.00349546;61;61;38;1;
1.3;1.33333;0.664923;0.746545;-0.0234004;0;0;-0.0266177;59;59;42;1;
1.33333;1.36667;0.966883;0.249519;-0.0536392;0;0;-0.0169628;58;58;35;1;
1.36667;1.4;-0.995324;-0.0131971;0.095686;0;0;0.000627881;53;53;38;1;
1.4;1.43333;0.997225;-0.0317135;-0.0673502;0;0;-0.0072355;51;51;42;1;
1.43333;1.46667;0.980894;-0.175191;-0.0845848;0;0;0;58;58;39;1;
1.46667;1.5;0.994405;-0.0570472;-0.0889051;0;0;-0.250909;58;58;32;1;
1.5;1.53333;0.918418;0.395157;-0.0189476;0;0;-0.0319403;58;58;35;1;
1.53333;1.56667;0.981097;0.151047;0.120971;0;0;0.0249813;54;54;40;1;
1.56667;1.6;-0.958854;-0.271217;0.0839081;0;0;0.176073;56;56;36;1;
1.6;1.63333;0.977921;0.00355957;0.208943;0;0;0.0412118;52;52;38;1;
1.63333;1.66667;-0.920281;-0.39117;0.00826539;0;0;-0.0358305;54;54;36;1;
1.66667;1.7;-0.980367;0.19714;-0.0040685;0;0;0.000171139;47;47;30;1;
1.7;1.73333;-0.075618;-0.990019;0.118933;0;0;1.21717;43;43;32;1;
1.73333;1.76667;-0.503268;0.862738;0.0490438;0;0;-0.215917;58;58;44;1;
