PROPERTIES:;VideoFileName=../../Data/Antarctica2014/jetty11d.avi;CameraType=12;videoSize=[720 x 480];videoFPS=30;videoFrameCount=27;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=869.117;fy_new=767.514;princPt=[359.5, 239.5];FRONT_CAMERA=1;DES_FOVX=45;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.0374503;0;0;0.0374503;0;0;-0.0610317;0;0;-0.0610317;0;0;3.06122;0;0;3.06122;0;0;0.0189019;0;0;0.0189019;0.795113;-0.427319;0.430342;0.987993;0.112655;-0.105732;-0.0419105;-0.999118;-0.00261051;0.994069;0.0242463;0.106013;0.795392;-0.4268;0.430342;0;0;0.0374503;0.988112;0.111603;-0.105732;0;0;-0.0610317;0.0115052;-0.99993;-0.00261051;0;0;3.06122;0.994061;0.0245742;0.106013;0;0;0.0189019;797;796;732;521;521;323;1000;1000;606;795;795;447;1;1;1;1;
1;2;0;0;-0.0320287;0;0;0.00542162;0;0;-0.0187244;0;0;-0.0797562;0;0;0.366816;0;0;3.42804;0;0;0.0902449;0;0;0.109147;-0.948427;-0.0347494;-0.315087;0.999112;0.0209205;0.0365627;0.548241;0.836047;-0.0213724;0.881474;-0.461649;-0.0994128;-0.153031;-0.461639;0.115255;0;0;0.00542162;1.98725;0.131132;-0.0691695;0;0;-0.0797562;0.508774;-0.132597;-0.0239829;0;0;3.42804;1.87641;-0.435395;0.00660009;0;0;0.109147;795;795;727;565;565;337;1000;1000;568;845;845;459;1;1;1;1;
2;3;0;0;-0.00858492;0;0;-0.0031633;0;0;-0.657216;0;0;-0.736972;0;0;0.8746;0;0;4.30264;0;0;-0.0921972;0;0;0.0169496;0.703079;-0.174803;0.689293;0.0714716;-0.991898;0.105029;-0.0642717;-0.997921;0.00478421;0.992446;0.0471563;0.113255;0.550038;-0.63648;0.804548;0;0;-0.0031633;2.04596;-0.861602;0.035859;0;0;-0.736972;0.519552;-1.13253;-0.0191987;0;0;4.30264;2.86885;-0.387945;0.119855;0;0;0.0169496;836;836;743;568;568;357;1000;1000;571;869;869;487;1;1;1;1;
3;4;0;0;1.18374;0;0;1.18058;0;0;0.0244259;0;0;-0.712546;0;0;-13.8634;0;0;-9.56077;0;0;3.04394;0;0;3.06089;-0.000111947;-0.992042;0.125908;0.793007;-0.525032;0.308999;0.0362907;0.999023;-0.0252323;-0.583628;-0.809322;-0.0661528;0.570365;-1.62831;0.930455;0;0;1.18058;2.83238;-1.39646;0.344858;0;0;-0.712546;0.72127;-0.153409;-0.044431;0;0;-9.56077;2.32927;-1.22728;0.0537024;0;0;3.06089;858;858;771;596;596;364;1000;1000;615;1000;1000;612;1;1;1;1;
4;5;0;0;-0.0233849;0;0;1.15719;0;0;-0.230245;0;0;-0.942791;0;0;-9.1486;0;0;-18.7094;0;0;-0.0446576;0;0;3.01624;0.940265;-0.137326;0.311516;0.0725583;0.996881;-0.0310289;-0.145944;0.989247;-0.00956013;0.919039;0.312907;0.239699;1.51321;-1.74662;1.24197;0;0;1.15719;2.92133;-0.400904;0.313829;0;0;-0.942791;0.900356;0.830378;-0.0539911;0;0;-18.7094;3.23057;-0.866444;0.293401;0;0;3.01624;865;865;777;622;622;355;1000;1000;568;901;901;552;1;1;1;1;
5;6;0;0;0.00469966;0;0;1.16189;0;0;2.19754;0;0;1.25475;0;0;-0.604418;0;0;-19.3138;0;0;-1.32694;0;0;1.68929;-0.784776;0.193863;-0.58868;-0.0779298;-0.996906;0.0102903;0.616035;0.78761;-0.0130949;0.640081;0.740448;0.205022;0.724667;-1.56871;0.653292;0;0;1.16189;2.86525;-1.39928;0.324119;0;0;1.25475;1.74222;1.36991;-0.067086;0;0;-19.3138;3.84854;-0.107449;0.498423;0;0;1.68929;889;889;798;620;620;365;1000;1000;574;1000;1000;599;1;1;1;1;
6;7;0;0;-0.0321049;0;0;1.12979;0;0;-0.437418;0;0;0.817334;0;0;0.137677;0;0;-19.1761;0;0;0.330998;0;0;2.02029;-0.950275;-0.160389;-0.26693;-0.383945;-0.922566;0.0381794;0.95993;-0.28022;-0.00318155;-0.90795;-0.363982;-0.207711;-0.222261;-1.74781;0.386361;0;0;1.12979;2.4945;-2.32723;0.362299;0;0;0.817334;2.55684;0.789931;-0.0702675;0;0;-19.1761;2.95399;-0.503213;0.290711;0;0;2.02029;891;891;788;619;619;386;1000;1000;604;1000;1000;571;1;1;1;1;
7;8;0;0;0.0478031;0;0;1.17759;0;0;-0.108302;0;0;0.709032;0;0;-0.0394534;0;0;-19.2156;0;0;-0.503347;0;0;1.51694;0.690436;-0.527848;0.494646;0.633857;-0.722071;0.277196;0.955973;-0.293452;-0.00142612;0.202351;0.977706;0.0560803;0.478877;-2.26135;0.881007;0;0;1.17759;3.13725;-3.0414;0.639495;0;0;0.709032;3.36297;0.198195;-0.0716937;0;0;-19.2156;3.13039;0.479507;0.346792;0;0;1.51694;881;881;794;626;626;362;1000;1000;591;1000;1000;605;1;1;1;1;
8;9;0;0;-0.0470112;0;0;1.13058;0;0;-0.0435763;0;0;0.665456;0;0;-0.0666036;0;0;-19.2822;0;0;1.41013;0;0;2.92707;0.943147;-0.166639;0.287586;0.895196;-0.441752;-0.0589867;0.932515;0.360941;-0.0116943;0.186221;-0.982496;0.00487202;1.42513;-2.40935;1.16859;0;0;1.13058;4.03751;-3.47272;0.580508;0;0;0.665456;4.36236;0.230953;-0.0833879;0;0;-19.2822;3.36653;-0.492197;0.351664;0;0;2.92707;838;837;762;569;569;331;1000;1000;606;1000;1000;675;1;1;1;1;
9;10;0;0;-0.0153621;0;0;1.11522;0;0;0.8496;0;0;1.51506;0;0;3.51851;0;0;-15.7637;0;0;1.05489;0;0;3.98196;0.939745;-0.062611;0.336094;0.0509083;0.980112;0.191803;-0.203272;-0.979007;0.0150086;0.307351;-0.921129;0.238865;2.36591;-2.45366;1.50469;0;0;1.11522;4.06249;-2.49161;0.77231;0;0;1.51506;3.90077;-0.656011;-0.0683794;0;0;-15.7637;3.73711;-1.38976;0.590529;0;0;3.98196;859;859;785;588;588;336;1000;1000;575;1000;1000;630;1;1;1;1;
