PROPERTIES:;VideoFileName=../../Data/Antarctica2014/jetty11f.avi;CameraType=12;videoSize=[720 x 480];videoFPS=30;videoFrameCount=192;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=869.117;fy_new=767.514;princPt=[359.5, 239.5];FRONT_CAMERA=1;DES_FOVX=45;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.0811358;0;0;0.0811358;0;0;0.904637;0;0;0.904637;0;0;-0.0192657;0;0;-0.0192657;0;0;0.05892;0;0;0.05892;0.780929;0.405025;0.475506;-0.778933;-0.62429;0.0593682;0.981558;-0.191157;-0.00160145;0.98797;-0.104821;0.113699;0.780354;0.40613;0.475506;0;0;0.0811358;-0.76898;-0.63651;0.0593682;0;0;0.904637;0.981494;-0.191487;-0.00160145;0;0;-0.0192657;0.988078;-0.103805;0.113699;0;0;0.05892;134;128;112;158;158;107;1000;1000;768;27;27;19;1;1;1;1;
1;2;0;0;0.00658487;0;0;0.0877206;0;0;0.089647;0;0;0.994284;0;0;0.430831;0;0;0.411565;0;0;-0.00316937;0;0;0.0557506;-0.0702729;-0.00673564;0.997505;-0.955159;-0.295695;0.0153303;-0.409266;-0.912405;0.00426661;0.882022;0.0984119;0.460817;0.710092;0.399287;1.47301;0;0;0.0877206;-1.71886;-0.948735;0.0746985;0;0;0.994284;0.578793;-1.10681;0.00266516;0;0;0.411565;1.87;-0.00453473;0.574516;0;0;0.0557506;199;195;182;173;173;128;1000;1000;609;39;39;32;1;1;1;1;
2;3;0;0;0.058173;0;0;0.145894;0;0;2.42082;0;0;3.4151;0;0;0.00306445;0;0;0.414629;0;0;-0.627384;0;0;-0.571633;-0.0346331;-0.115649;-0.992686;-0.471132;-0.882039;-0.00642827;-0.97804;-0.208248;0.0083583;-0.0661842;0.173518;-0.982604;0.675753;0.28355;0.480324;0;0;0.145894;-2.13662;-1.85727;0.0682702;0;0;3.4151;-0.397715;-1.32213;0.0110235;0;0;0.414629;1.80555;0.169635;-0.408088;0;0;-0.571633;142;141;132;183;183;133;1000;1000;559;33;33;26;1;1;1;1;
3;4;0;0;-0.000510356;0;0;0.145383;0;0;0.0554296;0;0;3.47053;0;0;0.56727;0;0;0.9819;0;0;0;0;0;-0.571633;0.578424;0.0761019;0.812179;-0.984817;-0.150773;0.0860407;0.118069;-0.992919;0.0130706;0;0;-1;1.25398;0.36112;1.2925;0;0;0.145383;-3.1105;-2.06739;0.154311;0;0;3.47053;-0.262648;-2.31288;0.0240941;0;0;0.9819;1.80555;0.169635;-1.40809;0;0;-0.571633;164;162;150;192;192;142;1000;1000;624;45;45;30;1;1;1;1;
4;5;0;0;-0.00558979;0;0;0.139793;0;0;1.01268;0;0;4.48322;0;0;-0.159181;0;0;0.822719;0;0;0.00643839;0;0;-0.565195;0.0557296;-0.0402349;0.997635;-0.605759;-0.765827;-0.215788;0.982444;-0.186548;-0.00209761;0.483905;0.180164;0.856374;1.30981;0.321021;2.29014;0;0;0.139793;-3.65454;-2.87822;-0.0614775;0;0;4.48322;0.722373;-2.4853;0.0219965;0;0;0.822719;2.29121;0.345017;-0.551714;0;0;-0.565195;157;155;133;211;211;146;1000;1000;591;40;40;33;1;1;1;1;
5;6;0;0;0.008766;0;0;0.148559;0;0;0.0851932;0;0;4.56841;0;0;0.89816;0;0;1.72088;0;0;0;0;0;-0.565195;0.667597;0.141265;0.730999;-0.80988;-0.323568;-0.489282;-0.0706774;-0.997395;0.0144414;0.970159;0.0741975;0.230839;1.97704;0.464017;3.02114;0;0;0.148559;-4.43608;-3.26527;-0.55076;0;0;4.56841;0.681679;-3.48437;0.0364378;0;0;1.72088;3.26206;0.409641;-0.320875;0;0;-0.565195;147;146;128;200;200;134;1000;1000;621;37;37;28;1;1;1;1;
6;7;0;0;-0.0125565;0;0;0.136003;0;0;1.81829;0;0;6.3867;0;0;0.0092818;0;0;1.73016;0;0;0;0;0;-0.565195;-0.50593;-0.0783855;-0.859006;-0.266654;-0.86137;-0.432363;-0.944365;-0.328823;0.00712357;0;0;1;1.4713;0.38443;2.16213;0;0;0.136003;-4.60526;-4.15095;-0.983123;0;0;6.3867;-0.252327;-3.84155;0.0435614;0;0;1.73016;3.26206;0.409641;0.679125;0;0;-0.565195;161;160;136;198;198;132;1000;1000;617;32;32;23;1;1;1;1;
7;8;0;0;-0.0769169;0;0;0.059086;0;0;-0.025318;0;0;6.36138;0;0;0.0825778;0;0;1.81274;0;0;0.00205215;0;0;-0.563142;-0.0775511;0.185329;0.979612;0.997584;0.0267071;0.0641279;0.900176;0.434956;0.0223058;-0.974688;0.00650937;0.223473;1.39355;0.569679;3.14174;0;0;0.059086;-3.61678;-4.01388;-0.918995;0;0;6.36138;0.633639;-3.37834;0.0658672;0;0;1.81274;2.28748;0.42573;0.902598;0;0;-0.563142;178;177;157;201;201;140;1000;1000;583;29;29;21;1;1;1;1;
8;9;0;0;0.0192109;0;0;0.078297;0;0;-0.0201699;0;0;6.34122;0;0;-0.0154443;0;0;1.79729;0;0;0.0650384;0;0;-0.498104;-0.653872;0.0315772;0.755946;-0.995481;-0.00947692;0.0944882;0.998887;-0.0465824;0.00745029;0.996134;-0.00770283;0.087503;0.739638;0.600363;3.89769;0;0;0.078297;-4.60512;-4.13325;-0.824507;0;0;6.34122;1.6335;-3.39357;0.0733175;0;0;1.79729;3.28351;0.409368;0.990101;0;0;-0.498104;150;149;131;200;200;141;1000;1000;592;21;21;15;1;1;1;1;
9;10;0;0;0.0444061;0;0;0.122703;0;0;0.0536411;0;0;6.39486;0;0;0.185747;0;0;1.98304;0;0;0;0;0;-0.498104;0.0521036;-0.103065;-0.993309;0.991514;0.0745766;-0.106485;0.927325;-0.374244;-0.00327777;0;0;-1;0.791963;0.49741;2.90438;0;0;0.122703;-3.62808;-3.9487;-0.930992;0;0;6.39486;2.57322;-3.7355;0.0700397;0;0;1.98304;3.28351;0.409368;-0.00989941;0;0;-0.498104;118;118;97;202;202;128;1000;1000;593;21;21;15;1;1;1;1;
