PROPERTIES:;VideoFileName=../../Data/Antarctica2014/jetty3b.avi;CameraType=12;videoSize=[720 x 480];videoFPS=30;videoFrameCount=177;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=869.117;fy_new=767.514;princPt=[359.5, 239.5];FRONT_CAMERA=1;DES_FOVX=45;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.0566681;0;0;0.0566681;0;0;0.000360441;0;0;0.000360441;0;0;0.00568941;0;0;0.00568941;0;0;0.0254446;0;0;0.0254446;-0.883918;0.46741;-0.014714;0.927885;-0.329715;0.17412;0.981181;-0.192286;0.0175921;0.977628;-0.20666;0.0391907;-0.88438;0.466536;-0.014714;0;0;0.0566681;0.927887;-0.329709;0.17412;0;0;0.000360441;0.9812;-0.192189;0.0175921;0;0;0.00568941;0.977719;-0.206226;0.0391907;0;0;0.0254446;381;380;353;347;347;238;1000;1000;630;142;142;107;1;1;1;1;
1;2;0;0;-0.00352292;0;0;0.0531451;0;0;-0.0169429;0;0;-0.0165824;0;0;0.00895283;0;0;0.0146422;0;0;0;0;0;0.0254446;0.942697;-0.297661;0.150733;0.996505;-0.0673578;-0.0494035;-0.63234;-0.772086;0.0634764;0;1;0;0.0585925;0.169749;0.136019;0;0;0.0531451;1.92437;-0.397356;0.124716;0;0;-0.0165824;0.349058;-0.964437;0.0810684;0;0;0.0146422;0.977275;0.793774;0.0391907;0;0;0.0254446;323;323;311;363;363;245;1000;1000;705;96;96;82;1;1;1;1;
2;3;0;0;0.00565556;0;0;0.0588007;0;0;0.0121648;0;0;-0.00441763;0;0;0.375912;0;0;0.390554;0;0;0;0;0;0.0254446;0.950717;-0.280819;0.131442;0.946553;-0.316777;0.0607447;0.236734;-0.971505;0.0116387;0;1;0;1.0096;-0.110094;0.267462;0;0;0.0588007;2.8709;-0.714206;0.185461;0;0;-0.00441763;0.592408;-1.93431;0.0927072;0;0;0.390554;0.976831;1.79377;0.0391907;0;0;0.0254446;303;303;293;359;359;252;1000;1000;705;89;89;80;1;1;1;1;
3;4;0;0;0.00673259;0;0;0.0655333;0;0;0.0294201;0;0;0.0250024;0;0;-0.00215853;0;0;0.388396;0;0;0;0;0;0.0254446;0.668338;-0.464356;0.581119;-0.937797;0.341134;-0.0645312;-0.886707;-0.46202;0.0169657;0;0;-1;1.67847;-0.573685;0.84858;0;0;0.0655333;1.93296;-0.373481;0.12093;0;0;0.0250024;-0.291147;-2.40233;0.109673;0;0;0.388396;0.976831;1.79377;-0.960809;0;0;0.0254446;309;308;289;361;361;262;1000;1000;706;103;103;80;1;1;1;1;
4;5;0;0;0.0207103;0;0;0.0862436;0;0;-0.0328862;0;0;-0.00788378;0;0;0.123285;0;0;0.51168;0;0;0;0;0;0.0254446;-0.956127;0.279067;-0.0891208;0.955829;0.293819;-0.00778071;0.823499;-0.561847;-0.0785928;0;1;0;0.72192;-0.296058;0.759459;0;0;0.0862436;2.88882;-0.0797933;0.113149;0;0;-0.00788378;0.537337;-2.9568;0.0310801;0;0;0.51168;0.976387;2.79377;-0.960809;0;0;0.0254446;276;276;261;381;381;274;1000;1000;703;96;96;86;1;1;1;1;
5;6;0;0;0.0114285;0;0;0.0976721;0;0;0;0;0;-0.00786893;0;0;-0.0621921;0;0;0.449488;0;0;0;0;0;0.0254696;-0.923448;0.378675;-0.0620337;0.940689;-0.323175;0.103259;0.732624;-0.673686;-0.0969977;0.0131891;-0.00361872;-0.999906;-0.202173;0.0810426;0.697426;0;0;0.0976721;3.82947;-0.403098;0.216408;0;0;-0.00786893;1.27522;-3.62471;-0.0659176;0;0;0.449488;0.989578;2.79016;-1.96072;0;0;0.0254696;308;308;297;380;380;274;1000;1000;694;106;106;79;1;1;1;1;
6;7;0;0;0.127436;0;0;0.225108;0;0;-0.0234758;0;0;-0.0313447;0;0;0.415275;0;0;0.864764;0;0;0;0;0;0.0254696;0.654767;-0.754232;0.0491275;0.77291;0.632517;-0.0503224;0.120913;-0.992626;-0.00859926;0;1;0;0.455553;-0.670611;0.746553;0;0;0.225108;4.60273;0.228997;0.166085;0;0;-0.0313447;1.4111;-4.6154;-0.0745168;0;0;0.864764;0.989133;3.79016;-1.96072;0;0;0.0254696;303;302;288;387;387;287;1000;1000;692;103;103;83;1;1;1;1;
7;8;0;0;-0.00832572;0;0;0.216783;0;0;-0.0258666;0;0;-0.0572113;0;0;-0.0101506;0;0;0.854613;0;0;0;0;0;0.0254696;-0.192227;0.127404;0.973045;-0.956457;-0.291837;-0.00453945;0.795454;0.605932;-0.00999257;0;0;1;0.262845;-0.543936;1.7196;0;0;0.216783;3.64598;-0.0618856;0.161546;0;0;-0.0572113;2.19743;-3.99767;-0.0845094;0;0;0.854613;0.989133;3.79016;-0.960716;0;0;0.0254696;303;303;279;396;396;295;1000;1000;725;94;94;80;1;1;1;1;
8;9;0;0;-0.0511368;0;0;0.165646;0;0;-0.0445826;0;0;-0.101794;0;0;0.874655;0;0;1.72927;0;0;0;0;0;0.0254696;0.0907477;0.172938;0.980743;-0.947465;-0.31591;-0.0501058;0.0206583;-0.998828;0.0437713;0;0;-1;0.353092;-0.370736;2.70034;0;0;0.165646;2.69795;-0.376112;0.11144;0;0;-0.101794;2.24822;-4.99542;-0.0407381;0;0;1.72927;0.989133;3.79016;-1.96072;0;0;0.0254696;299;299;280;409;409;290;1000;1000;700;99;99;77;1;1;1;1;
9;10;0;0;0.0499472;0;0;0.215593;0;0;0.0180709;0;0;-0.083723;0;0;0.261509;0;0;1.99078;0;0;0;0;0;0.0254696;-0.0432947;-0.153262;0.987237;0.951519;-0.304504;0.043458;0.358909;-0.933285;0.0127644;0;1;0;0.310374;-0.524161;3.68758;0;0;0.215593;3.64903;-0.682006;0.154898;0;0;-0.083723;2.63933;-5.91568;-0.0279737;0;0;1.99078;0.988689;4.79016;-1.96072;0;0;0.0254696;258;258;239;402;402;299;1000;1000;716;101;101;85;1;1;1;1;
