length=;165;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.0333333;-0.726936;0.470647;0.500055;0;0;0.364395;20;20;13;1;
0.0333333;0.0666667;-0.795105;-0.0782396;0.601403;0;0;2.08597;24;24;17;1;
0.0666667;0.1;-0.411593;-0.895753;0.16798;0;0;3.13791;20;20;13;1;
0.1;0.133333;-0.666295;0.549523;0.504059;0;0;1.0793;20;20;15;1;
0.133333;0.166667;-0.730415;0.511799;0.452278;0;0;1.13819;25;25;19;1;
0.166667;0.2;0.844312;-0.161524;-0.510928;0;0;-0.556117;27;27;21;1;
0.2;0.233333;-0.642911;0.57245;0.508887;0;0;1.2037;21;21;12;1;
0.233333;0.266667;-0.668357;0.560894;0.488566;0;0;-0.79334;16;16;9;1;
0.266667;0.3;-0.783817;0.340353;0.519413;0;0;0;16;16;9;0;
0.3;0.333333;-0.616409;0.578269;0.534458;0;0;1.24964;22;22;14;1;
0.333333;0.366667;-0.739572;0.38989;0.548652;0;0;2.37258;20;20;13;1;
0.366667;0.4;-0.611623;0.580237;0.537812;0;0;-2.07974;21;21;14;1;
0.4;0.433333;-0.858336;-0.00419613;0.51307;0;0;1.07075;17;17;12;1;
0.433333;0.466667;0.648041;-0.452023;-0.612958;0;0;0.105193;20;20;13;1;
0.466667;0.5;-0.655129;0.3885;0.647977;0;0;9.02838;23;23;13;1;
0.5;0.533333;-0.788337;0.184409;0.586957;0;0;0;23;23;12;0;
0.533333;0.566667;-0.813008;-0.226817;0.536258;0;0;21.9921;11;11;6;1;
0.566667;0.6;0.380582;-0.525929;-0.760629;0;0;1.63642;13;13;9;1;
0.6;0.633333;0.634588;-0.352701;-0.687677;0;0;1.03891;19;19;13;1;
0.633333;0.666667;0.786304;-0.0115461;-0.617732;0;0;0.363739;14;14;9;1;
0.666667;0.7;-0.791733;0.11501;0.599942;0;0;0.580969;15;15;8;1;
0.7;0.733333;-0.646931;0.31267;0.695498;0;0;-2.07566;13;13;7;1;
0.733333;0.766667;0.648059;-0.389208;-0.654627;0;0;1.00122;12;12;7;1;
0.766667;0.8;0.752107;-0.248331;-0.610464;0;0;0.207653;17;17;10;1;
0.8;0.833333;-0.703088;-0.709526;-0.0473418;0;0;-1.5875;14;14;8;1;
0.833333;0.866667;0.730393;-0.262779;-0.630454;0;0;-1.28942;18;18;10;1;
0.866667;0.9;-0.514318;0.574636;0.636608;0;0;0.855447;17;17;11;1;
0.9;0.933333;-0.731305;0.347115;0.587115;0;0;0;16;16;9;0;
0.933333;0.966667;0.713063;-0.210378;-0.668792;0;0;6.18938;13;13;7;1;
0.966667;1;-0.725701;0.350976;0.591755;0;0;-2.09424;16;16;10;1;
1;1.03333;-0.641531;-0.735354;0.218384;0;0;24.9798;12;12;7;1;
1.03333;1.06667;-0.698722;-0.498532;0.513083;0;0;0;12;12;7;0;
1.06667;1.1;-0.762822;0.267393;0.588731;0;0;0.452066;18;18;13;1;
1.1;1.13333;-0.75343;0.330799;0.568257;0;0;0;17;17;10;0;
1.13333;1.16667;-0.606805;0.520336;0.600865;0;0;-3.13308;21;21;14;1;
1.16667;1.2;-0.758604;0.35205;0.548252;0;0;0;18;18;10;0;
1.2;1.23333;-0.856716;-0.268386;0.440462;0;0;0;17;17;9;0;
1.23333;1.26667;0.883261;-0.0193086;-0.468484;0;0;1.92392;15;15;9;1;
1.26667;1.3;0.79631;-0.349429;-0.49375;0;0;-0.43454;20;20;15;1;
1.3;1.33333;-0.804289;0.298275;0.513957;0;0;0.697023;15;15;8;1;
1.33333;1.36667;-0.669676;0.4705;0.574599;0;0;-1.33384;14;14;9;1;
1.36667;1.4;-0.854414;0.233774;0.464033;0;0;0.780049;15;15;8;1;
1.4;1.43333;0.0697909;0.713716;-0.69695;0;0;-0.592739;14;14;8;1;
