PROPERTIES:;VideoFileName=../../Data/IceTesting/IceTestingLinux/Ice/Run13/2014-01-25_14-58-01.son.avi;CameraType=2;videoSize=[496 x 480];videoFPS=30;videoFrameCount=110;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=295.555;fy_new=391.459;princPt=[247.5, 239.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.546082;0;0;0.546082;0;0;-0.396869;0;0;-0.396869;0;0;-4.95247;0;0;-4.95247;0;0;-2.35249;0;0;-2.35249;0.237312;-0.936349;-0.258716;-0.792595;0.458068;0.40245;0.944508;-0.207161;-0.254929;0.881494;-0.351276;-0.315553;0.246226;-0.934044;-0.258716;0;0;0.546082;-0.789403;0.463547;0.40245;0;0;-0.396869;0.923098;-0.287926;-0.254929;0;0;-4.95247;0.866332;-0.387163;-0.315553;0;0;-2.35249;1000;964;726;78;78;54;1000;1000;941;1000;1000;780;1;1;1;1;
1;2;0;0;-0.22929;0;0;0.316793;0;0;-0.162809;0;0;-0.559679;0;0;0.264048;0;0;-4.68842;0;0;4.48233;0;0;2.12984;0.11762;0.974374;-0.191731;-0.885769;-0.388907;0.253307;0.938919;0.220118;-0.264535;0.0603331;-0.997551;0.0353836;0.358457;0.040965;-0.450447;0;0;0.316793;-1.67893;0.0833113;0.655758;0;0;-0.559679;1.87687;-0.145289;-0.519464;0;0;-4.68842;0.963697;-1.38178;-0.280169;0;0;2.12984;1000;983;807;74;74;49;1000;1000;941;1000;1000;711;1;1;1;1;
2;3;0;0;0.520174;0;0;0.836967;0;0;4.73019;0;0;4.17051;0;0;-9.60044;0;0;-14.2889;0;0;-2.35945;0;0;-0.229613;0.063075;-0.996609;0.0528372;-0.336005;-0.922409;-0.190428;0.921276;0.25384;-0.294645;-0.0410336;0.995442;0.0860864;0.436083;-0.954617;-0.39761;0;0;0.836967;-1.94696;-0.861091;0.46533;0;0;4.17051;2.83229;-0.126683;-0.814109;0;0;-14.2889;0.926653;-0.386184;-0.194083;0;0;-0.229613;1000;994;794;78;78;45;1000;1000;892;1000;1000;757;1;1;1;1;
3;4;0;0;0.153018;0;0;0.989984;0;0;0.813068;0;0;4.98358;0;0;1.20516;0;0;-13.0837;0;0;1.17286;0;0;0.943251;0.271746;0.937211;-0.218606;-0.735615;0.446655;0.509284;0.937275;0.0270318;-0.347542;-0.800966;0.554566;0.225634;0.691595;-0.0128498;-0.616216;0;0;0.989984;-2.7186;-0.480028;0.974614;0;0;4.98358;3.75136;-0.312528;-1.16165;0;0;-13.0837;0.116666;0.155121;0.0315511;0;0;0.943251;981;973;812;73;73;47;1000;1000;912;1000;1000;746;1;1;1;1;
4;5;0;0;0.194555;0;0;1.18454;0;0;0.672106;0;0;5.65569;0;0;6.4959;0;0;-6.58781;0;0;1.06953;0;0;2.01278;0.317512;0.94016;-0.123635;0.413367;-0.554416;-0.722324;-0.924731;-0.247835;0.288878;-0.844508;0.442677;0.301401;0.989604;0.933673;-0.739851;0;0;1.18454;-2.25261;-0.991007;0.25229;0;0;5.65569;2.8043;-0.452636;-0.872773;0;0;-6.58781;-0.742869;0.567864;0.332952;0;0;2.01278;831;822;612;63;63;37;1001;1001;894;813;813;578;1;1;1;1;
5;6;0;0;-0.166314;0;0;1.01823;0;0;-0.412809;0;0;5.24288;0;0;-19.1148;0;0;-25.7026;0;0;-0.520387;0;0;1.49239;0.424099;0.90433;0.0482333;0.983114;-0.0857471;-0.161661;0.850454;0.44333;-0.283174;0.508631;0.853045;-0.116655;1.39757;1.8454;-0.691618;0;0;1.01823;-1.26577;-0.986561;0.0906298;0;0;5.24288;3.76288;-0.422012;-1.15595;0;0;-25.7026;-0.256628;1.43387;0.216298;0;0;1.49239;1000;994;894;65;65;43;1000;1000;912;1000;1000;695;1;1;1;1;
6;7;0;0;0.484438;0;0;1.50266;0;0;0.642323;0;0;5.8852;0;0;-2.233;0;0;-27.9356;0;0;0.269194;0;0;1.76159;0.857512;0.125764;-0.498856;0.63372;-0.433119;-0.640942;0.925889;0.0316348;-0.376469;-0.125132;0.989732;-0.0690765;2.25148;1.9936;-1.19047;0;0;1.50266;-0.590979;-1.35242;-0.550312;0;0;5.8852;4.5957;-0.827823;-1.53242;0;0;-27.9356;-0.412126;2.41929;0.147221;0;0;1.76159;1000;992;860;72;72;48;1000;1000;888;1000;1000;679;1;1;1;1;
7;8;0;0;0.345074;0;0;1.84774;0;0;0.100993;0;0;5.9862;0;0;-1.4176;0;0;-29.3532;0;0;2.98212;0;0;4.74371;-0.168775;-0.974193;0.149874;0.942943;-0.179937;-0.280146;-0.909252;0.10823;0.401929;-0.782258;0.48662;0.388938;2.11421;1.01448;-1.0406;0;0;1.84774;0.365587;-1.43304;-0.830459;0;0;5.9862;3.85623;-0.28778;-1.13049;0;0;-29.3532;-1.23195;2.83955;0.536159;0;0;4.74371;1000;991;714;76;76;43;1000;1000;936;1000;1000;768;1;1;1;1;
8;9;0;0;0.687558;0;0;2.5353;0;0;0.560022;0;0;6.54622;0;0;10.8833;0;0;-18.4699;0;0;2.45034;0;0;7.19405;-0.206157;-0.963793;0.169123;-0.564385;0.397346;0.723592;-0.927243;0.175965;0.330541;0.934094;-0.34525;-0.0909452;1.95089;0.0425069;-0.871477;0;0;2.5353;-0.240418;-1.10262;-0.106867;0;0;6.54622;3.0325;0.172878;-0.799946;0;0;-18.4699;-0.261971;2.61399;0.445214;0;0;7.19405;1000;990;740;70;70;47;1000;1000;857;1000;1000;697;1;1;1;1;
9;10;0;0;0.557114;0;0;3.09241;0;0;0.321172;0;0;6.86739;0;0;-7.19008;0;0;-25.66;0;0;0.830443;0;0;8.02449;0.87795;0.00249968;-0.478745;0.904608;-0.417293;-0.0868983;0.924359;-0.141208;-0.35443;-0.810234;0.469994;0.35018;2.82742;0.0923653;-1.35022;0;0;3.09241;0.707597;-1.40876;-0.193765;0;0;6.86739;3.80455;-0.354679;-1.15438;0;0;-25.66;-1.12988;2.96628;0.795394;0;0;8.02449;1000;995;863;68;68;41;1000;1000;882;1000;1000;716;1;1;1;1;
