PROPERTIES:;VideoFileName=../../Data/IceTesting/IceTestingLinux/Ice/Run27/2014-01-25_15-28-05.avi;CameraType=2;videoSize=[720 x 576];videoFPS=30;videoFrameCount=167;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=429.031;fy_new=568.247;princPt=[247.5, 239.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;-0.590426;0;0;-0.590426;0;0;-0.207156;0;0;-0.207156;0;0;4.96999;0;0;4.96999;0;0;6.46743;0;0;6.46743;-0.033602;0.992609;0.116611;0.700788;-0.341194;-0.626484;0.953917;-0.276408;-0.116793;0.738856;-0.307471;-0.599628;-0.0233717;0.992903;0.116611;0;0;-0.590426;0.69955;-0.343726;-0.626484;0;0;-0.207156;0.974277;-0.192727;-0.116793;0;0;4.96999;0.768787;-0.222291;-0.599628;0;0;6.46743;1000;974;814;177;177;140;1001;1001;934;1000;1000;922;1;1;1;1;
1;2;0;0;0.278177;0;0;-0.312249;0;0;-4.84219;0;0;-5.04935;0;0;0.0722287;0;0;5.04222;0;0;-0.490946;0;0;5.97649;-0.241308;-0.957239;0.159573;0.799407;-0.186824;-0.571004;0.757704;-0.276951;-0.590917;0.728203;-0.310562;-0.610959;-0.269893;0.0369927;0.276184;0;0;-0.312249;1.47941;-0.600183;-1.19749;0;0;-5.04935;1.75339;-0.402012;-0.70771;0;0;5.04222;1.52537;-0.455344;-1.21059;0;0;5.97649;1000;951;756;118;118;107;1001;1001;916;1000;1000;922;1;1;1;1;
2;3;0;0;1.55555;0;0;1.2433;0;0;5.37481;0;0;0.325467;0;0;6.85192;0;0;11.8941;0;0;-2.00821;0;0;3.96827;0.284498;-0.95687;0.058833;0.701507;-0.282353;-0.654343;0.635325;-0.334503;-0.696039;0.737434;-0.256537;-0.624804;0.0352999;-0.913479;0.335017;0;0;1.2433;2.18251;-0.878547;-1.85183;0;0;0.325467;2.44402;-0.59839;-1.40375;0;0;11.8941;2.27879;-0.660233;-1.83539;0;0;3.96827;1000;982;952;183;183;159;1000;1000;903;1000;1000;935;1;1;1;1;
3;4;0;0;0.312139;0;0;1.55544;0;0;-1.4896;0;0;-1.16414;0;0;3.9474;0;0;15.8415;0;0;-16.4469;0;0;-12.4786;-0.215328;-0.971094;0.103004;-0.707667;0.383095;0.593672;0.592669;-0.414656;-0.69051;0.942167;0.0119919;-0.33493;-0.153589;-1.89006;0.438021;0;0;1.55544;1.48277;-0.481153;-1.25816;0;0;-1.16414;3.12737;-0.835512;-2.09426;0;0;15.8415;3.20129;-0.852103;-2.17032;0;0;-12.4786;1000;984;893;215;215;185;1000;1000;919;1000;1000;987;1;1;1;1;
4;5;0;0;-1.05737;0;0;0.498072;0;0;-12.9367;0;0;-14.1009;0;0;-2.90751;0;0;12.934;0;0;-2.9788;0;0;-15.4574;-0.0664108;0.986044;0.152668;0.733851;-0.0627278;-0.676409;0.708891;-0.259425;-0.655876;0.960421;-0.0398568;-0.275686;-0.228569;-0.904631;0.590689;0;0;0.498072;2.17923;-0.720779;-1.93457;0;0;-14.1009;3.87634;-0.929684;-2.75013;0;0;12.934;4.11635;-1.14649;-2.44601;0;0;-15.4574;1000;967;800;193;193;168;1000;1000;917;1000;1000;986;1;1;1;1;
5;6;0;0;-0.630525;0;0;-0.132452;0;0;0;0;0;-14.1009;0;0;-7.96222;0;0;4.97181;0;0;7.53137;0;0;-7.92607;0.59223;0.653409;-0.471509;0.918702;-0.394891;0.00688083;0.951162;-0.14784;-0.270986;0.974514;-0.0951071;-0.203166;0.365169;-0.252593;0.11918;0;0;-0.132452;2.97404;-1.32759;-1.92769;0;0;-14.1009;4.83674;-0.994536;-3.02112;0;0;4.97181;5.06844;-1.37507;-2.64917;0;0;-7.92607;1000;989;883;233;233;201;1000;1000;984;1000;1000;983;1;0;1;1;
6;7;0;0;-2.14386;0;0;-2.27631;0;0;-7.26746;0;0;-21.3683;0;0;10.4276;0;0;15.3994;0;0;1.42215;0;0;-6.50391;-0.131465;0.985702;0.105398;0.954801;-0.263991;-0.136613;0.855255;-0.240521;-0.459008;0.942103;-0.110831;-0.31648;0.272959;0.737553;0.224578;0;0;-2.27631;3.76702;-1.92133;-2.0643;0;0;-21.3683;5.72516;-0.999312;-3.48013;0;0;15.3994;5.99192;-1.5919;-2.96565;0;0;-6.50391;1000;980;885;196;196;185;1000;1000;996;1000;1000;989;1;1;1;1;
7;8;0;0;0.170754;0;0;-2.10555;0;0;-8.11456;0;0;-29.4829;0;0;0;0;0;15.3994;0;0;-1.80878;0;0;-8.31269;-0.00667349;-0.999153;0.0406003;-0.733446;0.216311;0.644412;-0.837618;0.162984;0.521375;0.784911;-0.298647;-0.542885;0.229581;-0.260681;0.265178;0;0;-2.10555;3.23501;-1.37206;-1.41989;0;0;-29.4829;4.87433;-1.06461;-2.95875;0;0;15.3994;6.72541;-2.00089;-3.50854;0;0;-8.31269;1000;977;763;219;219;188;1000;1000;970;1000;1000;973;1;1;0;1;
8;9;0;0;0.16786;0;0;-1.93769;0;0;0;0;0;-29.4829;0;0;-7.04956;0;0;8.3498;0;0;1.59576;0;0;-6.71693;0.919586;0.381694;0.0931173;-0.937808;0.341494;0.06243;0.770127;-0.243031;-0.58978;0.959474;-0.190352;-0.207785;1.16155;0.0897008;0.358296;0;0;-1.93769;2.58672;-0.613229;-1.35746;0;0;-29.4829;5.67159;-1.19323;-3.54853;0;0;8.3498;7.65603;-2.30216;-3.71632;0;0;-6.71693;1000;985;892;224;224;191;1000;1000;968;1000;1000;981;1;0;1;1;
9;10;0;0;0.637249;0;0;-1.30045;0;0;-2.99247;0;0;-32.4753;0;0;-20.6447;0;0;-12.2949;0;0;0;0;0;-6.71693;0.0906284;-0.96846;-0.232103;0.678263;-0.222029;-0.700473;-0.989673;0.0935226;0.108633;-0.976103;-0.136432;0.169143;1.23017;-0.880567;0.126193;0;0;-1.30045;3.0397;-1.16472;-2.05793;0;0;-32.4753;4.72453;-0.891104;-3.4399;0;0;-12.2949;6.67067;-2.32349;-3.54718;0;0;-6.71693;1000;982;875;234;234;205;1000;1000;957;1000;1000;966;1;1;1;0;
