length=;598;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.0243877;-0.999678;0.00698699;0;0;0.00405227;1000;980;973;1;
0.2;0.4;0.000875218;-0.999988;0.00484282;0;0;-0.00122438;1000;979;979;1;
0.4;0.6;-0.00615451;-0.99996;0.0065333;0;0;0.00446888;1000;984;976;1;
0.6;0.8;-0.0474673;-0.998858;0.00537962;0;0;0.0105483;1000;989;983;1;
0.8;1;0.0273545;-0.999624;0.00185883;0;0;0.000386083;1000;988;982;1;
1;1.2;-0.00730222;-0.999916;-0.0107095;0;0;0.0102602;1000;990;988;1;
1.2;1.4;-0.0274336;-0.999623;-0.000987906;0;0;0.00127044;1000;991;987;1;
1.4;1.6;0.00422247;-0.999991;-0.00096362;0;0;0.00841087;1000;984;977;1;
1.6;1.8;0.0328976;-0.999411;-0.00980803;0;0;-0.00895168;1000;985;978;1;
1.8;2;0.017124;-0.999819;-0.00828226;0;0;0.00480674;1000;989;985;1;
2;2.2;0.000404208;-0.999999;0.00131951;0;0;0.00159248;1000;981;981;1;
2.2;2.4;0.0149806;-0.999883;-0.00300885;0;0;-0.00684628;1000;989;980;1;
2.4;2.6;-0.0028831;-0.999995;0.00122084;0;0;-0.00121096;1000;988;981;1;
2.6;2.8;-0.0274079;-0.999589;-0.00839541;0;0;-0.0130059;1000;988;980;1;
2.8;3;0.0123848;-0.999915;0.00401912;0;0;0.00142045;1000;987;982;1;
3;3.2;0.0599908;-0.998156;-0.00924385;0;0;-0.000276887;1000;983;974;1;
3.2;3.4;0.0168949;-0.999849;0.0040719;0;0;0.00192367;1000;981;975;1;
3.4;3.6;-0.0270599;-0.999557;0.0123693;0;0;-0.00643908;1000;988;975;1;
3.6;3.8;-0.00304222;-0.999994;0.00141798;0;0;-0.00910172;1000;987;984;1;
3.8;4;-0.029283;-0.99954;0.00791987;0;0;0.00283334;1000;981;976;1;
4;4.2;-0.00647798;-0.999976;-0.00243915;0;0;-0.0148675;1000;985;975;1;
4.2;4.4;-0.00848259;-0.999963;0.00144989;0;0;0.0046367;1000;985;982;1;
4.4;4.6;0.0117264;-0.999929;-0.00217651;0;0;-0.00628965;1000;976;974;1;
4.6;4.8;-0.00133331;-0.999998;0.00147012;0;0;0.0111252;1000;986;985;1;
4.8;5;-0.0589509;-0.998258;0.00229688;0;0;-0.00261701;1000;989;987;1;
5;5.2;-0.00937113;-0.999913;0.00924994;0;0;-0.0127138;1000;985;979;1;
5.2;5.4;-0.00506268;-0.999987;-0.000151485;0;0;0.00283698;1000;986;981;1;
5.4;5.6;-0.0458231;-0.998949;0.00144546;0;0;0.00452158;1000;989;981;1;
5.6;5.8;0.078523;-0.996911;-0.00156135;0;0;-0.00647503;1000;991;984;1;
5.8;6;0.0291959;-0.999574;-0.000485523;0;0;0.00359112;1000;990;982;1;
6;6.2;0.0646266;-0.997909;-0.00111123;0;0;-0.00502507;1000;987;984;1;
6.2;6.4;0.0516359;-0.998662;-0.00295635;0;0;0.00298833;1000;982;979;1;
6.4;6.6;0.0346325;-0.999397;-0.00234803;0;0;-0.00456068;1000;985;979;1;
6.6;6.8;-0.0307433;-0.999504;0.00685472;0;0;-0.00370688;1000;978;973;1;
6.8;7;-0.0306579;-0.99953;-0.00077286;0;0;0.00411196;1000;989;982;1;
7;7.2;-0.0141678;-0.999884;0.00550876;0;0;-0.00156058;1000;979;970;1;
7.2;7.4;-0.0196086;-0.9998;0.00402217;0;0;0;1000;978;970;1;
7.4;7.6;0.0184728;-0.999829;0;0;0;-0.00437437;1000;981;979;1;
7.6;7.8;0.0368418;-0.99932;-0.0013255;0;0;0.00269199;1000;973;967;1;
7.8;8;0.0579533;-0.99831;0.00438211;0;0;-0.00141286;1000;986;977;1;
8;8.2;0.0315469;-0.999502;-0.000334828;0;0;0.00340476;1000;984;975;1;
8.2;8.4;0.0260742;-0.99965;-0.00450893;0;0;0.00282508;1000;977;976;1;
8.4;8.6;0.0086274;-0.99991;0.0103119;0;0;-0.00480009;1000;989;985;1;
8.6;8.8;-0.018414;-0.999815;0.00562523;0;0;0.00870115;1000;986;977;1;
8.8;9;0.0206626;-0.999785;0.00180025;0;0;-0.00426405;1000;995;976;1;
9;9.2;0.0225041;-0.999713;0.00821783;0;0;-0.00315388;1000;981;981;1;
9.2;9.4;-0.0467083;-0.998908;-0.000959205;0;0;-0.00139414;1000;995;994;1;
9.4;9.6;-0.0244281;-0.999694;0.00392719;0;0;-0.000695745;1000;989;985;1;
9.6;9.8;0.00426114;-0.999965;0.00724588;0;0;-0.0103376;1000;992;980;1;
9.8;10;0.0801797;-0.996779;0.00161609;0;0;-0.00197297;1000;978;971;1;
10;10.2;0.0186196;-0.999771;0.0105075;0;0;0.0019739;1000;991;977;1;
10.2;10.4;-0.0142756;-0.999893;-0.00306417;0;0;0.00736268;1000;983;979;1;
10.4;10.6;0.0151577;-0.999873;0.00490279;0;0;0.0135023;1000;990;981;1;
10.6;10.8;-0.0228977;-0.999734;0.00284739;0;0;0.00411182;1000;995;995;1;
10.8;11;-0.00405034;-0.999972;0.0062734;0;0;-0.00353004;1000;983;978;1;
11;11.2;-0.00215695;-0.999996;-0.00169872;0;0;0.00842675;1000;986;978;1;
11.2;11.4;0.000311649;-0.999955;0.009431;0;0;-0.000836371;1000;985;975;1;
11.4;11.6;-0.0348032;-0.999394;-0.00072487;0;0;0.00272641;1000;989;989;1;
11.6;11.8;-0.0104144;-0.999918;-0.00740589;0;0;0.00485546;1000;998;998;1;
11.8;12;-0.00965973;-0.999936;0.00583196;0;0;0.00450064;1000;995;995;1;
12;12.2;0.00983676;-0.999951;0.00109424;0;0;-0.000870287;1000;979;976;1;
12.2;12.4;-0.0311699;-0.999513;-0.00134271;0;0;0.000826517;1000;993;987;1;
12.4;12.6;-0.00398962;-0.999992;0.000137913;0;0;0.000741366;1000;976;969;1;
12.6;12.8;-0.0149167;-0.999882;0.00366799;0;0;-0.0040149;1000;984;978;1;
12.8;13;0.00715282;-0.999933;-0.0090803;0;0;-0.00594314;1000;969;960;1;
13;13.2;0.009344;-0.999953;-0.00244651;0;0;0.00204949;1000;993;982;1;
13.2;13.4;-0.00688124;-0.999976;-0.000448512;0;0;-0.00120115;1000;993;993;1;
13.4;13.6;0.0305977;-0.999525;-0.00370893;0;0;-0.00549134;1000;992;989;1;
13.6;13.8;-0.0165057;-0.999856;0.00386115;0;0;0.00152187;1000;995;986;1;
13.8;14;-0.0139996;-0.9999;-0.00203583;0;0;-0.0047493;1000;987;986;1;
14;14.2;0.00281145;-0.999996;-0.000422116;0;0;0.00529615;1000;984;976;1;
14.2;14.4;-0.0221188;-0.999748;0.00373196;0;0;0.00182247;1000;976;964;1;
14.4;14.6;-0.0232906;-0.999726;0.00244598;0;0;-0.00893662;1000;982;974;1;
14.6;14.8;-0.0057437;-0.999927;0.0105852;0;0;0.000257899;1000;992;992;1;
14.8;15;0.0145038;-0.999892;-0.00216977;0;0;0.00371055;1000;996;996;1;
15;15.2;0.00313023;-0.999994;-0.0012601;0;0;-0.00177203;1000;997;996;1;
15.2;15.4;-0.00295595;-0.999993;0.00228263;0;0;0.0032365;1000;997;994;1;
15.4;15.6;-0.0445126;-0.99899;-0.00619144;0;0;-0.00570464;1000;995;989;1;
15.6;15.8;0.00639341;-0.999979;0.00103609;0;0;0.00188332;1000;967;946;1;
15.8;16;-0.00367149;-0.999956;0.00860139;0;0;-0.00291879;1000;972;967;1;
16;16.2;-0.00224693;-0.999997;-0.00112837;0;0;0.0018105;1000;993;982;1;
16.2;16.4;0;-0.999979;-0.00654795;0;0;-0.000747609;1000;983;972;1;
16.4;16.6;-0.0106503;-0.999899;-0.0093718;0;0;-0.000302422;1000;991;982;1;
16.6;16.8;0.00512108;-0.999987;-0.000303987;0;0;0.00773451;1000;992;991;1;
16.8;17;-0.0383494;-0.999257;-0.0037774;0;0;-0.0018537;1000;989;986;1;
17;17.2;0.0186548;-0.999826;0;0;0;0.00271257;1000;981;977;1;
17.2;17.4;-0.031569;-0.9995;0.00170345;0;0;-0.00320265;1000;971;960;1;
17.4;17.6;-0.00423311;-0.99999;0.00131359;0;0;-0.0136998;1000;971;965;1;
17.6;17.8;-0.00559369;-0.999976;0.00400297;0;0;0.00241317;1000;962;962;1;
17.8;18;-0.025117;-0.99968;-0.00299665;0;0;-0.00226359;1000;970;964;1;
18;18.2;-0.0207883;-0.999747;0.00864725;0;0;0.0128992;1000;978;958;1;
18.2;18.4;0.0134188;-0.999887;-0.00675175;0;0;-0.00460044;1000;968;963;1;
