length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.0860866;0.234865;0.968208;0;0;1.00006;1000;1000;999;1;
0.2;0.4;0.117523;0.266902;0.956531;0;0;0.994519;1000;1000;999;1;
0.4;0.6;0.283219;0.54812;0.786989;0;0;1.00371;1000;1000;999;1;
0.6;0.8;-0.0657483;-0.276763;-0.958686;0;0;1.00439;1000;1000;999;1;
0.8;1;0.0842546;0.24906;0.964816;0;0;0.994558;1000;1000;997;1;
1;1.2;0.102094;-0.011931;0.994703;0;0;0.997935;1000;1000;1000;1;
1.2;1.4;0.416025;0.909203;-0.0165199;0;0;0.995448;1000;1000;999;1;
1.4;1.6;-0.0108084;0.450603;0.892659;0;0;0.998501;1000;1000;999;1;
1.6;1.8;0.0500302;-0.443187;0.895032;0;0;1.00122;1000;1000;1000;1;
1.8;2;0.0125081;0.225821;0.974089;0;0;1.00191;1000;1000;1000;1;
2;2.2;0.498583;0.677869;0.540285;0;0;1.00237;1000;1000;998;1;
2.2;2.4;0.108973;0.902922;0.41576;0;0;0.999639;1000;1000;998;1;
2.4;2.6;0.295951;0.950095;0.0986498;0;0;0.994442;1000;1000;999;1;
2.6;2.8;0.454258;0.843575;0.286409;0;0;0.999639;1000;1000;999;1;
2.8;3;-0.172807;-0.437254;0.88258;0;0;1.00364;1000;1000;1000;1;
3;3.2;0.0830325;0.172183;0.981559;0;0;1.00038;1000;1000;1000;1;
3.2;3.4;0.424752;0.905269;-0.00855131;0;0;0.997191;1000;1000;999;1;
3.4;3.6;0.498753;0.759373;-0.41785;0;0;1.00029;1000;1000;1000;1;
3.6;3.8;0.167442;0.453389;0.875444;0;0;1.00155;1000;1000;996;1;
3.8;4;0.434528;0.589866;-0.68062;0;0;1.0024;1000;1000;999;1;
4;4.2;0.0966094;0.369444;0.924217;0;0;0.998105;1000;1000;998;1;
4.2;4.4;0.219129;0.385423;0.896343;0;0;0.993623;1000;1000;998;1;
4.4;4.6;-0.737116;-0.673099;-0.0599799;0;0;0.994155;1000;998;997;1;
4.6;4.8;0.3248;0.40439;0.85497;0;0;1.00093;1000;1000;999;1;
4.8;5;0.66213;0.739022;0.124218;0;0;1.00113;1000;999;998;1;
5;5.2;0.430886;0.519008;0.738219;0;0;0.99818;1000;1000;1000;1;
5.2;5.4;-0.00875579;-0.211332;0.977375;0;0;0.998428;1000;1000;1000;1;
5.4;5.6;-0.239395;-0.385796;0.890983;0;0;0.997647;1000;1000;1000;1;
5.6;5.8;0.157006;0.252992;0.954643;0;0;0.996953;1000;1000;999;1;
5.8;6;0.318542;0.721746;0.614502;0;0;1.00297;1000;1000;996;1;
6;6.2;0.606953;0.715178;0.346596;0;0;1.00161;1000;1000;999;1;
6.2;6.4;0.552592;0.67776;0.485061;0;0;0.997839;1000;1000;999;1;
6.4;6.6;-0.740591;-0.50842;-0.439356;0;0;0.999731;1000;1000;999;1;
6.6;6.8;0.439968;0.880372;-0.177124;0;0;1.00614;1000;998;997;1;
6.8;7;0.643895;0.740896;0.190978;0;0;1.00129;1000;999;996;1;
7;7.2;0.60707;0.773761;0.180997;0;0;0.997935;1000;1000;999;1;
7.2;7.4;0.519523;0.428117;0.739467;0;0;1.00241;1000;1000;1000;1;
7.4;7.6;-0.716869;-0.626929;-0.305055;0;0;0.99261;1000;1000;999;1;
7.6;7.8;0.171711;0.0803987;0.981861;0;0;0.998146;1000;1000;999;1;
7.8;8;0.335495;0.823499;-0.457486;0;0;1.00107;1000;1000;999;1;
8;8.2;0.409289;0.263217;0.873613;0;0;0.999519;1000;999;999;1;
8.2;8.4;-0.775082;-0.562643;0.287543;0;0;0.999266;1000;999;998;1;
8.4;8.6;0.6226;0.771156;-0.132998;0;0;1.01143;1000;1000;999;1;
8.6;8.8;0.378042;0.350067;0.857052;0;0;0.996456;1000;1000;1000;1;
8.8;9;-0.644035;-0.464265;0.60801;0;0;0.996494;1000;1000;1000;1;
9;9.2;0.430683;0.374375;0.821192;0;0;0.996048;1000;1000;999;1;
9.2;9.4;0.598475;0.782327;0.172604;0;0;0.998738;1000;1000;1000;1;
9.4;9.6;-0.405905;-0.516637;0.753875;0;0;1.00469;1000;1000;1000;1;
9.6;9.8;-0.199996;-0.208227;0.957415;0;0;1.00891;1000;1000;998;1;
9.8;10;-0.611345;-0.367907;-0.700644;0;0;0.998644;1000;1000;1000;1;
10;10.2;0.369396;0.0900926;0.924895;0;0;0.994315;1000;1000;999;1;
10.2;10.4;-0.854445;-0.326148;-0.404415;0;0;1.00316;1000;999;999;1;
10.4;10.6;-0.887357;-0.46046;-0.023959;0;0;1.00418;1000;1000;1000;1;
10.6;10.8;0.526484;0.85016;-0.00650272;0;0;1.00295;1000;999;994;1;
10.8;11;-0.758108;-0.412033;0.505472;0;0;1.00321;1000;1000;1000;1;
11;11.2;-0.594236;-0.573197;0.564206;0;0;1.00226;1000;1000;999;1;
