length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.245138;-0.244574;0.938132;0;0;0.995436;1000;1000;1000;1;
0.2;0.4;0.000748988;-0.191075;0.981575;0;0;0.995289;1000;1000;1000;1;
0.4;0.6;0.361069;0.898974;0.24794;0;0;0.998612;1000;1000;1000;1;
0.6;0.8;0.250925;-0.289618;0.923666;0;0;0.990751;1000;1000;1000;1;
0.8;1;0.101508;-0.0753245;0.991979;0;0;0.995724;1000;1000;1000;1;
1;1.2;-0.157137;-0.428621;0.889714;0;0;0.997509;1000;1000;1000;1;
1.2;1.4;0.380977;-0.290676;0.877704;0;0;1.00313;1000;1000;1000;1;
1.4;1.6;-0.0646434;-0.308801;0.948927;0;0;0.996798;1000;1000;1000;1;
1.6;1.8;0.166552;0.268726;0.948708;0;0;0.997403;1000;1000;1000;1;
1.8;2;0.403816;0.877868;-0.257448;0;0;0.994158;1000;1000;1000;1;
2;2.2;0.234657;0.124103;0.964124;0;0;0.995434;1000;1000;1000;1;
2.2;2.4;-0.130181;0.344543;0.9297;0;0;0.994923;1000;1000;1000;1;
2.4;2.6;0.131024;-0.24061;0.961738;0;0;0.994096;1000;1000;1000;1;
2.6;2.8;0.363651;0.334009;0.869595;0;0;0.990682;1000;1000;1000;1;
2.8;3;-0.157699;-0.123778;0.979699;0;0;0.995882;1000;1000;1000;1;
3;3.2;0.036597;0.760074;0.648806;0;0;0.993241;1000;1000;1000;1;
3.2;3.4;0.290962;0.955245;-0.0533692;0;0;0.992616;1000;1000;1000;1;
3.4;3.6;0.06381;-0.289283;0.955115;0;0;0.99811;1000;1000;1000;1;
3.6;3.8;0.193167;0.0735461;0.978406;0;0;0.996372;1000;1000;1000;1;
3.8;4;0.108244;-0.166617;0.980062;0;0;0.995227;1000;1000;1000;1;
4;4.2;0.159735;-0.151839;0.975413;0;0;0.998464;1000;1000;1000;1;
4.2;4.4;-0.451416;-0.203914;0.868702;0;0;0.99324;1000;1000;1000;1;
4.4;4.6;-0.355784;-0.362001;0.861611;0;0;0.99367;1000;1000;1000;1;
4.6;4.8;0.704231;0.703401;0.0963618;0;0;0.991904;1000;1000;1000;1;
4.8;5;0.0139652;-0.204627;0.97874;0;0;0.997193;1000;1000;1000;1;
5;5.2;0.191393;-0.0970082;0.976708;0;0;0.997214;1000;1000;1000;1;
5.2;5.4;0.186417;0.116116;0.975585;0;0;0.997674;1000;1000;1000;1;
5.4;5.6;-0.190437;-0.268245;0.94434;0;0;0.997309;1000;1000;1000;1;
5.6;5.8;0.301855;-0.28669;0.909226;0;0;0.995755;1000;1000;1000;1;
5.8;6;-0.878775;-0.335936;0.338972;0;0;1.00043;1000;1000;1000;1;
6;6.2;-0.35873;0.71784;0.596673;0;0;1.00138;1000;1000;1000;1;
6.2;6.4;0.155875;-0.317168;0.935472;0;0;0.996259;1000;1000;1000;1;
6.4;6.6;0.0970148;-0.211774;0.972492;0;0;0.994929;1000;1000;1000;1;
6.6;6.8;-0.15779;-0.176454;0.971579;0;0;0.997491;1000;1000;1000;1;
6.8;7;-0.0155671;-0.215177;0.976451;0;0;1.00081;1000;1000;1000;1;
7;7.2;-0.793165;-0.2707;-0.545537;0;0;0.993815;1000;1000;1000;1;
7.2;7.4;0.238914;0.0186634;0.970861;0;0;0.99271;1000;1000;1000;1;
