length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;-0.144679;-0.135201;-0.980198;0;0;1.00215;1000;1000;998;1;
0.2;0.4;0.168969;0.458117;0.872684;0;0;0.995278;1000;1000;1000;1;
0.4;0.6;-0.0594255;0.998103;-0.0161158;0;0;1.00191;1000;1000;1000;1;
0.6;0.8;-0.10608;0.686457;0.719392;0;0;1.00253;1000;1000;996;1;
0.8;1;0.0522616;-0.64314;0.763963;0;0;0.995435;1000;999;998;1;
1;1.2;0.183583;0.268133;-0.945728;0;0;0.999012;1000;999;999;1;
1.2;1.4;-0.0294749;0.468432;0.883008;0;0;0.994842;1000;1000;999;1;
1.4;1.6;0.161023;0.370717;-0.91468;0;0;0.995159;1000;1000;999;1;
1.6;1.8;0.0430693;0.324602;0.944869;0;0;0.999842;1000;1000;999;1;
1.8;2;0.0840011;0.200752;0.976034;0;0;0.999557;1000;1000;998;1;
2;2.2;0.156707;0.900431;0.405793;0;0;1.00018;1000;1000;999;1;
2.2;2.4;-0.197886;0.961782;0.189251;0;0;0.996062;1000;999;996;1;
2.4;2.6;0.0989551;-0.327349;0.939708;0;0;0.999679;1000;1000;997;1;
2.6;2.8;0.238619;0.965269;0.106378;0;0;0.993864;1000;997;993;1;
2.8;3;0.172208;0.920054;-0.351915;0;0;0.994469;1000;1000;1000;1;
3;3.2;0.311188;0.764537;0.564487;0;0;1.00525;1000;999;997;1;
3.2;3.4;0.214066;0.971448;0.102293;0;0;1.00053;1000;1000;997;1;
3.4;3.6;0.510801;0.813889;0.276888;0;0;1.00108;1000;999;999;1;
3.6;3.8;0.0424921;-0.375672;0.925778;0;0;1.00335;1000;1000;999;1;
3.8;4;-0.090694;-0.100639;0.990781;0;0;1.00026;1000;1000;998;1;
4;4.2;0.270607;0.906192;0.324944;0;0;0.998522;1000;998;998;1;
4.2;4.4;0.425439;0.602457;0.675312;0;0;0.993657;1000;999;999;1;
4.4;4.6;0.243084;0.908271;0.34052;0;0;0.999158;1000;1000;998;1;
4.6;4.8;0.355734;0.932185;0.0669714;0;0;0.999053;1000;998;996;1;
4.8;5;0.527366;0.8494;-0.02012;0;0;1.00254;1000;998;998;1;
5;5.2;0.476053;0.839945;0.260511;0;0;0.993511;1000;1000;1000;1;
5.2;5.4;0.39415;0.910079;-0.128072;0;0;0.998393;1000;1000;998;1;
5.4;5.6;0.108446;0.492479;0.863541;0;0;0.997975;1000;1000;1000;1;
5.6;5.8;-0.179778;-0.414699;-0.892023;0;0;0.995061;1000;999;998;1;
5.8;6;0.251059;0.543474;0.801003;0;0;0.997698;1000;998;997;1;
6;6.2;0.566356;0.67007;-0.479841;0;0;0.997831;1000;1000;1000;1;
6.2;6.4;-0.0387739;-0.18874;0.981261;0;0;0.995392;1000;1000;998;1;
6.4;6.6;-0.371247;-0.514995;0.772629;0;0;0.993653;1000;1000;999;1;
6.6;6.8;0.432242;0.449072;0.781985;0;0;0.997796;1000;1000;1000;1;
6.8;7;-0.649461;-0.589175;-0.480701;0;0;0.996581;1000;1000;1000;1;
7;7.2;0.548919;0.735639;0.396893;0;0;1.00724;1000;999;995;1;
7.2;7.4;0.599653;0.580414;0.550941;0;0;1.00139;1000;1000;998;1;
7.4;7.6;0.344692;0.470542;0.812267;0;0;1.00532;1000;999;998;1;
7.6;7.8;0.364549;0.925499;0.102742;0;0;0.998821;1000;1000;998;1;
7.8;8;-0.0534083;-0.394987;0.917133;0;0;1.00189;1000;1000;999;1;
8;8.2;-0.655167;-0.510254;-0.557132;0;0;0.996803;1000;1000;999;1;
8.2;8.4;-0.415332;-0.404572;0.814752;0;0;0.998514;1000;1000;999;1;
8.4;8.6;0.522568;0.637358;0.566301;0;0;0.991824;1000;1000;998;1;
8.6;8.8;0.646115;0.760751;0.0615876;0;0;1.00123;1000;1000;999;1;
8.8;9;-0.17942;-0.311094;-0.933289;0;0;1.00043;1000;1000;999;1;
9;9.2;-0.573633;-0.47029;0.670651;0;0;0.99696;1000;999;998;1;
9.2;9.4;0.450275;0.22496;0.864087;0;0;1.00427;1000;999;999;1;
9.4;9.6;0.545777;0.146751;0.82498;0;0;0.992955;1000;999;999;1;
9.6;9.8;0.466324;0.223497;0.855916;0;0;0.997366;1000;1000;1000;1;
9.8;10;-0.67067;-0.473592;-0.570887;0;0;0.995691;1000;999;995;1;
10;10.2;-0.651415;-0.481882;0.586045;0;0;1.00001;1000;1000;999;1;
10.2;10.4;0.540253;0.840661;-0.0376221;0;0;1.00386;1000;1000;999;1;
10.4;10.6;-0.284132;-0.410731;0.866354;0;0;0.999936;1000;999;995;1;
10.6;10.8;0.470836;0.546907;0.692247;0;0;0.995167;1000;999;999;1;
10.8;11;0.606485;0.0992306;0.788879;0;0;1.00529;1000;1000;998;1;
11;11.2;0.677793;0.735252;-0.00081679;0;0;1.0004;1000;1000;999;1;
11.2;11.4;-0.253328;-0.382585;0.888512;0;0;0.995034;1000;1000;999;1;
11.4;11.6;-0.591549;-0.541437;0.597424;0;0;0.998188;1000;998;995;1;
11.6;11.8;-0.6781;-0.153538;0.718753;0;0;0.998792;1000;1000;1000;1;
11.8;12;0.486131;0.375489;0.789103;0;0;0.993851;1000;1000;1000;1;
12;12.2;-0.723117;-0.587499;-0.363246;0;0;1.00338;1000;1000;999;1;
12.2;12.4;0.321812;0.339436;0.883867;0;0;0.992193;1000;999;999;1;
12.4;12.6;-0.928334;-0.371744;-0.00157597;0;0;1.00858;1000;1000;1000;1;
12.6;12.8;-0.444901;-0.165114;0.880227;0;0;0.989589;1000;1000;1000;1;
12.8;13;0.460382;0.192923;0.866504;0;0;1.00148;1000;1000;999;1;
13;13.2;-0.893942;-0.400633;0.200902;0;0;0.996662;1000;999;999;1;
13.2;13.4;-0.605898;-0.482496;0.632522;0;0;0.993712;1000;1000;997;1;
13.4;13.6;-0.701542;-0.317415;0.638034;0;0;1.0039;1000;1000;998;1;
13.6;13.8;-0.855352;-0.206526;-0.4751;0;0;0.992523;1000;999;998;1;
13.8;14;0.416374;0.412552;0.810206;0;0;1.00218;1000;999;999;1;
14;14.2;-0.392688;-0.361015;0.845851;0;0;0.993777;1000;999;999;1;
14.2;14.4;-0.902776;-0.420514;0.0903503;0;0;0.998458;1000;1000;997;1;
14.4;14.6;-0.978674;-0.0747971;-0.191316;0;0;0.996966;1000;1000;1000;1;
14.6;14.8;-0.98405;-0.174367;0.0352264;0;0;1.00197;1000;999;997;1;
14.8;15;-0.972831;-0.209856;-0.0977796;0;0;1.00205;1000;998;996;1;
15;15.2;-0.70601;0.0624671;0.705441;0;0;0.995807;1000;1000;999;1;
15.2;15.4;0.368186;0.139687;0.919199;0;0;0.998494;1000;1000;999;1;
15.4;15.6;0.397631;0.0539697;0.915957;0;0;0.988604;1000;1000;1000;1;
15.6;15.8;0.622501;0.162652;0.76553;0;0;1.01088;1000;1000;999;1;
15.8;16;0.694268;0.109613;0.71132;0;0;0.985591;1000;1000;1000;1;
16;16.2;0.640356;0.0151821;0.767928;0;0;1.00297;1000;1000;999;1;
16.2;16.4;-0.967631;-0.249926;-0.0350444;0;0;0.992092;1000;1000;1000;1;
16.4;16.6;-0.793812;0.175373;0.582329;0;0;1.00427;1000;998;998;1;
16.6;16.8;0.531993;0.0734604;0.843556;0;0;1.00142;1000;999;998;1;
16.8;17;-0.950344;-0.147927;0.273796;0;0;1.00226;1000;999;999;1;
17;17.2;-0.995741;-0.0164754;-0.0907118;0;0;1.00464;1000;1000;1000;1;
17.2;17.4;-0.983917;0.177538;0.0196715;0;0;1.00701;1000;999;998;1;
17.4;17.6;-0.714279;-0.00784504;-0.699817;0;0;1.00527;1000;998;996;1;
17.6;17.8;-0.893286;-0.399184;0.20662;0;0;1.0024;1000;999;999;1;
17.8;18;-0.976517;-0.0660295;-0.205071;0;0;1.00006;1000;1000;999;1;
18;18.2;-0.841338;-0.150133;-0.51924;0;0;1.00337;1000;999;999;1;
18.2;18.4;-0.813944;0.0930928;0.573437;0;0;1.00621;1000;999;999;1;
18.4;18.6;0.203745;-0.144441;0.96831;0;0;1.00736;1000;1000;1000;1;
18.6;18.8;0.129953;-0.140079;-0.981575;0;0;0.99942;1000;999;996;1;
18.8;19;-0.90887;0.248914;-0.33466;0;0;0.991769;1000;997;995;1;
19;19.2;-0.923593;0.0012796;0.383372;0;0;0.999443;1000;1000;999;1;
19.2;19.4;-0.415108;-0.0315033;0.909227;0;0;1.00003;1000;998;995;1;
19.4;19.6;-0.831611;-0.00881396;-0.555289;0;0;0.998828;1000;999;997;1;
19.6;19.8;-0.335597;-0.0502434;0.940665;0;0;1.00676;1000;999;997;1;
19.8;20;-0.82919;0.40582;0.384388;0;0;1.00567;1000;999;999;1;
20;20.2;-0.488361;-0.138836;0.861527;0;0;1.00077;1000;999;998;1;
20.2;20.4;-0.455539;0.0459135;0.889031;0;0;1.00071;1000;1000;1000;1;
20.4;20.6;-0.316835;0.18299;0.930661;0;0;0.989599;1000;997;997;1;
20.6;20.8;-0.951802;0.301105;-0.0583823;0;0;1.00323;1000;999;998;1;
20.8;21;-0.5116;0.179753;0.840211;0;0;0.997256;1000;997;996;1;
21;21.2;-0.939048;0.325835;-0.109641;0;0;0.999259;1000;999;999;1;
21.2;21.4;-0.97614;-0.0717554;-0.204942;0;0;1.0025;1000;1000;1000;1;
21.4;21.6;-0.617719;-0.0736495;0.782943;0;0;0.998332;1000;1000;1000;1;
21.6;21.8;-0.660131;0.419375;0.623178;0;0;0.997781;1000;1000;998;1;
21.8;22;0.634266;-0.17317;0.753471;0;0;1.00795;1000;1000;1000;1;
22;22.2;-0.988356;-0.11846;0.0954987;0;0;1.00174;1000;1000;1000;1;
22.2;22.4;-0.795362;0.548489;0.257991;0;0;1.0032;1000;1000;998;1;
22.4;22.6;-0.937446;0.348102;0.00449232;0;0;1.00017;1000;1000;994;1;
22.6;22.8;-0.334727;0.298281;0.89386;0;0;1.00006;1000;998;996;1;
22.8;23;-0.941992;0.308944;0.131168;0;0;0.994785;1000;1000;999;1;
23;23.2;-0.839869;0.393137;0.37425;0;0;0.996144;1000;1000;1000;1;
23.2;23.4;-0.617493;0.100284;0.780158;0;0;1.00186;1000;998;998;1;
23.4;23.6;-0.701498;0.511677;-0.496073;0;0;0.992531;1000;1000;1000;1;
23.6;23.8;-0.791457;0.553051;0.26025;0;0;0.997218;1000;1000;999;1;
23.8;24;-0.864681;0.486354;-0.125645;0;0;1.00527;1000;1000;998;1;
24;24.2;-0.704026;0.316714;-0.635641;0;0;0.999783;1000;1000;999;1;
24.2;24.4;-0.661968;0.484295;-0.572063;0;0;0.998744;1000;998;993;1;
24.4;24.6;-0.648328;0.760249;-0.0411284;0;0;0.998822;1000;1000;1000;1;
24.6;24.8;0.460208;-0.439197;0.771567;0;0;0.998818;1000;999;998;1;
24.8;25;0.136677;-0.302875;-0.943179;0;0;1.00208;1000;1000;999;1;
25;25.2;-0.39138;0.374876;0.84041;0;0;0.994083;1000;1000;1000;1;
25.2;25.4;-0.766186;0.301659;-0.567416;0;0;1.00006;1000;999;999;1;
25.4;25.6;-0.222759;0.111103;0.968522;0;0;1.0002;1000;1000;999;1;
25.6;25.8;-0.866859;0.4027;-0.293919;0;0;1.00432;1000;999;998;1;
25.8;26;-0.0880043;0.267692;0.959477;0;0;0.997061;1000;1000;1000;1;
26;26.2;-0.843868;0.444021;-0.301217;0;0;0.99832;1000;1000;1000;1;
26.2;26.4;0.418425;-0.508221;0.75275;0;0;1.0011;1000;1000;1000;1;
26.4;26.6;-0.915151;0.356586;0.188004;0;0;0.997187;1000;1000;997;1;
26.6;26.8;-0.36204;0.443053;0.820141;0;0;0.995119;1000;999;999;1;
26.8;27;0.580761;-0.292592;0.759676;0;0;0.995953;1000;1000;998;1;
27;27.2;0.087243;-0.42048;0.903097;0;0;0.995342;1000;1000;1000;1;
27.2;27.4;-0.388677;0.907527;-0.159135;0;0;1.00411;1000;998;998;1;
27.4;27.6;-0.232428;-0.0667137;0.970323;0;0;0.998116;1000;1000;999;1;
27.6;27.8;-0.618489;0.774169;-0.134658;0;0;0.999619;1000;999;998;1;
27.8;28;-0.751887;0.650682;-0.106205;0;0;0.997634;1000;999;999;1;
28;28.2;-0.545054;0.838394;-0.00334656;0;0;0.9958;1000;1000;1000;1;
28.2;28.4;0.354785;-0.303106;0.884451;0;0;0.99731;1000;1000;1000;1;
28.4;28.6;-0.333489;0.939878;-0.0735884;0;0;0.997081;1000;998;998;1;
28.6;28.8;-0.489913;0.717497;0.49516;0;0;0.989296;1000;1000;999;1;
28.8;29;-0.633964;0.645497;-0.425937;0;0;1.00021;1000;999;998;1;
29;29.2;-0.237417;0.364093;0.900594;0;0;1.00274;1000;1000;997;1;
29.2;29.4;-0.27889;0.651081;-0.705914;0;0;0.997307;1000;1000;1000;1;
29.4;29.6;0.227617;-0.46974;0.852956;0;0;0.997525;1000;1000;1000;1;
29.6;29.8;-0.654125;0.754533;-0.0529265;0;0;1.00165;1000;1000;999;1;
29.8;30;0.151771;-0.280633;0.94774;0;0;1.00553;1000;998;998;1;
30;30.2;-0.248506;0.948593;-0.195999;0;0;0.999745;1000;1000;996;1;
30.2;30.4;-0.107203;0.317782;-0.942084;0;0;1.00362;1000;1000;998;1;
30.4;30.6;-0.2017;0.643036;0.738798;0;0;0.99429;1000;1000;1000;1;
30.6;30.8;-0.413722;0.897095;-0.155092;0;0;0.994388;1000;1000;1000;1;
30.8;31;-0.387565;0.90674;-0.166179;0;0;0.991881;1000;1000;996;1;
31;31.2;-0.221443;0.588833;0.777328;0;0;0.993012;1000;1000;997;1;
31.2;31.4;0.409629;-0.526083;0.745279;0;0;1.00158;1000;999;997;1;
31.4;31.6;-0.205555;0.414134;0.886702;0;0;0.999109;1000;1000;1000;1;
31.6;31.8;-0.0429439;-0.362134;-0.931136;0;0;1.00144;1000;1000;997;1;
31.8;32;-0.143569;0.97907;0.144254;0;0;0.996808;1000;1000;999;1;
32;32.2;0.00852014;-0.276859;0.960873;0;0;0.99852;1000;1000;1000;1;
32.2;32.4;-0.246418;0.878109;0.410125;0;0;1.00073;1000;1000;998;1;
