length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;-0.286079;-0.446463;0.847838;0;0;1.00502;1000;1000;999;1;
0.2;0.4;-0.822912;0.363317;-0.436825;0;0;0.998908;1000;1000;1000;1;
0.4;0.6;-0.13353;-0.14387;0.980546;0;0;0.999415;1000;1000;1000;1;
0.6;0.8;-0.393438;-0.167558;0.903953;0;0;0.995719;1000;1000;1000;1;
0.8;1;-0.518588;0.170893;0.837772;0;0;0.994605;1000;1000;1000;1;
1;1.2;0.522255;0.317523;0.791473;0;0;1.00006;1000;1000;1000;1;
1.2;1.4;0.42292;0.624647;-0.656472;0;0;0.999693;1000;1000;1000;1;
1.4;1.6;0.384018;0.351329;0.853872;0;0;0.994868;1000;1000;1000;1;
1.6;1.8;0.406108;-0.20392;0.890782;0;0;1.00121;1000;1000;1000;1;
1.8;2;-0.364509;-0.25742;0.894912;0;0;0.998793;1000;1000;1000;1;
2;2.2;-0.897143;0.332574;0.290738;0;0;0.996376;1000;1000;1000;1;
2.2;2.4;0.557054;-0.0764941;0.826946;0;0;0.994747;1000;1000;1000;1;
2.4;2.6;0.188592;-0.182262;0.964994;0;0;0.996058;1000;1000;1000;1;
2.6;2.8;-0.759121;-0.58425;0.287033;0;0;1.00349;1000;1000;1000;1;
2.8;3;-0.725294;-0.659664;0.196958;0;0;0.997568;1000;1000;1000;1;
3;3.2;0.318577;0.0454897;0.946805;0;0;1.00212;1000;1000;1000;1;
3.2;3.4;-0.121155;-0.26285;0.9572;0;0;0.999572;1000;1000;1000;1;
3.4;3.6;-0.15558;0.833577;0.530042;0;0;0.999405;1000;1000;1000;1;
3.6;3.8;0.296882;0.171757;0.93934;0;0;0.999625;1000;1000;1000;1;
3.8;4;0.113654;-0.291389;0.949829;0;0;1.00019;1000;1000;1000;1;
4;4.2;-0.811569;0.0200713;-0.583911;0;0;1.00404;1000;1000;1000;1;
4.2;4.4;0.0531064;0.098556;0.993713;0;0;0.999678;1000;1000;999;1;
4.4;4.6;-0.785944;-0.208354;-0.582135;0;0;0.995761;1000;1000;999;1;
4.6;4.8;0.0195514;-0.215653;0.976274;0;0;0.999721;1000;1000;1000;1;
4.8;5;0.192116;0.136062;0.971894;0;0;0.999177;1000;1000;999;1;
5;5.2;0.125012;-0.120508;0.98481;0;0;0.998474;1000;1000;1000;1;
5.2;5.4;0.597981;-0.130151;0.790872;0;0;1.00233;1000;1000;999;1;
5.4;5.6;0.402634;0.515235;0.756583;0;0;1.0035;1000;1000;1000;1;
5.6;5.8;-0.611273;0.592439;0.524749;0;0;1.00271;1000;1000;1000;1;
5.8;6;-0.0911016;0.196197;0.976323;0;0;1.00007;1000;1000;1000;1;
6;6.2;0.144794;0.845291;0.514313;0;0;0.991779;1000;1000;1000;1;
6.2;6.4;-0.728109;-0.477307;0.491971;0;0;0.995941;1000;1000;1000;1;
6.4;6.6;0.113992;0.587499;0.801156;0;0;1.0005;1000;1000;1000;1;
6.6;6.8;-0.155714;-0.485935;0.860012;0;0;1.00229;1000;1000;1000;1;
6.8;7;-0.0349981;0.604561;0.79579;0;0;0.999634;1000;1000;1000;1;
7;7.2;-0.188695;-0.136513;0.972501;0;0;1.00054;1000;1000;1000;1;
7.2;7.4;-0.371405;0.924348;-0.0874028;0;0;1.00089;1000;1000;1000;1;
7.4;7.6;0.123366;-0.309359;-0.942909;0;0;0.99595;1000;1000;1000;1;
7.6;7.8;-0.291289;-0.231297;0.928252;0;0;1.00035;1000;1000;1000;1;
7.8;8;-0.775797;0.551204;-0.307104;0;0;0.996965;1000;1000;1000;1;
8;8.2;0.0635931;-0.136171;0.988642;0;0;0.998149;1000;1000;1000;1;
8.2;8.4;0.336541;0.0102828;0.941613;0;0;0.999411;1000;1000;1000;1;
8.4;8.6;-0.51599;0.434884;0.737991;0;0;1.00063;1000;1000;1000;1;
8.6;8.8;0.26853;-0.0668599;0.960948;0;0;1.00468;1000;1000;1000;1;
8.8;9;-0.173551;0.294871;0.939644;0;0;0.999475;1000;1000;1000;1;
9;9.2;0.00122636;-0.375964;0.926634;0;0;0.999403;1000;1000;1000;1;
9.2;9.4;-0.130762;-0.21249;0.968375;0;0;1.00087;1000;1000;1000;1;
9.4;9.6;-0.879501;-0.451956;0.149045;0;0;1.00355;1000;1000;1000;1;
9.6;9.8;-0.238704;-0.155687;0.958531;0;0;1.00052;1000;1000;1000;1;
9.8;10;-0.177489;-0.114419;0.977449;0;0;0.999331;1000;1000;1000;1;
10;10.2;0.381849;-0.0903083;0.919802;0;0;1.0003;1000;1000;1000;1;
10.2;10.4;0.0910733;0.0344646;0.995248;0;0;1.00084;1000;1000;1000;1;
10.4;10.6;-0.704623;-0.32156;0.632539;0;0;1.00245;1000;1000;1000;1;
10.6;10.8;-0.998457;-0.0103949;0.0545481;0;0;0.999153;1000;1000;1000;1;
10.8;11;0.324779;-0.0560063;0.94413;0;0;1.00143;1000;1000;1000;1;
11;11.2;-0.266568;-0.119272;0.956408;0;0;0.998206;1000;1000;1000;1;
11.2;11.4;0.157499;0.679268;0.716791;0;0;1.00125;1000;1000;1000;1;
11.4;11.6;0.229419;0.00260402;0.973324;0;0;1.00455;1000;1000;1000;1;
11.6;11.8;-0.156266;-0.533667;0.831132;0;0;1.00041;1000;1000;1000;1;
11.8;12;-0.221906;-0.273833;0.935827;0;0;0.99865;1000;1000;1000;1;
12;12.2;0.325581;0.081602;0.941986;0;0;0.995867;1000;1000;1000;1;
12.2;12.4;-0.451145;0.268825;0.851;0;0;0.996255;1000;1000;1000;1;
12.4;12.6;-0.288741;-0.189584;0.938449;0;0;1.00092;1000;1000;1000;1;
12.6;12.8;0.255508;0.159739;0.953519;0;0;1.00249;1000;1000;1000;1;
12.8;13;-0.010496;-0.254482;0.96702;0;0;1.00117;1000;1000;1000;1;
13;13.2;-0.719844;-0.423955;0.549625;0;0;1.00089;1000;1000;1000;1;
13.2;13.4;-0.235518;-0.569555;0.787488;0;0;0.999316;1000;1000;1000;1;
13.4;13.6;0.484096;-0.155183;0.861144;0;0;0.998655;1000;1000;1000;1;
13.6;13.8;-0.032272;-0.471653;0.881193;0;0;0.998741;1000;1000;1000;1;
13.8;14;-0.0419941;-0.0549549;0.997605;0;0;1.00033;1000;1000;1000;1;
14;14.2;0.11871;-0.142391;-0.982666;0;0;1.00011;1000;1000;1000;1;
14.2;14.4;-0.0934414;-0.00195987;0.995623;0;0;0.99842;1000;1000;1000;1;
