length=;598;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.999953;-0.00756529;0.00603623;0;0;0.00493823;1000;976;939;1;
0.2;0.4;0.99999;-0.00435798;0.00116885;0;0;0.00487262;1000;979;944;1;
0.4;0.6;0.999989;0.00469644;-0.000668996;0;0;-0.00662699;1000;974;931;1;
0.6;0.8;0.999908;-0.0135714;-0.00049078;0;0;0.0185572;1000;970;920;1;
0.8;1;0.999992;0.00100325;-0.00392541;0;0;-0.00472978;1000;966;943;1;
1;1.2;0.99999;0.00397958;-0.00217729;0;0;-0.00321815;993;947;922;1;
1.2;1.4;0.999989;0.00467643;-0.0007278;0;0;-0.00333145;1000;956;926;1;
1.4;1.6;0.999874;-0.0151189;-0.00492616;0;0;0.0340237;1000;968;934;1;
1.6;1.8;0.999919;-0.0126125;-0.00171625;0;0;0.0160717;1000;989;955;1;
1.8;2;0.999975;0.00629342;-0.00332639;0;0;-0.00708168;1000;980;946;1;
2;2.2;0.999972;0.00284071;-0.00694047;0;0;-0.00603601;1000;985;940;1;
2.2;2.4;0.999989;0.00430901;-0.00160028;0;0;-0.00382658;1000;973;945;1;
2.4;2.6;0.999974;0.00712728;-0.00055409;0;0;-0.00144821;1000;981;965;1;
2.6;2.8;0.999965;-0.00816348;-0.00176115;0;0;0.0133149;1000;972;959;1;
2.8;3;1;0.000392749;0;0;0;-0.00516893;1000;976;957;1;
3;3.2;0.999931;0.0117041;-0.00138876;0;0;-0.0192944;1000;984;966;1;
3.2;3.4;0.999992;0.000164873;0.0040069;0;0;-0.00540458;1000;980;952;1;
3.4;3.6;0.999993;0.00329512;-0.00172098;0;0;-0.00218177;1000;972;952;1;
3.6;3.8;0.999985;0.00315772;-0.0044611;0;0;-0.00806207;1000;984;962;1;
3.8;4;0.999948;-0.00849644;0.00570062;0;0;0.0112516;1000;978;955;1;
4;4.2;0.999952;-0.00567697;0.00796674;0;0;0.0104456;1000;972;950;1;
4.2;4.4;0.999898;-0.0141687;-0.00197792;0;0;0.026389;1000;986;957;1;
4.4;4.6;0.999992;-0.00336515;0.00218711;0;0;0.00297063;1000;982;950;1;
4.6;4.8;0.99985;0.0153546;-0.00807285;0;0;-0.0223445;1000;977;938;1;
4.8;5;0.999959;0.00549863;-0.00716631;0;0;-0.0146807;1000;971;939;1;
5;5.2;0.999819;0.012162;-0.0146517;0;0;-0.011983;1000;972;917;1;
5.2;5.4;0.999903;0.0135284;-0.00334592;0;0;-0.0190318;949;916;887;1;
5.4;5.6;0.999969;0.00767614;-0.00157143;0;0;-0.00828826;976;943;902;1;
5.6;5.8;0.99995;0.00921826;-0.00399187;0;0;-0.0151945;964;926;886;1;
5.8;6;0.999632;-0.0271254;0.000469627;0;0;0.0539445;987;960;928;1;
6;6.2;0.999933;-0.0114532;-0.00156422;0;0;0.0206954;949;925;886;1;
6.2;6.4;0.999964;-0.00843618;0.000450745;0;0;0.00921968;969;939;900;1;
6.4;6.6;0.999911;-0.0123206;-0.00503252;0;0;0.0142285;955;934;892;1;
6.6;6.8;0.99996;-0.00874082;-0.00198461;0;0;0.0088077;929;900;876;1;
6.8;7;0.999902;0.013335;0.00435796;0;0;-0.0159663;952;927;881;1;
7;7.2;0.999926;-0.0109263;-0.00540217;0;0;0.0329124;873;839;808;1;
7.2;7.4;0.999994;-0.00344897;0.000267172;0;0;0.0182201;925;889;841;1;
7.4;7.6;0.999785;-0.0158335;-0.0133601;0;0;0.0199495;935;902;856;1;
7.6;7.8;0.999927;0.0118565;0.00248664;0;0;-0.0135525;923;888;849;1;
7.8;8;0.999902;-0.0123323;0.00666156;0;0;0.0231298;926;881;830;1;
8;8.2;0.999934;-0.00956958;-0.00629275;0;0;0.0194889;854;830;777;1;
8.2;8.4;0.999997;0.00226835;-0.000834578;0;0;0.00204107;885;845;806;1;
8.4;8.6;0.99999;-0.000422265;0.00434117;0;0;0.00227162;869;843;804;1;
8.6;8.8;0.999937;0.0111956;-0.000180083;0;0;-0.0147816;876;845;814;1;
8.8;9;0.999996;0.000225184;0.00272268;0;0;-0.00769372;908;870;839;1;
9;9.2;0.999949;0.00425196;0.00915146;0;0;-0.0163911;918;888;838;1;
9.2;9.4;0.999959;0.0010024;-0.0089909;0;0;-0.00225641;930;899;864;1;
9.4;9.6;0.999996;0.00141519;-0.00234844;0;0;-0.00103637;931;904;861;1;
9.6;9.8;0.999968;-0.00203011;0.00769081;0;0;0.00547517;882;857;814;1;
9.8;10;0.999984;0.00503403;-0.00245471;0;0;-0.00783375;898;866;842;1;
10;10.2;0.999921;-0.0122059;0.00291167;0;0;0.0107044;890;864;845;1;
10.2;10.4;0.999939;-0.00885778;0.00656121;0;0;0.0182751;930;914;884;1;
10.4;10.6;0.999861;-0.0162525;0.00379256;0;0;0.0240494;905;863;818;1;
10.6;10.8;1;-0.000583388;-0.000110954;0;0;-0.00203778;900;862;831;1;
10.8;11;0.999976;0.00178508;0.00663555;0;0;-0.00120317;892;861;835;1;
11;11.2;0.9999;-0.000670332;0.0141347;0;0;-0.00101775;881;855;814;1;
11.2;11.4;0.999991;0.0029345;-0.00309101;0;0;-0.00301374;864;848;821;1;
11.4;11.6;0.999932;0.00917408;-0.00724186;0;0;-0.00986193;914;897;826;1;
11.6;11.8;0.999849;-0.0155794;0.00769349;0;0;0.0341449;900;869;811;1;
11.8;12;0.999982;0.000133015;0.00598295;0;0;0.00448009;904;883;825;1;
12;12.2;0.999392;0.0339892;0.00771537;0;0;-0.0460818;938;921;827;1;
12.2;12.4;0.999683;0.0224055;0.0114503;0;0;-0.0313051;954;938;868;1;
12.4;12.6;0.999987;0.0035057;-0.00360513;0;0;-0.00128305;987;953;897;1;
12.6;12.8;0.999987;-0.00366913;0.00365594;0;0;-0.00361193;1000;951;906;1;
12.8;13;0.999824;-0.0185958;-0.0025482;0;0;0.0279125;989;968;912;1;
13;13.2;0.999992;-0.00410604;0.000371235;0;0;0.00899999;979;961;922;1;
13.2;13.4;0.999954;0.0093804;-0.00175249;0;0;-0.00888468;995;954;913;1;
13.4;13.6;0.999984;0.00568192;0.00060362;0;0;-0.00186561;994;967;937;1;
13.6;13.8;0.999671;0.0245176;-0.00748372;0;0;-0.039714;961;934;898;1;
13.8;14;0.999957;-0.00128727;0.00921908;0;0;0.00290019;948;916;874;1;
14;14.2;0.999999;-0.00143503;-0.000886003;0;0;0.00396684;924;900;864;1;
14.2;14.4;0.999489;0.0279733;0.0154477;0;0;-0.0561892;929;903;854;1;
14.4;14.6;0.999783;0.0198739;0.00631013;0;0;-0.041049;955;925;870;1;
14.6;14.8;0.99978;0.0208394;-0.00244687;0;0;-0.0416942;914;887;871;1;
14.8;15;0.99978;0.019924;0.00662751;0;0;-0.0519709;936;918;891;1;
15;15.2;0.999991;-0.00380413;-0.00190004;0;0;0.00630102;914;888;852;1;
15.2;15.4;0.999719;0.0209876;0.0110105;0;0;-0.0666508;854;834;807;1;
15.4;15.6;0.999936;0.0103973;0.00454597;0;0;-0.0378012;871;839;807;1;
15.6;15.8;0.99998;0.00500793;-0.00387853;0;0;-0.0258165;891;854;826;1;
15.8;16;0.999937;0.00336918;-0.0107369;0;0;-0.0105459;882;855;838;1;
16;16.2;0.999885;-0.00788688;0.0129911;0;0;0.0210882;864;851;812;1;
16.2;16.4;0.999983;0.00584211;-0.000902538;0;0;-0.0231545;835;823;793;1;
16.4;16.6;0.999976;-0.00106287;0.00677648;0;0;-0.000548758;886;857;804;1;
16.6;16.8;0.999973;-0.00585788;0.0044177;0;0;0.00852897;832;813;760;1;
16.8;17;0.999992;-0.000820377;-0.0040164;0;0;0.00322676;759;721;689;1;
17;17.2;0.999685;-0.00979778;0.0230912;0;0;-0.00715347;719;686;618;1;
17.2;17.4;0.999672;-0.018415;0.0178119;0;0;0.020786;756;728;665;1;
17.4;17.6;0.999978;0.00456418;0.0048928;0;0;-0.0102545;745;714;675;1;
17.6;17.8;0.999994;0.000884288;-0.00341567;0;0;-0.0114898;688;653;602;1;
17.8;18;0.999994;-0.00191995;-0.00300964;0;0;0.00883864;719;676;632;1;
18;18.2;0.999985;0.00442243;-0.00313307;0;0;-0.0101561;706;673;626;1;
18.2;18.4;0.999976;-0.00504725;0.00476845;0;0;0.00134371;706;672;608;1;
18.4;18.6;0.999859;-0.0154251;-0.00656835;0;0;0.0276065;692;667;584;1;
18.6;18.8;0.99995;-0.00770529;-0.00639322;0;0;0.0138098;676;649;588;1;
18.8;19;0.999994;0.00347172;0.000872024;0;0;-0.00320897;705;663;588;1;
19;19.2;0.999952;-0.00232283;-0.00955777;0;0;0.00376351;673;639;575;1;
19.2;19.4;0.999997;0.000581322;-0.00220375;0;0;-0.00862076;681;650;582;1;
19.4;19.6;0.999999;0.000481969;-0.00136261;0;0;0.000822765;706;667;591;1;
19.6;19.8;0.99998;0;-0.00629369;0;0;-0.00474391;691;656;593;1;
19.8;20;0.999995;-0.00311515;-0.000235099;0;0;0.00888628;696;660;598;1;
20;20.2;0.999943;-0.00410763;-0.0098397;0;0;0.0110794;685;657;589;1;
20.2;20.4;0.999977;0.00670344;0.000652297;0;0;-0.0139747;756;715;659;1;
20.4;20.6;0.999878;0.0151536;0.00391546;0;0;-0.0215157;823;797;718;1;
