length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.488883;-0.746502;-0.451363;0;0;0.997942;757;754;754;1;
0.2;0.4;0.986293;0.00526462;-0.164917;0;0;0.99923;765;756;754;1;
0.4;0.6;0.95494;-0.189354;-0.22855;0;0;0.998336;754;746;745;1;
0.6;0.8;0.98063;-0.145253;-0.131401;0;0;0.998195;801;795;787;1;
0.8;1;-0.800811;0.598584;-0.0199739;0;0;1.006;795;785;784;1;
1;1.2;0.935922;-0.331155;-0.11994;0;0;1.00016;797;790;787;1;
1.2;1.4;-0.942119;-0.222567;0.250751;0;0;0.998864;804;799;791;1;
1.4;1.6;-0.978731;-0.0389111;0.201422;0;0;1.00256;792;788;784;1;
1.6;1.8;-0.981102;0.0863262;0.173167;0;0;1.00255;791;786;785;1;
1.8;2;-0.985341;0.132415;0.107559;0;0;1.00079;789;781;779;1;
2;2.2;-0.964994;-0.120283;0.233062;0;0;0.997934;815;807;806;1;
2.2;2.4;0.965118;-0.223987;-0.135559;0;0;0.998928;832;824;823;1;
2.4;2.6;-0.965419;0.0741603;0.249933;0;0;1.00042;813;804;801;1;
2.6;2.8;-0.711269;0.658127;0.246911;0;0;0.998813;815;810;806;1;
2.8;3;0.824408;-0.499712;-0.265779;0;0;1.00592;828;820;815;1;
3;3.2;0.987833;-0.0948488;-0.12325;0;0;1.00027;815;805;802;1;
3.2;3.4;0.679768;-0.702681;0.210128;0;0;0.99754;808;797;794;1;
3.4;3.6;-0.240414;-0.906678;-0.346606;0;0;1.02817;813;800;796;1;
3.6;3.8;-0.986085;-0.058984;0.155425;0;0;1.00247;823;820;818;1;
3.8;4;-0.778545;0.548613;0.30478;0;0;1.00079;827;818;815;1;
4;4.2;-0.97529;-0.147222;0.164729;0;0;0.999259;834;824;822;1;
4.2;4.4;-0.983383;-0.11975;0.13645;0;0;1.00244;808;802;802;1;
4.4;4.6;-0.968039;0.181643;0.172932;0;0;1.00102;825;816;814;1;
4.6;4.8;-0.647312;-0.690217;0.3234;0;0;1.00795;818;811;807;1;
4.8;5;-0.947829;-0.262616;0.180701;0;0;0.996769;828;818;817;1;
