length=;198;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.999891;0.014747;0.000462769;0;0;-0.0117661;880;880;875;1;
0.2;0.4;0.999914;0.00987053;-0.00868269;0;0;-0.00647724;888;885;878;1;
0.4;0.6;0.999886;-0.0103937;0.0109872;0;0;0.00535205;872;872;871;1;
0.6;0.8;0.999831;-0.0183869;0.000447093;0;0;0.01565;872;872;858;1;
0.8;1;0.99999;-0.00250894;0.00365703;0;0;-0.00275367;865;863;855;1;
1;1.2;0.999955;-0.00783153;0.00536022;0;0;0.00415421;872;871;863;1;
1.2;1.4;0.999795;0.000397458;-0.0202486;0;0;0.00406055;850;850;840;1;
1.4;1.6;0.999851;0.0130051;-0.0113551;0;0;-0.00979177;859;859;855;1;
1.6;1.8;0.999945;0.0102083;-0.00230973;0;0;-0.0124283;857;855;839;1;
1.8;2;0.999998;0.000534149;0.00194881;0;0;-0.00342904;883;881;875;1;
2;2.2;0.99985;-0.0108369;-0.0135074;0;0;0.00605487;857;857;856;1;
2.2;2.4;0.999997;-0.00136715;0.00203731;0;0;-0.00117606;865;861;859;1;
2.4;2.6;0.999612;-0.0228048;0.0159975;0;0;0.0128278;861;861;853;1;
2.6;2.8;0.99987;-0.00858928;-0.0136807;0;0;0.00758847;861;861;853;1;
2.8;3;0.999911;-0.00987546;-0.00894029;0;0;0.00664778;864;864;863;1;
3;3.2;0.999892;0.0113639;0.00930372;0;0;-0.00702842;875;875;867;1;
3.2;3.4;0.999717;-0.0205876;-0.0119459;0;0;0.0127664;871;871;865;1;
3.4;3.6;0.99994;-0.00707894;0.00833331;0;0;0.00285146;870;870;867;1;
3.6;3.8;0.999983;-0.00187708;0.00551742;0;0;0.00186666;874;873;871;1;
3.8;4;0.999861;0.0165643;0.00212036;0;0;-0.0149818;893;893;886;1;
4;4.2;0.999938;0.000200564;-0.01114;0;0;-0.000798597;870;869;862;1;
4.2;4.4;0.999659;0;0.0261231;0;0;0.00230236;860;858;853;1;
4.4;4.6;0.999947;0.00932805;-0.00441941;0;0;-0.00748001;865;862;859;1;
4.6;4.8;0.999807;-0.0105268;-0.0166003;0;0;0.010541;849;849;833;1;
4.8;5;0.999543;-0.0192675;-0.0232738;0;0;0.0155504;884;884;876;1;
5;5.2;0.999918;0.0100975;0.00783634;0;0;-0.0101894;891;891;890;1;
5.2;5.4;0.99989;0.00469552;0.0140476;0;0;-0.00272794;900;900;894;1;
5.4;5.6;0.999926;0.00194889;-0.0120346;0;0;-0.00113294;879;879;871;1;
5.6;5.8;0.999793;-0.00984779;0.0178182;0;0;0.0105828;895;895;892;1;
5.8;6;0.999946;0.0101384;0.00244228;0;0;-0.00744994;884;884;879;1;
6;6.2;0.999855;0.0161807;-0.00533228;0;0;-0.020554;880;880;874;1;
6.2;6.4;0.999949;0.00976152;0.00253076;0;0;-0.0125084;870;868;865;1;
6.4;6.6;0.999936;-0.00763272;-0.00833193;0;0;0.00437609;873;871;868;1;
6.6;6.8;0.999977;0.00650848;0.00187569;0;0;-0.00892343;888;886;882;1;
6.8;7;0.999977;-0.00662262;-0.00126859;0;0;0.0013153;886;885;881;1;
7;7.2;0.999902;0.00652321;-0.0123472;0;0;-0.0041439;897;897;889;1;
7.2;7.4;0.999934;0.00321535;-0.0109959;0;0;-0.000318514;877;877;871;1;
7.4;7.6;0.999901;-0.0138857;0.00226263;0;0;0.00863908;862;862;860;1;
7.6;7.8;0.99984;0.0102101;-0.0147102;0;0;-0.00485944;867;867;863;1;
7.8;8;0.999791;-0.00427342;0.019991;0;0;-0.00131063;870;870;862;1;
8;8.2;0.999949;-0.00604332;0.00806587;0;0;0.00390228;892;889;873;1;
8.2;8.4;0.999994;0.00352085;0.000246521;0;0;-0.00337152;872;872;863;1;
8.4;8.6;0.999927;-0.00828334;-0.00884592;0;0;0.00639901;890;889;876;1;
8.6;8.8;0.999982;0.00250824;-0.00541554;0;0;-0.00488845;856;848;834;1;
8.8;9;0.999913;0.00563396;0.0119154;0;0;-0.00433074;855;855;844;1;
9;9.2;0.999961;0.00807515;-0.00354462;0;0;-0.00710181;853;853;850;1;
9.2;9.4;0.999994;-0.00343422;-0.000320239;0;0;0.00390907;864;863;854;1;
9.4;9.6;0.999962;-0.00610232;0.00619774;0;0;0.00345479;848;848;848;1;
9.6;9.8;0.999943;-0.0101079;-0.00352558;0;0;0.011221;836;831;826;1;
9.8;10;0.999979;0.00608916;0.0023463;0;0;-0.00775786;866;866;860;1;
10;10.2;0.999842;-0.0135415;0.0114756;0;0;0.0113008;855;855;848;1;
10.2;10.4;0.999876;-0.0103962;-0.0118239;0;0;0.00901722;842;842;840;1;
10.4;10.6;0.999865;-0.00832806;-0.0141809;0;0;0.00884227;869;869;867;1;
