length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;-0.984162;-0.0754278;0.160422;0;0;1.00217;656;652;634;1;
0.2;0.4;0.132248;-0.983415;0.124121;0;0;1.09614;617;609;599;1;
0.4;0.6;-0.763385;0.457135;0.456368;0;0;1.0011;619;611;608;1;
0.6;0.8;0.692426;-0.649185;0.314808;0;0;0.994166;579;575;537;1;
0.8;1;0.899033;-0.39243;-0.194263;0;0;0.997145;621;603;602;1;
1;1.2;0.991361;-0.00624843;-0.131009;0;0;0.99766;627;612;610;1;
1.2;1.4;-0.988692;0.149924;-0.00322979;0;0;1.00157;687;682;681;1;
1.4;1.6;-0.99549;-0.0561956;0.0764286;0;0;1.00009;647;639;631;1;
1.6;1.8;-0.966188;-0.250514;-0.0610172;0;0;1.00154;635;631;627;1;
1.8;2;0.994815;-0.0092349;0.101281;0;0;1.00285;589;580;573;1;
2;2.2;-0.986268;-0.122425;0.110848;0;0;0.999755;605;600;594;1;
2.2;2.4;-0.985447;-0.0266495;0.167879;0;0;1.00329;682;673;666;1;
2.4;2.6;0.997032;0.0568794;0.0518906;0;0;0.999278;702;666;652;1;
2.6;2.8;-0.990135;-0.109128;0.0878844;0;0;0.998805;710;701;698;1;
2.8;3;-0.982273;0.153895;-0.10703;0;0;1.00063;622;618;609;1;
3;3.2;0.988422;-0.151311;-0.0112286;0;0;0.996306;709;693;676;1;
3.2;3.4;0.286342;-0.918653;0.272184;0;0;1.08412;766;756;756;1;
3.4;3.6;0.991242;-0.0524643;0.121186;0;0;0.998701;954;948;905;1;
3.6;3.8;0.974706;-0.212989;-0.0677063;0;0;1.00073;1000;992;972;1;
3.8;4;0.977956;0.104344;-0.180873;0;0;0.999703;1000;995;991;1;
4;4.2;0.98443;0.0791279;-0.156961;0;0;1.00332;1000;980;963;1;
4.2;4.4;-0.994158;0.0622121;0.0882029;0;0;0.999762;1000;993;984;1;
4.4;4.6;0.959711;0.190922;-0.206166;0;0;1.00465;1000;974;970;1;
4.6;4.8;-0.985547;0.168539;-0.0170979;0;0;1.00077;1000;996;957;1;
4.8;5;-0.9063;-0.379437;0.186137;0;0;0.996339;1000;990;973;1;
5;5.2;-0.972044;-0.0608689;0.226771;0;0;0.996807;1000;990;984;1;
5.2;5.4;0.96507;-0.251294;-0.074103;0;0;1.00046;1000;995;990;1;
5.4;5.6;0.991181;-0.131545;-0.0160122;0;0;1.00069;1000;990;986;1;
5.6;5.8;-0.984764;0.116202;0.129368;0;0;1.00215;1000;993;988;1;
5.8;6;-0.998311;0.0140082;0.0563869;0;0;1.00673;1000;994;943;1;
6;6.2;-0.994163;-0.0892225;0.0606643;0;0;1.00134;1000;994;972;1;
6.2;6.4;-0.998488;0.0546184;-0.00613804;0;0;1.00024;1000;997;925;1;
6.4;6.6;-0.973038;0.14278;0.181137;0;0;0.993255;990;988;950;1;
6.6;6.8;-0.976433;-0.101983;0.190207;0;0;0.993798;1000;995;950;1;
6.8;7;-0.989827;-0.00210839;0.142258;0;0;1.00687;992;989;966;1;
7;7.2;-0.982982;0.155654;0.0975628;0;0;1.00074;1000;994;987;1;
7.2;7.4;-0.990624;-0.134471;-0.024112;0;0;1.00178;1000;990;985;1;
7.4;7.6;-0.954877;-0.19788;0.221482;0;0;1.0013;1000;990;989;1;
7.6;7.8;-0.980854;0.136791;0.13861;0;0;0.991681;1000;991;991;1;
7.8;8;-0.985914;-0.132556;0.101991;0;0;1.0028;1000;988;987;1;
8;8.2;0.991369;-0.0516786;-0.120489;0;0;1.00346;1000;969;966;1;
8.2;8.4;0.987091;-0.117275;-0.109082;0;0;1.00362;1000;974;974;1;
8.4;8.6;-0.993295;-0.0722424;0.0902501;0;0;0.999251;1000;999;968;1;
8.6;8.8;0.986745;0.0734873;-0.144683;0;0;1.002;1000;980;978;1;
8.8;9;-0.966526;-0.195286;0.166404;0;0;0.995203;1000;990;989;1;
9;9.2;-0.993144;-0.0368323;0.110943;0;0;0.996373;1000;990;980;1;
9.2;9.4;0.977873;0.199071;-0.0642987;0;0;0.995356;1000;996;986;1;
9.4;9.6;-0.253097;-0.966927;-0.031537;0;0;0.812944;1000;996;993;1;
9.6;9.8;-0.992574;-0.00347661;0.121592;0;0;1.00004;1000;987;983;1;
9.8;10;0.98361;-0.0932685;-0.154313;0;0;0.998828;1000;993;990;1;
10;10.2;-0.983262;0.136016;0.121226;0;0;1.00164;1000;990;972;1;
10.2;10.4;0.998885;-0.044961;-0.0143741;0;0;1.0014;1000;987;981;1;
10.4;10.6;-0.988608;0.000158383;0.150515;0;0;1.00024;1000;997;981;1;
10.6;10.8;-0.988139;-0.00858195;0.153321;0;0;0.995854;1000;993;984;1;
10.8;11;0.992616;0.118228;0.02713;0;0;0.997501;1000;994;983;1;
11;11.2;-0.982275;0.0394056;0.183258;0;0;1.00257;1000;993;982;1;
11.2;11.4;-0.497056;-0.815532;-0.296383;0;0;0.946135;997;984;977;1;
11.4;11.6;0.990866;-0.00747637;-0.134645;0;0;0.997108;973;963;960;1;
11.6;11.8;0.98286;0.0920944;-0.1597;0;0;1.00128;982;970;964;1;
11.8;12;-0.985725;-0.160687;0.0502586;0;0;1.00348;989;980;977;1;
12;12.2;0.979515;0.102637;-0.17325;0;0;0.999024;976;964;955;1;
12.2;12.4;0.880488;0.389263;-0.270584;0;0;0.990067;995;990;981;1;
12.4;12.6;-0.860093;-0.472411;0.192529;0;0;0.979823;987;983;972;1;
12.6;12.8;0.976535;0.205666;-0.0638757;0;0;0.999996;957;949;942;1;
12.8;13;-0.803169;-0.458647;0.380214;0;0;1.00693;1000;999;961;1;
13;13.2;-0.976479;0.158508;0.146163;0;0;1.00181;1000;997;981;1;
13.2;13.4;0.992153;0.0198328;-0.123449;0;0;0.993197;1000;983;979;1;
13.4;13.6;-0.120711;-0.992196;-0.0312275;0;0;0.606411;1000;992;986;1;
13.6;13.8;0.996063;-0.046612;-0.0754076;0;0;0.99717;1000;986;970;1;
13.8;14;0.995154;-0.0502277;-0.0845318;0;0;0.997639;1000;979;963;1;
14;14.2;-0.994335;0.0986818;0.0394926;0;0;0.99771;1000;994;983;1;
14.2;14.4;-0.976946;0.168816;0.130681;0;0;1.00655;1000;991;979;1;
14.4;14.6;-0.987554;-0.139698;0.0722585;0;0;0.995027;1000;993;989;1;
14.6;14.8;-0.971787;-0.13769;0.191498;0;0;0.996315;1000;994;958;1;
14.8;15;0.940202;-0.336278;0.0542005;0;0;1.00276;1000;995;957;1;
15;15.2;0.953777;-0.286656;-0.0902077;0;0;1.00503;1000;974;956;1;
15.2;15.4;-0.995759;-0.000672398;0.091998;0;0;0.994654;1000;993;953;1;
15.4;15.6;-0.956352;0.2795;0.0852726;0;0;0.995984;1000;990;975;1;
15.6;15.8;0.999325;-0.0234843;0.0282653;0;0;0.999881;1000;986;968;1;
15.8;16;0.988269;-0.104774;-0.111118;0;0;0.998215;1000;982;975;1;
16;16.2;0.947127;0.269298;-0.174438;0;0;1.00315;985;959;954;1;
16.2;16.4;0.0981433;0.972457;0.211414;0;0;1.10526;990;956;933;1;
16.4;16.6;0.935838;0.340539;-0.0907758;0;0;0.998631;983;972;963;1;
16.6;16.8;0.978553;-0.051269;-0.199512;0;0;0.999782;963;955;927;1;
16.8;17;0.985475;-0.169275;-0.0136134;0;0;0.993943;948;927;918;1;
17;17.2;-0.983248;-0.11077;0.144752;0;0;1.00194;917;909;904;1;
17.2;17.4;0.649569;-0.35574;0.671944;0;0;1.00107;895;888;883;1;
17.4;17.6;0.960034;0.246007;0.133477;0;0;1.0028;853;844;836;1;
17.6;17.8;0.87769;-0.346067;-0.331507;0;0;1.0011;951;944;930;1;
17.8;18;-0.994175;0.0701109;-0.0818536;0;0;0.998882;862;860;823;1;
18;18.2;-0.989425;-0.105137;0.0999223;0;0;1.00363;786;776;764;1;
18.2;18.4;0.0643226;-0.946807;-0.315309;0;0;0.898053;865;865;812;1;
18.4;18.6;-0.95064;-0.255005;-0.176791;0;0;1.00038;851;843;821;1;
18.6;18.8;0.660844;-0.0140119;0.750392;0;0;0.997441;814;809;766;1;
18.8;19;-0.983243;0.0577244;0.172921;0;0;0.999409;883;876;870;1;
19;19.2;0.51952;-0.786515;0.333906;0;0;0.976576;834;834;802;1;
19.2;19.4;0.986706;0.130606;-0.0967137;0;0;0.999837;852;845;819;1;
19.4;19.6;-0.659132;-0.716769;0.227567;0;0;1.00083;781;779;753;1;
