length=;198;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.99959;-0.0278827;0.00654237;0;0;0.0317993;735;734;597;1;
0.2;0.4;0.999767;-0.00603861;0.0207168;0;0;0.0100571;772;769;648;1;
0.4;0.6;0.99995;0.00971535;0.00233568;0;0;-0.00731629;802;800;609;1;
0.6;0.8;0.999417;0.0341235;0.00133741;0;0;-0.0512037;770;767;679;1;
0.8;1;0.999587;0.0176255;-0.0226797;0;0;-0.0302776;802;801;698;1;
1;1.2;0.999247;-0.0293893;0.0253195;0;0;0.0275598;757;746;630;1;
1.2;1.4;0.999612;0.0272563;-0.00574263;0;0;-0.0356312;801;795;565;1;
1.4;1.6;0.999984;0.00224566;0.00528088;0;0;-0.0234841;783;783;631;1;
1.6;1.8;0.999373;0.0275195;-0.0222792;0;0;-0.0331952;823;823;678;1;
1.8;2;0.999646;0.00852403;-0.0252193;0;0;-0.0136176;763;763;648;1;
2;2.2;0.999929;-0.00562114;-0.0104889;0;0;-0.00328224;848;842;693;1;
2.2;2.4;0.999259;-0.0382035;0.00473845;0;0;0.0450594;800;800;673;1;
2.4;2.6;0.999513;0.0301055;-0.00826112;0;0;-0.0224575;865;863;720;1;
2.6;2.8;0.999963;0.00621434;-0.006018;0;0;-0.0222782;883;880;747;1;
2.8;3;0.999875;0.000416328;0.0158029;0;0;-0.0179267;917;916;773;1;
3;3.2;0.999262;0.0357932;0.013922;0;0;-0.0504054;883;879;698;1;
3.2;3.4;0.999804;-0.0144069;0.0135739;0;0;0.00660851;947;938;788;1;
3.4;3.6;0.999972;-0.00187086;0.00723157;0;0;-0.00707708;880;865;716;1;
3.6;3.8;0.999903;-0.0138878;0.00138135;0;0;0.031929;914;914;813;1;
3.8;4;0.999697;-0.0245612;-0.00154998;0;0;0.0326641;863;863;770;1;
4;4.2;0.998838;0.0445011;0.0184887;0;0;-0.0878956;868;862;797;1;
4.2;4.4;0.999621;0.0198663;0.0190609;0;0;-0.0404783;848;841;767;1;
4.4;4.6;0.999781;-0.0146737;0.0149215;0;0;0.0278566;867;859;739;1;
4.6;4.8;0.999962;-0.00455613;0.00741964;0;0;-0.00456838;788;787;695;1;
4.8;5;0.999506;-0.0306855;0.00682656;0;0;0.0596384;843;843;755;1;
5;5.2;0.999952;-0.00859873;-0.00475707;0;0;0.0225924;836;836;740;1;
5.2;5.4;0.999644;-0.0201167;0.017527;0;0;0.0364637;812;811;723;1;
5.4;5.6;0.999997;0.00223632;-0.00129792;0;0;-0.00586767;760;757;665;1;
5.6;5.8;0.99999;0.00343206;0.00303564;0;0;0.00172217;791;786;693;1;
5.8;6;0.999785;-0.0164152;-0.0126466;0;0;0.0414017;802;790;710;1;
6;6.2;0.999978;0.00104079;-0.00654359;0;0;-0.0159343;770;770;660;1;
6.2;6.4;0.999848;0.0119837;-0.012652;0;0;-0.027298;742;742;666;1;
6.4;6.6;0.999706;-0.00735706;-0.0231246;0;0;0.00537849;815;815;651;1;
6.6;6.8;0.999639;-0.0263214;-0.00545578;0;0;0.0520935;774;773;613;1;
6.8;7;0.999693;-0.0246345;0.00248221;0;0;0.0339203;843;839;727;1;
7;7.2;0.999988;0.00481034;0;0;0;-0.0168663;705;705;595;1;
7.2;7.4;0.999888;0.013574;0.00637228;0;0;-0.0154883;793;790;679;1;
7.4;7.6;0.99997;-0.00593326;0.00489124;0;0;-0.00482307;721;721;623;1;
7.6;7.8;0.999932;-0.00134082;0.0115838;0;0;-0.0125897;842;840;749;1;
7.8;8;0.999919;-0.00704738;-0.0106009;0;0;0.0158244;762;761;635;1;
8;8.2;0.999984;-0.00326752;0.00458986;0;0;0.00526238;782;782;674;1;
8.2;8.4;0.999303;-0.037259;-0.00245912;0;0;0.0677167;655;651;553;1;
8.4;8.6;0.999944;0.00077834;-0.0105861;0;0;-0.0146685;735;716;650;1;
8.6;8.8;0.999913;0.0126874;0.00354954;0;0;-0.0342312;648;645;593;1;
8.8;9;0.9993;0.0298169;-0.022576;0;0;-0.0593143;582;577;512;1;
9;9.2;0.999977;-0.00677844;0.000960568;0;0;0.00863674;523;522;493;1;
9.2;9.4;0.999866;-0.0161917;-0.00258244;0;0;0.0305636;628;628;590;1;
9.4;9.6;0.999079;-0.0240573;-0.0355211;0;0;0.0303389;589;589;535;1;
9.6;9.8;0.999936;0.00282786;-0.0109735;0;0;-0.0110737;629;629;560;1;
9.8;10;0.999666;-0.0257163;0.00254574;0;0;0.0312535;560;549;472;1;
10;10.2;0.999963;0.00111791;-0.00850041;0;0;-0.00159845;666;663;569;1;
10.2;10.4;0.999538;0.00354059;-0.0301889;0;0;-0.0162551;628;624;547;1;
10.4;10.6;0.999634;0.00527689;0.0265166;0;0;-0.00744971;682;674;598;1;
10.6;10.8;0.996903;-0.0740059;-0.0265889;0;0;0.137786;620;620;501;1;
10.8;11;0.997791;0.0612902;0.0256317;0;0;-0.0934514;671;657;567;1;
11;11.2;0.999981;0.005991;0.00136628;0;0;-0.00884487;550;547;474;1;
11.2;11.4;0.999839;0.0100558;-0.0148507;0;0;-0.0255642;724;711;645;1;
11.4;11.6;0.999685;0.00468213;0.0246648;0;0;0.0166585;603;573;505;1;
11.6;11.8;0.999871;0.0132208;0.00909741;0;0;-0.0262884;639;628;583;1;
11.8;12;0.999179;0.0328477;0.0237254;0;0;-0.0540961;444;443;423;1;
12;12.2;0.999885;0.0130716;-0.00762404;0;0;-0.0103957;626;626;569;1;
12.2;12.4;0.999992;0;0.00389364;0;0;0.0293879;561;547;449;1;
12.4;12.6;0.999898;-0.0140867;0.00235455;0;0;0.0101329;670;669;603;1;
12.6;12.8;0.999927;-0.00895367;-0.00805772;0;0;0.0543936;723;719;654;1;
12.8;13;0.999857;0.0162198;-0.00470067;0;0;-0.0263813;901;899;810;1;
13;13.2;0.999477;0.0308916;-0.00959673;0;0;-0.0602443;825;804;693;1;
13.2;13.4;0.999915;-0.0103844;0.00782135;0;0;0.0170193;925;916;802;1;
13.4;13.6;0.999815;-0.0174571;-0.00801815;0;0;0.0305002;934;933;777;1;
13.6;13.8;0.999888;-0.0126885;0.00788132;0;0;0.0119998;936;934;784;1;
13.8;14;0.999995;0.000573603;0.00307926;0;0;0.000485549;883;883;785;1;
14;14.2;0.999835;0.0181338;0.000487343;0;0;-0.0361499;909;908;806;1;
14.2;14.4;0.999991;0.00113266;-0.00398713;0;0;0.00288255;808;807;693;1;
14.4;14.6;0.999073;0.0406443;0.0141995;0;0;-0.067263;851;847;688;1;
14.6;14.8;0.999814;-0.0179069;0.00722149;0;0;0.0263866;766;765;715;1;
14.8;15;0.999847;-0.0144651;0.0097994;0;0;0.0117634;818;818;751;1;
15;15.2;0.999982;-0.00540187;-0.00266189;0;0;0.00671647;812;786;726;1;
15.2;15.4;0.999905;0.00354493;-0.0133562;0;0;0.013661;885;877;808;1;
15.4;15.6;0.999133;-0.02461;0.0335887;0;0;0.0252733;738;737;625;1;
15.6;15.8;0.999957;0.0051472;-0.00773071;0;0;-0.017981;839;836;748;1;
15.8;16;0.99994;-0.0109662;-0.000579642;0;0;0.0127601;812;812;709;1;
16;16.2;0.999903;-0.0087024;0.0109067;0;0;0.0101551;864;859;761;1;
16.2;16.4;0.999825;0.000313466;-0.0186789;0;0;0.00395949;794;790;690;1;
16.4;16.6;0.999986;-0.000976345;-0.00525202;0;0;0.00146047;859;856;775;1;
16.6;16.8;0.999945;-0.0103802;0.00121594;0;0;0.0101117;843;828;748;1;
16.8;17;0.999935;-0.00966155;0.00598734;0;0;0.0299535;847;847;769;1;
17;17.2;0.999708;-0.0240647;-0.00224795;0;0;0.029716;818;816;649;1;
17.2;17.4;0.999596;0.013917;0.0247953;0;0;-0.0336889;931;930;740;1;
17.4;17.6;0.999393;0.0326094;0.0122431;0;0;-0.0509407;880;880;712;1;
17.6;17.8;0.9995;0.0152634;0.0276804;0;0;-0.0318927;923;922;714;1;
17.8;18;0.999539;-0.0262301;-0.0152934;0;0;0.0457842;920;919;775;1;
18;18.2;0.999477;0.0114766;0.0302324;0;0;-0.0152306;874;867;748;1;
18.2;18.4;0.999678;-0.0245545;-0.00644872;0;0;0.0292354;867;856;746;1;
18.4;18.6;0.999884;0.00978227;0.0116885;0;0;-0.017189;828;818;716;1;
18.6;18.8;0.997816;-0.0582977;-0.0310657;0;0;0.0968556;772;769;699;1;
18.8;19;0.999997;0.00104595;0.00223365;0;0;-0.0196189;761;757;687;1;
19;19.2;0.999826;-0.00767739;0.0170257;0;0;0.0122421;617;607;480;1;
19.2;19.4;0.999825;0.0180397;0.00505082;0;0;-0.0244091;842;838;754;1;
19.4;19.6;0.999935;-0.0104747;0.00455625;0;0;0.0236341;699;699;636;1;
19.6;19.8;0.999995;0.00323823;0;0;0;0.00934917;799;788;698;1;
19.8;20;0.998803;-0.0460551;0.0164895;0;0;0.0938449;653;652;567;1;
20;20.2;0.999857;-0.0167788;0.00208378;0;0;0.00860848;747;736;674;1;
20.2;20.4;0.999918;0.00408665;-0.012127;0;0;0.00306085;561;543;456;1;
20.4;20.6;0.999717;-0.0127315;-0.0200758;0;0;0.0322624;627;625;517;1;
20.6;20.8;0.999795;0.0047957;-0.0196852;0;0;-0.00152277;523;521;475;1;
20.8;21;0.999755;-0.00899525;0.0202245;0;0;0.0220203;685;681;617;1;
21;21.2;0.999997;-0.00230878;0.000852191;0;0;0.00243911;628;624;524;1;
21.2;21.4;0.9994;0.0173718;0.0299494;0;0;-0.027695;868;853;755;1;
21.4;21.6;0.997938;-0.0614374;-0.0185699;0;0;0.0691551;959;920;760;1;
21.6;21.8;0.999804;-0.0171002;0.0100055;0;0;0.0256965;933;932;834;1;
21.8;22;0.999429;0.00194805;0.0337327;0;0;0.0150778;858;856;712;1;
22;22.2;0.999457;0.03112;-0.0108188;0;0;-0.0686961;874;874;731;1;
22.2;22.4;0.999839;0.0125671;0.0128142;0;0;-0.0229182;799;797;719;1;
22.4;22.6;0.999808;0.0177751;0.00824458;0;0;-0.0281864;775;769;684;1;
22.6;22.8;0.99966;-0.0186198;-0.0182473;0;0;0.0310433;682;681;611;1;
22.8;23;0.999635;-0.00327549;0.0268245;0;0;0.0131733;774;774;728;1;
23;23.2;0.999054;-0.0346774;-0.0262443;0;0;0.0548369;712;711;632;1;
23.2;23.4;0.999649;0.0254407;-0.00735399;0;0;-0.0502649;821;819;753;1;
23.4;23.6;0.999907;-0.0101809;0.00903034;0;0;-0.0115142;773;771;684;1;
23.6;23.8;0.999953;0.00316967;-0.00914813;0;0;0.0137558;773;772;670;1;
23.8;24;0.999935;-0.0110315;-0.00275527;0;0;0.0231764;719;710;625;1;
24;24.2;0.999944;-0.00806218;-0.0068901;0;0;0.00910513;750;749;654;1;
24.2;24.4;0.999136;-0.0378897;-0.0170759;0;0;0.0751889;613;609;511;1;
24.4;24.6;0.998997;0.0445734;-0.00429907;0;0;-0.096703;606;599;506;1;
24.6;24.8;0.999529;-0.00700956;0.0298879;0;0;0.0186009;463;463;368;1;
24.8;25;0.999804;0.00228868;0.0196499;0;0;-0.0129955;584;584;485;1;
25;25.2;0.999657;-0.0244545;0.00932534;0;0;0.0402291;549;547;441;1;
25.2;25.4;0.998978;-0.0380195;0.0244287;0;0;0.0704606;611;607;532;1;
25.4;25.6;0.999758;0.0176519;-0.0131328;0;0;-0.0177216;622;622;541;1;
25.6;25.8;0.999605;0.0264906;0.009349;0;0;-0.037454;539;539;460;1;
25.8;26;0.99983;-0.016067;-0.00904426;0;0;0.0275655;582;582;497;1;
26;26.2;0.999819;-0.0167437;0.00899225;0;0;0.0277812;740;740;598;1;
26.2;26.4;0.999747;-0.00108774;-0.0224525;0;0;0.0125618;657;657;592;1;
26.4;26.6;0.99993;0.00672136;0.00977947;0;0;0.00281309;584;580;521;1;
26.6;26.8;0.999974;-0.00630197;0.00353915;0;0;0.0112996;558;556;529;1;
26.8;27;0.999975;-0.00458614;-0.00543565;0;0;0.0351639;442;442;408;1;
27;27.2;0.999858;0.0157676;0.00592262;0;0;-0.0274714;586;583;531;1;
27.2;27.4;0.999534;-0.0282046;0.0116562;0;0;0.042265;606;578;536;1;
27.4;27.6;0.99991;-0.0123182;-0.00523534;0;0;0.0280681;823;818;721;1;
27.6;27.8;0.999543;0.0273624;0.0128825;0;0;-0.0496636;917;917;820;1;
27.8;28;0.99983;0.0181742;0.00306942;0;0;-0.0216085;919;918;823;1;
28;28.2;0.999859;-0.0158425;0.00554551;0;0;0.0204374;886;885;797;1;
28.2;28.4;0.999979;0.000734244;0.00645462;0;0;0.0199434;905;904;795;1;
28.4;28.6;0.99967;-0.0235774;0.0102187;0;0;0.0403338;863;857;741;1;
28.6;28.8;0.999473;0.0322592;0.00350604;0;0;-0.0578082;707;707;570;1;
28.8;29;0.999914;-0.012968;-0.00179297;0;0;0.0125749;739;739;591;1;
29;29.2;0.999859;0.00918212;-0.0140623;0;0;-0.0269875;794;791;651;1;
29.2;29.4;0.999642;0.0264814;-0.00385174;0;0;-0.0407513;831;830;722;1;
29.4;29.6;0.999378;0.0296483;-0.0191182;0;0;-0.0450107;735;735;635;1;
29.6;29.8;0.999842;0.0176472;-0.00207051;0;0;-0.0295779;823;821;707;1;
29.8;30;0.999897;-0.00451923;0.0135945;0;0;0.0137315;808;805;710;1;
30;30.2;0.999674;0.0255167;0.000924719;0;0;-0.0738738;843;835;691;1;
30.2;30.4;0.999761;-0.0216807;-0.00269191;0;0;0.0185007;860;845;725;1;
30.4;30.6;0.999663;-0.0228051;-0.0123651;0;0;0.0371747;805;804;647;1;
30.6;30.8;0.999491;-0.0315672;-0.00461303;0;0;0.00982834;853;853;693;1;
30.8;31;0.999994;-0.00255426;0.00250643;0;0;0.00292866;868;867;722;1;
31;31.2;0.999074;0.0416415;-0.0107981;0;0;-0.0651478;800;771;600;1;
31.2;31.4;0.999719;0.0222298;0.00824415;0;0;-0.0310831;845;831;715;1;
31.4;31.6;0.999034;0.0388421;-0.0205304;0;0;-0.0466539;855;842;735;1;
31.6;31.8;0.999748;0.0124354;0.0186992;0;0;-0.0129003;868;864;764;1;
31.8;32;0.999569;0.00543939;0.028844;0;0;0.000238071;809;808;684;1;
32;32.2;0.999926;0.00992108;-0.00708776;0;0;-0.00686727;892;875;743;1;
32.2;32.4;0.999792;-0.0157898;-0.0129283;0;0;0.0191922;881;869;766;1;
32.4;32.6;0.999726;-0.0197235;-0.0126398;0;0;0.013;858;855;690;1;
32.6;32.8;0.999938;0.00873066;-0.00690657;0;0;-0.00532353;859;847;717;1;
32.8;33;0.99991;0.011696;0.00663778;0;0;-0.0169169;837;837;757;1;
33;33.2;0.99995;0.008422;-0.00544487;0;0;-0.0360418;774;769;691;1;
33.2;33.4;0.999988;0.00114648;0.00466532;0;0;-0.00998423;784;782;683;1;
33.4;33.6;0.999775;0.00643088;0.0202279;0;0;-0.0246437;710;707;626;1;
33.6;33.8;0.998386;-0.0355762;0.0442626;0;0;0.0520524;720;719;654;1;
33.8;34;0.999938;0.00959189;0.00558424;0;0;-0.0119935;657;652;574;1;
34;34.2;0.999894;0.0128605;-0.00684617;0;0;-0.0237266;715;712;627;1;
34.2;34.4;0.999995;0.00305122;-0.000183762;0;0;-0.00759737;657;646;529;1;
34.4;34.6;0.999782;-0.00876094;-0.0189344;0;0;0.0315492;736;731;637;1;
34.6;34.8;0.999867;0.00812258;0.0141269;0;0;-0.0113338;650;644;599;1;
34.8;35;0.999948;-0.00630645;0.00799097;0;0;-0.00375827;628;615;536;1;
35;35.2;0.999956;-0.00536026;0.00770211;0;0;0.0268506;484;476;399;1;
35.2;35.4;0.999311;0.0287784;-0.0234491;0;0;-0.0748795;531;527;479;1;
35.4;35.6;0.999265;-0.0362498;-0.0124353;0;0;0.0556862;475;464;416;1;
35.6;35.8;0.998965;0.0443173;-0.0102201;0;0;-0.0828582;666;657;548;1;
35.8;36;0.999839;-0.0149185;0.00995598;0;0;0.0199261;640;624;553;1;
36;36.2;0.999959;-0.00897484;-0.00123564;0;0;0.027881;646;608;516;1;
36.2;36.4;0.999121;0.0383487;-0.016928;0;0;-0.0864126;587;587;529;1;
36.4;36.6;0.99924;0.034877;-0.0173855;0;0;-0.0545234;619;619;530;1;
36.6;36.8;0.99943;0.0335784;-0.00357254;0;0;-0.0584629;643;637;575;1;
36.8;37;0.999966;0.00394781;-0.00730784;0;0;-0.0166528;614;607;532;1;
