length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.978608;0.11913;-0.167732;0;0;0.998878;825;815;813;1;
0.2;0.4;-0.90434;0.386994;0.180011;0;0;0.999004;815;804;802;1;
0.4;0.6;0.925156;-0.358135;-0.125796;0;0;0.999206;780;772;767;1;
0.6;0.8;0.29754;-0.900353;0.317545;0;0;0.9992;821;808;800;1;
0.8;1;-0.245351;-0.916217;0.316781;0;0;1.02694;820;804;801;1;
1;1.2;0.942109;-0.310439;-0.126723;0;0;0.995349;810;795;793;1;
1.2;1.4;-0.720659;0.651951;0.235817;0;0;1.00276;837;829;820;1;
1.4;1.6;-0.944238;-0.301192;0.133034;0;0;0.999439;838;825;824;1;
1.6;1.8;-0.994423;0.0290391;0.101386;0;0;0.999865;843;828;828;1;
1.8;2;0.969854;-0.185425;-0.158115;0;0;1.00174;825;809;806;1;
2;2.2;-0.843108;0.500244;0.197291;0;0;1.01179;828;816;814;1;
2.2;2.4;0.990566;0.0424496;-0.130298;0;0;1.00058;827;815;812;1;
2.4;2.6;0.951299;0.2846;-0.11846;0;0;1.00212;834;824;822;1;
2.6;2.8;-0.633056;0.772728;0.0461629;0;0;1.00238;826;811;808;1;
2.8;3;-0.711536;0.698461;0.0766033;0;0;0.997694;837;830;826;1;
3;3.2;0.49623;-0.823676;-0.274432;0;0;1.01814;827;805;803;1;
3.2;3.4;0.872617;-0.485479;-0.0533803;0;0;1.00475;847;836;827;1;
3.4;3.6;0.935626;-0.307355;-0.173601;0;0;0.999629;823;810;806;1;
3.6;3.8;-0.877759;0.457971;0.140719;0;0;0.993302;812;801;797;1;
3.8;4;0.971212;-0.0811463;-0.22397;0;0;0.99923;831;818;810;1;
4;4.2;0.950008;0.300744;-0.0838955;0;0;0.998885;827;814;812;1;
4.2;4.4;-0.962926;0.243945;0.115176;0;0;0.999138;837;828;816;1;
4.4;4.6;0.64626;-0.76234;-0.0344303;0;0;1.00689;807;799;794;1;
4.6;4.8;0.392966;-0.893942;-0.215513;0;0;0.989178;803;791;786;1;
4.8;5;0.838281;-0.483444;-0.252126;0;0;0.995613;783;773;769;1;
5;5.2;-0.25402;-0.940534;-0.225541;0;0;0.884085;761;750;744;1;
5.2;5.4;-0.94172;0.315855;0.115755;0;0;0.997652;816;806;794;1;
5.4;5.6;-0.887477;-0.460812;-0.00610679;0;0;0.994405;775;763;760;1;
5.6;5.8;-0.987166;-0.0154837;0.158943;0;0;1.00159;750;741;738;1;
5.8;6;-0.972983;-0.222954;0.0599667;0;0;1.00194;775;765;760;1;
6;6.2;0.0996362;0.992155;0.0755005;0;0;1.07831;808;799;793;1;
6.2;6.4;-0.332681;-0.878173;-0.343707;0;0;0.977436;812;801;801;1;
6.4;6.6;0.911504;-0.364092;-0.191305;0;0;1.00025;806;794;788;1;
6.6;6.8;0.942443;-0.320476;-0.0953768;0;0;1.00178;829;816;814;1;
6.8;7;-0.877127;0.444056;0.182929;0;0;0.999205;794;782;776;1;
7;7.2;0.908754;-0.377723;-0.177459;0;0;0.994635;779;767;756;1;
7.2;7.4;-0.939401;0.26214;0.220928;0;0;1.00135;800;787;784;1;
7.4;7.6;0.96384;-0.148759;-0.221093;0;0;0.999706;844;832;822;1;
7.6;7.8;0.975071;-0.125195;-0.183203;0;0;0.999105;824;815;808;1;
7.8;8;-0.0583567;-0.819538;-0.570045;0;0;0.999796;829;821;817;1;
8;8.2;0.957477;0.139295;-0.252656;0;0;0.997567;848;836;834;1;
8.2;8.4;-0.899159;-0.415643;0.136946;0;0;0.998587;841;828;823;1;
8.4;8.6;-0.318168;-0.938699;-0.132713;0;0;0.955908;842;826;826;1;
8.6;8.8;-0.995765;0.0655177;0.0644873;0;0;1.00053;818;806;805;1;
8.8;9;0.913042;-0.383477;-0.138924;0;0;0.999961;829;811;806;1;
9;9.2;0.951665;0.25928;-0.164643;0;0;1.00008;837;825;820;1;
9.2;9.4;0.946593;-0.191929;-0.259085;0;0;1.00211;819;807;801;1;
9.4;9.6;0.601176;-0.796129;-0.0690343;0;0;1.00276;798;786;783;1;
9.6;9.8;-0.987771;-0.0351927;0.15189;0;0;0.999596;817;809;799;1;
9.8;10;-0.960284;-0.223384;0.167194;0;0;1.00114;818;806;803;1;
10;10.2;0.745923;-0.661058;0.081246;0;0;1.00266;809;799;790;1;
10.2;10.4;0.982375;0.180727;0.0477219;0;0;0.999279;815;799;796;1;
10.4;10.6;0.962886;0.260103;-0.0720967;0;0;0.999612;807;800;793;1;
10.6;10.8;-0.952882;-0.276269;0.125268;0;0;0.99702;800;788;784;1;
10.8;11;0.976183;0.165665;-0.140079;0;0;0.999721;790;781;775;1;
11;11.2;-0.951145;-0.251535;0.179033;0;0;0.999586;794;783;782;1;
11.2;11.4;0.228991;-0.792474;-0.565286;0;0;1.02506;806;795;787;1;
11.4;11.6;0.990072;0.0948604;-0.103727;0;0;0.999934;799;787;780;1;
11.6;11.8;-0.992657;-0.0568617;-0.106762;0;0;0.999423;840;826;825;1;
11.8;12;0.948158;0.285833;-0.138914;0;0;1.00062;839;829;823;1;
12;12.2;-0.988034;-0.145903;-0.0500119;0;0;1.00049;845;832;829;1;
12.2;12.4;-0.987923;-0.130745;0.0831509;0;0;0.99718;849;841;837;1;
12.4;12.6;-0.925598;-0.364971;0.10032;0;0;1.00469;841;826;823;1;
12.6;12.8;0.994616;0.0607151;-0.0839817;0;0;1.00033;857;846;842;1;
12.8;13;-0.994913;-0.0194429;0.0988488;0;0;0.997682;859;850;845;1;
13;13.2;-0.0158186;-0.91174;0.410462;0;0;0.964599;814;810;801;1;
13.2;13.4;-0.998801;0.0477462;0.0108502;0;0;1.00072;827;823;820;1;
13.4;13.6;0.976535;-0.171664;-0.13004;0;0;0.998991;834;822;815;1;
13.6;13.8;0.966448;-0.171648;-0.191088;0;0;0.997839;794;789;783;1;
13.8;14;-0.9597;-0.263162;0.0985967;0;0;1.00129;830;813;812;1;
14;14.2;-0.804867;0.521123;0.283939;0;0;1.0002;846;844;839;1;
14.2;14.4;-0.994796;0.0882708;0.0508912;0;0;0.997418;843;840;837;1;
14.4;14.6;0.957723;0.18795;-0.21781;0;0;1.00031;864;842;836;1;
14.6;14.8;-0.981061;0.170257;0.0923632;0;0;1.00066;896;888;885;1;
14.8;15;-0.96517;0.229742;0.125161;0;0;1.00092;915;908;903;1;
15;15.2;0.913778;0.36543;-0.177399;0;0;1.00082;893;876;869;1;
15.2;15.4;-0.945726;0.296065;0.133968;0;0;1.00035;854;840;832;1;
15.4;15.6;0.986289;0.0880395;-0.139584;0;0;0.999198;858;847;844;1;
15.6;15.8;-0.989309;-0.00543728;0.145731;0;0;1.00259;873;861;856;1;
15.8;16;-0.961212;0.267036;0.0690207;0;0;0.999807;877;867;861;1;
16;16.2;-0.998894;0.0466151;-0.00621443;0;0;1.00164;847;838;831;1;
16.2;16.4;-0.976945;-0.0640891;0.203645;0;0;0.999237;884;876;871;1;
16.4;16.6;-0.88834;0.45841;0.0267015;0;0;1.00086;834;826;817;1;
16.6;16.8;-0.910007;-0.232435;-0.343308;0;0;1.00186;830;818;811;1;
16.8;17;-0.924838;0.316712;0.210637;0;0;0.999518;845;835;830;1;
17;17.2;0.997954;-0.00733831;-0.063521;0;0;0.997804;833;820;814;1;
17.2;17.4;0.942818;-0.333095;-0.0118782;0;0;1.00051;816;804;802;1;
17.4;17.6;-0.999409;0.0340761;0.00443154;0;0;0.999924;829;816;812;1;
17.6;17.8;0.887236;-0.431817;-0.162316;0;0;0.996745;831;822;812;1;
17.8;18;-0.999923;0.0124173;-0.000342424;0;0;0.998427;805;795;787;1;
18;18.2;0.884276;-0.461856;-0.0688863;0;0;0.995605;821;813;805;1;
18.2;18.4;-0.931692;-0.333938;0.142956;0;0;1.00036;836;829;822;1;
18.4;18.6;-0.984286;-0.0794214;-0.157715;0;0;0.998769;838;822;818;1;
18.6;18.8;-0.712486;-0.681397;-0.167517;0;0;0.998715;830;822;819;1;
18.8;19;-0.994954;0.0552058;0.0837824;0;0;1.00177;800;789;786;1;
19;19.2;-0.990191;-0.0963412;0.101197;0;0;1.00017;845;838;832;1;
19.2;19.4;0.987338;0.132216;-0.0876528;0;0;0.995326;829;817;812;1;
19.4;19.6;-0.987335;0.0975939;-0.125079;0;0;1.0017;836;827;821;1;
19.6;19.8;-0.988528;-0.0021683;0.151021;0;0;0.998363;851;839;837;1;
19.8;20;-0.9935;0.043056;0.105374;0;0;1.00022;862;853;851;1;
20;20.2;0.971864;0.235383;-0.00861323;0;0;0.9966;878;865;863;1;
20.2;20.4;0.997447;0.0713595;-0.0028228;0;0;1.00076;848;842;838;1;
20.4;20.6;0.999058;-0.0368113;-0.0229751;0;0;1.00102;850;832;830;1;
20.6;20.8;-0.991274;0.110548;0.0718027;0;0;0.999896;851;840;837;1;
20.8;21;-0.989586;0.135093;0.0496979;0;0;1.00054;817;812;811;1;
21;21.2;-0.98977;0.0697906;0.124434;0;0;0.99959;785;772;769;1;
21.2;21.4;0.990668;-0.0979855;-0.0947404;0;0;0.999311;810;797;795;1;
21.4;21.6;-0.980301;-0.136898;0.142367;0;0;0.999944;817;803;798;1;
21.6;21.8;-0.922867;0.34262;0.175864;0;0;0.998648;806;799;797;1;
21.8;22;-0.784684;0.600986;0.151944;0;0;0.999633;826;818;807;1;
22;22.2;-0.978237;-0.161353;0.130449;0;0;1.001;835;827;823;1;
22.2;22.4;-0.983063;0.138729;0.119755;0;0;0.997699;827;819;815;1;
22.4;22.6;-0.998379;0.0491703;-0.0286788;0;0;0.999767;837;822;812;1;
22.6;22.8;0.95572;0.245915;-0.161631;0;0;1.00076;816;805;800;1;
22.8;23;-0.98387;0.169671;0.0566754;0;0;1.0023;811;802;798;1;
23;23.2;0.422577;-0.770853;0.47667;0;0;0.923705;826;814;810;1;
23.2;23.4;-0.975248;0.163472;0.14889;0;0;1.00195;846;837;830;1;
23.4;23.6;0.917182;0.389073;-0.0860169;0;0;0.996749;837;820;813;1;
23.6;23.8;-0.945923;-0.102576;0.307747;0;0;0.999628;840;831;829;1;
23.8;24;-0.995279;0.0105406;0.096483;0;0;0.997772;850;841;840;1;
24;24.2;-0.992252;-0.057035;0.11038;0;0;1.00079;835;824;822;1;
24.2;24.4;0.587103;-0.778471;-0.222021;0;0;1.01059;854;845;839;1;
24.4;24.6;0.971158;-0.218523;-0.0953904;0;0;0.998718;836;824;823;1;
24.6;24.8;0.917875;-0.396138;-0.0240739;0;0;1.00148;811;798;793;1;
24.8;25;0.983796;-0.0819431;-0.15947;0;0;0.998421;806;797;794;1;
25;25.2;-0.994208;-0.0478565;0.0962338;0;0;0.998467;818;808;799;1;
25.2;25.4;0.0570115;-0.997959;-0.028761;0;0;1.12258;850;838;833;1;
25.4;25.6;0.966846;-0.217655;-0.133549;0;0;1.0008;832;822;815;1;
25.6;25.8;0.976036;-0.119668;-0.181753;0;0;1.00165;859;847;841;1;
25.8;26;-0.998863;-0.0463126;0.0112885;0;0;0.998267;857;842;839;1;
26;26.2;0.359521;-0.931318;0.0582271;0;0;0.959759;848;835;832;1;
26.2;26.4;0.938773;-0.327774;-0.106156;0;0;0.99786;839;825;820;1;
26.4;26.6;0.205071;-0.945284;0.25374;0;0;0.948898;878;864;864;1;
26.6;26.8;-0.99331;-0.076885;0.0861607;0;0;1.00205;860;848;847;1;
26.8;27;0.982206;0.0152026;-0.187192;0;0;1.00026;872;855;850;1;
27;27.2;0.968051;0.160831;-0.192382;0;0;1.00326;870;855;852;1;
27.2;27.4;-0.977543;0.0709716;0.198427;0;0;1.00138;852;844;842;1;
