length=;198;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.999888;0.0143489;-0.00424332;0;0;-0.0216741;1000;983;969;1;
0.2;0.4;0.999864;-0.00162408;0.0164031;0;0;0.00813816;1000;987;970;1;
0.4;0.6;0.99993;-0.00875051;0.0079161;0;0;0.0115916;1000;985;971;1;
0.6;0.8;0.999924;-0.0103901;-0.00660559;0;0;0.00827448;999;987;965;1;
0.8;1;0.999953;0.00952352;-0.00158145;0;0;-0.0077853;993;980;955;1;
1;1.2;0.999991;-0.00312709;-0.00271821;0;0;0.0004612;938;924;903;1;
1.2;1.4;0.999831;0.0174754;-0.00574976;0;0;-0.0256955;912;893;861;1;
1.4;1.6;0.999981;0.00184227;-0.00587321;0;0;0.00275314;928;908;887;1;
1.6;1.8;0.999808;0.0192514;0.003759;0;0;-0.0204335;942;923;896;1;
1.8;2;0.999883;0.013467;-0.00719521;0;0;-0.0250709;943;920;891;1;
2;2.2;0.999845;-0.0175313;-0.00159209;0;0;0.0226967;925;901;865;1;
2.2;2.4;0.999849;-0.0166795;0.00488198;0;0;0.0205087;938;917;868;1;
2.4;2.6;0.999922;-0.0115964;0.00464162;0;0;0.00875051;905;882;846;1;
2.6;2.8;0.999869;0.0146506;-0.00694526;0;0;-0.0154119;952;923;894;1;
2.8;3;0.999976;-0.00484596;0.0049212;0;0;0.00448573;942;925;895;1;
3;3.2;0.999898;0.00248038;0.0140555;0;0;0.00323296;940;914;864;1;
3.2;3.4;0.999655;0.0258609;-0.0044949;0;0;-0.0375332;922;902;850;1;
3.4;3.6;0.999975;0.00647467;-0.00283178;0;0;0.00166569;933;906;848;1;
3.6;3.8;0.999976;-0.00643142;-0.00274478;0;0;0.00120952;883;862;823;1;
3.8;4;0.999519;0.0286498;-0.0118635;0;0;-0.057102;901;881;833;1;
4;4.2;0.999921;0.0125343;-0.000609465;0;0;-0.0171096;911;875;821;1;
4.2;4.4;0.999931;-0.00942304;-0.00698465;0;0;0.0210507;866;842;780;1;
4.4;4.6;0.999997;0.000137178;-0.00223634;0;0;-0.000548765;880;847;789;1;
4.6;4.8;0.999826;0.016101;0.00938757;0;0;-0.0429569;917;892;825;1;
4.8;5;0.999953;-0.00896745;-0.00367615;0;0;0.00487694;856;837;768;1;
5;5.2;0.99997;-0.00765671;0.00150776;0;0;0.0136775;850;832;797;1;
5.2;5.4;0.99992;0.0107605;-0.00669561;0;0;-0.0123847;884;869;820;1;
5.4;5.6;0.999912;0.0130974;-0.00188054;0;0;-0.0311145;921;884;834;1;
5.6;5.8;0.99996;0.00882986;0.00102655;0;0;-0.0157693;879;854;791;1;
5.8;6;0.999959;-0.0073484;-0.00537182;0;0;0.0110613;856;825;775;1;
6;6.2;0.999989;0.000675906;0.00456322;0;0;0.00104714;890;863;799;1;
6.2;6.4;0.999848;-0.0173491;-0.00154389;0;0;0.0249927;870;821;754;1;
6.4;6.6;0.999924;0.00916516;-0.00827449;0;0;-0.0107356;841;807;742;1;
6.6;6.8;0.999901;0.0119313;-0.00751469;0;0;-0.0209761;820;789;735;1;
6.8;7;0.999541;-0.0294417;0.00717601;0;0;0.0354839;835;809;761;1;
7;7.2;0.999942;0.00724688;0.00792271;0;0;-0.0170433;815;796;760;1;
7.2;7.4;0.999842;-0.0176505;-0.00223621;0;0;0.0248769;847;825;797;1;
7.4;7.6;1;0;-0.000715154;0;0;0.0119469;895;883;846;1;
7.6;7.8;0.999763;-0.019675;-0.0093659;0;0;0.0179053;896;864;808;1;
7.8;8;0.999889;0.0109617;-0.0101366;0;0;-0.0102862;925;893;855;1;
8;8.2;1;-0.000513259;0.000424967;0;0;0.00974615;889;866;824;1;
8.2;8.4;0.999966;0.00617596;-0.00544659;0;0;-0.00996858;883;866;828;1;
8.4;8.6;0.99999;0.000814215;-0.00437027;0;0;-0.0106819;861;834;786;1;
8.6;8.8;0.999697;0.0228982;0.00903566;0;0;-0.0358034;844;822;776;1;
8.8;9;0.999883;0.0145679;0.00458199;0;0;-0.0194952;870;841;792;1;
9;9.2;0.999863;-0.0141731;-0.0085163;0;0;0.0288065;844;816;774;1;
9.2;9.4;0.999995;-0.000232432;-0.00318786;0;0;-0.0231575;873;847;804;1;
9.4;9.6;0.999828;-0.0180633;-0.00413086;0;0;0.0264088;893;871;822;1;
9.6;9.8;0.999955;-0.00945236;-0.000801564;0;0;0.0105107;886;854;810;1;
9.8;10;0.999932;-0.0107306;-0.00456045;0;0;0.022236;859;831;787;1;
10;10.2;0.999486;-0.0310482;-0.00802728;0;0;0.0622674;873;850;798;1;
10.2;10.4;0.99994;-0.00932822;0.00574042;0;0;0.00745655;862;838;785;1;
10.4;10.6;0.99994;0.00918219;-0.00597071;0;0;-0.030563;883;865;803;1;
10.6;10.8;0.999967;0.00808345;0.000373138;0;0;-0.0164205;906;877;831;1;
10.8;11;0.999879;0.0155237;-0.000195178;0;0;-0.0142525;887;872;826;1;
11;11.2;0.999556;0.0298112;0;0;0;-0.053679;863;847;799;1;
11.2;11.4;0.999982;0.00386926;-0.00452944;0;0;-0.00828195;896;869;813;1;
11.4;11.6;0.999952;-0.00637797;-0.00744958;0;0;0.00794157;938;908;869;1;
11.6;11.8;0.999961;-0.00792974;0.00397234;0;0;0.0297373;855;832;801;1;
11.8;12;0.999937;-0.0110897;-0.00149586;0;0;0.0229027;836;803;766;1;
12;12.2;0.999984;0.00210798;0.00523622;0;0;-0.00723889;867;839;809;1;
12.2;12.4;0.999978;0.00197313;-0.0063938;0;0;0.00156662;879;857;824;1;
12.4;12.6;0.999947;-0.00718345;0.00732569;0;0;0.0202446;865;849;791;1;
12.6;12.8;0.999874;-0.0151899;0.00462427;0;0;0.027528;811;779;724;1;
