length=;998;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.987172;-0.155895;-0.0344714;0;0;-0.719274;802;786;783;1;
0.2;0.4;-0.990049;0.140715;-0.00144655;0;0;-0.721507;758;751;749;1;
0.4;0.6;-0.993267;0.114173;0.0196442;0;0;-0.728583;728;720;720;1;
0.6;0.8;-0.973968;0.224081;-0.034273;0;0;-0.697153;724;713;712;1;
0.8;1;0.992273;-0.121975;-0.0227279;0;0;-0.723843;784;772;764;1;
1;1.2;-0.984507;0.1753;-0.00407531;0;0;-0.702255;728;720;717;1;
1.2;1.4;0.99519;-0.0978837;0.00383847;0;0;-0.726612;750;737;732;1;
1.4;1.6;0.995676;-0.0924668;-0.00888349;0;0;-0.727902;790;777;772;1;
1.6;1.8;0.99644;-0.0836167;-0.0107514;0;0;-0.721329;871;848;830;1;
1.8;2;0.992579;-0.121402;0.00691236;0;0;-0.693429;831;809;789;1;
2;2.2;0.997061;-0.0765914;-0.00159994;0;0;-0.716264;819;807;774;1;
2.2;2.4;0.997562;-0.0688357;0.0115097;0;0;-0.711054;790;773;743;1;
2.4;2.6;0.997616;-0.0684328;0.00885621;0;0;-0.696885;788;775;754;1;
2.6;2.8;0.99904;-0.0429357;-0.00864077;0;0;-0.718463;850;829;797;1;
2.8;3;0.999545;-0.0290024;0.00832572;0;0;-0.716706;855;838;812;1;
3;3.2;0.999771;-0.0190466;-0.00980018;0;0;-0.721355;834;816;784;1;
3.2;3.4;0.999869;-0.00855342;-0.013768;0;0;-0.724017;815;792;763;1;
3.4;3.6;0.99983;-0.0148364;0.010922;0;0;-0.712391;820;802;775;1;
3.6;3.8;0.999939;-0.00949212;0.00572573;0;0;-0.710296;787;756;730;1;
3.8;4;0.99999;-0.00429009;0.00106848;0;0;-0.695528;804;792;762;1;
4;4.2;0.99999;0.00457062;0;0;0;-0.700758;800;778;759;1;
4.2;4.4;0.9997;0.0243143;-0.00303817;0;0;-0.715484;788;770;747;1;
4.4;4.6;0.999728;0.0219198;-0.00792803;0;0;-0.710652;829;808;782;1;
4.6;4.8;0.999464;0.0319273;0.00718498;0;0;-0.704981;805;778;762;1;
4.8;5;0.999333;0.0362056;0.00475985;0;0;-0.706816;796;779;760;1;
5;5.2;0.99938;0.0347492;0.00566861;0;0;-0.677498;768;745;722;1;
5.2;5.4;0.998196;0.0599263;-0.00366689;0;0;-0.710646;777;759;735;1;
5.4;5.6;0.996808;0.0795203;0.00707985;0;0;-0.735369;772;753;730;1;
5.6;5.8;0.997563;0.0695532;0.00557753;0;0;-0.715094;750;726;707;1;
5.8;6;0.995883;0.090648;0.000566662;0;0;-0.736121;752;732;703;1;
6;6.2;0.996282;0.0855325;0.0102858;0;0;-0.70387;755;735;710;1;
6.2;6.4;0.993733;0.111336;0.00998388;0;0;-0.745495;742;725;692;1;
6.4;6.6;0.996212;0.0868435;-0.00452482;0;0;-0.720875;779;755;715;1;
6.6;6.8;0.994545;0.104307;0.0010154;0;0;-0.726229;726;703;669;1;
6.8;7;0.993455;0.113973;0.00761084;0;0;-0.724847;745;716;683;1;
7;7.2;0.994584;0.103837;0.00453017;0;0;-0.712046;728;704;669;1;
7.2;7.4;0.994996;0.0998829;0.00270708;0;0;-0.700948;753;714;665;1;
7.4;7.6;0.994772;0.102023;0.00441403;0;0;-0.686414;747;715;663;1;
7.6;7.8;0.989501;0.143807;0.0144096;0;0;-0.7615;768;745;687;1;
7.8;8;0.994378;0.105854;0.00269661;0;0;-0.678314;819;792;726;1;
8;8.2;0.991904;0.126986;-0.000633541;0;0;-0.716964;844;793;729;1;
8.2;8.4;0.991052;0.132755;0.0138641;0;0;-0.728021;823;784;720;1;
8.4;8.6;0.990595;0.136806;-0.00226135;0;0;-0.745109;804;779;723;1;
8.6;8.8;0.993663;0.112315;0.00438666;0;0;-0.685215;824;791;722;1;
8.8;9;0.99241;0.12263;0.00922352;0;0;-0.710279;755;721;676;1;
9;9.2;0.994448;0.105086;-0.00542165;0;0;-0.669488;733;701;659;1;
9.2;9.4;0.990934;0.134271;-0.00457486;0;0;-0.74784;775;732;694;1;
9.4;9.6;0.990435;0.13782;0.0066516;0;0;-0.746166;741;719;676;1;
9.6;9.8;0.993696;0.111816;0.00811743;0;0;-0.708471;747;713;665;1;
9.8;10;0.993611;0.112785;-0.00403209;0;0;-0.708542;756;721;672;1;
10;10.2;0.991048;0.133428;0.00465114;0;0;-0.767729;749;733;681;1;
10.2;10.4;0.992357;0.123395;-0.000967042;0;0;-0.759691;731;703;661;1;
10.4;10.6;0.994539;0.104269;0.00458958;0;0;-0.726393;764;751;702;1;
10.6;10.8;0.995794;0.0915037;-0.00455178;0;0;-0.721;769;738;697;1;
10.8;11;0.995839;0.0911269;0.000991633;0;0;-0.724478;771;756;721;1;
11;11.2;0.997696;0.0672057;0.00930387;0;0;-0.697711;760;744;718;1;
11.2;11.4;0.998114;0.0609228;0.0075591;0;0;-0.711227;786;762;749;1;
11.4;11.6;0.998781;0.0484898;0.00921037;0;0;-0.712974;827;807;787;1;
11.6;11.8;0.999328;0.0364746;-0.0037448;0;0;-0.718593;795;777;767;1;
11.8;12;0.999449;0.0327871;-0.00516224;0;0;-0.719374;831;808;791;1;
12;12.2;0.999798;0.0191128;-0.00628202;0;0;-0.726798;817;799;782;1;
12.2;12.4;0.999963;0.00333466;0.00791123;0;0;-0.711602;828;812;788;1;
12.4;12.6;0.999973;0.00728424;-0.0012463;0;0;-0.716114;804;782;761;1;
12.6;12.8;0.99996;0.00841526;-0.00299231;0;0;-0.715093;811;773;750;1;
12.8;13;0.999992;-0.0023805;0.00314444;0;0;-0.710964;777;757;740;1;
13;13.2;0.999896;0.00767183;-0.0121838;0;0;-0.708214;815;794;781;1;
13.2;13.4;0.999664;0.0233419;-0.0112616;0;0;-0.733606;826;808;788;1;
13.4;13.6;0.999598;0.0263733;-0.0103949;0;0;-0.725927;818;799;775;1;
13.6;13.8;0.999874;0.0125224;0.00972438;0;0;-0.704246;816;802;784;1;
13.8;14;0.999864;0.0162643;-0.00290597;0;0;-0.706759;805;788;763;1;
14;14.2;0.999716;0.0185515;0.0149386;0;0;-0.713896;831;823;798;1;
14.2;14.4;0.999612;0.0276584;-0.00319625;0;0;-0.721305;809;778;756;1;
14.4;14.6;0.999146;0.0409308;-0.00573126;0;0;-0.739582;822;796;782;1;
14.6;14.8;0.999796;0.020047;-0.00247718;0;0;-0.722105;847;828;811;1;
14.8;15;0.999115;0.0420501;0.000667981;0;0;-0.739687;838;812;792;1;
15;15.2;0.999473;0.0323369;-0.00294426;0;0;-0.72341;821;800;782;1;
15.2;15.4;0.999424;0.0339243;0.000472613;0;0;-0.730318;880;852;838;1;
15.4;15.6;0.999643;0.0242078;0.0113186;0;0;-0.717454;905;886;863;1;
15.6;15.8;0.999843;0.0177083;-0.000929471;0;0;-0.707883;907;877;848;1;
15.8;16;0.999302;0.0358946;0.0103156;0;0;-0.735993;904;884;861;1;
16;16.2;0.999749;0.022267;-0.00244907;0;0;-0.724011;912;884;866;1;
16.2;16.4;0.999311;0.0360015;0.00906998;0;0;-0.723388;864;847;825;1;
16.4;16.6;0.999814;0.0151434;-0.0119171;0;0;-0.714803;879;860;848;1;
16.6;16.8;0.999409;0.0340331;0.00482976;0;0;-0.730686;912;890;872;1;
16.8;17;0.999344;0.036202;-0.000498162;0;0;-0.731328;917;895;870;1;
17;17.2;0.999749;0.0222265;-0.00284363;0;0;-0.718457;893;874;862;1;
17.2;17.4;0.999985;0.000550149;-0.0054324;0;0;-0.694568;897;877;858;1;
17.4;17.6;0.999922;-0.00900127;-0.00864393;0;0;-0.692651;900;861;844;1;
17.6;17.8;0.999597;0.028344;0.00173665;0;0;-0.738451;919;894;877;1;
17.8;18;0.999976;0.00640547;0.00249413;0;0;-0.710085;917;894;883;1;
18;18.2;0.999634;0.0253638;-0.0093618;0;0;-0.741558;890;874;858;1;
18.2;18.4;0.99997;-0.000333528;-0.00768163;0;0;-0.71737;931;912;883;1;
18.4;18.6;0.999865;0.0152464;-0.0060581;0;0;-0.731435;905;885;863;1;
18.6;18.8;0.999917;-0.0119239;0.00486802;0;0;-0.695831;935;914;892;1;
18.8;19;0.999831;0.0167899;-0.00747626;0;0;-0.736178;907;880;862;1;
19;19.2;0.999876;-0.0154857;0.00291114;0;0;-0.707196;909;892;879;1;
19.2;19.4;0.999995;0.000944333;0.00297403;0;0;-0.723312;914;897;888;1;
19.4;19.6;0.999989;-0.0021736;-0.00405956;0;0;-0.72016;867;841;832;1;
19.6;19.8;0.999971;-0.00735089;0.00191885;0;0;-0.715151;927;902;879;1;
19.8;20;0.999921;0.0109426;0.00610552;0;0;-0.744205;896;867;845;1;
20;20.2;0.99996;-0.00757242;0.00480738;0;0;-0.713831;896;868;844;1;
20.2;20.4;0.99996;-0.00857506;0.00268136;0;0;-0.727468;912;881;864;1;
20.4;20.6;0.999752;-0.0182503;-0.0127449;0;0;-0.71406;882;853;829;1;
20.6;20.8;0.999685;-0.0213556;0.0132189;0;0;-0.716089;881;853;833;1;
20.8;21;0.999835;0.00342753;0.0178448;0;0;-0.741424;837;820;795;1;
21;21.2;0.999868;-0.0161036;-0.00226059;0;0;-0.717234;851;827;802;1;
21.2;21.4;0.999569;-0.0266951;0.0122273;0;0;-0.707228;852;835;812;1;
21.4;21.6;0.999667;-0.0252246;-0.00545772;0;0;-0.7109;847;828;802;1;
21.6;21.8;0.999521;-0.0298332;0.00820058;0;0;-0.710701;838;811;797;1;
21.8;22;0.999788;-0.0203582;-0.003201;0;0;-0.708079;831;802;791;1;
22;22.2;0.999801;-0.0194576;-0.00448172;0;0;-0.717341;827;806;795;1;
22.2;22.4;0.999498;-0.0294927;-0.0115672;0;0;-0.702918;829;806;787;1;
22.4;22.6;0.999429;-0.0333715;0.00525465;0;0;-0.702764;827;804;778;1;
22.6;22.8;0.999762;-0.0217926;-0.000737783;0;0;-0.715117;834;819;808;1;
22.8;23;0.999993;0.0036546;0.00064231;0;0;-0.735692;859;843;826;1;
23;23.2;0.999659;-0.02414;-0.00999919;0;0;-0.707327;865;834;807;1;
23.2;23.4;0.999968;-0.00793588;0.000173426;0;0;-0.719839;833;806;780;1;
23.4;23.6;0.999744;-0.0222348;-0.0042382;0;0;-0.699399;862;844;833;1;
23.6;23.8;0.999778;-0.0179124;-0.0111321;0;0;-0.710801;867;834;821;1;
23.8;24;0.999943;-0.0106626;-0.00102063;0;0;-0.71194;820;796;788;1;
24;24.2;0.999823;-0.0160106;-0.00985488;0;0;-0.704185;819;802;789;1;
24.2;24.4;0.999984;0.00539928;-0.00136572;0;0;-0.733979;814;784;768;1;
24.4;24.6;0.999937;-0.0022273;-0.01101;0;0;-0.712161;820;802;785;1;
24.6;24.8;0.999992;-0.00384386;-0.00117574;0;0;-0.705941;806;786;772;1;
24.8;25;0.99989;0.00706241;-0.0130297;0;0;-0.718051;814;794;776;1;
25;25.2;0.999935;0.0112908;-0.00164076;0;0;-0.725936;822;801;780;1;
25.2;25.4;0.9998;0.0194016;-0.00485187;0;0;-0.729734;775;762;748;1;
25.4;25.6;0.999522;0.0275787;0.013979;0;0;-0.747334;809;800;770;1;
25.6;25.8;0.99979;0.0124175;0.0163199;0;0;-0.717789;780;763;758;1;
25.8;26;0.999792;0.0182313;-0.0090929;0;0;-0.718218;816;805;783;1;
26;26.2;0.99986;0.015897;0.00527531;0;0;-0.715032;793;775;758;1;
26.2;26.4;0.999843;0.0176911;-0.00138222;0;0;-0.71409;824;809;782;1;
26.4;26.6;0.999782;0.0177284;-0.0110291;0;0;-0.71887;796;779;742;1;
26.6;26.8;0.99985;0.0168953;-0.00386932;0;0;-0.719911;748;728;703;1;
26.8;27;0.999263;0.0368765;-0.0106135;0;0;-0.73515;802;766;732;1;
27;27.2;0.999631;0.0270072;-0.00301547;0;0;-0.721999;780;745;710;1;
27.2;27.4;0.999369;0.0352496;0.00438148;0;0;-0.734283;758;744;707;1;
27.4;27.6;0.999129;0.0369572;-0.0193662;0;0;-0.742364;750;719;690;1;
27.6;27.8;0.999626;0.0271129;0.00345441;0;0;-0.729887;752;722;698;1;
27.8;28;0.999628;0.0271899;-0.00189457;0;0;-0.726595;778;740;707;1;
28;28.2;0.998618;0.0521655;-0.00640431;0;0;-0.757038;714;679;652;1;
28.2;28.4;0.999913;0.0079382;-0.0105166;0;0;-0.700179;718;693;677;1;
28.4;28.6;0.99929;0.0375314;-0.00338592;0;0;-0.746785;737;722;707;1;
28.6;28.8;0.999629;0.0141008;-0.0233063;0;0;-0.712096;749;717;691;1;
28.8;29;0.999714;0.0229758;0.00660917;0;0;-0.718113;756;732;711;1;
29;29.2;0.999889;0.00529175;-0.0139399;0;0;-0.70282;747;732;709;1;
29.2;29.4;0.999917;0.0105332;-0.00736707;0;0;-0.706943;762;749;737;1;
29.4;29.6;0.999926;0.0108926;0.00548477;0;0;-0.717655;723;711;696;1;
29.6;29.8;0.999316;-0.0197001;-0.0313055;0;0;-0.651198;740;714;697;1;
29.8;30;0.999924;0.00329442;-0.011894;0;0;-0.705171;714;691;680;1;
30;30.2;0.999839;0.0179081;0.00103035;0;0;-0.728567;734;706;687;1;
30.2;30.4;0.999979;0.00473494;0.00445904;0;0;-0.715267;715;690;672;1;
30.4;30.6;0.999779;-0.0208145;-0.00298511;0;0;-0.682148;691;661;635;1;
30.6;30.8;0.999949;0.00149077;-0.00997366;0;0;-0.712204;669;641;625;1;
30.8;31;0.999906;-0.000770166;0.0137137;0;0;-0.721689;668;626;595;1;
31;31.2;0.999784;0.020722;0.00126623;0;0;-0.747993;662;638;604;1;
31.2;31.4;0.999986;0.00519831;-0.0012683;0;0;-0.734131;627;591;565;1;
31.4;31.6;0.999944;-0.00369449;-0.00995393;0;0;-0.720063;658;627;594;1;
31.6;31.8;0.999892;-0.0142527;-0.00369529;0;0;-0.698613;649;623;599;1;
31.8;32;0.99995;0.00111034;0.00991514;0;0;-0.724431;666;629;592;1;
32;32.2;0.99982;0.00919762;0.0165856;0;0;-0.75573;680;660;619;1;
32.2;32.4;0.999897;0.0134511;0.00494178;0;0;-0.761209;660;637;614;1;
32.4;32.6;0.999829;-0.0166007;-0.00820196;0;0;-0.722829;660;640;619;1;
32.6;32.8;0.999985;0.00409412;-0.00376579;0;0;-0.744418;660;646;606;1;
32.8;33;0.999721;-0.0235826;-0.00131733;0;0;-0.695566;611;602;583;1;
33;33.2;0.998345;-0.0539654;-0.0198607;0;0;-0.639872;647;630;613;1;
33.2;33.4;0.99992;-0.0125319;0.00178511;0;0;-0.71619;633;614;597;1;
33.4;33.6;0.999659;-0.0253736;0.00613371;0;0;-0.709069;629;600;592;1;
33.6;33.8;0.999789;-0.0127484;0.0161347;0;0;-0.720383;609;590;564;1;
33.8;34;0.99997;-0.00415514;0.00651889;0;0;-0.741875;601;567;546;1;
34;34.2;0.999528;-0.0306604;0.00166665;0;0;-0.708085;550;532;507;1;
34.2;34.4;0.999899;-0.0139834;0.00269051;0;0;-0.718498;541;518;486;1;
34.4;34.6;0.999743;0;-0.0226522;0;0;-0.746217;520;498;471;1;
34.6;34.8;0.999737;-0.0218771;-0.00690367;0;0;-0.718218;505;486;461;1;
34.8;35;0.999758;0.000162476;0.0219803;0;0;-0.736988;476;457;423;1;
35;35.2;0.99954;-0.0302825;0.001552;0;0;-0.684803;476;456;430;1;
35.2;35.4;0.999967;-0.00318837;-0.00741366;0;0;-0.746208;437;421;387;1;
35.4;35.6;0.997338;-0.0701429;-0.019925;0;0;-0.627314;428;420;398;1;
35.6;35.8;0.998899;0.0464001;0.0068458;0;0;-0.826796;437;425;398;1;
35.8;36;0.999803;0.0196387;-0.00278741;0;0;-0.771329;445;438;415;1;
36;36.2;0.999393;-0.0275973;-0.0212833;0;0;-0.704709;462;440;428;1;
36.2;36.4;0.999742;-0.018029;-0.0137999;0;0;-0.708338;451;447;435;1;
36.4;36.6;0.999945;-0.00636239;-0.00829751;0;0;-0.722542;456;447;439;1;
36.6;36.8;0.996887;0.0768997;0.0173816;0;0;-0.861737;448;435;428;1;
36.8;37;0.999724;-0.0203515;-0.0117589;0;0;-0.695527;458;448;434;1;
37;37.2;0.999308;-0.0295365;-0.0226024;0;0;-0.66872;463;449;431;1;
37.2;37.4;0.999943;-0.00160364;-0.010578;0;0;-0.714108;457;447;432;1;
37.4;37.6;0.999964;0.00014267;-0.00846314;0;0;-0.741035;464;447;433;1;
37.6;37.8;0.999958;-0.00916441;0.00100062;0;0;-0.725759;455;442;424;1;
37.8;38;0.999908;0.00151457;0.0134664;0;0;-0.735745;426;411;395;1;
38;38.2;0.999239;-0.0370026;-0.012316;0;0;-0.69733;436;419;395;1;
38.2;38.4;0.999534;-0.030337;0.00352229;0;0;-0.701482;428;409;396;1;
38.4;38.6;0.999671;-0.0250457;0.00561574;0;0;-0.734924;401;379;348;1;
38.6;38.8;0.999353;-0.0351662;0.00749229;0;0;-0.732627;423;394;373;1;
38.8;39;0.99865;-0.0519036;-0.00204538;0;0;-0.708095;417;384;365;1;
39;39.2;0.997236;-0.0730806;-0.0133883;0;0;-0.6925;399;375;343;1;
39.2;39.4;0.999101;-0.041655;-0.00783418;0;0;-0.750657;400;379;347;1;
39.4;39.6;0.998935;-0.0460917;0.00232426;0;0;-0.747075;430;410;350;1;
39.6;39.8;0.996985;-0.0775922;0.000543569;0;0;-0.718069;399;383;358;1;
39.8;40;0.998022;-0.0628495;0.00127169;0;0;-0.74507;414;392;355;1;
40;40.2;0.994986;-0.100004;0.00162397;0;0;-0.70289;418;398;373;1;
40.2;40.4;0.996327;-0.0844996;0.0138586;0;0;-0.722377;438;421;392;1;
40.4;40.6;0.996274;-0.0852561;0.0129988;0;0;-0.737108;451;438;415;1;
40.6;40.8;0.996105;-0.0879766;0.00587612;0;0;-0.734717;475;462;445;1;
40.8;41;0.994419;-0.1055;0.000735251;0;0;-0.724706;450;443;432;1;
41;41.2;0.99348;-0.112205;0.0202081;0;0;-0.71578;459;454;442;1;
41.2;41.4;0.995448;-0.0931614;0.0201219;0;0;-0.736409;439;427;415;1;
41.4;41.6;0.993537;-0.113212;0.00821176;0;0;-0.729182;437;433;415;1;
41.6;41.8;0.98904;-0.147493;-0.00674972;0;0;-0.692307;447;438;414;1;
41.8;42;0.991678;-0.128523;0.00746133;0;0;-0.706288;423;410;382;1;
42;42.2;0.994851;-0.100241;0.0149636;0;0;-0.759323;440;415;385;1;
42.2;42.4;0.992292;-0.123108;-0.0141558;0;0;-0.717234;404;391;368;1;
42.4;42.6;0.986719;-0.161594;-0.0165193;0;0;-0.669708;393;377;352;1;
42.6;42.8;0.994603;-0.101781;-0.0201225;0;0;-0.751549;409;389;350;1;
42.8;43;0.992357;-0.122136;-0.0176457;0;0;-0.716171;424;415;379;1;
43;43.2;0.992203;-0.12458;-0.00361551;0;0;-0.700225;437;425;388;1;
43.2;43.4;0.995464;-0.0941445;-0.0137251;0;0;-0.749699;411;397;371;1;
43.4;43.6;0.995001;-0.0998628;0.000678347;0;0;-0.728268;398;385;371;1;
43.6;43.8;0.995016;-0.0979196;0.0188169;0;0;-0.730356;409;408;396;1;
43.8;44;0.99752;-0.0698356;0.00874502;0;0;-0.757394;419;415;401;1;
44;44.2;0.998294;-0.0583271;0.00263577;0;0;-0.781577;423;418;407;1;
44.2;44.4;0.997953;-0.0639401;0.00103187;0;0;-0.743313;408;404;392;1;
44.4;44.6;0.995677;-0.0928432;0.00282373;0;0;-0.676193;419;411;396;1;
44.6;44.8;0.997571;-0.0696274;-0.00217762;0;0;-0.687349;411;407;397;1;
44.8;45;0.996955;-0.0776452;-0.00715275;0;0;-0.641457;408;402;382;1;
45;45.2;0.997639;-0.0682102;0.00801757;0;0;-0.633475;426;418;397;1;
45.2;45.4;0.999679;-0.0251881;0.00263538;0;0;-0.70858;422;411;391;1;
45.4;45.6;0.999979;-0.00534559;-0.00364576;0;0;-0.734543;418;403;389;1;
45.6;45.8;0.999977;0.0061438;0.0027479;0;0;-0.726105;399;389;376;1;
45.8;46;0.999756;0.0219427;-0.00264174;0;0;-0.726714;406;394;383;1;
46;46.2;0.998829;0.0476513;0.00832367;0;0;-0.740603;409;399;373;1;
46.2;46.4;0.99973;0.019778;-0.0122101;0;0;-0.662512;392;385;358;1;
46.4;46.6;0.997224;0.0744471;0.00133465;0;0;-0.727744;415;399;377;1;
46.6;46.8;0.998338;0.0569507;-0.00887028;0;0;-0.665712;426;409;370;1;
46.8;47;0.993129;0.116984;0.00299633;0;0;-0.783143;381;368;342;1;
47;47.2;0.994603;0.103702;-0.00336347;0;0;-0.689641;398;381;347;1;
47.2;47.4;0.990392;0.137933;-0.00991577;0;0;-0.718936;414;395;359;1;
47.4;47.6;0.980673;0.195634;-0.00279669;0;0;-0.792819;385;369;320;1;
47.6;47.8;0.984609;0.17477;0.000339216;0;0;-0.695973;423;406;371;1;
47.8;48;0.975751;0.218886;-0.000226466;0;0;-0.759714;430;412;371;1;
48;48.2;0.983375;0.181443;-0.00717564;0;0;-0.648873;470;455;410;1;
48.2;48.4;0.971109;0.238637;0.000366822;0;0;-0.724124;492;484;458;1;
48.4;48.6;0.970057;0.242879;-0.000239855;0;0;-0.678658;479;473;444;1;
48.6;48.8;0.950122;0.311866;0.00276546;0;0;-0.808977;495;470;441;1;
48.8;49;0.970281;0.241941;-0.00427887;0;0;-0.609192;508;492;450;1;
49;49.2;0.941967;0.335701;0.00157096;0;0;-0.722649;505;501;476;1;
49.2;49.4;0.937635;0.347617;0.00151366;0;0;-0.734988;483;471;446;1;
49.4;49.6;0.94279;0.333328;-0.00634012;0;0;-0.656859;499;482;449;1;
49.6;49.8;0.923828;0.382657;-0.0107526;0;0;-0.720439;543;532;483;1;
49.8;50;0.936659;0.350194;-0.00580752;0;0;0.762646;468;429;382;1;
