length=;358;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;-0.958214;0.268231;0.0993847;0;0;0.999694;937;931;927;1;
0.2;0.4;0.493016;-0.849642;0.187199;0;0;1.00326;933;926;925;1;
0.4;0.6;-0.954398;0.170868;-0.244803;0;0;1.00001;934;926;924;1;
0.6;0.8;-0.981293;0.145743;0.125787;0;0;1.0007;928;922;919;1;
0.8;1;-0.328863;-0.942625;0.0575071;0;0;0.970703;940;935;931;1;
1;1.2;-0.949582;0.294618;0.107212;0;0;1.00052;947;943;937;1;
1.2;1.4;-0.966603;-0.249918;-0.0567487;0;0;1.00074;935;928;926;1;
1.4;1.6;0.0157899;-0.993156;-0.115719;0;0;0.911951;934;928;924;1;
1.6;1.8;-0.994222;0.0674474;0.0835053;0;0;1.00219;941;933;929;1;
1.8;2;-0.996148;0.00361208;0.0876141;0;0;1.00026;930;918;915;1;
2;2.2;-0.928096;0.0522039;0.368664;0;0;0.999211;948;941;939;1;
2.2;2.4;-0.671433;-0.406017;0.619941;0;0;0.999315;932;923;919;1;
2.4;2.6;-0.973575;0.227584;0.0189063;0;0;0.999237;921;914;910;1;
2.6;2.8;-0.091483;-0.608009;-0.788642;0;0;1.00505;939;931;931;1;
2.8;3;-0.176227;-0.723479;-0.667474;0;0;1.018;935;925;921;1;
3;3.2;0.994883;0.0108666;-0.100448;0;0;0.998459;932;925;924;1;
3.2;3.4;-0.977165;0.0943422;0.190389;0;0;0.999402;940;931;931;1;
3.4;3.6;-0.9317;0.329134;-0.153641;0;0;0.998849;939;929;928;1;
3.6;3.8;-0.961475;0.240297;0.133501;0;0;1.00115;934;926;920;1;
3.8;4;-0.956604;-0.26206;-0.127409;0;0;0.999572;937;933;926;1;
4;4.2;-0.919511;0.254813;-0.299282;0;0;1.00112;942;936;936;1;
4.2;4.4;-0.989254;-0.145679;0.0124292;0;0;0.999326;931;919;919;1;
4.4;4.6;-0.993395;-0.113563;-0.016407;0;0;0.997271;914;905;899;1;
4.6;4.8;-0.955689;0.290805;0.0457225;0;0;1.00008;917;909;908;1;
4.8;5;-0.981332;0.191922;-0.012368;0;0;1.00327;912;902;901;1;
5;5.2;-0.998539;-0.0312471;0.0440771;0;0;1.00049;912;903;902;1;
5.2;5.4;-0.999599;-0.0117238;-0.0257695;0;0;1.00067;907;895;895;1;
5.4;5.6;0.981886;0.0754897;-0.173782;0;0;1.00109;909;897;896;1;
5.6;5.8;-0.990886;-0.0248565;0.132392;0;0;1.002;911;901;898;1;
5.8;6;0.985968;-0.165484;-0.0219435;0;0;1.00208;908;895;892;1;
6;6.2;-0.934724;-0.333724;0.122145;0;0;1.00053;909;899;899;1;
6.2;6.4;-0.993317;0.0531844;0.102431;0;0;1.0011;915;906;900;1;
6.4;6.6;0.992225;-0.0556127;-0.11134;0;0;1.00039;897;885;884;1;
6.6;6.8;-0.948685;-0.244704;0.200293;0;0;0.999991;926;918;916;1;
6.8;7;-0.977823;0.202315;0.0541321;0;0;0.99882;913;902;901;1;
7;7.2;-0.949502;0.291663;-0.115668;0;0;0.999183;912;903;902;1;
7.2;7.4;-0.970127;0.219377;-0.103577;0;0;1.00039;901;895;893;1;
7.4;7.6;0.882097;-0.411094;-0.230014;0;0;0.999908;924;918;916;1;
7.6;7.8;0.933619;-0.35824;-0.00436097;0;0;1;909;900;897;1;
7.8;8;-0.381753;-0.875186;-0.297176;0;0;0.998431;926;919;917;1;
8;8.2;-0.905226;0.356147;0.231786;0;0;1.00062;916;907;905;1;
8.2;8.4;-0.946187;-0.0126132;-0.323374;0;0;1.00125;912;902;898;1;
8.4;8.6;-0.974345;-0.1716;0.145622;0;0;1.00068;912;908;901;1;
8.6;8.8;-0.96962;-0.215144;0.116405;0;0;1.00095;910;902;896;1;
8.8;9;-0.968961;-0.13447;0.207441;0;0;0.999334;904;897;893;1;
9;9.2;-0.711304;0.0714813;0.69924;0;0;1.00184;933;920;919;1;
9.2;9.4;-0.968441;0.133758;-0.21031;0;0;0.999087;929;918;913;1;
9.4;9.6;-0.9809;0.00588363;0.194423;0;0;0.999875;922;908;907;1;
9.6;9.8;-0.968335;-0.138084;0.20799;0;0;0.99822;919;911;907;1;
9.8;10;-0.858971;0.265323;-0.437918;0;0;0.999653;928;919;913;1;
10;10.2;-0.142403;-0.812135;0.565825;0;0;1.01251;926;916;914;1;
10.2;10.4;-0.914262;0.315716;-0.253866;0;0;0.999023;921;912;907;1;
10.4;10.6;-0.999463;0.0326701;0.00235728;0;0;0.99894;923;918;911;1;
10.6;10.8;-0.965244;-0.122685;0.230763;0;0;1.001;908;900;898;1;
10.8;11;-0.95274;0.303658;0.00885076;0;0;0.999552;909;901;897;1;
11;11.2;-0.885659;-0.27547;0.373797;0;0;0.998962;910;903;902;1;
11.2;11.4;-0.884249;0.160105;-0.438715;0;0;0.997841;915;907;907;1;
11.4;11.6;-0.928119;-0.368591;-0.052311;0;0;1.00016;913;904;899;1;
11.6;11.8;-0.808361;-0.481003;-0.339396;0;0;0.997025;914;903;900;1;
11.8;12;-0.940526;0.260404;0.218177;0;0;1.00124;899;892;891;1;
12;12.2;-0.963798;0.170486;0.205005;0;0;0.997984;900;892;891;1;
12.2;12.4;-0.967048;-0.11956;0.224774;0;0;1.00153;928;926;919;1;
12.4;12.6;-0.958304;-0.244869;0.147283;0;0;0.998439;915;905;900;1;
12.6;12.8;-0.94204;-0.173447;0.287187;0;0;1.00092;930;919;917;1;
12.8;13;-0.991961;-0.044822;0.118342;0;0;1.00013;930;923;921;1;
13;13.2;-0.967957;-0.244958;0.0552682;0;0;0.999883;910;903;901;1;
13.2;13.4;-0.978736;0.203772;0.0234929;0;0;0.999495;912;906;904;1;
13.4;13.6;0.925305;-0.340245;-0.167464;0;0;1.00026;923;915;915;1;
13.6;13.8;-0.751375;0.055298;-0.657554;0;0;0.995647;925;917;915;1;
13.8;14;-0.969301;0.199732;-0.143395;0;0;1.00067;918;910;903;1;
14;14.2;-0.996799;-0.0776387;-0.0190893;0;0;0.999189;927;921;920;1;
14.2;14.4;-0.99551;-0.0194256;0.092647;0;0;1.00025;938;934;927;1;
14.4;14.6;-0.878462;-0.136859;-0.457793;0;0;0.997649;915;908;904;1;
14.6;14.8;-0.991203;-0.0621464;-0.116856;0;0;0.999779;921;915;912;1;
14.8;15;-0.965194;-0.179286;0.190413;0;0;0.998852;924;915;913;1;
15;15.2;-0.983679;-0.0184162;0.178989;0;0;0.999533;921;914;911;1;
15.2;15.4;-0.981777;0.155252;0.109594;0;0;0.999294;913;909;900;1;
15.4;15.6;0.921896;-0.321271;-0.216547;0;0;1.00129;914;906;904;1;
15.6;15.8;-0.93054;-0.326146;0.166507;0;0;1.00016;912;905;904;1;
15.8;16;-0.977903;0.105921;0.180241;0;0;0.998976;911;903;897;1;
16;16.2;-0.980876;0.175113;0.0849521;0;0;1.0008;944;936;934;1;
16.2;16.4;0.129955;-0.986698;-0.0976682;0;0;0.95705;919;914;908;1;
16.4;16.6;-0.955417;0.280988;0.0906824;0;0;1.00164;920;912;908;1;
