length=;198;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.99997;0.00732838;0.00251185;0;0;-0.00914594;966;966;962;1;
0.2;0.4;0.999994;0.000792052;-0.00327168;0;0;0.000149871;963;963;963;1;
0.4;0.6;0.999964;-0.00203782;-0.00823943;0;0;0.00100051;968;968;967;1;
0.6;0.8;0.999933;-0.00899831;-0.00725163;0;0;0.00743711;950;950;950;1;
0.8;1;0.99991;0.00323633;0.0130137;0;0;0.00147676;965;965;965;1;
1;1.2;0.999878;0.0139155;-0.00715707;0;0;-0.00921042;971;971;969;1;
1.2;1.4;0.999933;0.00887835;0.00738643;0;0;-0.00745524;961;961;960;1;
1.4;1.6;0.999927;-0.00764935;-0.00932644;0;0;0.00772299;962;962;962;1;
1.6;1.8;0.999989;-0.00458539;0;0;0;0.00431544;957;957;957;1;
1.8;2;0.99997;-0.00175833;-0.00754376;0;0;0.000897769;936;936;936;1;
2;2.2;0.999977;-0.00623123;-0.00270838;0;0;0.00209114;929;929;923;1;
2.2;2.4;0.999994;0.00283603;-0.00181234;0;0;-0.002217;932;932;929;1;
2.4;2.6;0.999949;0.00889835;0.00475328;0;0;-0.00414943;947;947;942;1;
2.6;2.8;0.999881;-0.0138537;0.00675334;0;0;0.0116868;931;931;929;1;
2.8;3;0.999596;-0.0264108;-0.0104665;0;0;0.023264;963;963;960;1;
3;3.2;0.99979;0.0153837;0.0135501;0;0;-0.0129663;953;953;952;1;
3.2;3.4;0.99997;-0.00698891;0.00335724;0;0;0.00858407;957;957;957;1;
3.4;3.6;0.99998;0.00229593;0.00596455;0;0;-0.00429885;940;940;936;1;
3.6;3.8;0.999998;-0.0011737;0.0015876;0;0;-0.0013186;944;944;944;1;
3.8;4;0.99976;-0.0135346;0.0172003;0;0;0.00729706;932;932;930;1;
4;4.2;0.999904;-0.0134906;0.00322723;0;0;0.00896649;958;958;957;1;
4.2;4.4;0.999985;-0.00480745;-0.00267406;0;0;0.0021259;946;946;941;1;
4.4;4.6;0.999959;-0.00802747;0.00417627;0;0;0.00602177;949;949;944;1;
4.6;4.8;0.999988;-0.00380214;0.00313433;0;0;0.00613722;947;947;941;1;
4.8;5;-0.999983;-0.00100527;-0.0056891;0;0;0.00168084;965;965;951;1;
5;5.2;0.999912;0.00720262;-0.0111792;0;0;-0.00436606;980;980;962;1;
5.2;5.4;0.999965;-0.00400833;0.00733869;0;0;0.00300249;969;969;952;1;
5.4;5.6;0.999919;0.00664196;0.0108537;0;0;-0.00528772;988;988;985;1;
5.6;5.8;0.999994;0.00111074;-0.00330449;0;0;-0.00249423;980;980;979;1;
5.8;6;0.999838;0;0.0180161;0;0;0.000132435;974;974;971;1;
6;6.2;0.999975;-0.00183541;0.00681986;0;0;0.000795231;983;983;983;1;
6.2;6.4;0.999984;0.000688538;-0.00563931;0;0;0.000178662;965;965;965;1;
6.4;6.6;0.999997;-0.00241067;0.000964165;0;0;0.00259299;984;984;983;1;
6.6;6.8;0.999986;-0.00340653;0.00396881;0;0;0.00360851;965;965;962;1;
6.8;7;0.999932;0.0115777;-0.00120787;0;0;-0.00664973;967;967;966;1;
7;7.2;0.999994;-0.00267684;-0.00213579;0;0;0.00225544;979;979;976;1;
7.2;7.4;0.999716;-0.0181455;-0.0154676;0;0;0.0134711;983;983;983;1;
7.4;7.6;0.999946;0.00975789;0.00360761;0;0;-0.00727934;983;983;983;1;
7.6;7.8;0.999998;0.000970487;-0.00184113;0;0;0.00338554;978;978;978;1;
7.8;8;0.999967;0.00313481;-0.00745387;0;0;-0.00304155;965;965;961;1;
8;8.2;0.999989;0.00437702;-0.00144769;0;0;-0.00532479;963;963;953;1;
8.2;8.4;0.999804;0.0170887;0.00996734;0;0;-0.0161731;979;979;979;1;
8.4;8.6;0.999913;0.00804924;-0.0104554;0;0;-0.00433116;958;957;954;1;
8.6;8.8;0.999969;0.0074906;0.00258498;0;0;-0.00591741;974;974;961;1;
8.8;9;0.999959;0.00229277;0.0087678;0;0;-0.000950192;977;977;970;1;
9;9.2;0.999995;-0.00152318;0.0027316;0;0;0.00187222;977;977;973;1;
9.2;9.4;0.99998;-0.00628699;0.000148017;0;0;0.00266724;979;979;974;1;
9.4;9.6;0.999965;-0.00734558;0.00401094;0;0;0.00423226;975;975;975;1;
9.6;9.8;-0.99998;0.00443489;-0.00440834;0;0;0.00188786;992;992;989;1;
9.8;10;0.999835;0.0150273;-0.0102494;0;0;-0.0108585;993;993;992;1;
10;10.2;0.999983;-0.00433161;-0.00385784;0;0;0.00224467;971;971;971;1;
10.2;10.4;-0.999917;0.0108805;-0.00690075;0;0;0.00579375;979;979;978;1;
10.4;10.6;0.999915;-0.00483963;-0.0121365;0;0;0.00192134;970;969;969;1;
10.6;10.8;0.999987;-0.00136243;-0.00491293;0;0;0.00112838;953;953;952;1;
10.8;11;0.999984;0.00565678;0.000545073;0;0;-0.0018357;964;964;962;1;
11;11.2;0.99995;-0.00791969;0.00610465;0;0;0.00327189;968;968;968;1;
11.2;11.4;-0.999867;-0.000506133;-0.0162765;0;0;-0.00342449;960;960;959;1;
