length=;598;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;0.999995;0.00246788;-0.00202556;0;0;-0.00238161;1000;961;954;1;
0.2;0.4;0.999998;0.00193878;0.00027259;0;0;-0.00580253;1000;956;949;1;
0.4;0.6;0.999997;-0.00253379;-0.000232607;0;0;0.0115017;1000;960;955;1;
0.6;0.8;0.999999;-0.000647383;0.00153027;0;0;-0.00225927;1000;962;955;1;
0.8;1;0.999987;-0.00484188;-0.00171114;0;0;0.0144946;1000;950;942;1;
1;1.2;0.999848;-0.0172782;0.00217127;0;0;-0.0087425;1000;961;956;1;
1.2;1.4;0.999949;-0.0100432;-0.000494257;0;0;0.0125821;1000;965;963;1;
1.4;1.6;0.999998;-0.00158213;0.00105532;0;0;0.00481075;1000;973;967;1;
1.6;1.8;0.999996;0.000282863;0.00263685;0;0;-0.015216;1000;971;965;1;
1.8;2;0.999995;0.00275576;0.00149967;0;0;-0.00403318;1000;967;961;1;
2;2.2;0.999992;0.00337546;-0.00194242;0;0;0.000289036;1000;962;955;1;
2.2;2.4;0.999992;-0.0024093;0.00311498;0;0;-0.00278915;1000;958;953;1;
2.4;2.6;0.999951;-0.00924792;0.00345129;0;0;0.00873008;1000;976;967;1;
2.6;2.8;0.999967;0;0.00816045;0;0;-0.00464902;1000;969;961;1;
2.8;3;0.999906;-0.0134072;0.00294878;0;0;-0.0011665;1000;974;971;1;
3;3.2;0.999994;-0.00090507;0.00339977;0;0;-0.0014602;1000;963;961;1;
3.2;3.4;0.999984;-0.00499688;0.00283002;0;0;0.00780058;1000;964;959;1;
3.4;3.6;0.999996;-0.000465583;-0.00268866;0;0;-0.00218645;1000;958;948;1;
3.6;3.8;0.99989;0.0143606;0.00362153;0;0;0.00285076;1000;965;962;1;
3.8;4;0.999985;0.00376935;0.00393573;0;0;0.0117714;1000;978;974;1;
4;4.2;0.999869;-0.0160116;0.00219301;0;0;-0.00708517;1000;972;965;1;
4.2;4.4;0.999977;-0.00651334;-0.00194713;0;0;0.00368815;1000;964;957;1;
4.4;4.6;0.999992;0.0022488;0.00333837;0;0;0.0053098;1000;956;952;1;
4.6;4.8;0.999996;0.0028797;-0.000572882;0;0;-0.0103295;1000;961;959;1;
4.8;5;0.999989;-0.00169447;-0.00429433;0;0;0.00297498;1000;972;972;1;
5;5.2;0.999969;-0.00541851;0.00579857;0;0;0.0115997;1000;958;952;1;
5.2;5.4;0.99998;-0.00614153;0.00145887;0;0;-0.0036736;1000;970;967;1;
5.4;5.6;0.999934;0.0110209;-0.0031993;0;0;-0.000660474;1000;973;969;1;
5.6;5.8;0.999998;0.00116811;-0.00141439;0;0;0.00503887;1000;963;954;1;
5.8;6;0.999977;0.0057581;0.00366159;0;0;0.0159201;1000;967;961;1;
6;6.2;0.99999;-0.00392619;-0.00218028;0;0;0.000878355;1000;967;962;1;
6.2;6.4;0.999945;0.0103193;-0.0015993;0;0;0.00537185;1000;960;958;1;
6.4;6.6;0.999999;0.00123696;0.00119621;0;0;0.00901655;1000;962;954;1;
6.6;6.8;0.999995;-0.00233549;0.00211341;0;0;0.00160618;1000;962;955;1;
6.8;7;0.999986;-0.00462288;-0.00259022;0;0;0.0100594;1000;955;951;1;
7;7.2;0.999996;0.00263441;0.000609069;0;0;-0.00441277;1000;958;953;1;
7.2;7.4;0.999983;-0.0057092;-0.000788279;0;0;-0.0085194;1000;962;957;1;
7.4;7.6;0.999858;0.0168539;-0.000430975;0;0;-0.00972835;1000;954;951;1;
7.6;7.8;0.999999;0.000518752;-0.00159471;0;0;-0.00501881;1000;958;952;1;
7.8;8;1;-0.000485859;-0.000271578;0;0;-0.0102003;1000;962;952;1;
8;8.2;0.999853;-0.0168923;-0.00280394;0;0;0.00810869;1000;958;955;1;
8.2;8.4;0.999921;-0.0117249;-0.004461;0;0;-0.00435752;1000;966;959;1;
8.4;8.6;0.999935;-0.00775487;-0.00841543;0;0;0.0221245;1000;959;946;1;
8.6;8.8;0.999892;-0.0145581;-0.00219215;0;0;0.0012832;1000;965;963;1;
8.8;9;0.999927;-0.0114408;-0.00397593;0;0;-0.00795339;1000;967;952;1;
9;9.2;0.999949;-0.00831322;-0.00570211;0;0;0.00970746;1000;970;966;1;
9.2;9.4;0.999988;0.00355318;0.00331114;0;0;0.00253113;1000;963;954;1;
9.4;9.6;0.999957;0.0084233;0.00392435;0;0;0.0171234;1000;957;953;1;
9.6;9.8;0.999937;0.0107114;0.00321278;0;0;0.0119991;1000;959;957;1;
9.8;10;0.999982;-0.005938;0.000417365;0;0;0.00117383;1000;959;956;1;
10;10.2;0.999927;0.0120344;-0.00111916;0;0;0.0136958;1000;965;950;1;
10.2;10.4;1;0;0.000349237;0;0;-0.00546815;1000;972;963;1;
10.4;10.6;0.999952;-0.00908954;-0.00375358;0;0;-0.00417541;1000;966;960;1;
10.6;10.8;0.999992;0.000977506;0.00380668;0;0;-0.00759386;1000;965;960;1;
10.8;11;0.999899;0.0115725;-0.00819706;0;0;-0.00222264;1000;966;957;1;
11;11.2;0.999998;-0.00105586;0.00164672;0;0;-0.00627743;1000;968;960;1;
11.2;11.4;0.999995;0.00311507;-0.000309409;0;0;0.00134977;1000;961;953;1;
11.4;11.6;0.999998;-0.00163126;-0.00121774;0;0;0.00400594;1000;964;958;1;
11.6;11.8;0.999861;-0.0143142;-0.00855527;0;0;0;1000;970;961;1;
11.8;12;0.999977;-0.0063525;-0.00216995;0;0;-0.00452679;1000;966;962;1;
12;12.2;0.999911;-0.0133173;0.000938278;0;0;-0.0173118;1000;958;956;1;
12.2;12.4;0.999967;-0.00743162;-0.0032982;0;0;0.0033415;1000;963;956;1;
12.4;12.6;0.999953;0.0093102;0.00284833;0;0;0.00120795;1000;955;952;1;
12.6;12.8;0.999956;-0.00742859;0.00572357;0;0;0.00852208;1000;965;957;1;
12.8;13;0.999984;-0.00517575;0.00229147;0;0;-0.00504502;1000;957;952;1;
13;13.2;0.999921;-0.0121533;0.00310328;0;0;0.00816713;1000;957;952;1;
13.2;13.4;0.999952;0.00889275;-0.00412274;0;0;-0.00219665;1000;961;958;1;
13.4;13.6;0.999785;-0.0206515;0.00162112;0;0;-0.00384817;1000;959;955;1;
13.6;13.8;0.999904;0.0135836;0.00257285;0;0;-0.0132212;1000;952;948;1;
13.8;14;0.999968;0.0074224;0.00311419;0;0;0.00958295;1000;961;951;1;
14;14.2;0.999897;-0.0124655;0.00717201;0;0;-0.00233021;1000;956;948;1;
14.2;14.4;0.999974;-0.00713939;-0.000991522;0;0;-0.00167391;1000;965;956;1;
14.4;14.6;0.999984;-0.00475359;0.00319276;0;0;0.00410503;1000;962;957;1;
14.6;14.8;0.999923;0.011432;-0.00477609;0;0;-0.00927109;1000;949;946;1;
14.8;15;0.999961;-0.00710999;-0.00525482;0;0;0.00865519;1000;968;964;1;
15;15.2;0.999974;0.00663325;-0.00290806;0;0;0.0103963;1000;963;956;1;
15.2;15.4;0.999987;0;-0.00509917;0;0;0.000614303;1000;966;963;1;
15.4;15.6;0.999964;-0.00846684;0.000519078;0;0;-0.0078487;1000;958;953;1;
15.6;15.8;0.999959;0.00892706;0.00115596;0;0;-0.00826038;1000;965;958;1;
15.8;16;0.999637;-0.0266283;-0.00421849;0;0;0.00281331;1000;959;954;1;
16;16.2;0.99997;0.00764621;0.0014195;0;0;-0.0116018;1000;962;959;1;
16.2;16.4;0.999972;0.0070765;0.00223078;0;0;0.00767203;1000;969;961;1;
