length=;998;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.2;-0.969246;0.245606;-0.0154738;0;0;-0.714565;1000;999;999;1;
0.2;0.4;-0.996003;0.0764866;-0.0461288;0;0;-0.724142;1000;999;998;1;
0.4;0.6;-0.988922;0.147048;-0.0202707;0;0;-0.721882;1000;999;997;1;
0.6;0.8;-0.983168;0.181761;-0.0185375;0;0;-0.717875;1000;1000;996;1;
0.8;1;-0.977291;0.210216;-0.0266608;0;0;-0.72674;1000;1000;1000;1;
1;1.2;-0.994957;0.10019;-0.00467868;0;0;-0.715711;1000;999;996;1;
1.2;1.4;-0.992539;0.121498;0.0102493;0;0;-0.735669;1000;998;993;1;
1.4;1.6;-0.995986;0.0892902;-0.00632767;0;0;-0.706532;1000;997;991;1;
1.6;1.8;0.994449;-0.103233;-0.0203541;0;0;-0.715777;1000;997;992;1;
1.8;2;-0.996829;0.0793812;0.00544941;0;0;-0.708048;1000;999;986;1;
2;2.2;0.997877;-0.0647694;-0.00675462;0;0;-0.710721;1000;997;991;1;
2.2;2.4;0.997123;-0.0745146;0.0138878;0;0;-0.736847;1000;988;979;1;
2.4;2.6;0.998291;-0.0583421;-0.00328631;0;0;-0.718276;1000;996;989;1;
2.6;2.8;-0.998082;0.0587771;-0.0194428;0;0;-0.729633;1000;996;987;1;
2.8;3;-0.998868;0.0438567;-0.0184287;0;0;-0.715187;1000;992;982;1;
3;3.2;0.999303;-0.0369845;-0.00515901;0;0;-0.704096;1000;982;973;1;
3.2;3.4;0.998661;-0.0515866;0.00383431;0;0;-0.706447;1000;989;972;1;
3.4;3.6;0.999987;-0.00392347;-0.00314995;0;0;-0.721727;1000;991;978;1;
3.6;3.8;0.999992;-0.00354545;-0.00205072;0;0;-0.728244;1000;991;981;1;
3.8;4;0.999686;0.0237678;-0.0079497;0;0;-0.718234;1000;988;977;1;
4;4.2;0.999837;0.0145334;-0.0107505;0;0;-0.709589;1000;980;971;1;
4.2;4.4;0.999933;0.00971973;-0.0063587;0;0;-0.739848;1000;980;969;1;
4.4;4.6;0.998643;0.0520623;0.000991178;0;0;-0.700248;1000;980;960;1;
4.6;4.8;0.999425;0.033518;-0.00514399;0;0;-0.7303;1000;971;955;1;
4.8;5;0.997486;0.0702654;-0.00921427;0;0;-0.714509;1000;974;952;1;
5;5.2;0.99889;0.0450487;0.0137921;0;0;-0.769447;1000;962;949;1;
5.2;5.4;0.998379;0.0562108;0.00892393;0;0;-0.724191;1000;971;954;1;
5.4;5.6;0.998874;0.0472148;0.00473403;0;0;-0.752935;1000;971;951;1;
5.6;5.8;0.996798;0.0799555;0.00077651;0;0;-0.700874;1000;976;954;1;
5.8;6;0.998338;0.0572354;0.00673178;0;0;-0.676876;1000;966;949;1;
6;6.2;0.995449;0.0948631;-0.00905582;0;0;-0.693703;1000;970;954;1;
6.2;6.4;0.995555;0.09369;-0.00963027;0;0;-0.727324;1000;979;963;1;
6.4;6.6;0.994274;0.106573;0.00779902;0;0;-0.730182;1000;972;949;1;
6.6;6.8;0.995591;0.0936095;0.00591693;0;0;-0.696632;1000;981;957;1;
6.8;7;0.997062;0.0765979;-0.00100198;0;0;-0.743433;1000;965;941;1;
7;7.2;0.994549;0.104211;-0.00351798;0;0;-0.725113;1000;966;947;1;
7.2;7.4;0.994847;0.101347;-0.00272365;0;0;-0.710009;1000;967;950;1;
7.4;7.6;0.987946;0.154541;0.00889914;0;0;-0.706351;1000;971;959;1;
7.6;7.8;0.991568;0.129538;0.0036999;0;0;-0.734528;1000;972;955;1;
7.8;8;0.991456;0.130208;-0.00783914;0;0;-0.686175;1000;969;946;1;
8;8.2;0.99594;0.0895336;0.00937068;0;0;-0.73208;1000;964;943;1;
8.2;8.4;0.992334;0.123534;-0.00349624;0;0;-0.741352;1000;971;949;1;
8.4;8.6;0.989632;0.143609;-0.00216398;0;0;-0.714884;1000;962;950;1;
8.6;8.8;0.992668;0.120873;-0.000321749;0;0;-0.735396;1000;961;943;1;
8.8;9;0.991;0.133859;-0.00102089;0;0;-0.709386;1000;970;949;1;
9;9.2;0.989657;0.143424;0.00304461;0;0;-0.700608;1000;970;953;1;
9.2;9.4;0.991385;0.130966;-0.00216823;0;0;-0.702999;1000;970;950;1;
9.4;9.6;0.992473;0.122435;0.00245995;0;0;-0.748253;1000;968;950;1;
9.6;9.8;0.993189;0.116499;0.00177383;0;0;-0.737168;1000;982;962;1;
9.8;10;0.987749;0.155974;0.00487264;0;0;-0.725645;1000;974;957;1;
10;10.2;0.996245;0.086569;-0.00107764;0;0;-0.730299;1000;978;956;1;
10.2;10.4;0.996626;0.0818466;0.00621622;0;0;-0.707489;1000;973;962;1;
10.4;10.6;0.994424;0.104661;0.0129523;0;0;-0.744116;1000;980;974;1;
10.6;10.8;0.992863;0.1192;0.00372057;0;0;-0.718543;1000;974;962;1;
10.8;11;0.995905;0.090377;0.00240455;0;0;-0.700009;1000;983;974;1;
11;11.2;0.997217;0.0743021;-0.00617776;0;0;-0.708454;1000;983;965;1;
11.2;11.4;0.99816;0.0606346;0.000178938;0;0;-0.724399;1000;986;975;1;
11.4;11.6;0.998186;0.0602075;-0.000866179;0;0;-0.743129;1000;980;966;1;
11.6;11.8;0.99881;0.0463815;-0.0150805;0;0;-0.719162;1000;976;968;1;
11.8;12;0.999505;0.029549;-0.0108254;0;0;-0.718756;1000;984;977;1;
12;12.2;0.999999;0.000867529;-0.00112985;0;0;-0.73103;1000;990;984;1;
12.2;12.4;0.999927;-0.0109739;0.00508067;0;0;-0.727242;1000;993;982;1;
12.4;12.6;0.999944;-0.00993368;0.00351721;0;0;-0.717108;1000;980;970;1;
12.6;12.8;0.999998;-0.00167024;0.000702466;0;0;-0.726814;1000;986;982;1;
12.8;13;0.999929;0.00174756;0.011813;0;0;-0.708575;1000;984;973;1;
13;13.2;0.999987;0.0026122;0.00437908;0;0;-0.718869;1000;991;983;1;
13.2;13.4;0.999888;0.0140796;0.00501684;0;0;-0.710232;1000;978;973;1;
13.4;13.6;0.999285;0.0370652;-0.00740129;0;0;-0.711933;1000;980;975;1;
13.6;13.8;0.999012;0.0444312;-0.000135747;0;0;-0.734504;1000;984;971;1;
13.8;14;0.99988;0.0152046;-0.00299245;0;0;-0.703645;1000;980;969;1;
14;14.2;0.999998;0.00209362;-0.000394828;0;0;-0.701459;1000;982;976;1;
14.2;14.4;0.99979;0.0164561;-0.0122167;0;0;-0.723376;1000;980;965;1;
14.4;14.6;0.998749;0.049881;-0.00336758;0;0;-0.717914;1000;982;973;1;
14.6;14.8;0.999645;0.0259475;0.00603635;0;0;-0.722058;1000;983;972;1;
14.8;15;0.999982;0.00449246;0.00385866;0;0;-0.728314;1000;981;976;1;
15;15.2;0.999832;0.017377;-0.00578068;0;0;-0.722827;1000;981;969;1;
15.2;15.4;0.999849;0.0172636;0.0017515;0;0;-0.730181;1000;983;966;1;
15.4;15.6;0.999874;0.0144146;-0.00659151;0;0;-0.713378;1000;980;965;1;
15.6;15.8;0.999339;0.0363418;0;0;0;-0.712274;1000;981;971;1;
15.8;16;0.999441;0.0329968;-0.0053919;0;0;-0.735886;1000;972;971;1;
16;16.2;0.999973;-0.00719801;0.00150851;0;0;-0.720604;1000;985;980;1;
16.2;16.4;0.999808;0.0185603;0.00625702;0;0;-0.702697;1000;980;969;1;
16.4;16.6;0.999699;0.0243489;-0.00308095;0;0;-0.706944;1000;982;973;1;
16.6;16.8;0.999898;0.0111862;-0.00891833;0;0;-0.72164;1000;982;977;1;
16.8;17;0.999569;0.028648;-0.0064811;0;0;-0.709343;1000;977;970;1;
17;17.2;0.999866;0.0163276;-0.00147775;0;0;-0.702907;1000;966;961;1;
17.2;17.4;0.999841;0.0178243;0.000113529;0;0;-0.727145;1000;972;967;1;
17.4;17.6;0.999969;0.00693752;0.00366626;0;0;-0.711218;1000;980;967;1;
17.6;17.8;0.999523;0.0308873;0.000709949;0;0;-0.723045;1000;983;973;1;
17.8;18;0.999953;-0.00965984;0.00126807;0;0;-0.7047;1000;971;959;1;
18;18.2;0.999995;0.00290598;-0.000841877;0;0;-0.730095;1000;974;968;1;
18.2;18.4;0.999973;-0.00708152;0.00173337;0;0;-0.734938;1000;976;967;1;
18.4;18.6;0.99992;0.0125579;0.00124605;0;0;-0.739131;1000;975;966;1;
18.6;18.8;0.999988;-0.00441116;0.00229223;0;0;-0.723819;1000;972;970;1;
18.8;19;0.999778;-0.0173553;0.0119821;0;0;-0.713893;1000;974;964;1;
19;19.2;0.999982;-0.00215899;-0.00551078;0;0;-0.694471;1000;972;966;1;
19.2;19.4;0.999878;-0.0155632;-0.00105166;0;0;-0.720065;1000;971;956;1;
19.4;19.6;0.99999;-0.000665817;-0.00440203;0;0;-0.710487;1000;968;958;1;
19.6;19.8;0.999985;-0.00526555;0.00134848;0;0;-0.731585;1000;968;964;1;
19.8;20;0.999959;-0.00905006;-0.000651139;0;0;-0.727496;1000;982;976;1;
20;20.2;0.999662;-0.0257652;-0.0035285;0;0;-0.724858;1000;980;971;1;
20.2;20.4;0.999715;-0.0238711;0.000505587;0;0;-0.718465;1000;979;970;1;
20.4;20.6;0.999885;-0.0143584;-0.00485159;0;0;-0.710421;1000;972;965;1;
20.6;20.8;0.999963;-0.00019227;-0.00864887;0;0;-0.727907;1000;977;967;1;
20.8;21;0.999478;-0.0317584;-0.00590861;0;0;-0.719197;1000;979;971;1;
21;21.2;0.999302;-0.0373156;0.00179241;0;0;-0.720637;1000;977;969;1;
21.2;21.4;0.999853;-0.0156913;0.00694262;0;0;-0.712711;1000;966;963;1;
21.4;21.6;0.999597;-0.0272451;0.00801015;0;0;-0.715836;1000;966;960;1;
21.6;21.8;0.999894;-0.012548;-0.00735253;0;0;-0.724099;1000;978;969;1;
21.8;22;0.999373;-0.0345122;-0.00785641;0;0;-0.727702;1000;975;973;1;
22;22.2;0.999811;-0.0154361;-0.0118343;0;0;-0.723518;1000;971;966;1;
22.2;22.4;0.999002;-0.0446125;-0.00220341;0;0;-0.720137;1000;976;971;1;
22.4;22.6;0.999553;-0.0298592;0.00168612;0;0;-0.732098;1000;980;966;1;
22.6;22.8;0.999655;-0.0262487;-0.000598803;0;0;-0.717215;1000;978;974;1;
22.8;23;0.999748;-0.0220858;0.00405601;0;0;-0.720368;1000;968;955;1;
23;23.2;0.999791;-0.0187463;-0.00818163;0;0;-0.714236;1000;966;958;1;
23.2;23.4;0.999846;-0.0172433;0.00312143;0;0;-0.727849;1000;981;978;1;
23.4;23.6;0.999851;-0.0171184;-0.00219715;0;0;-0.710106;1000;984;976;1;
23.6;23.8;0.999978;0.00634919;-0.0017871;0;0;-0.705963;1000;973;966;1;
23.8;24;0.999738;-0.0227939;0.0018862;0;0;-0.715861;1000;980;974;1;
24;24.2;0.99994;0.00441898;0.00999701;0;0;-0.70082;1000;978;969;1;
24.2;24.4;0.999982;-0.000490831;0.00599138;0;0;-0.714344;1000;977;971;1;
24.4;24.6;0.999999;-0.000580308;-0.00148445;0;0;-0.712433;1000;980;974;1;
24.6;24.8;0.999946;0.00957838;-0.00413404;0;0;-0.709915;1000;977;974;1;
24.8;25;0.999978;0.00407907;-0.00520643;0;0;-0.730027;1000;975;969;1;
25;25.2;0.99995;0.00198293;0.00984721;0;0;-0.734341;1000;970;964;1;
25.2;25.4;0.999028;0.0439105;0.00382241;0;0;-0.70562;1000;978;974;1;
25.4;25.6;0.999675;0.0242644;0.00780785;0;0;-0.711175;1000;969;964;1;
25.6;25.8;0.999957;-0.00592293;0.00717953;0;0;-0.721201;1000;988;985;1;
25.8;26;0.999984;0.00443693;-0.00361829;0;0;-0.719186;1000;972;970;1;
26;26.2;0.999965;0.00460955;0.00699657;0;0;-0.718625;1000;976;972;1;
26.2;26.4;0.999966;-0.00754281;0.00338778;0;0;-0.711466;1000;979;973;1;
26.4;26.6;0.999955;0.00949962;0.000262351;0;0;-0.726999;1000;971;968;1;
26.6;26.8;0.999891;0.0144469;-0.00293601;0;0;-0.72311;1000;983;975;1;
26.8;27;0.999499;0.0313438;0.00435534;0;0;-0.72784;1000;971;963;1;
27;27.2;0.999933;0.0109212;-0.00390906;0;0;-0.719792;1000;979;978;1;
27.2;27.4;0.999986;0.00360591;0.00391343;0;0;-0.717371;1000;979;977;1;
27.4;27.6;0.999886;0.0147448;0.00331113;0;0;-0.708294;1000;984;982;1;
27.6;27.8;0.999987;0.00245177;0.00445157;0;0;-0.734064;1000;986;981;1;
27.8;28;0.999683;0.0251554;0.00103286;0;0;-0.722546;1000;981;976;1;
28;28.2;0.999772;0.0212253;-0.00250397;0;0;-0.716109;1000;973;969;1;
28.2;28.4;0.99923;0.0390041;0.00424506;0;0;-0.719199;1000;978;974;1;
28.4;28.6;0.999691;0.0238233;0.00708737;0;0;-0.721035;1000;976;970;1;
28.6;28.8;0.999687;0.0248954;0.00241442;0;0;-0.725211;1000;968;966;1;
28.8;29;0.999673;0.0253066;-0.00357576;0;0;-0.7392;1000;977;975;1;
29;29.2;0.999936;0.0112211;0.00164673;0;0;-0.73565;1000;979;976;1;
29.2;29.4;0.999975;0.000270839;-0.00708897;0;0;-0.714196;1000;967;965;1;
29.4;29.6;0.99954;0.0300951;-0.00364804;0;0;-0.713359;1000;972;968;1;
29.6;29.8;0.999985;0.00297759;-0.00450749;0;0;-0.722142;1000;968;958;1;
29.8;30;0.999916;0.0121928;-0.00450013;0;0;-0.700992;1000;977;970;1;
30;30.2;0.999974;0.00603599;-0.00399418;0;0;-0.709181;1000;974;969;1;
30.2;30.4;0.999968;-0.000410279;0.0079318;0;0;-0.736338;1000;971;962;1;
30.4;30.6;0.999898;0.0137669;-0.00379723;0;0;-0.724129;1000;977;963;1;
30.6;30.8;0.99981;-0.0186088;-0.00588729;0;0;-0.71384;1000;965;962;1;
30.8;31;0.999983;-0.00427335;0.00386199;0;0;-0.723028;1000;970;964;1;
31;31.2;0.99998;-0.00387485;-0.00509455;0;0;-0.717186;1000;972;964;1;
31.2;31.4;0.999853;0.0169714;-0.00262987;0;0;-0.699912;1000;961;957;1;
31.4;31.6;0.999994;0.00287391;-0.0019001;0;0;-0.724856;1000;973;969;1;
31.6;31.8;0.99977;0.0209922;0.00437402;0;0;-0.718122;1000;972;969;1;
31.8;32;0.999851;-0.0169798;-0.00310314;0;0;-0.721843;1000;971;963;1;
32;32.2;0.999996;0.00243718;-0.00110143;0;0;-0.732683;1000;974;969;1;
32.2;32.4;0.999848;-0.0171995;0.00285655;0;0;-0.731337;1000;983;977;1;
32.4;32.6;0.999547;-0.0297854;0.00436653;0;0;-0.709915;1000;978;970;1;
32.6;32.8;0.999942;0.00856579;0.00652932;0;0;-0.72811;1000;981;974;1;
32.8;33;0.999933;-0.0114833;-0.00157362;0;0;-0.715364;1000;975;967;1;
33;33.2;0.999481;-0.0320265;0.00345611;0;0;-0.715349;1000;970;964;1;
33.2;33.4;0.999188;-0.0400572;0.00437326;0;0;-0.725398;1000;968;958;1;
33.4;33.6;0.999524;-0.030318;0.00571606;0;0;-0.721173;1000;967;961;1;
33.6;33.8;0.999701;-0.0221698;0.0103058;0;0;-0.716999;1000;971;966;1;
33.8;34;0.999865;-0.00810294;-0.0143065;0;0;-0.711434;1000;977;968;1;
34;34.2;0.999976;-0.00689906;0.000548836;0;0;-0.700006;1000;970;961;1;
34.2;34.4;0.999968;-0.00583896;0.00539309;0;0;-0.733663;1000;976;971;1;
34.4;34.6;0.999774;-0.0207238;-0.00483802;0;0;-0.715451;1000;991;980;1;
34.6;34.8;0.999991;-0.00308183;-0.00283082;0;0;-0.706995;1000;980;971;1;
34.8;35;0.999825;-0.0179386;0.00529635;0;0;-0.69797;1000;981;976;1;
35;35.2;0.999956;0.00858294;0.0038596;0;0;-0.713753;1000;989;979;1;
35.2;35.4;0.999922;-0.0116925;0.00429986;0;0;-0.718804;1000;984;980;1;
35.4;35.6;0.9999;-0.0116696;0.00793557;0;0;-0.719891;1000;984;980;1;
35.6;35.8;0.999878;-0.0156157;0.000959411;0;0;-0.707917;1000;989;988;1;
35.8;36;0.999628;-0.0247184;0.0115503;0;0;-0.71723;1000;983;976;1;
36;36.2;0.999811;-0.0191094;-0.00369717;0;0;-0.714616;1000;989;977;1;
36.2;36.4;0.999694;-0.0233025;-0.00834943;0;0;-0.726084;1000;985;980;1;
36.4;36.6;0.999974;0.00612755;-0.00391822;0;0;-0.72747;1000;987;975;1;
36.6;36.8;0.999641;-0.0267294;-0.00199521;0;0;-0.709085;1000;979;967;1;
36.8;37;0.999863;0.0164312;0.00184282;0;0;-0.721327;1000;986;977;1;
37;37.2;0.999881;0.0153619;-0.00107879;0;0;-0.731161;1000;977;969;1;
37.2;37.4;0.999795;0.0193155;0.00604918;0;0;-0.736428;1000;987;977;1;
37.4;37.6;0.999938;0.000308888;0.0111525;0;0;-0.72601;1000;975;957;1;
37.6;37.8;0.999811;-0.00977699;0.016832;0;0;-0.729829;1000;980;963;1;
37.8;38;0.99993;0.0102804;0.00593296;0;0;-0.730927;1000;980;965;1;
38;38.2;0.999327;-0.0366678;0.000488971;0;0;-0.719304;1000;978;966;1;
38.2;38.4;0.999281;-0.0378069;-0.00268997;0;0;-0.711922;1000;976;974;1;
38.4;38.6;0.998761;-0.0483312;0.0118772;0;0;-0.714204;1000;974;957;1;
38.6;38.8;0.999391;-0.0348929;-0.00084921;0;0;-0.720496;1000;990;980;1;
38.8;39;0.998836;-0.0482408;-0.000327868;0;0;-0.734953;1000;978;967;1;
39;39.2;0.998408;-0.0559418;0.00723253;0;0;-0.726526;1000;981;981;1;
39.2;39.4;0.998481;-0.0543083;0.00926715;0;0;-0.761698;1000;988;986;1;
39.4;39.6;0.999308;-0.0357157;0.0104049;0;0;-0.711954;1000;995;990;1;
39.6;39.8;0.996872;-0.0790334;-0.000789516;0;0;-0.706881;1000;994;989;1;
39.8;40;0.998227;-0.0594968;0.00172933;0;0;-0.712108;1000;993;989;1;
40;40.2;0.995883;-0.0904005;-0.00670258;0;0;-0.746098;1000;989;982;1;
40.2;40.4;0.998522;-0.0533318;0.0104486;0;0;-0.692403;1000;992;985;1;
40.4;40.6;0.993937;-0.109654;0.00802148;0;0;-0.697065;1000;987;974;1;
40.6;40.8;0.997221;-0.0744925;0.000913835;0;0;-0.72196;1000;979;966;1;
40.8;41;0.991005;-0.133621;-0.00740418;0;0;-0.74156;1000;956;949;1;
41;41.2;0.995308;-0.0967213;-0.00249507;0;0;-0.703999;1000;960;947;1;
41.2;41.4;0.993109;-0.117127;0.00398449;0;0;-0.727605;1000;956;939;1;
41.4;41.6;0.988128;-0.1536;-0.00305815;0;0;-0.664025;1000;970;951;1;
41.6;41.8;0.992122;-0.125234;0.00334856;0;0;-0.706482;1000;977;955;1;
41.8;42;0.991455;-0.130429;-0.00223469;0;0;-0.710781;1000;979;962;1;
42;42.2;0.990481;-0.137511;-0.00615604;0;0;-0.703126;1000;983;978;1;
42.2;42.4;0.993943;-0.10976;-0.00547648;0;0;-0.709577;1000;990;977;1;
42.4;42.6;0.994472;-0.104969;0.0024869;0;0;-0.721977;1000;995;979;1;
42.6;42.8;0.993888;-0.110386;-0.0013081;0;0;-0.73777;1000;990;973;1;
42.8;43;0.996005;-0.0881554;-0.0142254;0;0;-0.740268;1000;990;977;1;
43;43.2;0.994514;-0.104179;0.00939508;0;0;-0.713578;1000;986;976;1;
43.2;43.4;0.99447;-0.104727;-0.00788956;0;0;-0.704198;1000;990;983;1;
43.4;43.6;0.996336;-0.0855305;0;0;0;-0.749577;1000;983;968;1;
43.6;43.8;0.991482;-0.130122;-0.00559718;0;0;-0.739315;1000;987;972;1;
43.8;44;0.998661;-0.0505497;-0.0110363;0;0;-0.718036;1000;978;956;1;
44;44.2;0.997834;-0.0648055;-0.0112563;0;0;-0.729009;1000;969;949;1;
44.2;44.4;0.993451;-0.112859;0.0178267;0;0;-0.781465;1000;964;949;1;
44.4;44.6;0.997657;-0.0681611;0.00595398;0;0;-0.711944;1000;967;956;1;
44.6;44.8;0.996409;-0.0799717;0.0278164;0;0;-0.712837;1000;963;942;1;
44.8;45;0.998791;-0.0483168;0.00905924;0;0;-0.734291;1000;962;939;1;
45;45.2;0.999058;-0.0421655;0.0102836;0;0;-0.695089;1000;974;956;1;
45.2;45.4;0.999406;-0.0329004;0.0103027;0;0;-0.729951;1000;985;971;1;
