PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/DownAllIceFinal.mp4;CameraType=8;videoSize=[960 x 540];videoFPS=5;videoFrameCount=599;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=0;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.00405227;0;0;0.00405227;0;0;-0.0858793;0;0;-0.0858793;0;0;0.584578;0;0;0.584578;0;0;0;0;0;0;0.0243877;-0.999678;0.00698699;0.438812;-0.891842;-0.109829;0.154368;0.361285;-0.919589;0;-1;0;0.0244584;-0.999676;0.00698699;0;0;0.00405227;0.437475;-0.892498;-0.109829;0;0;-0.0858793;0.150674;0.362842;-0.919589;0;0;0.584578;0;-1;0;0;0;0;1000;980;973;4235;4235;2397;1000;1000;730;1000;1000;738;1;1;1;1;
1;2;0;0;-0.00122438;0;0;0.00282789;0;0;-0.00658439;0;0;-0.0924637;0;0;-0.215914;0;0;0.368664;0;0;0;0;0;0;0.000875218;-0.999988;0.00484282;-0.130144;-0.991345;-0.0172684;-0.198275;-0.372628;0.906551;0;-1;0;0.025383;-1.99966;0.0118298;0;0;0.00282789;0.305731;-1.88363;-0.127097;0;0;-0.0924637;-0.0451996;-0.0110544;-0.0130374;0;0;0.368664;0;-2;0;0;0;0;1000;979;979;4307;4307;2380;1000;1000;688;1000;1000;739;1;1;1;1;
2;3;0;0;0.00446888;0;0;0.00729677;0;0;0.00267823;0;0;-0.0897855;0;0;0.17864;0;0;0.547303;0;0;0;0;0;0;-0.00615451;-0.99996;0.0065333;-0.0725473;-0.99725;0.0151388;-0.0873424;-0.295485;-0.951347;0;-1;0;0.0193558;-2.99962;0.0183631;0;0;0.00729677;0.231621;-2.88077;-0.111958;0;0;-0.0897855;-0.129716;-0.30736;-0.964384;0;0;0.547303;0;-3;0;0;0;0;1000;984;976;4266;4266;2347;1001;1001;607;1000;1000;719;1;1;1;1;
3;4;0;0;0.0105483;0;0;0.017845;0;0;-0.0420807;0;0;-0.131866;0;0;-0.000243865;0;0;0.547059;0;0;0;0;0;0;-0.0474673;-0.998858;0.00537962;-0.0867166;-0.99623;-0.00246831;-0.189571;-0.184588;-0.96436;0;-1;0;-0.0278004;-3.9985;0.0237427;0;0;0.017845;0.142612;-3.87679;-0.114427;0;0;-0.131866;-0.317515;-0.493749;-1.92874;0;0;0.547059;0;-4;0;0;0;0;1000;989;983;4315;4315;2348;1000;1000;616;1000;1000;722;1;1;1;1;
4;5;0;0;0.000386083;0;0;0.0182311;0;0;0.00202033;0;0;-0.129846;0;0;-1.13549;0;0;-0.588429;0;0;0;0;0;0;0.0273545;-0.999624;0.00185883;0.0276448;-0.998693;-0.0429992;-0.191205;-0.289242;0.937966;0;-1;0;-0.000127818;-4.99811;0.0256016;0;0;0.0182311;0.167994;-4.87555;-0.157426;0;0;-0.129846;-0.51168;-0.781013;-0.990778;0;0;-0.588429;0;-5;0;0;0;0;1000;988;982;4268;4268;2301;1000;1000;622;1000;1000;706;1;1;1;1;
5;6;0;0;0.0102602;0;0;0.0284913;0;0;0.0176381;0;0;-0.112208;0;0;0.079847;0;0;-0.508582;0;0;0;0;0;0;-0.00730222;-0.999916;-0.0107095;0.311211;-0.95032;0.00627438;-0.0720785;-0.153286;0.98555;0;-1;0;-0.00693281;-5.99803;0.014892;0;0;0.0284913;0.477343;-5.82648;-0.151151;0;0;-0.112208;-0.585116;-0.933653;-0.00522858;0;0;-0.508582;0;-6;0;0;0;0;1000;990;988;4294;4294;2334;1001;1001;552;1000;1000;726;1;1;1;1;
6;7;0;0;0.00127044;0;0;0.0297617;0;0;0.122319;0;0;0.0101115;0;0;-0.0602787;0;0;-0.568861;0;0;0;0;0;0;-0.0274336;-0.999623;-0.000987906;-0.131292;-0.00926622;-0.9913;0.133282;0.280569;-0.950535;0;-1;0;-0.0338471;-6.99767;0.0139041;0;0;0.0297617;0.346052;-5.83576;-1.14245;0;0;0.0101115;-0.449056;-0.654421;-0.955764;0;0;-0.568861;0;-7;0;0;0;0;1000;991;987;4246;4246;2301;1001;1001;666;1000;1000;707;1;1;1;1;
7;8;0;0;0.00841087;0;0;0.0381726;0;0;-0.0124886;0;0;-0.00237711;0;0;0.370601;0;0;-0.19826;0;0;0;0;0;0;0.00422247;-0.999991;-0.00096362;0.0775143;-0.996975;-0.0057693;0.228491;0.442666;-0.867086;0;-1;0;-0.0289584;-7.99766;0.0129405;0;0;0.0381726;0.423525;-6.83274;-1.14822;0;0;-0.00237711;-0.219034;-0.212548;-1.82285;0;0;-0.19826;0;-8;0;0;0;0;1000;984;977;4252;4252;2267;1000;1000;625;1000;1000;715;1;1;1;1;
8;9;0;0;-0.00895168;0;0;0.0292209;0;0;-0.152137;0;0;-0.154514;0;0;-0.231392;0;0;-0.429652;0;0;0;0;0;0;0.0328976;-0.999411;-0.00980803;0.138515;-0.0184195;-0.990189;-0.0648961;-0.21481;0.974497;0;-1;0;0.00444883;-8.99705;0.00313247;0;0;0.0292209;0.561989;-6.85154;-2.13841;0;0;-0.154514;-0.285539;-0.426865;-0.848352;0;0;-0.429652;0;-9;0;0;0;0;1000;985;978;4207;4207;2300;1000;1000;600;1000;1000;697;1;1;1;1;
9;10;0;0;0.00480674;0;0;0.0340276;0;0;-0.0432084;0;0;-0.197723;0;0;0.145567;0;0;-0.284085;0;0;0;0;0;0;0.017124;-0.999819;-0.00828226;0.074099;-0.996345;-0.0424931;0.154479;0.469954;-0.869068;0;-1;0;0.0221666;-9.99686;-0.00514979;0;0;0.0340276;0.63265;-7.84813;-2.1809;0;0;-0.197723;-0.128732;0.0423178;-1.71742;0;0;-0.284085;0;-10;0;0;0;0;1000;989;985;4246;4246;2299;1000;1000;657;1000;1000;700;1;1;1;1;
