PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/DownBrashIceCircle.mp4;CameraType=8;videoSize=[960 x 540];videoFPS=5;videoFrameCount=359;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=0;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;1.00006;0;0;1.00006;0;0;1.01299;0;0;1.01299;0;0;1.0025;0;0;1.0025;0;0;1.02124;0;0;1.02124;0.0860866;0.234865;0.968208;0.00689427;0.361406;-0.932383;-0.165892;-0.0757809;-0.983228;0.0849011;-0.228316;-0.969878;0.0819743;0.236331;0.968208;0;0;1.00006;0.00050385;0.361471;-0.932383;0;0;1.01299;-0.164541;-0.0786718;-0.983228;0;0;1.0025;0.0889569;-0.226767;-0.969878;0;0;1.02124;1000;1000;999;4398;4398;3148;1000;1000;685;1000;1000;899;1;1;1;1;
1;2;0;0;0.994519;0;0;1.99458;0;0;0.987047;0;0;2.00004;0;0;1.00367;0;0;2.00618;0;0;1.00399;0;0;2.02523;0.117523;0.266902;0.956531;-0.10836;-0.979543;0.169568;0.101554;0.749591;-0.654064;0.0446852;0.549807;-0.834096;0.190137;0.507162;1.92474;0;0;1.99458;-0.0736041;-0.621257;-0.762815;0;0;2.00004;-0.0892907;0.674015;-1.63729;0;0;2.00618;0.114184;0.324276;-1.80397;0;0;2.02523;1000;1000;999;4309;4309;3082;1000;1000;665;1000;1000;882;1;1;1;1;
2;3;0;0;1.00371;0;0;2.99829;0;0;1.00031;0;0;3.00035;0;0;0.997632;0;0;3.00381;0;0;1.02163;0;0;3.04687;0.283219;0.54812;0.786989;0.088701;0.952487;0.291377;0.0952449;0.488237;-0.867498;0.182987;0.0167148;-0.982973;0.444298;1.06935;2.71173;0;0;2.99829;-0.0348798;0.334567;-0.471438;0;0;3.00035;-0.0197614;1.16657;-2.50479;0;0;3.00381;0.296024;0.350693;-2.78695;0;0;3.04687;1000;1000;999;4365;4365;3210;1000;1000;692;1000;1000;896;1;1;1;1;
3;4;0;0;1.00439;0;0;4.00268;0;0;0.99039;0;0;3.99074;0;0;1.00424;0;0;4.00805;0;0;1.00692;0;0;4.05379;-0.0657483;-0.276763;-0.958686;-0.104084;0.12638;-0.986506;0.253108;0.443647;-0.859717;0.102709;0.177694;0.978711;0.398029;0.788669;1.75304;0;0;4.00268;-0.147506;0.453397;-1.45794;0;0;3.99074;0.201719;1.62683;-3.36451;0;0;4.00805;0.385914;0.535204;-1.80824;0;0;4.05379;1000;1000;999;4370;4370;3100;1000;1000;684;1000;1000;899;1;1;1;1;
4;5;0;0;0.994558;0;0;4.99723;0;0;0.990224;0;0;4.98096;0;0;0.995668;0;0;5.00372;0;0;0.974407;0;0;5.0282;0.0842546;0.24906;0.964816;-0.204365;-0.264659;-0.942439;-0.305595;-0.596279;-0.742336;0.558175;0.768314;0.313263;0.460268;1.04412;2.71786;0;0;4.99723;-0.32812;0.171994;-2.40038;0;0;4.98096;-0.050704;1.00616;-4.10684;0;0;5.00372;0.874602;1.34948;-1.49497;0;0;5.0282;1000;1000;997;4387;4387;3039;1000;1000;673;1000;1000;877;1;1;1;1;
5;6;0;0;0.997935;0;0;5.99517;0;0;1.00371;0;0;5.98467;0;0;0.988989;0;0;5.99271;0;0;1.01997;0;0;6.04816;0.102094;-0.011931;0.994703;0.131077;0.337659;-0.932097;-0.470521;-0.882045;0.0246369;0.361003;0.580213;0.730089;0.56305;1.04292;3.71256;0;0;5.99517;-0.232963;0.521479;-3.33248;0;0;5.98467;-0.426566;0.0798163;-4.08221;0;0;5.99271;1.17246;1.9645;-0.764883;0;0;6.04816;1000;1000;1000;4308;4308;3130;1000;1000;688;1000;1000;898;1;1;1;1;
6;7;0;0;0.995448;0;0;6.99062;0;0;1.02174;0;0;7.00641;0;0;1.00651;0;0;6.99922;0;0;1.05103;0;0;7.09919;0.416025;0.909203;-0.0165199;0.169651;0.325666;-0.93014;0.572598;0.69512;0.434672;-0.72355;0.150106;-0.673753;0.865326;1.996;3.69604;0;0;6.99062;-0.104303;0.865407;-4.26262;0;0;7.00641;0.0570601;0.839531;-3.64753;0;0;6.99922;0.435907;2.02404;-1.43864;0;0;7.09919;1000;1000;999;4412;4412;3110;1000;1000;685;1000;1000;890;1;1;1;1;
7;8;0;0;0.998501;0;0;7.98912;0;0;1.01989;0;0;8.0263;0;0;1.01651;0;0;8.01573;0;0;0.985334;0;0;8.08453;-0.0108084;0.450603;0.892659;-0.123439;-0.24199;-0.962395;-0.110919;-0.491785;-0.863623;-0.215457;0.140133;-0.966406;0.791996;2.44072;4.5887;0;0;7.98912;-0.192744;0.608552;-5.22501;0;0;8.0263;0.0158022;0.337083;-4.51116;0;0;8.01573;0.202884;2.13248;-2.40504;0;0;8.08453;1000;1000;999;4350;4350;3076;1000;1000;683;1000;1000;892;1;1;1;1;
8;9;0;0;1.00122;0;0;8.99034;0;0;0.979659;0;0;9.00595;0;0;1.00072;0;0;9.01645;0;0;0.991487;0;0;9.07601;0.0500302;-0.443187;0.895032;0.0951929;0.526054;-0.845107;-0.0659518;-0.82667;-0.558809;-0.187914;-0.206714;-0.960186;0.910667;2.0108;5.48373;0;0;8.99034;-0.181072;1.14302;-6.07012;0;0;9.00595;0.0802193;-0.489708;-5.06997;0;0;9.01645;0.0499308;1.89871;-3.36523;0;0;9.07601;1000;1000;1000;4381;4381;3205;1000;1000;675;1000;1000;890;1;1;1;1;
9;10;0;0;1.00191;0;0;9.99225;0;0;1.00836;0;0;10.0143;0;0;1.00042;0;0;10.0169;0;0;0.985337;0;0;10.0614;0.0125081;0.225821;0.974089;-0.48077;-0.735295;-0.477704;0.135117;0.494324;-0.858712;-0.0499854;0.252308;0.966355;0.883802;2.23536;6.45782;0;0;9.99225;-0.526654;0.335327;-6.54783;0;0;10.0143;0.127295;0.0205837;-5.92868;0;0;10.0169;-0.0433647;2.1384;-2.39887;0;0;10.0614;1000;1000;1000;4379;4379;3149;1000;1000;671;1000;1000;893;1;1;1;1;
