PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/DownLakeIceCircle.mp4;CameraType=8;videoSize=[960 x 540];videoFPS=5;videoFrameCount=359;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=0;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.995436;0;0;0.995436;0;0;0.75851;0;0;0.75851;0;0;1.0114;0;0;1.0114;0;0;1.05323;0;0;1.05323;0.245138;-0.244574;0.938132;-0.126012;-0.0403451;-0.991208;-0.157101;-0.156445;-0.975112;-0.0339692;-0.152646;-0.987697;0.24935;-0.240278;0.938132;0;0;0.995436;-0.125467;-0.0420097;-0.991208;0;0;0.75851;-0.154315;-0.159194;-0.975112;0;0;1.0114;-0.0311576;-0.153245;-0.987697;0;0;1.05323;1000;1000;1000;4219;4219;2932;1000;1000;696;1000;1000;822;1;1;1;1;
1;2;0;0;0.995289;0;0;1.99073;0;0;1.00667;0;0;1.76518;0;0;0.999583;0;0;2.01099;0;0;1.00311;0;0;2.05633;0.000748988;-0.191075;0.981575;-0.165406;-0.273036;-0.947677;0.199912;0.454175;-0.868194;-0.238632;-0.036989;-0.970405;0.256736;-0.431212;1.91971;0;0;1.99073;-0.282383;-0.320011;-1.93889;0;0;1.76518;0.0295358;0.301717;-1.84331;0;0;2.01099;-0.268309;-0.198773;-1.9581;0;0;2.05633;1000;1000;1000;4184;4184;2794;1000;1000;662;1000;1000;848;1;1;1;1;
2;3;0;0;0.998612;0;0;2.98934;0;0;0.933891;0;0;2.69907;0;0;0.989787;0;0;3.00077;0;0;0.981141;0;0;3.03747;0.361069;0.898974;0.24794;-0.108482;0.0111962;-0.994035;-0.804004;-0.594182;0.0229255;-0.351971;0.147125;-0.924376;0.570432;0.485369;2.16765;0;0;2.98934;-0.391272;-0.313935;-2.93292;0;0;2.69907;-0.742261;-0.333739;-1.82038;0;0;3.00077;-0.627581;-0.0705051;-2.88248;0;0;3.03747;1000;1000;1000;4174;4174;2834;1000;1000;665;1000;1000;848;1;1;1;1;
3;4;0;0;0.990751;0;0;3.98009;0;0;0.946004;0;0;3.64507;0;0;0.997434;0;0;3.99821;0;0;0.980124;0;0;4.0176;0.250925;-0.289618;0.923666;-0.110571;0.0811116;-0.990553;-0.242747;-0.0413134;-0.96921;0.427112;0.903586;-0.0332949;0.840854;0.213866;3.09131;0;0;3.98009;-0.506776;-0.240018;-3.92347;0;0;3.64507;-0.981536;-0.391878;-2.78959;0;0;3.99821;-0.264827;0.860785;-2.91577;0;0;4.0176;1000;1000;1000;4182;4182;2746;1000;1000;674;1000;1000;838;1;1;1;1;
4;5;0;0;0.995724;0;0;4.97581;0;0;1.00084;0;0;4.64591;0;0;1.00043;0;0;4.99864;0;0;0.989127;0;0;5.00673;0.101508;-0.0753245;0.991979;-0.0724339;-0.112351;-0.991025;0.165867;0.310512;-0.935986;-0.203742;0.176488;-0.962985;0.948513;0.14763;4.08329;0;0;4.97581;-0.569872;-0.357867;-4.9145;0;0;4.64591;-0.843355;-0.0680941;-3.72558;0;0;4.99864;-0.483194;1.01882;-3.87876;0;0;5.00673;1000;1000;1000;4197;4197;2759;1000;1000;680;1000;1000;845;1;1;1;1;
5;6;0;0;0.997509;0;0;5.97332;0;0;0.984479;0;0;5.63039;0;0;0.98785;0;0;5.98649;0;0;0.984319;0;0;5.99104;-0.157137;-0.428621;0.889714;0.0861494;0.150893;-0.984789;-0.384445;0.0698474;-0.920502;-0.292932;-0.95504;0.04572;0.836834;-0.295017;4.97301;0;0;5.97332;-0.498942;-0.199249;-5.89929;0;0;5.63039;-1.23299;-0.0387229;-4.64608;0;0;5.98649;-0.674846;0.0384208;-3.83304;0;0;5.99104;1000;1000;1000;4148;4148;2618;1000;1000;674;1000;1000;864;1;1;1;1;
6;7;0;0;1.00313;0;0;6.97645;0;0;0.97145;0;0;6.60184;0;0;1.00061;0;0;6.98709;0;0;1.0281;0;0;7.01915;0.380977;-0.290676;0.877704;-0.0872611;-0.214331;-0.972855;-0.123692;0.0827205;-0.988867;0.743029;-0.667709;0.0455203;1.2503;-0.537267;5.85071;0;0;6.97645;-0.560983;-0.422191;-6.87214;0;0;6.60184;-1.36583;0.0283366;-5.63494;0;0;6.98709;0.144209;-0.533485;-3.78752;0;0;7.01915;1000;1000;1000;4263;4263;2781;1000;1000;658;1000;1000;841;1;1;1;1;
7;8;0;0;0.996798;0;0;7.97325;0;0;1.18147;0;0;7.78331;0;0;1.01002;0;0;7.99711;0;0;1.01131;0;0;8.03045;-0.0646434;-0.308801;0.948927;-0.0368693;0.201396;-0.978816;-0.449679;0.116334;-0.885582;-0.189633;-0.480179;-0.856427;1.22911;-0.85205;6.79964;0;0;7.97325;-0.624787;-0.227644;-7.85096;0;0;7.78331;-1.82732;0.080978;-6.52053;0;0;7.99711;0.0235171;-1.03545;-4.64395;0;0;8.03045;1000;1000;1000;4164;4164;2757;1000;1000;681;1000;1000;854;1;1;1;1;
8;9;0;0;0.997403;0;0;8.97065;0;0;1.34829;0;0;9.13159;0;0;1.01356;0;0;9.01067;0;0;1.00453;0;0;9.03498;0.166552;0.268726;0.948708;-0.11956;-0.19405;-0.973679;-0.845824;-0.444217;0.295385;0.218765;-0.115407;0.968929;1.35172;-0.560641;7.74834;0;0;8.97065;-0.712036;-0.438209;-8.82464;0;0;9.13159;-2.59313;-0.490229;-6.22514;0;0;9.01067;0.257691;-1.11507;-3.67502;0;0;9.03498;1000;1000;1000;4226;4226;2785;1000;1000;646;1000;1000;839;1;1;1;1;
9;10;0;0;0.994158;0;0;9.96481;0;0;0.925281;0;0;10.0569;0;0;0.995021;0;0;10.0057;0;0;0.973304;0;0;10.0083;0.403816;0.877868;-0.257448;0.134667;0.177079;-0.97494;-0.356372;0.121002;-0.926476;-0.188134;0.109648;-0.976004;1.59754;0.373862;7.4909;0;0;9.96481;-0.610361;-0.240335;-9.79958;0;0;10.0569;-2.9651;-0.432985;-7.15162;0;0;10.0057;0.0533637;-1.03978;-4.65102;0;0;10.0083;1000;1000;1000;4231;4231;2570;1000;1000;673;1000;1000;835;1;1;1;1;
