PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/DownPlateletIceCircle.mp4;CameraType=8;videoSize=[960 x 540];videoFPS=5;videoFrameCount=359;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=0;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;1.00215;0;0;1.00215;0;0;1.00337;0;0;1.00337;0;0;0.996081;0;0;0.996081;0;0;0.976641;0;0;0.976641;-0.144679;-0.135201;-0.980198;-0.0800439;0.0987203;-0.991891;0.245139;0.831529;-0.498463;-0.143752;-0.0463857;0.988526;-0.142293;-0.137711;-0.980198;0;0;1.00215;-0.0817604;0.0973035;-0.991891;0;0;1.00337;0.230647;0.835665;-0.498463;0;0;0.996081;-0.142941;-0.0488292;0.988526;0;0;0.976641;1000;1000;998;4257;4257;3100;1000;1000;694;1000;1000;889;1;1;1;1;
1;2;0;0;0.995278;0;0;1.99743;0;0;0.994;0;0;1.99737;0;0;1.00252;0;0;1.9986;0;0;0.987539;0;0;1.96418;0.168969;0.458117;0.872684;0.0274501;-0.329914;-0.943612;-0.107519;-0.155037;-0.98204;0.340817;0.82029;-0.459313;0.0106068;0.326017;-0.107514;0;0;1.99743;-0.0428283;-0.231453;-1.9355;0;0;1.99737;0.1286;0.676972;-1.4805;0;0;1.9986;0.16956;0.78266;0.529213;0;0;1.96418;1000;1000;1000;4221;4221;3027;1001;1001;691;1000;1000;877;1;1;1;1;
2;3;0;0;1.00191;0;0;2.99934;0;0;1.00924;0;0;3.0066;0;0;1.00869;0;0;3.00729;0;0;1.04862;0;0;3.0128;-0.0594255;0.998103;-0.0161158;-0.0345051;-0.725761;-0.687081;-0.171659;-0.651539;0.738939;-0.503952;-0.34161;-0.793306;-0.100962;1.31964;-0.12363;0;0;2.99934;-0.0392189;-0.958025;-2.62258;0;0;3.0066;-0.00864143;0.0173251;-0.741565;0;0;3.00729;-0.315741;0.415035;-0.264094;0;0;3.0128;1000;1000;1000;4182;4182;3144;1000;1000;672;1000;1000;900;1;1;1;1;
3;4;0;0;1.00253;0;0;4.00186;0;0;1.00507;0;0;4.01167;0;0;1.00743;0;0;4.01471;0;0;1.0016;0;0;4.0144;-0.10608;0.686457;0.719392;0.0416232;-0.0205463;-0.998922;-0.0804415;-0.234161;0.968864;-0.167635;0.139673;-0.975905;-0.254691;1.99702;0.595762;0;0;4.00186;0.00373974;-0.975609;-3.62151;0;0;4.01167;-0.0724913;-0.221893;0.227299;0;0;4.01471;-0.492742;0.542629;-1.24;0;0;4.0144;1000;1000;996;4269;4269;3113;1001;1001;700;1000;1000;893;1;1;1;1;
4;5;0;0;0.995435;0;0;4.9973;0;0;0.991701;0;0;5.00337;0;0;0.994136;0;0;5.00885;0;0;1.02388;0;0;5.03828;0.0522616;-0.64314;0.763963;0.166693;0.980315;0.105813;0.126336;0.431624;-0.893163;0.191303;0.957247;-0.216984;-0.146605;1.36088;1.35973;0;0;4.9973;0.0843001;0.0155084;-3.51569;0;0;5.00337;0.0156772;0.219113;-0.665864;0;0;5.00885;-0.386245;1.51298;-1.45698;0;0;5.03828;1000;999;998;4214;4214;3085;1000;1000;705;1000;1000;875;1;1;1;1;
5;6;0;0;0.999012;0;0;5.99631;0;0;1.01167;0;0;6.01504;0;0;1.00771;0;0;6.01656;0;0;0.984689;0;0;6.02297;0.183583;0.268133;-0.945728;-0.226523;-0.957698;0.177488;0.0652047;0.996603;0.0503028;-0.11149;-0.902009;0.417072;0.00796311;1.64672;0.413997;0;0;5.99631;-0.0406191;-0.960654;-3.3382;0;0;6.01504;-0.0239371;1.21706;-0.615561;0;0;6.01656;-0.402474;0.604249;-1.03991;0;0;6.02297;1000;999;999;4243;4243;3148;1000;1000;708;1000;1000;896;1;1;1;1;
6;7;0;0;0.994842;0;0;6.99115;0;0;0.99603;0;0;7.01107;0;0;0.997772;0;0;7.01433;0;0;1.01637;0;0;7.03934;-0.0294749;0.468432;0.883008;0.128418;0.062359;-0.989758;-0.0667224;0.0552815;-0.996239;-0.174324;-0.343123;-0.922972;-0.0783084;2.10809;1.29701;0;0;6.99115;0.0792269;-0.883087;-4.32796;0;0;7.01107;-0.096911;1.26378;-1.6118;0;0;7.01433;-0.533434;0.242349;-1.96288;0;0;7.03934;1000;1000;999;4297;4297;3093;1000;1000;683;1000;1000;887;1;1;1;1;
7;8;0;0;0.995159;0;0;7.98631;0;0;1.01333;0;0;8.0244;0;0;1.00859;0;0;8.02292;0;0;1.00757;0;0;8.0469;0.161023;0.370717;-0.91468;-0.0118565;-0.995641;0.0925084;-0.228356;-0.86788;-0.441178;-0.0785568;0.0544997;-0.995419;0.029647;2.49758;0.382325;0;0;7.98631;0.206473;-1.87063;-4.23545;0;0;8.0244;-0.201903;0.372525;-2.05298;0;0;8.02292;-0.618846;0.285315;-2.9583;0;0;8.0469;1000;1000;999;4228;4228;3090;1000;1000;697;1000;1000;865;1;1;1;1;
8;9;0;0;0.999842;0;0;8.98615;0;0;1.00902;0;0;9.03343;0;0;1.00289;0;0;9.02581;0;0;0.991808;0;0;9.03871;0.0430693;0.324602;0.944869;0.504869;0.851939;0.13895;-0.330429;-0.936337;0.118703;-0.113158;-0.613061;-0.78189;0.0214861;2.82493;1.32719;0;0;8.98615;0.571317;-0.949992;-4.0965;0;0;9.03343;-0.381349;-0.604056;-1.93428;0;0;9.02581;-0.634286;-0.33791;-3.74019;0;0;9.03871;1000;1000;999;4262;4262;3111;1000;1000;688;1000;1000;890;1;1;1;1;
9;10;0;0;0.999557;0;0;9.98571;0;0;0.999577;0;0;10.033;0;0;1.00443;0;0;10.0302;0;0;1.03166;0;0;10.0704;0.0840011;0.200752;0.976034;-0.0687922;-0.995472;-0.0655935;0.543686;0.748695;0.379291;-0.294276;-0.934073;0.20226;0.0694037;3.0372;2.30323;0;0;9.98571;0.677003;-1.94223;-4.1621;0;0;10.033;0.0236288;0.227889;-1.55498;0;0;10.0302;-0.760698;-1.30905;-3.53793;0;0;10.0704;1000;1000;998;4252;4252;3122;1000;1000;676;1000;1000;887;1;1;1;1;
