PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/DownVoronoiIceCircle.mp4;CameraType=8;videoSize=[960 x 540];videoFPS=5;videoFrameCount=359;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=0;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;1.00502;0;0;1.00502;0;0;1.00517;0;0;1.00517;0;0;1.00975;0;0;1.00975;0;0;0.973154;0;0;0.973154;-0.286079;-0.446463;0.847838;-0.813505;-0.554206;-0.176256;-0.627046;-0.755337;-0.190472;-0.107557;-0.104371;-0.988705;-0.278204;-0.451413;0.847838;0;0;1.00502;-0.803657;-0.568392;-0.176256;0;0;1.00517;-0.613637;-0.76627;-0.190472;0;0;1.00975;-0.105769;-0.106183;-0.988705;0;0;0.973154;1000;1000;999;5857;5857;3557;1000;1000;587;1000;1000;833;1;1;1;1;
1;2;0;0;0.998908;0;0;2.00393;0;0;1.00753;0;0;2.0127;0;0;0.983714;0;0;1.99346;0;0;0.997898;0;0;1.97105;-0.822912;0.363317;-0.436825;0.289926;-0.0257086;-0.956704;0.559591;0.544683;-0.624643;0.087305;0.183023;0.979224;-1.11332;-0.117093;0.411013;0;0;2.00393;-0.513007;-0.583902;-1.13296;0;0;2.0127;-0.0733319;-0.202451;-0.815115;0;0;1.99346;-0.0248108;0.0797347;-0.00948086;0;0;1.97105;1000;1000;1000;5847;5847;3591;1000;1000;581;1000;1000;837;1;1;1;1;
2;3;0;0;0.999415;0;0;3.00335;0;0;0.993536;0;0;3.00624;0;0;1.0076;0;0;3.00106;0;0;1.00397;0;0;2.97502;-0.13353;-0.14387;0.980546;0.102841;0.340279;-0.934684;-0.257316;-0.178572;-0.949685;-0.161594;-0.083771;-0.983295;-1.23913;-0.267762;1.39156;0;0;3.00335;-0.428154;-0.238698;-2.06764;0;0;3.00624;-0.320946;-0.39425;-1.7648;0;0;3.00106;-0.18184;-0.0123102;-0.992776;0;0;2.97502;1000;1000;1000;5939;5939;3560;1000;1000;588;1000;1000;820;1;1;1;1;
3;4;0;0;0.995719;0;0;3.99906;0;0;0.999078;0;0;4.00532;0;0;0.998017;0;0;3.99908;0;0;0.985697;0;0;3.96072;-0.393438;-0.167558;0.903953;0.153026;-0.18454;-0.970839;0.224812;0.383672;-0.895687;0.143288;-0.389338;-0.909882;-1.61992;-0.46235;2.29551;0;0;3.99906;-0.262612;-0.412099;-3.03848;0;0;4.00532;-0.123438;0.00416675;-2.66049;0;0;3.99908;-0.012001;-0.390821;-1.90266;0;0;3.96072;1000;1000;1000;5846;5846;3539;1000;1000;584;1000;1000;816;1;1;1;1;
4;5;0;0;0.994605;0;0;4.99367;0;0;0.997917;0;0;5.00324;0;0;0.999399;0;0;4.99848;0;0;1.0082;0;0;4.96892;-0.518588;0.170893;0.837772;-0.103828;-0.207437;-0.972723;0.0254104;-0.40915;-0.912113;0.177497;0.190044;0.965597;-2.15142;-0.337247;3.13328;0;0;4.99367;-0.347953;-0.627801;-4.0112;0;0;5.00324;-0.0624756;-0.401213;-3.5726;0;0;4.99848;0.148369;-0.186117;-0.937061;0;0;4.96892;1000;1000;1000;5851;5851;3554;1000;1000;616;1000;1000;838;1;1;1;1;
5;6;0;0;1.00006;0;0;5.99373;0;0;0.987742;0;0;5.99098;0;0;1.00832;0;0;6.0068;0;0;0.98827;0;0;5.95719;0.522255;0.317523;0.791473;-0.948496;0.304846;-0.0861675;0.549111;0.800151;-0.241321;-0.369373;-0.222537;-0.902242;-1.66517;0.033074;3.92476;0;0;5.99373;-1.32309;-0.423616;-4.09737;0;0;5.99098;0.399887;0.452007;-3.81392;0;0;6.0068;-0.195914;-0.445787;-1.8393;0;0;5.95719;1000;1000;1000;5867;5867;3529;1000;1000;592;1000;1000;835;1;1;1;1;
6;7;0;0;0.999693;0;0;6.99343;0;0;0.991812;0;0;6.98279;0;0;0.998858;0;0;7.00566;0;0;0.976021;0;0;6.93321;0.42292;0.624647;-0.656472;-0.23103;0.173407;-0.957369;-0.597156;-0.40145;-0.694437;0.0378224;0.348583;-0.936514;-1.32145;0.704566;3.26829;0;0;6.99343;-1.57348;-0.279582;-5.05474;0;0;6.98279;-0.143847;-0.0192799;-4.50836;0;0;7.00566;-0.200446;-0.0951876;-2.77582;0;0;6.93321;1000;1000;1000;5853;5853;3473;1000;1000;589;1000;1000;831;1;1;1;1;
7;8;0;0;0.994868;0;0;7.98829;0;0;1.00164;0;0;7.98443;0;0;0.998402;0;0;8.00406;0;0;1.00083;0;0;7.93404;0.384018;0.351329;0.853872;0.187966;-0.122209;-0.974543;-0.213681;-0.578361;-0.787299;0.212541;0.221967;-0.951608;-0.989986;1.10585;4.12216;0;0;7.98829;-1.37036;-0.374497;-6.02928;0;0;7.98443;-0.274913;-0.62176;-5.29566;0;0;8.00406;-0.0205786;0.153992;-3.72742;0;0;7.93404;1000;1000;1000;5757;5757;3457;1000;1000;595;1000;1000;828;1;1;1;1;
8;9;0;0;1.00121;0;0;8.9895;0;0;1.01006;0;0;8.99448;0;0;0.991195;0;0;8.99526;0;0;1.03051;0;0;8.96455;0.406108;-0.20392;0.890782;0.967023;0.194785;-0.164086;0.0112526;0.325298;-0.945545;0.190606;0.18948;-0.963206;-0.557003;0.967894;5.01294;0;0;8.9895;-0.445684;-0.030923;-6.19337;0;0;8.99448;-0.31466;-0.298704;-6.2412;0;0;8.99526;0.138174;0.370859;-4.69063;0;0;8.96455;1000;1000;1000;5774;5774;3496;1000;1000;594;1000;1000;836;1;1;1;1;
9;10;0;0;0.998793;0;0;9.9883;0;0;1.00083;0;0;9.99531;0;0;1.00588;0;0;10.0011;0;0;1.00998;0;0;9.97453;-0.364509;-0.25742;0.894912;0.217723;0.257177;-0.941518;-0.709643;-0.704294;0.0194221;-0.174703;0.150086;-0.973115;-0.871339;0.651153;5.90785;0;0;9.9883;-0.275903;0.26014;-7.13489;0;0;9.99531;-0.891206;-1.11554;-6.22178;0;0;10.0011;-0.0598853;0.488415;-5.66375;0;0;9.97453;1000;1000;1000;5764;5764;3517;1000;1000;595;1000;1000;836;1;1;1;1;
