PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontAllIceForwardWithFeatures.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=599;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.00493823;0;0;0.00493823;0;0;0.0209518;0;0;0.0209518;0;0;-0.0417187;0;0;-0.0417187;0;0;0.0606454;0;0;0.0606454;0.999953;-0.00756529;0.00603623;0.999916;-0.0128671;-0.00176233;0.999401;0.0345133;0.00264604;0.999822;-0.0167118;0.00881346;0.999954;-0.0074791;0.00603623;0;0;0.00493823;0.99992;-0.0125015;-0.00176233;0;0;0.0209518;0.999426;0.0337856;0.00264604;0;0;-0.0417187;0.999839;-0.0156535;0.00881346;0;0;0.0606454;1000;976;939;1924;1924;1151;1000;1000;569;1000;1000;833;1;1;1;1;
1;2;0;0;0.00487262;0;0;0.00981085;0;0;0.199087;0;0;0.220039;0;0;0.0117575;0;0;-0.0299612;0;0;-0.0277271;0;0;0.0329184;0.99999;-0.00435798;0.00116885;0.992394;-0.121495;-0.0198498;0.999953;0.00960306;-0.000956125;0.999902;0.0017981;-0.0138969;1.99994;-0.0116659;0.00720508;0;0;0.00981085;1.99277;-0.130184;-0.0216121;0;0;0.220039;1.99938;0.0428658;0.00168991;0;0;-0.0299612;1.99974;-0.0132809;-0.00508349;0;0;0.0329184;1000;979;944;1970;1970;1169;1000;1000;537;1000;1000;815;1;1;1;1;
2;3;0;0;-0.00662699;0;0;0.00318387;0;0;0.0343226;0;0;0.254362;0;0;0.0344046;0;0;0.00444346;0;0;0.0375476;0;0;0.070466;0.999989;0.00469644;-0.000668996;0.999118;-0.0216238;0.0360019;0.999647;-0.0265303;-0.00102758;0.999967;-0.0052384;-0.00623446;2.99993;-0.00691385;0.00653608;0;0;0.00318387;2.99198;-0.147372;0.0143898;0;0;0.254362;2.99903;0.016413;0.000662335;0;0;0.00444346;2.99971;-0.0172895;-0.0113179;0;0;0.070466;1000;974;931;1986;1986;1149;1000;1000;529;1000;1000;801;1;1;1;1;
3;4;0;0;0.0185572;0;0;0.0217411;0;0;0.240822;0;0;0.495183;0;0;-0.074296;0;0;-0.0698525;0;0;0.144204;0;0;0.21467;0.999908;-0.0135714;-0.00049078;0.993648;-0.110302;-0.022318;0.998955;0.0393015;-0.0233402;0.995825;-0.087787;-0.0250247;3.99985;-0.0201058;0.0060453;0;0;0.0217411;3.98654;-0.249083;-0.00792821;0;0;0.495183;3.99804;0.0544965;-0.0226779;0;0;-0.0698525;3.99586;-0.101345;-0.0363427;0;0;0.21467;1000;970;920;1961;1961;1108;1000;1000;524;1000;1000;788;1;1;1;1;
4;5;0;0;-0.00472978;0;0;0.0170113;0;0;-0.164897;0;0;0.330287;0;0;0.069871;0;0;0;0;0;0.163997;0;0;0.378667;0.999992;0.00100325;-0.00392541;0.997293;0.067743;-0.0285806;0.997738;-0.0458945;-0.0491203;0.995556;-0.0861095;-0.0381232;4.99984;-0.0188056;0.00211989;0;0;0.0170113;4.98343;-0.175592;-0.0365088;0;0;0.330287;4.99577;0.00860232;-0.0717982;0;0;0;4.99196;-0.180873;-0.0744658;0;0;0.378667;1000;966;943;1911;1911;1118;1000;1000;548;1000;1000;773;1;1;1;1;
5;6;0;0;-0.00321815;0;0;0.0137931;0;0;-0.129974;0;0;0.200312;0;0;-0.141963;0;0;-0.141963;0;0;0.0142383;0;0;0.392906;0.99999;0.00397958;-0.00217729;0.996172;0.0727989;-0.0483818;0.994983;0.0872399;-0.0489673;0.9989;-0.0125459;-0.0451836;5.99983;-0.0145853;0;0;0;0.0137931;5.97934;-0.0993106;-0.0848906;0;0;0.200312;5.99097;0.0933766;-0.120765;0;0;-0.141963;5.99092;-0.186569;-0.119649;0;0;0.392906;993;947;922;1933;1933;1112;1000;1000;560;1000;1000;815;1;1;1;1;
6;7;0;0;-0.00333145;0;0;0.0104617;0;0;0.0135107;0;0;0.213823;0;0;-0.0026463;0;0;-0.144609;0;0;0.228352;0;0;0.621258;0.999989;0.00467643;-0.0007278;0.999745;-0.00806514;-0.0211072;0.999936;-0.000183482;0.0113397;0.99137;-0.116762;-0.0595943;6.99981;-0.00972632;-0.0007278;0;0;0.0104617;6.97911;-0.103645;-0.105998;0;0;0.213823;6.9909;0.0906694;-0.109426;0;0;-0.144609;6.9835;-0.292574;-0.179244;0;0;0.621258;1000;956;926;1927;1927;1136;1000;1000;524;1000;1000;766;1;1;1;1;
7;8;0;0;0.0340237;0;0;0.0444854;0;0;-0.0311414;0;0;0.182682;0;0;-0.0593412;0;0;-0.20395;0;0;-0.0571794;0;0;0.564078;0.999874;-0.0151189;-0.00492616;0.999786;0.0205164;0.0025511;0.999057;0.035871;0.0244651;0.998394;0.0502255;0.0262001;7.9997;-0.0240689;-0.00565396;0;0;0.0444854;7.97882;-0.0799408;-0.103447;0;0;0.182682;7.99008;0.122984;-0.0849608;0;0;-0.20395;7.98135;-0.232522;-0.153044;0;0;0.564078;1000;968;934;1994;1994;1184;1000;1000;540;1000;1000;803;1;1;1;1;
8;9;0;0;0.0160717;0;0;0.0605571;0;0;-0.0101281;0;0;0.172553;0;0;-0.0656576;0;0;-0.269608;0;0;0.0841173;0;0;0.648195;0.999919;-0.0126125;-0.00171625;0.999969;-0.00592299;-0.00520018;0.998473;0.0525993;-0.0168861;0.998372;-0.035623;-0.0445407;8.99963;-0.0356246;-0.00737021;0;0;0.0605571;8.9788;-0.0828522;-0.108647;0;0;0.172553;8.98879;0.170884;-0.101847;0;0;-0.269608;8.98007;-0.256848;-0.197584;0;0;0.648195;1000;989;955;2055;2055;1228;1000;1000;550;1000;1000;786;1;1;1;1;
9;10;0;0;-0.00708168;0;0;0.0534754;0;0;-0.0744223;0;0;0.0981311;0;0;-0.0509389;0;0;-0.320547;0;0;0.0379978;0;0;0.686193;0.999975;0.00629342;-0.00332639;0.998695;0.0488666;-0.0148399;0.996805;-0.000756046;0.0798679;0.999426;-0.0180499;-0.0286695;9.9996;-0.0283979;-0.0106966;0;0;0.0534754;9.97741;-0.0322751;-0.123487;0;0;0.0981311;9.98557;0.164552;-0.021979;0;0;-0.320547;9.97964;-0.262928;-0.226254;0;0;0.686193;1000;980;946;2084;2084;1235;1000;1000;569;1000;1000;809;1;1;1;1;
