PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontBrashIceCircle.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=359;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.997942;0;0;0.997942;0;0;1.01918;0;0;1.01918;0;0;0.994603;0;0;0.994603;0;0;0.99853;0;0;0.99853;0.488883;-0.746502;-0.451363;0.84329;-0.52855;-0.0974571;0.979435;0.0617194;-0.192088;-0.961574;-0.160993;0.22239;0.50181;-0.737874;-0.451363;0;0;0.997942;0.852558;-0.513466;-0.0974571;0;0;1.01918;0.978216;0.0787114;-0.192088;0;0;0.994603;-0.958622;-0.177725;0.22239;0;0;0.99853;757;754;754;1111;1111;819;1000;1000;629;1000;1000;860;1;1;1;1;
1;2;0;0;0.99923;0;0;1.99717;0;0;1.00299;0;0;2.02217;0;0;0.994926;0;0;1.98953;0;0;1.00436;0;0;2.00289;0.986293;0.00526462;-0.164917;-0.927333;-0.342461;0.150911;0.96418;-0.186764;-0.18835;-0.969317;-0.195442;0.149089;1.48732;-0.69824;-0.61628;0;0;1.99717;-0.0621137;-0.888436;0.0534542;0;0;2.02217;1.9483;-0.0744669;-0.380438;0;0;1.98953;-1.92052;-0.406926;0.371479;0;0;2.00289;765;756;754;1125;1125;825;1000;1000;638;1000;1000;854;1;1;1;1;
2;3;0;0;0.998336;0;0;2.99551;0;0;0.997646;0;0;3.01981;0;0;1.01175;0;0;3.00128;0;0;1.00229;0;0;3.00518;0.95494;-0.189354;-0.22855;0.937437;0.329778;-0.111616;-0.802618;-0.467821;0.370064;0.918145;-0.350453;-0.184913;2.45085;-0.837433;-0.84483;0;0;2.99551;0.856648;-0.50973;-0.0581622;0;0;3.01981;1.17128;-0.58367;-0.0103741;0;0;3.00128;-0.985261;-0.708762;0.186565;0;0;3.00518;754;746;745;1131;1131;837;1000;1000;640;1000;1000;851;1;1;1;1;
3;4;0;0;0.998195;0;0;3.9937;0;0;1.00446;0;0;4.02427;0;0;1.00731;0;0;4.00859;0;0;0.825502;0;0;3.83068;0.98063;-0.145253;-0.131401;-0.929583;-0.344502;0.131123;-0.971867;-0.14843;0.182872;-0.542439;-0.832177;0.115067;3.43922;-0.914036;-0.976232;0;0;3.9937;-0.0464663;-0.91862;0.072961;0;0;4.02427;0.212162;-0.799676;0.172498;0;0;4.00859;-1.47089;-1.57532;0.301632;0;0;3.83068;801;795;787;1147;1147;814;1000;1000;644;1000;1000;853;1;1;1;1;
4;5;0;0;1.006;0;0;4.9997;0;0;0.981868;0;0;5.00613;0;0;0.994998;0;0;5.00359;0;0;0.991231;0;0;4.82191;-0.800811;0.598584;-0.0199739;0.801325;0.562145;-0.204624;-0.927892;-0.315535;0.198629;-0.946458;-0.180591;0.26759;2.58929;-0.38752;-0.996206;0;0;4.9997;0.702748;-0.288694;-0.131663;0;0;5.00613;-0.684674;-1.19494;0.371127;0;0;5.00359;-2.39882;-1.83483;0.569222;0;0;4.82191;795;785;784;1157;1157;832;1000;1000;635;1000;1000;855;1;1;1;1;
5;6;0;0;1.00016;0;0;5.99986;0;0;0.970667;0;0;5.9768;0;0;0.999748;0;0;6.00334;0;0;0.985326;0;0;5.80724;0.935922;-0.331155;-0.11994;0.676739;-0.667992;-0.309534;0.907441;0.283294;-0.310315;-0.98191;0.0530849;0.181756;3.5547;-0.619033;-1.11615;0;0;5.99986;1.44536;-0.882588;-0.441197;0;0;5.9768;0.188162;-0.818292;0.0608118;0;0;6.00334;-3.38106;-1.88137;0.750979;0;0;5.80724;797;790;787;1172;1172;842;1000;1000;640;1000;1000;861;1;1;1;1;
6;7;0;0;0.998864;0;0;6.99873;0;0;0.968549;0;0;6.94535;0;0;1.00536;0;0;7.00869;0;0;1.01288;0;0;6.82012;-0.942119;-0.222567;0.250751;0.837053;-0.520683;-0.168022;0.901158;0.354396;-0.249636;-0.969352;-0.176888;0.17049;2.64672;-0.954737;-0.865395;0;0;6.99873;2.33924;-1.29823;-0.609218;0;0;6.94535;1.03934;-0.356584;-0.188824;0;0;7.00869;-4.32255;-2.17212;0.921469;0;0;6.82012;804;799;791;1200;1200;847;1000;1000;636;1000;1000;866;1;1;1;1;
7;8;0;0;1.00256;0;0;8.00129;0;0;1.00286;0;0;7.94821;0;0;0.955498;0;0;7.96419;0;0;0.973803;0;0;7.79392;-0.978731;-0.0389111;0.201422;-0.939024;-0.329707;0.0976119;-0.578317;0.789368;0.20603;-0.973292;-0.0539316;0.223145;1.68293;-1.1295;-0.663973;0;0;8.00129;1.45483;-1.75462;-0.511606;0;0;7.94821;0.357233;0.345042;0.0172054;0;0;7.96419;-5.27954;-2.35754;1.14461;0;0;7.79392;792;788;784;1195;1195;832;1000;1000;641;1000;1000;880;1;1;1;1;
8;9;0;0;1.00255;0;0;9.00384;0;0;0.9385;0;0;8.88671;0;0;1.00512;0;0;8.96931;0;0;0.985834;0;0;8.77976;-0.981102;0.0863262;0.173167;-0.432484;-0.898788;0.0716734;-0.819802;0.460421;0.340496;-0.894179;-0.435115;0.105443;0.700406;-1.19778;-0.490806;0;0;9.00384;1.16638;-2.70943;-0.439933;0;0;8.88671;-0.524326;0.672021;0.357701;0;0;8.96931;-6.09682;-2.92404;1.25006;0;0;8.77976;791;786;785;1199;1199;888;1000;1000;668;1000;1000;876;1;1;1;1;
9;10;0;0;1.00079;0;0;10.0046;0;0;1.08611;0;0;9.97282;0;0;0.995811;0;0;9.96513;0;0;0.985187;0;0;9.76494;-0.985341;0.132415;0.107559;0.124626;-0.992174;0.00774627;-0.931648;-0.314886;0.181326;0.907416;0.400315;-0.127844;-0.292956;-1.23856;-0.383247;0;0;10.0046;1.46095;-3.66503;-0.432187;0;0;9.97282;-1.38743;0.200665;0.539027;0;0;9.96513;-5.27045;-2.37562;1.12221;0;0;9.76494;789;781;779;1208;1208;900;1000;1000;666;1000;1000;879;1;1;1;1;
