PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontBrashIceForward.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=199;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;-0.0117661;0;0;-0.0117661;0;0;0.0942572;0;0;0.0942572;0;0;0.0522693;0;0;0.0522693;0;0;0.0402995;0;0;0.0402995;0.999891;0.014747;0.000462769;0.989619;-0.0872354;-0.114212;0.997078;-0.0673499;-0.0360567;0.9993;-0.00771282;0.0366069;0.999894;0.0145417;0.000462769;0;0;-0.0117661;0.989761;-0.0856073;-0.114212;0;0;0.0942572;0.997139;-0.0664403;-0.0360567;0;0;0.0522693;0.999305;-0.00700995;0.0366069;0;0;0.0402995;880;880;875;1357;1357;873;1000;1000;539;1000;1000;813;1;1;1;1;
1;2;0;0;-0.00647724;0;0;-0.0182433;0;0;0.048929;0;0;0.143186;0;0;-0.100437;0;0;-0.0481672;0;0;-0.167949;0;0;-0.127649;0.999914;0.00987053;-0.00868269;0.997341;-0.0208705;-0.0698296;0.973736;0.0675227;-0.217437;-0.0745007;0.0314563;-0.996725;1.99981;0.0240939;-0.00821992;0;0;-0.0182433;1.98715;-0.103985;-0.184041;0;0;0.143186;1.97093;0.000263854;-0.253494;0;0;-0.0481672;0.924875;0.0246123;-0.960118;0;0;-0.127649;888;885;878;1378;1378;846;1000;1000;587;1000;1000;823;1;1;1;1;
2;3;0;0;0.00535205;0;0;-0.0128913;0;0;0.0146107;0;0;0.157797;0;0;0.063796;0;0;0.0156288;0;0;-0.0361752;0;0;-0.163824;0.999886;-0.0103937;0.0109872;0.999942;-0.00884055;0.0062026;0.991793;-0.0781355;-0.101199;0.994298;0.0612571;-0.0872885;2.99969;0.0134752;0.00276728;0;0;-0.0128913;2.98711;-0.110072;-0.177839;0;0;0.157797;2.96275;-0.0776011;-0.354693;0;0;0.0156288;1.91934;0.0830261;-1.04741;0;0;-0.163824;872;872;871;1271;1271;801;1000;1000;592;1000;1000;817;1;1;1;1;
3;4;0;0;0.01565;0;0;0.00275876;0;0;-0.0490171;0;0;0.10878;0;0;-0.0527437;0;0;-0.0371149;0;0;-0.0489213;0;0;-0.212746;0.999831;-0.0183869;0.000447093;0.99834;0.0500353;-0.0285324;0.998075;0.0395217;-0.0478002;0.997417;0.0518764;0.0496769;3.99953;-0.00486355;0.00321438;0;0;0.00275876;3.98536;-0.0581412;-0.206371;0;0;0.10878;3.96085;-0.0387259;-0.402493;0;0;-0.0371149;2.91695;0.131199;-0.997729;0;0;-0.212746;872;872;858;1362;1362;810;1001;1001;572;1000;1000;823;1;1;1;1;
4;5;0;0;-0.00275367;0;0;0;0;0;0.258336;0;0;0.367116;0;0;-0.355812;0;0;-0.392927;0;0;-0.0746813;0;0;-0.287427;0.99999;-0.00250894;0.00365703;0.947891;-0.290906;-0.12991;0.925578;0.320224;-0.201897;0.992647;0.0905756;0.0803007;4.99952;-0.00737241;0.00687141;0;0;0;4.93509;-0.342968;-0.336281;0;0;0.367116;4.8886;0.275143;-0.60439;0;0;-0.392927;3.91004;0.216793;-0.917429;0;0;-0.287427;865;863;855;1344;1344;863;1000;1000;582;1000;1000;827;1;1;1;1;
5;6;0;0;0.00415421;0;0;0.00415421;0;0;-0.0430563;0;0;0.32406;0;0;0.0101714;0;0;-0.382756;0;0;-0.0205602;0;0;-0.307987;0.999955;-0.00783153;0.00536022;0.998999;0.0389983;0.0219258;0.999964;-0.00703801;-0.00479887;0.992581;0.0218966;0.119598;5.99947;-0.0151314;0.0122316;0;0;0.00415421;5.93385;-0.29832;-0.314356;0;0;0.32406;5.88849;0.261425;-0.609189;0;0;-0.382756;4.90272;0.233354;-0.79783;0;0;-0.307987;872;871;863;1363;1363;823;1000;1000;571;1000;1000;825;1;1;1;1;
6;7;0;0;0.00406055;0;0;0.00821476;0;0;0.0664278;0;0;0.390488;0;0;0.0146975;0;0;-0.368058;0;0;-0.0896608;0;0;-0.397648;0.999795;0.000397458;-0.0202486;0.989979;-0.106773;-0.0924183;0.999512;-0.015963;-0.0268652;-0.0590899;0.0112523;-0.998189;6.99927;-0.0145906;-0.00801694;0;0;0.00821476;6.92454;-0.398344;-0.406774;0;0;0.390488;6.88788;0.239042;-0.636055;0;0;-0.368058;4.84371;0.245016;-1.79602;0;0;-0.397648;850;850;840;1311;1311;839;1000;1000;602;1000;1000;834;1;1;1;1;
7;8;0;0;-0.00979177;0;0;-0.00157701;0;0;-0.0247779;0;0;0.36571;0;0;0.0586101;0;0;-0.309448;0;0;-0.111257;0;0;-0.508906;0.999851;0.0130051;-0.0113551;0.99995;0.00613659;-0.0079039;0.995434;-0.068197;-0.0667801;0.985477;0.129677;0.109631;7.99912;-0.001613;-0.0193721;0;0;-0.00157701;7.92443;-0.385825;-0.414678;0;0;0.36571;7.88293;0.16547;-0.702835;0;0;-0.309448;5.8303;0.365935;-1.68639;0;0;-0.508906;859;859;855;1344;1344;856;1000;1000;570;1000;1000;808;1;1;1;1;
8;9;0;0;-0.0124283;0;0;-0.0140053;0;0;-0.0199156;0;0;0.345794;0;0;-0.0556686;0;0;-0.365117;0;0;0.131711;0;0;-0.377195;0.999945;0.0102083;-0.00230973;-0.0272661;0.0076382;-0.999599;0.99315;0.0838743;-0.0813474;0.988727;-0.14894;0.0153224;8.99907;0.00835087;-0.0216818;0;0;-0.0140053;7.89712;-0.378352;-1.41428;0;0;0.345794;8.8766;0.243013;-0.784182;0;0;-0.365117;6.81802;0.210489;-1.67107;0;0;-0.377195;857;855;839;1380;1380;834;1000;1000;585;1000;1000;813;1;1;1;1;
9;10;0;0;-0.00342904;0;0;-0.0174344;0;0;0.0763001;0;0;0.422094;0;0;-0.00610951;0;0;-0.371226;0;0;0.0583534;0;0;-0.318841;0.999998;0.000534149;0.00194881;0.99271;-0.105973;-0.0574233;0.999159;0.0251725;-0.0323533;-0.0522965;-0.00221488;-0.998629;9.99906;0.00858073;-0.019733;0;0;-0.0174344;8.89058;-0.477009;-1.4717;0;0;0.422094;9.8759;0.261712;-0.816535;0;0;-0.371226;6.76572;0.208565;-2.6697;0;0;-0.318841;883;881;875;1375;1375;834;1000;1000;588;1000;1000;837;1;1;1;1;
