PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontLakeIceForward.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=199;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.0317993;0;0;0.0317993;0;0;0.318236;0;0;0.318236;0;0;-0.597774;0;0;-0.597774;0;0;0.189981;0;0;0.189981;0.99959;-0.0278827;0.00654237;0.969458;-0.222116;-0.104;0.931342;0.285871;-0.225567;0.996664;-0.0702249;-0.0415863;0.999605;-0.0273279;0.00654237;0;0;0.0317993;0.970677;-0.216728;-0.104;0;0;0.318236;0.934273;0.276139;-0.225567;0;0;-0.597774;0.996891;-0.0669198;-0.0415863;0;0;0.189981;735;734;597;124;124;73;1001;1001;812;1000;1000;622;1;1;1;1;
1;2;0;0;0.0100571;0;0;0.0418564;0;0;0.0454365;0;0;0.363672;0;0;0.80794;0;0;0.210166;0;0;0.0782982;0;0;0.268279;0.999767;-0.00603861;0.0207168;0.989434;-0.129174;-0.0658408;0.895159;-0.384381;-0.225701;0.991814;-0.111427;-0.0623645;1.99938;-0.0326362;0.0272591;0;0;0.0418564;1.96091;-0.339619;-0.16984;0;0;0.363672;1.83084;-0.104956;-0.451268;0;0;0.210166;1.98922;-0.173702;-0.103951;0;0;0.268279;772;769;648;118;118;78;1000;1000;743;1000;1000;617;1;1;1;1;
2;3;0;0;-0.00731629;0;0;0.0345401;0;0;-4.94777;0;0;-4.58409;0;0;-0.503388;0;0;-0.293222;0;0;0.0809683;0;0;0.349248;0.99995;0.00971535;0.00233568;0.0710391;0.997175;-0.0244175;0.914193;0.334639;-0.228622;0.993063;-0.116914;0.0125541;2.99932;-0.022318;0.0295948;0;0;0.0345401;2.11142;0.648689;-0.194258;0;0;-4.58409;2.74673;0.225;-0.67989;0;0;-0.293222;2.98297;-0.28456;-0.0913967;0;0;0.349248;802;800;609;124;124;75;1001;1001;757;1000;1000;637;1;1;1;1;
3;4;0;0;-0.0512037;0;0;-0.0166636;0;0;0.0678379;0;0;-4.51625;0;0;-0.657738;0;0;-0.95096;0;0;-2.07215;0;0;-1.7229;0.999417;0.0341235;0.00133741;0.97188;-0.219645;-0.0848782;0.899667;0.372994;-0.22688;0.739097;0.64663;-0.188692;3.99875;0.0115148;0.0309322;0;0;-0.0166636;3.06299;0.353198;-0.279136;0;0;-4.51625;3.65246;0.583012;-0.90677;0;0;-0.95096;3.74118;0.339556;-0.280089;0;0;-1.7229;770;767;679;113;113;72;1000;1000;791;1000;1000;631;1;1;1;1;
4;5;0;0;-0.0302776;0;0;-0.0469412;0;0;0.395042;0;0;-4.12121;0;0;-0.755601;0;0;-1.70656;0;0;-0.276746;0;0;-1.99965;0.999587;0.0176255;-0.0226797;0.928491;-0.329216;-0.171815;0.8955;0.386278;-0.221063;0.957906;0.0990584;0.269451;4.99835;0.0283214;0.00825256;0;0;-0.0469412;3.96542;-0.041895;-0.450951;0;0;-4.12121;4.55907;0.94245;-1.12783;0;0;-1.70656;4.70196;0.405129;-0.0106376;0;0;-1.99965;802;801;698;127;127;80;1000;1000;786;1000;1000;623;1;1;1;1;
5;6;0;0;0.0275598;0;0;-0.0193813;0;0;-1.62522;0;0;-5.74644;0;0;-0.111553;0;0;-1.81811;0;0;0.0909298;0;0;-1.90872;0.999247;-0.0293893;0.0253195;0.700445;0.713537;0.0155294;-0.895974;-0.38704;0.217785;0.987932;-0.141129;-0.0638243;5.99759;-0.00140588;0.033572;0;0;-0.0193813;4.73379;0.597924;-0.435422;0;0;-5.74644;3.65127;0.584032;-0.910048;0;0;-1.81811;5.68464;0.231174;-0.074462;0;0;-1.90872;757;746;630;122;122;81;1000;1000;813;1000;1000;595;1;1;1;1;
6;7;0;0;-0.0356312;0;0;-0.0550126;0;0;-0.562421;0;0;-6.30886;0;0;-0.463465;0;0;-2.28158;0;0;0.151345;0;0;-1.75737;0.999612;0.0272563;-0.00574263;0.91912;0.380959;-0.100445;0.972933;0.0312048;-0.228969;0.997195;-0.0486782;-0.0568598;6.99722;0.0248906;0.0278294;0;0;-0.0550126;5.6892;0.875576;-0.535867;0;0;-6.30886;4.62467;0.576479;-1.13902;0;0;-2.28158;6.67987;0.151937;-0.131322;0;0;-1.75737;801;795;565;133;133;85;1000;1000;814;1000;1000;655;1;1;1;1;
7;8;0;0;-0.0234841;0;0;-0.0784966;0;0;0.0474419;0;0;-6.26142;0;0;-0.631992;0;0;-2.91357;0;0;1.01639;0;0;-0.740982;0.999984;0.00224566;0.00528088;0.983357;0.119101;-0.137202;0.916944;0.333608;-0.218904;0.845616;-0.489993;-0.211756;7.99721;0.0257663;0.0331103;0;0;-0.0784966;6.67968;0.886717;-0.673069;0;0;-6.26142;5.55739;0.863047;-1.35792;0;0;-2.91357;7.51908;-0.348951;-0.343078;0;0;-0.740982;783;783;631;125;125;79;1000;1000;835;1000;1000;657;1;1;1;1;
8;9;0;0;-0.0331952;0;0;-0.111692;0;0;-0.575119;0;0;-6.83653;0;0;0.508223;0;0;-2.40535;0;0;-0.00682438;0;0;-0.747806;0.999373;0.0275195;-0.0222792;0.90963;0.385412;-0.155019;0.905899;-0.379922;-0.187098;0.998126;-0.0536969;0.0293489;8.99663;0.0513375;0.0108311;0;0;-0.111692;7.62872;1.16111;-0.828087;0;0;-6.83653;6.44654;0.445441;-1.54502;0;0;-2.40535;8.51642;-0.41567;-0.313729;0;0;-0.747806;823;823;678;119;119;71;1000;1000;827;1000;1000;670;1;1;1;1;
9;10;0;0;-0.0136176;0;0;-0.125309;0;0;-0.0565555;0;0;-6.89309;0;0;0.355891;0;0;-2.04946;0;0;0.0992522;0;0;-0.648554;0.999646;0.00852403;-0.0252193;0.979613;0.181333;-0.0864661;0.901717;-0.381137;-0.204062;0.988225;-0.138208;-0.0656517;9.9963;0.0576753;-0.0143882;0;0;-0.125309;8.62302;1.22356;-0.914554;0;0;-6.89309;7.33405;0.0323004;-1.74908;0;0;-2.04946;9.50302;-0.565056;-0.379381;0;0;-0.648554;763;763;648;119;119;74;1000;1000;845;1000;1000;613;1;1;1;1;
