PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontPlateletIceCircle.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=359;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.998878;0;0;0.998878;0;0;1.00084;0;0;1.00084;0;0;0.993392;0;0;0.993392;0;0;0.987296;0;0;0.987296;0.978608;0.11913;-0.167732;-0.982637;0.0204084;0.184414;0.507773;-0.822027;-0.257755;0.973056;-0.140365;-0.182919;0.976383;0.136172;-0.167732;0;0;0.998878;-0.982843;0.00324148;0.184414;0;0;1.00084;0.521948;-0.813101;-0.257755;0;0;0.993392;0.97533;-0.123577;-0.182919;0;0;0.987296;825;815;813;1481;1481;1066;1000;1000;655;1000;1000;878;1;1;1;1;
1;2;0;0;0.999004;0;0;1.99788;0;0;0.994448;0;0;1.99529;0;0;1.0094;0;0;2.00279;0;0;0.982811;0;0;1.97011;-0.90434;0.386994;0.180011;-0.990207;-0.0160439;0.138684;0.978513;0.0068885;-0.206072;-0.972069;-0.20395;0.116132;0.0591005;0.491403;0.012279;0;0;1.99788;-1.97189;-0.047269;0.323098;0;0;1.99529;1.49962;-0.772019;-0.463827;0;0;2.00279;0.0108475;-0.360825;-0.0667873;0;0;1.97011;815;804;802;1483;1483;1079;1000;1000;660;1000;1000;879;1;1;1;1;
2;3;0;0;0.999206;0;0;2.99709;0;0;1.00617;0;0;3.00146;0;0;0.998605;0;0;3.00139;0;0;0.999361;0;0;2.96947;0.925156;-0.358135;-0.125796;0.978806;-0.160126;-0.127664;0.917097;-0.391919;-0.0730195;0.927088;-0.324542;-0.187566;1.00172;0.182129;-0.113517;0;0;2.99709;-0.986043;-0.155924;0.195435;0;0;3.00146;2.43598;-1.11538;-0.536847;0;0;3.00139;0.953503;-0.636904;-0.254354;0;0;2.96947;780;772;767;1494;1494;1057;1000;1000;627;1000;1000;863;1;1;1;1;
3;4;0;0;0.9992;0;0;3.99629;0;0;0.993135;0;0;3.99459;0;0;1.00504;0;0;4.00643;0;0;0.991892;0;0;3.96136;0.29754;-0.900353;0.317545;-0.890797;-0.445685;0.0885735;-0.979255;0.0218271;0.201451;0.958564;-0.209053;-0.193527;1.36128;-0.695298;0.204028;0;0;3.99629;-1.84363;-0.662582;0.284008;0;0;3.99459;1.4576;-1.16203;-0.335395;0;0;4.00643;1.92422;-0.779236;-0.447881;0;0;3.96136;821;808;800;1471;1471;1078;1000;1000;623;1000;1000;868;1;1;1;1;
4;5;0;0;1.02694;0;0;5.02323;0;0;1.00124;0;0;4.99583;0;0;1.00324;0;0;5.00967;0;0;0.989131;0;0;4.95049;-0.245351;-0.916217;0.316781;-0.834219;-0.518255;0.188388;0.920081;-0.353456;-0.168876;-0.990447;-0.0172785;0.136808;1.19709;-1.62948;0.520808;0;0;5.02323;-2.62955;-1.25151;0.472396;0;0;4.99583;2.40503;-1.43379;-0.504272;0;0;5.00967;0.938957;-0.881921;-0.311073;0;0;4.95049;820;804;801;1461;1461;1058;1000;1000;640;1000;1000;884;1;1;1;1;
5;6;0;0;0.995349;0;0;6.01858;0;0;1.00348;0;0;5.99931;0;0;0.997788;0;0;6.00746;0;0;1.00217;0;0;5.95266;0.942109;-0.310439;-0.126723;0.978007;-0.154778;-0.13981;0.983776;0.0988224;-0.149732;-0.95435;-0.173342;0.243246;2.16656;-1.83943;0.394085;0;0;6.01858;-1.64072;-1.30323;0.332587;0;0;5.99931;3.37306;-1.23255;-0.654004;0;0;6.00746;0.0077299;-1.1533;-0.067827;0;0;5.95266;810;795;793;1464;1464;1044;1000;1000;662;1000;1000;866;1;1;1;1;
6;7;0;0;1.00276;0;0;7.02134;0;0;0.906574;0;0;6.90588;0;0;0.998645;0;0;7.0061;0;0;0.992703;0;0;6.94536;-0.720659;0.651951;0.235817;-0.339167;-0.939087;-0.055511;-0.959801;0.230003;0.160873;-0.955625;0.177169;0.235355;1.37161;-1.28046;0.629902;0;0;7.02134;-1.86451;-2.27628;0.277076;0;0;6.90588;2.39237;-1.12133;-0.493131;0;0;7.0061;-0.962306;-1.09299;0.167528;0;0;6.94536;837;829;820;1451;1451;1069;1000;1000;628;1000;1000;874;1;1;1;1;
7;8;0;0;0.999439;0;0;8.02077;0;0;1.00213;0;0;7.90802;0;0;1.00431;0;0;8.01041;0;0;1.0035;0;0;7.94886;-0.944238;-0.301192;0.133034;0.920519;-0.338514;-0.195074;-0.973895;0.115497;0.195419;-0.981734;-0.160215;0.102614;0.478637;-1.71045;0.762936;0;0;8.02077;-0.906174;-2.48493;0.0820023;0;0;7.90802;1.41188;-1.14268;-0.297712;0;0;8.01041;-1.91245;-1.38743;0.270142;0;0;7.94886;838;825;824;1483;1483;1059;1000;1000;654;1000;1000;888;1;1;1;1;
8;9;0;0;0.999865;0;0;9.02064;0;0;1.0042;0;0;8.91221;0;0;0.988318;0;0;8.99872;0;0;1.01764;0;0;8.96649;-0.994423;0.0290391;0.101386;0.995601;-0.0322691;-0.0879661;-0.986995;0.0232387;0.159065;-0.978358;0.13824;0.153965;-0.50804;-1.83769;0.864322;0;0;9.02064;0.0824063;-2.36257;-0.00596379;0;0;8.91221;0.433399;-1.2741;-0.138647;0;0;8.99872;-2.9004;-1.40336;0.424107;0;0;8.96649;843;828;828;1489;1489;1083;1000;1000;671;1000;1000;880;1;1;1;1;
9;10;0;0;1.00174;0;0;10.0224;0;0;0.978151;0;0;9.89036;0;0;0.991716;0;0;9.99044;0;0;0.986167;0;0;9.95266;0.969854;-0.185425;-0.158115;0.828096;-0.546454;-0.12508;0.98755;0.00631225;-0.157178;0.964046;-0.250413;-0.0889288;0.479284;-1.8515;0.706207;0;0;10.0224;0.992056;-2.75866;-0.131043;0;0;9.89036;1.40488;-1.09656;-0.295825;0;0;9.99044;-1.90758;-1.48339;0.335178;0;0;9.95266;825;809;806;1482;1482;1074;1000;1000;684;1000;1000;885;1;1;1;1;
