PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontPlateletIceForward.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=199;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;-0.0216741;0;0;-0.0216741;0;0;-0.0335986;0;0;-0.0335986;0;0;0.10425;0;0;0.10425;0;0;-0.0466014;0;0;-0.0466014;0.999888;0.0143489;-0.00424332;0.999579;0.0190301;-0.021892;0.998825;-0.0468757;0.0123348;0.997983;0.0193546;-0.0604605;0.999893;0.0139706;-0.00424332;0;0;-0.0216741;0.99959;0.0184439;-0.021892;0;0;-0.0335986;0.998908;-0.0450583;0.0123348;0;0;0.10425;0.997998;0.0185429;-0.0604605;0;0;-0.0466014;1000;983;969;2017;2017;1307;1000;1000;587;1000;1000;860;1;1;1;1;
1;2;0;0;0.00813816;0;0;-0.0135359;0;0;0.00816349;0;0;-0.0254351;0;0;-0.048254;0;0;0.0559961;0;0;-0.0583273;0;0;-0.104929;0.999864;-0.00162408;0.0164031;0.999943;-0.00999242;0.00378649;0.998749;0.0487082;0.0113006;0.998106;0.0612739;-0.00539893;1.99976;0.0121103;0.0121598;0;0;-0.0135359;1.99953;0.0080076;-0.0181055;0;0;-0.0254351;1.99761;0.00462602;0.0236354;0;0;0.0559961;1.99622;0.0779888;-0.0658594;0;0;-0.104929;1000;987;970;1990;1990;1247;1000;1000;596;1000;1000;835;1;1;1;1;
2;3;0;0;0.0115916;0;0;-0.00194432;0;0;0.215802;0;0;0.190367;0;0;0.0871332;0;0;0.143129;0;0;-0.0196828;0;0;-0.124611;0.99993;-0.00875051;0.0079161;0.992626;-0.118628;0.0249043;0.99669;-0.0423911;0.0693662;0.999778;0.0121198;-0.0172447;2.99969;0.00332588;0.0200759;0;0;-0.00194432;2.99254;-0.107322;0.00679875;0;0;0.190367;2.9944;-0.0352751;0.0930016;0;0;0.143129;2.99602;0.0879342;-0.0831041;0;0;-0.124611;1000;985;971;1975;1975;1284;1000;1000;599;1000;1000;827;1;1;1;1;
3;4;0;0;0.00827448;0;0;0.00633016;0;0;0.0295742;0;0;0.219941;0;0;-0.0260206;0;0;0.117109;0;0;-0.019824;0;0;-0.144435;0.999924;-0.0103901;-0.00660559;0.99934;-0.0252967;-0.0260802;0.999887;0.0136922;-0.00620271;0.999877;0.0118177;-0.0102874;3.99961;-0.00695379;0.0134703;0;0;0.00633016;3.99197;-0.128782;-0.0192815;0;0;0.219941;3.99426;-0.0195392;0.0867989;0;0;0.117109;3.99592;0.0972313;-0.0933915;0;0;-0.144435;999;987;965;1943;1943;1261;1000;1000;566;1000;1000;831;1;1;1;1;
4;5;0;0;-0.0077853;0;0;-0.00145514;0;0;-0.0655006;0;0;0.15444;0;0;-0.0574612;0;0;0.0596475;0;0;-0.117453;0;0;-0.261889;0.999953;0.00952352;-0.00158145;0.997975;0.0290303;-0.0565949;0.998844;0.0480544;-0.000906291;0.997895;0.0635905;0.0127063;4.99957;0.00254433;0.0118889;0;0;-0.00145514;4.98987;-0.0970621;-0.0758763;0;0;0.15444;4.99305;0.029555;0.0858926;0;0;0.0596475;4.9941;0.15626;-0.0806852;0;0;-0.261889;993;980;955;1970;1970;1238;1000;1000;598;1000;1000;809;1;1;1;1;
5;6;0;0;0.0004612;0;0;-0.000993942;0;0;0.170229;0;0;0.324669;0;0;-0.0706823;0;0;-0.0110349;0;0;0.0852765;0;0;-0.176612;0.999991;-0.00312709;-0.00271821;0.994327;-0.0950487;-0.0477382;0.99305;0.0449571;0.108772;0.997817;-0.0585946;0.0304747;5.99956;-0.000600099;0.00917064;0;0;-0.000993942;5.98472;-0.186475;-0.123615;0;0;0.324669;5.98611;0.0743209;0.194665;0;0;-0.0110349;5.99173;0.0945899;-0.0502106;0;0;-0.176612;938;924;903;1966;1966;1231;1000;1000;598;1000;1000;834;1;1;1;1;
6;7;0;0;-0.0256955;0;0;-0.0266895;0;0;-0.0539993;0;0;0.27067;0;0;0.0132227;0;0;0.00218786;0;0;-0.0553067;0;0;-0.231919;0.999831;0.0174754;-0.00574976;0.997924;0.0566416;-0.030659;0.990836;-0.0501276;-0.125427;0.999245;0.0196442;-0.0335058;6.9994;0.0164096;0.00342089;0;0;-0.0266895;6.98236;-0.12512;-0.154274;0;0;0.27067;6.97695;0.0242311;0.0692385;0;0;0.00218786;6.99104;0.110189;-0.0837164;0;0;-0.231919;912;893;861;1911;1911;1188;1000;1000;615;1000;1000;837;1;1;1;1;
7;8;0;0;0.00275314;0;0;-0.0239363;0;0;-0.0759166;0;0;0.194753;0;0;-0.726389;0;0;-0.724201;0;0;-0.0332595;0;0;-0.265178;0.999981;0.00184227;-0.00587321;0.998587;0.0466727;-0.025416;0.934529;0.333581;-0.124012;0.999651;0.0263283;-0.00232169;7.99938;0.0178341;-0.00245233;0;0;-0.0239363;7.98078;-0.0750529;-0.17969;0;0;0.194753;7.91562;0.345973;-0.0547731;0;0;-0.724201;7.99081;0.131891;-0.0860381;0;0;-0.265178;928;908;887;1887;1887;1192;1000;1000;592;1000;1000;825;1;1;1;1;
8;9;0;0;-0.0204335;0;0;-0.0443698;0;0;-0.000975107;0;0;0.193778;0;0;-0.0113514;0;0;-0.735552;0;0;0.0331551;0;0;-0.232023;0.999808;0.0192514;0.003759;0.999892;0.00179267;0.014616;0.999276;0.0157105;-0.0346554;0.999595;-0.0282156;-0.0036222;8.9992;0.0363113;0.00130667;0;0;-0.0443698;8.98066;-0.0698786;-0.165074;0;0;0.193778;8.91501;0.348854;-0.0894285;0;0;-0.735552;8.99028;0.0996274;-0.0896603;0;0;-0.232023;942;923;896;1890;1890;1155;1000;1000;578;1000;1000;812;1;1;1;1;
9;10;0;0;-0.0250709;0;0;-0.0694407;0;0;-0.0892348;0;0;0.104543;0;0;0.00227589;0;0;-0.733277;0;0;-0.00056171;0;0;-0.232585;0.999883;0.013467;-0.00719521;0.998544;0.0531397;0.00931305;0.999798;0.00371483;-0.0197643;0.999993;-0.003598;0.000717449;9.9991;0.0485664;-0.00588853;0;0;-0.0694407;9.97911;-0.014917;-0.155761;0;0;0.104543;9.91478;0.339774;-0.109193;0;0;-0.733277;9.99025;0.0919701;-0.0889428;0;0;-0.232585;943;920;891;1902;1902;1158;1000;1000;565;1000;1000;780;1;1;1;1;
