PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/frontScurveMoreFeatures.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=999;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;-0.719274;0;0;-0.719274;0;0;-0.725049;0;0;-0.725049;0;0;-0.540841;0;0;-0.540841;0;0;0;0;0;0;0.987172;-0.155895;-0.0344714;-0.992368;0.0981861;0.0745992;-0.492789;0.869667;0.0289416;0;1;0;0.168275;0.985137;-0.0344714;0;0;89.2807;-0.110736;-0.991046;0.0745992;0;0;89.275;-0.87428;-0.484558;0.0289416;0;0;89.4592;-1;0;0;0;0;90;802;786;783;1633;1633;1242;1000;1000;680;1000;1000;872;1;1;1;1;
1;2;0;0;-0.721507;0;0;-1.44078;0;0;-0.719789;0;0;-1.44484;0;0;-0.711405;0;0;-1.25225;0;0;0;0;0;0;-0.990049;0.140715;-0.00144655;-0.987351;0.157975;0.0135041;0.980518;-0.16823;-0.101402;0;1;0;0.00271156;-0.00106091;-0.0359179;0;0;88.5592;-0.293556;-1.9741;0.0881033;0;0;88.5552;-0.684662;0.492049;-0.0724607;0;0;88.7478;-2;0;0;0;0;90;758;751;749;1631;1631;1203;1000;1000;694;1000;1000;872;1;1;1;1;
2;3;0;0;-0.728583;0;0;-2.16936;0;0;-0.734378;0;0;-2.17922;0;0;-0.68122;0;0;-1.93347;0;0;0;0;0;0;-0.993267;0.114173;0.0196442;0.99548;-0.0923373;-0.0222246;0.97381;-0.221419;-0.0516461;0;1;0;-0.148978;-0.989294;-0.0162737;0;0;87.8306;-0.163432;-0.982851;0.0658788;0;0;87.8208;-0.430514;1.45783;-0.124107;0;0;88.0665;-3;0;0;0;0;90;728;720;720;1614;1614;1181;1000;1000;661;1000;1000;827;1;1;1;1;
3;4;0;0;-0.697153;0;0;-2.86652;0;0;-0.721711;0;0;-2.90093;0;0;-0.742044;0;0;-2.67551;0;0;-0.763549;0;0;-0.763549;-0.973968;0.224081;-0.034273;-0.99349;0.113619;0.00825373;0.994774;-0.0912442;-0.0458194;0.99843;-0.0498276;-0.0255783;-0.421486;-1.95084;-0.0505467;0;0;87.1335;-0.327184;-1.96932;0.0741325;0;0;87.0991;-0.292934;2.44726;-0.169926;0;0;87.3245;-2.93687;0.997678;-0.0255783;0;0;89.2365;724;713;712;1583;1583;1210;1000;1000;643;1000;1000;873;1;1;1;1;
4;5;0;0;-0.723843;0;0;-3.59036;0;0;-0.678914;0;0;-3.57984;0;0;-0.716499;0;0;-3.39201;0;0;-0.666958;0;0;-1.43051;0.992273;-0.121975;-0.0227279;0.976232;-0.207434;-0.0627863;0.986799;-0.127217;-0.100213;-0.982972;0.181137;-0.0309041;-0.237611;-0.96815;-0.0732746;0;0;86.4096;-0.0591996;-1.00794;0.0113462;0;0;86.4202;-0.107554;3.42481;-0.270139;0;0;86.608;-3.14249;0.0195338;-0.0564824;0;0;88.5695;784;772;764;1651;1651;1200;1000;1000;651;1000;1000;875;1;1;1;1;
5;6;0;0;-0.702255;0;0;-4.29261;0;0;-0.768025;0;0;-4.34787;0;0;-0.768654;0;0;-4.16066;0;0;-0.761748;0;0;-2.19225;-0.984507;0.1753;-0.00407531;0.999369;-0.0308956;-0.0175346;0.996174;-0.0446132;-0.0751476;0.998234;-0.0593473;0.00273191;-0.48611;-1.93677;-0.0773499;0;0;85.7074;0.0473711;-0.0137926;-0.0061884;0;0;85.6521;0.00921777;4.41512;-0.345287;0;0;85.8393;-3.045;1.01477;-0.0537505;0;0;87.8077;728;720;717;1640;1640;1173;1000;1000;644;1000;1000;869;1;1;1;1;
6;7;0;0;-0.726612;0;0;-5.01923;0;0;-0.723212;0;0;-5.07108;0;0;-0.723525;0;0;-4.88419;0;0;-0.691301;0;0;-2.88356;0.99519;-0.0978837;0.00383847;0.995302;-0.0947726;-0.0198141;0.992701;-0.101925;-0.0644733;0.991742;-0.127394;-0.0147863;-0.301533;-0.953963;-0.0735114;0;0;84.9808;0.229749;0.969236;-0.0260025;0;0;84.9289;0.195293;5.39554;-0.40976;0;0;85.1158;-2.86788;1.99884;-0.0685368;0;0;87.1164;750;737;732;1635;1635;1123;1000;1000;662;1000;1000;861;1;1;1;1;
7;8;0;0;-0.727902;0;0;-5.74713;0;0;-0.73333;0;0;-5.80441;0;0;-0.703689;0;0;-5.58788;0;0;-0.691748;0;0;-3.5753;0.995676;-0.0924668;-0.00888349;0.995449;-0.0876179;-0.0374868;0.992638;-0.118104;-0.0268673;0.994456;-0.101156;-0.0287333;-0.109826;0.027449;-0.0823949;0;0;84.2529;0.41759;1.95072;-0.0634893;0;0;84.1956;0.409491;6.37196;-0.436628;0;0;84.4121;-2.70491;2.98506;-0.0972701;0;0;86.4247;790;777;772;1599;1599;1097;1000;1000;630;1000;1000;862;1;1;1;1;
8;9;0;0;-0.721329;0;0;-6.46846;0;0;-0.718144;0;0;-6.52255;0;0;-0.752258;0;0;-6.34014;0;0;-0.763811;0;0;-4.33911;0.99644;-0.0836167;-0.0107514;0.994574;-0.103879;-0.00567414;0.998692;-0.0350534;-0.0372359;0.99706;-0.0766244;0.00076013;0.0855139;1.00813;-0.0931463;0;0;83.5315;0.633774;2.92706;-0.0691635;0;0;83.4774;0.554616;7.36067;-0.473864;0;0;83.6599;-2.55306;3.97346;-0.09651;0;0;85.6609;871;848;830;1657;1657;1106;1000;1000;655;1000;1000;860;1;1;1;1;
9;10;0;0;-0.693429;0;0;-7.16189;0;0;-0.685615;0;0;-7.20817;0;0;-0.634949;0;0;-6.97508;0;0;-0.635749;0;0;-4.97486;0.992579;-0.121402;0.00691236;0.992095;-0.123946;0.0195976;0.98212;-0.186571;-0.0251282;0.98818;-0.146656;-0.0446272;0.329717;1.97783;-0.086234;0;0;82.8381;0.881224;3.89576;-0.0495659;0;0;82.7918;0.859073;8.31287;-0.498992;0;0;83.0249;-2.32127;4.9452;-0.141137;0;0;85.0251;831;809;789;1630;1630;1086;1000;1000;623;1000;1000;849;1;1;1;1;
10;11;0;0;-0.716264;0;0;-7.87815;0;0;-0.761489;0;0;-7.96966;0;0;-0.602505;0;0;-7.57759;0;0;-0.742898;0;0;-5.71776;0.997061;-0.0765914;-0.00159994;0.9994;-0.0279347;-0.0204579;0.972867;-0.226733;-0.0460624;0.996853;-0.0774628;0.0168273;0.542249;2.95498;-0.0878339;0;0;82.1219;1.04745;4.88163;-0.0700237;0;0;82.0303;1.21212;9.24734;-0.545054;0;0;82.4224;-2.14487;5.92938;-0.12431;0;0;84.2822;819;807;774;1608;1608;1063;1000;1000;636;1000;1000;850;1;1;1;1;
