PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontVoronoiIceCircle.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=359;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;0.999694;0;0;0.999694;0;0;1.01879;0;0;1.01879;0;0;1.00986;0;0;1.00986;0;0;1.01369;0;0;1.01369;-0.958214;0.268231;0.0993847;-0.661639;-0.698518;0.272591;0.440723;-0.578832;0.686088;0.964509;-0.169459;-0.202498;-0.962748;0.251472;0.0993847;0;0;0.999694;-0.649115;-0.710172;0.272591;0;0;1.01879;0.450856;-0.570975;0.686088;0;0;1.00986;0.967356;-0.152369;-0.202498;0;0;1.01369;937;931;927;1480;1480;972;1000;1000;629;1000;1000;858;1;1;1;1;
1;2;0;0;1.00326;0;0;2.00295;0;0;0.992421;0;0;2.01121;0;0;0.962814;0;0;1.97268;0;0;1.00841;0;0;2.0221;0.493016;-0.849642;0.187199;0.782852;-0.612144;-0.111459;-0.177962;-0.234857;-0.9556;-0.965407;-0.240347;0.101109;-0.440338;-0.580419;0.286584;0;0;2.00295;0.154738;-1.29446;0.161131;0;0;2.01121;0.281084;-0.811818;-0.269512;0;0;1.97268;0.0110313;-0.42663;-0.101389;0;0;2.0221;933;926;925;1484;1484;919;1000;1000;656;1000;1000;847;1;1;1;1;
2;3;0;0;1.00001;0;0;3.00296;0;0;1.0006;0;0;3.01181;0;0;1.05811;0;0;3.03078;0;0;1.00067;0;0;3.02276;-0.954398;0.170868;-0.244803;-0.92356;0.374346;0.0830729;-0.160378;-0.358471;-0.919662;-0.920838;-0.327524;0.211625;-1.40238;-0.459784;0.0417803;0;0;3.00296;-0.787216;-0.969161;0.244204;0;0;3.01181;0.139884;-1.17827;-1.18917;0;0;3.03078;-0.891254;-0.802257;0.110237;0;0;3.02276;934;926;924;1440;1440;889;1000;1000;646;1000;1000;854;1;1;1;1;
3;4;0;0;1.0007;0;0;4.00366;0;0;1.00558;0;0;4.01739;0;0;1.05128;0;0;4.08206;0;0;1.00417;0;0;4.02693;-0.981293;0.145743;0.125787;0.991313;-0.0626528;-0.11564;0.0518048;-0.422389;0.904933;0.902301;-0.40077;-0.158857;-2.39145;-0.382911;0.167567;0;0;4.00366;0.206051;-0.962209;0.128564;0;0;4.01739;0.221626;-1.5959;-0.284241;0;0;4.08206;0.0369638;-1.13867;-0.0486203;0;0;4.02693;928;922;919;1422;1422;921;1000;1000;627;1000;1000;855;1;1;1;1;
4;5;0;0;0.970703;0;0;4.97436;0;0;0.998204;0;0;5.0156;0;0;1.00348;0;0;5.08555;0;0;0.984557;0;0;5.01149;-0.328863;-0.942625;0.0575071;-0.932708;-0.302182;0.196829;0.895688;0.291183;-0.336088;-0.970403;-0.0920076;0.223278;-2.63734;-1.3505;0.225075;0;0;4.97436;-0.696666;-1.34478;0.325393;0;0;5.0156;1.08798;-1.22646;-0.620329;0;0;5.08555;-0.921692;-1.3151;0.174657;0;0;5.01149;940;935;931;1437;1437;885;1000;1000;631;1000;1000;860;1;1;1;1;
5;6;0;0;1.00052;0;0;5.97489;0;0;1.02929;0;0;6.04489;0;0;0.997354;0;0;6.0829;0;0;0.999637;0;0;6.01113;-0.949582;0.294618;0.107212;-0.656962;-0.46251;0.595386;0.837062;0.193863;-0.51161;-0.767059;-0.46156;-0.445626;-3.61243;-1.15633;0.332286;0;0;5.97489;-1.30127;-1.8739;0.92078;0;0;6.04489;1.89978;-0.944991;-1.13194;0;0;6.0829;-1.6362;-1.85445;-0.270968;0;0;6.01113;947;943;937;1469;1469;956;1000;1000;618;1000;1000;853;1;1;1;1;
6;7;0;0;1.00074;0;0;6.97562;0;0;0.904657;0;0;6.94954;0;0;1.00118;0;0;7.08408;0;0;0.982767;0;0;6.9939;-0.966603;-0.249918;-0.0567487;0.353643;-0.934008;0.0506578;0.899654;-0.433287;0.0537219;-0.975271;0.115284;0.188562;-4.54153;-1.52179;0.275537;0;0;6.97562;-0.837215;-2.75826;0.971438;0;0;6.94954;2.846;-1.26402;-1.07822;0;0;7.08408;-2.61825;-1.85877;-0.0824066;0;0;6.9939;935;928;926;1494;1494;960;1000;1000;654;1000;1000;866;1;1;1;1;
7;8;0;0;0.911951;0;0;7.88757;0;0;0.994571;0;0;7.94411;0;0;1.00509;0;0;8.08916;0;0;1.00159;0;0;7.99549;0.0157899;-0.993156;-0.115719;-0.935785;-0.332832;0.116313;-0.805973;-0.399061;0.437217;-0.945404;-0.286035;0.156192;-4.3896;-2.50338;0.159818;0;0;7.88757;-1.71802;-3.21723;1.08775;0;0;7.94411;2.1042;-1.77252;-0.641001;0;0;8.08916;-3.51468;-2.27353;0.0737852;0;0;7.99549;934;928;924;1458;1458;926;1000;1000;674;1000;1000;827;1;1;1;1;
8;9;0;0;1.00219;0;0;8.88977;0;0;0.997901;0;0;8.94201;0;0;0.997936;0;0;9.0871;0;0;0.998018;0;0;8.9935;-0.994222;0.0674474;0.0835053;0.919648;-0.0201615;-0.392226;-0.916338;-0.324141;0.235069;-0.92685;-0.352258;0.129859;-5.3823;-2.59038;0.243324;0;0;8.88977;-0.806416;-3.0942;0.695525;0;0;8.94201;1.25056;-2.23732;-0.405931;0;0;9.0871;-4.37507;-2.76635;0.203644;0;0;8.9935;941;933;929;1466;1466;921;1000;1000;647;1000;1000;856;1;1;1;1;
9;10;0;0;1.00026;0;0;9.89003;0;0;1.00201;0;0;9.94403;0;0;1.07779;0;0;10.1649;0;0;0.999573;0;0;9.99308;-0.996148;0.00361208;0.0876141;-0.981181;-0.142176;0.130652;-0.214654;-0.354761;-0.909983;-0.927367;-0.336504;0.16357;-6.36426;-2.75792;0.330938;0;0;9.89003;-1.7483;-3.40367;0.826177;0;0;9.94403;1.10188;-2.62439;-1.31591;0;0;10.1649;-5.22997;-3.25867;0.367214;0;0;9.99308;930;918;915;1462;1462;928;1000;1000;630;1000;1000;861;1;1;1;1;
