PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/FrontVoronoiIceForward.mp4;CameraType=9;videoSize=[960 x 540];videoFPS=5;videoFrameCount=199;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=1;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;-0.00914594;0;0;-0.00914594;0;0;0.0471221;0;0;0.0471221;0;0;0.167098;0;0;0.167098;0;0;0.176242;0;0;0.176242;0.99997;0.00732838;0.00251185;0.99834;-0.0546761;-0.0180807;0.99115;-0.0995606;0.0878059;0.969304;-0.2133;-0.122279;0.999971;0.00716875;0.00251185;0;0;-0.00914594;0.998385;-0.053855;-0.0180807;0;0;0.0471221;0.991436;-0.0966696;0.0878059;0;0;0.167098;0.969956;-0.210317;-0.122279;0;0;0.176242;966;966;962;1573;1573;924;1000;1000;570;1000;1000;844;1;1;1;1;
1;2;0;0;0.000149871;0;0;-0.00899607;0;0;0.114126;0;0;0.161248;0;0;-0.0211555;0;0;0.145943;0;0;0.10538;0;0;0.281622;0.999994;0.000792052;-0.00327168;0.979259;-0.180835;-0.0913868;0.993814;0.0320393;0.106336;0.99131;-0.123346;-0.0457115;1.99997;0.0078038;-0.000759834;0;0;-0.00899607;1.97815;-0.231933;-0.109467;0;0;0.161248;1.98516;-0.0620989;0.194142;0;0;0.145943;1.96186;-0.32879;-0.167991;0;0;0.281622;963;963;963;1567;1567;934;1001;1001;584;1000;1000;826;1;1;1;1;
2;3;0;0;0.00100051;0;0;-0.00799556;0;0;-0.00485733;0;0;0.156391;0;0;0.0412971;0;0;0.18724;0;0;0.053025;0;0;0.334647;0.999964;-0.00203782;-0.00823943;0.999669;-0.017033;0.0192747;0.989695;-0.055229;-0.132116;0.973919;-0.0524449;0.220751;2.99993;0.00562643;-0.00899927;0;0;-0.00799556;2.97786;-0.246237;-0.0901928;0;0;0.156391;2.97503;-0.114093;0.0620261;0;0;0.18724;2.93607;-0.375546;0.0527601;0;0;0.334647;968;968;967;1554;1554;913;1000;1000;623;1000;1000;833;1;1;1;1;
3;4;0;0;0.00743711;0;0;-0.000558452;0;0;0.0115694;0;0;0.16796;0;0;-0.0297843;0;0;0.157455;0;0;-0.102388;0;0;0.232259;0.999933;-0.00899831;-0.00725163;-0.995347;-0.0131727;0.0954493;0.999252;0.0329818;-0.0201819;0.990728;0.109745;-0.0800865;3.99986;-0.00338163;-0.0162509;0;0;-0.000558452;1.98256;-0.262328;0.00525655;0;0;0.16796;3.97419;-0.0783657;0.0418443;0;0;0.157455;3.92634;-0.261785;-0.0273264;0;0;0.232259;950;950;950;1518;1518;944;1000;1000;628;1000;1000;791;1;1;1;1;
4;5;0;0;0.00147676;0;0;0.000918306;0;0;0.00737655;0;0;0.175337;0;0;-0.0590401;0;0;0.0984152;0;0;-0.0247127;0;0;0.207546;0.99991;0.00323633;0.0130137;0.999056;0.0104928;-0.0421455;0.993601;0.104859;-0.0419724;0.996661;0.077869;-0.0245576;4.99977;-0.000129275;-0.00323714;0;0;0.000918306;2.98158;-0.248778;-0.036889;0;0;0.175337;4.96761;0.0281998;-0.000128124;0;0;0.0984152;4.92272;-0.180306;-0.051884;0;0;0.207546;965;965;965;1557;1557;937;1000;1000;591;1000;1000;831;1;1;1;1;
5;6;0;0;-0.00921042;0;0;-0.00829211;0;0;0.0310173;0;0;0.206354;0;0;0.117337;0;0;0.215752;0;0;0.153614;0;0;0.36116;0.999878;0.0139155;-0.00715707;0.999633;-0.0157083;0.022068;0.975844;-0.126825;-0.177885;0.8899;-0.167849;0.424152;5.99965;0.0136415;-0.0103942;0;0;-0.00829211;3.98126;-0.260886;-0.014821;0;0;0.206354;5.94393;-0.0949497;-0.178013;0;0;0.215752;5.81366;-0.342543;0.372268;0;0;0.36116;971;971;969;1482;1482;894;1000;1000;596;1000;1000;809;1;1;1;1;
6;7;0;0;-0.00745524;0;0;-0.0157473;0;0;0.0360889;0;0;0.242443;0;0;-0.154946;0;0;0.0608064;0;0;-0.163963;0;0;0.197197;0.999933;0.00887835;0.00738643;0.998674;-0.0401679;-0.0321934;0.972106;0.199739;0.122943;0.977113;0.191772;0.0920498;6.99959;0.022245;-0.00300778;0;0;-0.0157473;4.98009;-0.296827;-0.0470143;0;0;0.242443;6.91582;0.105821;-0.0550699;0;0;0.0608064;6.7901;-0.147409;0.464318;0;0;0.197197;961;961;960;1515;1515;885;1000;1000;603;1000;1000;809;1;1;1;1;
7;8;0;0;0.00772299;0;0;-0.00802436;0;0;0.00914076;0;0;0.251584;0;0;-0.0559069;0;0;0.00489949;0;0;0.115784;0;0;0.31298;0.999927;-0.00764935;-0.00932644;1;0.000923726;-0.000360718;0.997225;0.0665411;0.0333911;0.979439;-0.13886;-0.146348;7.99951;0.0144556;-0.0123342;0;0;-0.00802436;5.98008;-0.291513;-0.047375;0;0;0.251584;7.91304;0.172447;-0.0216787;0;0;0.00489949;7.77029;-0.280917;0.31797;0;0;0.31298;962;962;962;1515;1515;901;1000;1000;618;1000;1000;819;1;1;1;1;
8;9;0;0;0.00431544;0;0;-0.00370891;0;0;0.0187813;0;0;0.270365;0;0;-0.0807943;0;0;-0.0758948;0;0;0.171155;0;0;0.484135;0.999989;-0.00458539;0;0.998084;0.000297506;-0.0618737;0.993466;0.11399;-0.00566564;0.973487;-0.193434;-0.122095;8.9995;0.00980548;-0.0122497;0;0;-0.00370891;6.97815;-0.286505;-0.109249;0;0;0.270365;8.90666;0.285121;-0.0273444;0;0;-0.0758948;8.74537;-0.466118;0.195875;0;0;0.484135;957;957;957;1504;1504;902;1000;1000;591;1000;1000;805;1;1;1;1;
9;10;0;0;0.000897769;0;0;-0.00281114;0;0;0.00673559;0;0;0.277101;0;0;0.0203496;0;0;-0.0555451;0;0;-0.107162;0;0;0.376972;0.99997;-0.00175833;-0.00754376;0.999895;-0.0133803;0.00560435;0.996655;-0.0372584;0.0727385;0.989417;0.144142;0.0166699;9.99947;0.00799809;-0.0197935;0;0;-0.00281114;7.9781;-0.29505;-0.103644;0;0;0.277101;9.90327;0.246897;0.0453941;0;0;-0.0555451;9.73382;-0.31547;0.212545;0;0;0.376972;936;936;936;1500;1500;894;1000;1000;613;1000;1000;816;1;1;1;1;
