PROPERTIES:;VideoFileName=../../Videos/BlenderSimMP4s/UpAllIceForwardWithFeatures.mp4;CameraType=8;videoSize=[960 x 540];videoFPS=5;videoFrameCount=599;SURFminHessian=400;SIFTthreshold=0.001;SIFTedgeThresh=100;CLAHEclipLimit=4;CLAHEtileSize=[16 x 16];fx_new=1050;fy_new=1050;princPt=[479.5, 269.5];FRONT_CAMERA=0;DES_FOVX=80;BLUR_IMGS=0;ROBUST_EST=4;PROCESS_00FRAME=0;THRESHOLD_JUMPS=1;MAX_ROT=30;

frame1;frame2;vidOF_x_rot;vidOF_y_rot;vidOF_z_rot;vidOF_x_sum;vidOF_y_sum;vidOF_z_sum;vidSURF_x_rot;vidSURF_y_rot;vidSURF_z_rot;vidSURF_x_sum;vidSURF_y_sum;vidSURF_z_sum;vidSIFT_x_rot;vidSIFT_y_rot;vidSIFT_z_rot;vidSIFT_x_sum;vidSIFT_y_sum;vidSIFT_z_sum;vidHARRIS_x_rot;vidHARRIS_y_rot;vidHARRIS_z_rot;vidHARRIS_x_sum;vidHARRIS_y_sum;vidHARRIS_z_sum;vidOFtranslMat_x;vidOFtranslMat_y;vidOFtranslMat_z;vidSURFtranslMat_x;vidSURFtranslMat_y;vidSURFtranslMat_z;vidSIFTtranslMat_x;vidSIFTtranslMat_y;vidSIFTtranslMat_z;vidHARRIStranslMat_x;vidHARRIStranslMat_y;vidHARRIStranslMat_z;vidOFglobalSum_x;vidOFglobalSum_y;vidOFglobalSum_z;vidOFglobalSum_roll;vidOFglobalSum_pitch;vidOFglobalSum_yaw;vidSURFglobalSum_x;vidSURFglobalSum_y;vidSURFglobalSum_z;vidSURFglobalSum_roll;vidSURFglobalSum_pitch;vidSURFglobalSum_yaw;vidSIFTglobalSum_x;vidSIFTglobalSum_y;vidSIFTglobalSum_z;vidSIFTglobalSum_roll;vidSIFTglobalSum_pitch;vidSIFTglobalSum_yaw;vidHARRISglobalSum_x;vidHARRISglobalSum_y;vidHARRISglobalSum_z;vidHARRISglobalSum_roll;vidHARRISglobalSum_pitch;vidHARRISglobalSum_yaw;vidOFcorners2;vidOFmatches;vidOFinliers;vidSURFcorners2;vidSURFmatches;vidSURFinliers;vidSIFTcorners2;vidSIFTmatches;vidSIFTinliers;vidHARRIScorners2;vidHARRISmatches;vidHARRISinliers;OF_EstValid;SURF_EstValid;SIFT_EstValid;HARRIS_EstValid;
0;1;0;0;-0.00238161;0;0;-0.00238161;0;0;-0.0225244;0;0;-0.0225244;0;0;-0.0338923;0;0;-0.0338923;0;0;0;0;0;0;0.999995;0.00246788;-0.00202556;0.995574;-0.0937987;0.0058557;0.998912;-0.0445259;-0.0138558;1;0;0;0.999995;0.00242631;-0.00202556;0;0;-0.00238161;0.995537;-0.0941901;0.0058557;0;0;-0.0225244;0.998886;-0.0451168;-0.0138558;0;0;-0.0338923;1;0;0;0;0;0;1000;961;954;4163;4163;2686;1000;1000;609;1000;1000;804;1;1;1;1;
1;2;0;0;-0.00580253;0;0;-0.00818415;0;0;0.0726666;0;0;0.0501422;0;0;0.0298129;0;0;-0.0040794;0;0;0;0;0;0;0.999998;0.00193878;0.00027259;0.997914;0.064149;0.00724652;0.99991;-0.0133702;0.00100673;1;0;0;1.99999;0.00422225;-0.00175297;0;0;-0.00818415;1.99339;-0.0291678;0.0131022;0;0;0.0501422;1.99879;-0.0585582;-0.012849;0;0;-0.0040794;2;0;0;0;0;0;1000;956;949;4159;4159;2702;1000;1000;586;1000;1000;829;1;1;1;1;
2;3;0;0;0.0115017;0;0;0.00331759;0;0;-0.0170516;0;0;0.0330907;0;0;-0.0144986;0;0;-0.018578;0;0;0;0;0;0;0.999997;-0.00253379;-0.000232607;0.999691;0.0247905;-0.00175421;0.999951;-0.00853853;-0.00497034;1;0;0;2.99999;0.00174637;-0.00198558;0;0;0.00331759;2.99307;-0.00379994;0.011348;0;0;0.0330907;2.99874;-0.067421;-0.0178194;0;0;-0.018578;3;0;0;0;0;0;1000;960;955;4209;4209;2651;1000;1000;604;1000;1000;812;1;1;1;1;
3;4;0;0;-0.00225927;0;0;0.00105832;0;0;0.0732891;0;0;0.10638;0;0;0.00317946;0;0;-0.0153985;0;0;0;0;0;0;0.999999;-0.000647383;0.00153027;0.998394;0.0537662;0.0178492;0.997869;0.0459945;-0.0462883;1;0;0;3.99999;0.00111745;-0.000455311;0;0;0.00105832;3.99136;0.0518199;0.0291972;0;0;0.10638;3.99662;-0.0216947;-0.0641077;0;0;-0.0153985;4;0;0;0;0;0;1000;962;955;4112;4112;2642;1000;1000;568;1000;1000;798;1;1;1;1;
4;5;0;0;0.0144946;0;0;0.0155529;0;0;-0.0525491;0;0;0.0538306;0;0;0.0497679;0;0;0.0343694;0;0;0;0;0;0;0.999987;-0.00484188;-0.00171114;0.987349;-0.158003;0.0133149;0.99988;0.00638065;-0.0140965;1;0;0;4.99998;-0.00345298;-0.00216645;0;0;0.0155529;4.97886;-0.105256;0.0425121;0;0;0.0538306;4.9965;-0.0147143;-0.0782042;0;0;0.0343694;5;0;0;0;0;0;1000;950;942;4150;4150;2665;1000;1000;611;1000;1000;804;1;1;1;1;
5;6;0;0;-0.0087425;0;0;0.00681038;0;0;-0.00540906;0;0;0.0484215;0;0;-0.0520071;0;0;-0.0176377;0;0;0;0;0;0;0.999848;-0.0172782;0.00217127;0.999818;-0.000495556;-0.0190573;0.999997;-0.00253961;-0.000732584;1;0;0;5.99983;-0.0206123;0;0;0;0.00681038;5.97868;-0.104906;0.0234548;0;0;0.0484215;5.9965;-0.0175617;-0.0789368;0;0;-0.0176377;6;0;0;0;0;0;1000;961;956;4109;4109;2615;1000;1000;587;1000;1000;798;1;1;1;1;
6;7;0;0;0.0125821;0;0;0.0193925;0;0;-0.115012;0;0;-0.0665909;0;0;0.0297387;0;0;0.012101;0;0;0;0;0;0;0.999949;-0.0100432;-0.000494257;0.999955;-0.0094681;0.00049012;0.999728;-0.010065;0.0210492;1;0;0;6.99978;-0.0303171;-0.000494257;0;0;0.0193925;6.97862;-0.115537;0.0239449;0;0;-0.0665909;6.99623;-0.0274156;-0.0578876;0;0;0.012101;7;0;0;0;0;0;1000;965;963;4139;4139;2648;1000;1000;602;1000;1000;825;1;1;1;1;
7;8;0;0;0.00481075;0;0;0.0242032;0;0;0.0417787;0;0;-0.0248122;0;0;-0.0293779;0;0;-0.0172768;0;0;0;0;0;0;0.999998;-0.00158213;0.00105532;0.997848;-0.0655283;0.00223392;0.999719;0.0227846;0.00661243;1;0;0;7.99978;-0.0314768;0.000561064;0;0;0.0242032;7.97644;-0.181497;0.0261788;0;0;-0.0248122;7.99595;-0.00493244;-0.0512752;0;0;-0.0172768;8;0;0;0;0;0;1000;973;967;4211;4211;2689;1000;1000;624;1000;1000;821;1;1;1;1;
8;9;0;0;-0.015216;0;0;0.00898722;0;0;-0.0113262;0;0;-0.0361383;0;0;-0.0517786;0;0;-0.0690554;0;0;0;0;0;0;0.999996;0.000282863;0.00263685;0.997783;0.0642947;0.0172075;0.98049;-0.196007;0.0148441;1;0;0;8.99978;-0.0310371;0.00319792;0;0;0.00898722;8.97426;-0.117832;0.0433864;0;0;-0.0361383;8.9762;-0.202121;-0.0364311;0;0;-0.0690554;9;0;0;0;0;0;1000;971;965;4064;4064;2596;1000;1000;606;1000;1000;799;1;1;1;1;
9;10;0;0;-0.00403318;0;0;0.00495404;0;0;-0.124421;0;0;-0.160559;0;0;-0.00536529;0;0;-0.0744207;0;0;0;0;0;0;0.999995;0.00275576;0.00149967;0.99995;-0.0077252;-0.0064059;0.99998;-0.00501051;-0.00386159;1;0;0;9.99977;-0.0281948;0.00469759;0;0;0.00495404;9.97419;-0.128359;0.0369805;0;0;-0.160559;9.97618;-0.20843;-0.0402926;0;0;-0.0744207;10;0;0;0;0;0;1000;967;961;4147;4147;2600;1000;1000;599;1000;1000;810;1;1;1;1;
